No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Central Phenix City vs Pell City",Football,"Alabama",08/28/2026,07:00 PM,"The Pell City varsity football team has an away non-conference game @ Central Phenix City (Alabama) on Friday, August 28 @ 7p.","/al/football/game/central-phenix-city-vs-pell-city/8-28-2026/?c=866e7274-f3ec-4079-b984-3b8568e2c5a2","https://www.maxpreps.com/al/football/game/central-phenix-city-vs-pell-city/8-28-2026/?c=866e7274-f3ec-4079-b984-3b8568e2c5a2",9b3da43
2,"Benjamin Russell Alexander City vs Vestavia Hills",Football,"Alabama",08/28/2026,07:00 PM,"The Vestavia Hills varsity football team has an away non-conference game @ Benjamin Russell Alexander City (Alabama) on Friday, August 28 @ 7p.","/al/football/game/benjamin-russell-alexander-city-vs-vestavia-hills/8-28-2026/?c=f6e2d4e4-d851-4320-8049-fb34a1fecb6c","https://www.maxpreps.com/al/football/game/benjamin-russell-alexander-city-vs-vestavia-hills/8-28-2026/?c=f6e2d4e4-d851-4320-8049-fb34a1fecb6c",8aa26ba
3,"Hewitt Trussville vs Hillcrest Tuscaloosa",Football,"Alabama",08/28/2026,07:00 PM,"The Hillcrest Tuscaloosa varsity football team has an away non-conference game @ Hewitt Trussville (Alabama) on Friday, August 28 @ 7p.","/al/football/game/hewitt-trussville-vs-hillcrest-tuscaloosa/8-28-2026/?c=4278c69f-06d8-43dc-aaa0-f74f74eef443","https://www.maxpreps.com/al/football/game/hewitt-trussville-vs-hillcrest-tuscaloosa/8-28-2026/?c=4278c69f-06d8-43dc-aaa0-f74f74eef443",bbfd310
4,"Hale County Moundville vs Northside Northport",Football,"Alabama",08/28/2026,07:00 PM,"The Northside Northport varsity football team has an away non-conference game @ Hale County Moundville (Alabama) on Friday, August 28 @ 7p.","/al/football/game/hale-county-moundville-vs-northside-northport/8-28-2026/?c=093ba95f-6279-4495-a27a-ee1c760ef322","https://www.maxpreps.com/al/football/game/hale-county-moundville-vs-northside-northport/8-28-2026/?c=093ba95f-6279-4495-a27a-ee1c760ef322",e94f472
5,"Ranburne vs Wadley",Football,"Alabama",08/28/2026,07:00 PM,"The Wadley varsity football team has an away non-conference game @ Ranburne (Alabama) on Friday, August 28 @ 7p.","/al/football/game/ranburne-vs-wadley/8-28-2026/?c=f6cff7a8-b945-448e-8b3a-392f6717fc52","https://www.maxpreps.com/al/football/game/ranburne-vs-wadley/8-28-2026/?c=f6cff7a8-b945-448e-8b3a-392f6717fc52",0a8c978
6,"Lanett vs Valley",Football,"Alabama",08/28/2026,07:00 PM,"The Valley varsity football team has an away non-conference game @ Lanett (Alabama) on Friday, August 28 @ 7p.","/al/football/game/lanett-vs-valley/8-28-2026/?c=aee01e06-b55d-4fe9-b0dc-1a285e1d1963","https://www.maxpreps.com/al/football/game/lanett-vs-valley/8-28-2026/?c=aee01e06-b55d-4fe9-b0dc-1a285e1d1963",7602634
7,"Phillips Bear Creek vs Vina",Football,"Alabama",08/28/2026,07:00 PM,"The Vina varsity football team has an away non-conference game @ Phillips Bear Creek (Alabama) on Friday, August 28 @ 7p.","/al/football/game/phillips-bear-creek-vs-vina/8-28-2026/?c=508f6270-83cd-4f2b-ab2f-c742c21e8a87","https://www.maxpreps.com/al/football/game/phillips-bear-creek-vs-vina/8-28-2026/?c=508f6270-83cd-4f2b-ab2f-c742c21e8a87",767cf38
8,"Ider vs Kate Duncan Smith Dar Grant",Football,"Alabama",08/28/2026,07:00 PM,"The Kate Duncan Smith Dar Grant varsity football team has an away non-conference game @ Ider (Alabama) on Friday, August 28 @ 7p.","/al/football/game/ider-vs-kate-duncan-smith-dar-grant/8-28-2026/?c=319822bb-9038-4b23-a452-e9e0f28b1482","https://www.maxpreps.com/al/football/game/ider-vs-kate-duncan-smith-dar-grant/8-28-2026/?c=319822bb-9038-4b23-a452-e9e0f28b1482",821b192
9,"Mountain Brook Birmingham vs Ums Wright Prep Mobile",Football,"Alabama",08/28/2026,07:00 PM,"The Ums Wright Prep Mobile varsity football team has an away non-conference game @ Mountain Brook Birmingham (Alabama) on Friday, August 28 @ 7p.","/al/football/game/mountain-brook-birmingham-vs-ums-wright-prep-mobile/8-28-2026/?c=ba02bc0c-8f10-4d06-8af5-39ac7d24afb6","https://www.maxpreps.com/al/football/game/mountain-brook-birmingham-vs-ums-wright-prep-mobile/8-28-2026/?c=ba02bc0c-8f10-4d06-8af5-39ac7d24afb6",abefa33
10,"Blacksher Uriah vs Millry",Football,"Alabama",08/28/2026,07:00 PM,"The Millry varsity football team has an away non-conference game @ Blacksher Uriah (Alabama) on Friday, August 28 @ 7p.","/al/football/game/blacksher-uriah-vs-millry/8-28-2026/?c=b847dad4-a81e-4676-91be-250caa44b527","https://www.maxpreps.com/al/football/game/blacksher-uriah-vs-millry/8-28-2026/?c=b847dad4-a81e-4676-91be-250caa44b527",518dbef
