No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Flagstaff vs Paradise Honors Surprise",Football,"Arizona",09/04/2026,07:00 PM,"The Paradise Honors Surprise varsity football team has an away non-conference game @ Flagstaff (Arizona) on Friday, September 4 @ 7p.","/az/football/game/flagstaff-vs-paradise-honors-surprise/9-4-2026/?c=af562a1a-7682-4173-bf27-cbbcbd68452b","https://www.maxpreps.com/az/football/game/flagstaff-vs-paradise-honors-surprise/9-4-2026/?c=af562a1a-7682-4173-bf27-cbbcbd68452b",2575992
2,"Empire Tucson vs Maricopa",Football,"Arizona",09/04/2026,07:00 PM,"The Maricopa varsity football team has an away non-conference game @ Empire Tucson (Arizona) on Friday, September 4 @ 7p.","/az/football/game/empire-tucson-vs-maricopa/9-4-2026/?c=6ac11212-5837-449a-8134-10e26d605172","https://www.maxpreps.com/az/football/game/empire-tucson-vs-maricopa/9-4-2026/?c=6ac11212-5837-449a-8134-10e26d605172",b1153c8
3,"Paradise Valley Phoenix vs Tolleson",Football,"Arizona",09/04/2026,07:00 PM,"The Tolleson varsity football team has an away non-conference game @ Paradise Valley Phoenix (Arizona) on Friday, September 4 @ 7p.","/az/football/game/paradise-valley-phoenix-vs-tolleson/9-4-2026/?c=ef65d39e-c328-41b5-98d1-d14f4a239100","https://www.maxpreps.com/az/football/game/paradise-valley-phoenix-vs-tolleson/9-4-2026/?c=ef65d39e-c328-41b5-98d1-d14f4a239100",3a2183f
4,"Ironwood Glendale vs Sunrise Mountain Peoria",Football,"Arizona",09/04/2026,07:00 PM,"The Sunrise Mountain Peoria varsity football team has an away non-conference game @ Ironwood Glendale (Arizona) on Friday, September 4 @ 7p.","/az/football/game/ironwood-glendale-vs-sunrise-mountain-peoria/9-4-2026/?c=e3a070d9-fd21-4ded-af66-eb04cdc32476","https://www.maxpreps.com/az/football/game/ironwood-glendale-vs-sunrise-mountain-peoria/9-4-2026/?c=e3a070d9-fd21-4ded-af66-eb04cdc32476",f7f10e0
5,"Ala Vistancia Peoria vs Parker",Football,"Arizona",09/04/2026,07:00 PM,"The Parker varsity football team has an away non-conference game @ Ala Vistancia Peoria (Arizona) on Friday, September 4 @ 7p.","/az/football/game/ala-vistancia-peoria-vs-parker/9-4-2026/?c=ab66a517-3a93-4ff5-8ec3-1547ab404c30","https://www.maxpreps.com/az/football/game/ala-vistancia-peoria-vs-parker/9-4-2026/?c=ab66a517-3a93-4ff5-8ec3-1547ab404c30",e41ad06
6,"Cactus Glendale vs Millennium Goodyear",Football,"Arizona",09/04/2026,07:00 PM,"The Millennium Goodyear varsity football team has an away non-conference game @ Cactus Glendale (Arizona) on Friday, September 4 @ 7p.","/az/football/game/cactus-glendale-vs-millennium-goodyear/9-4-2026/?c=c4136aa0-75c1-4d8f-ac85-67fad3f1e256","https://www.maxpreps.com/az/football/game/cactus-glendale-vs-millennium-goodyear/9-4-2026/?c=c4136aa0-75c1-4d8f-ac85-67fad3f1e256",6d5e492
7,"Imagine Prep Superstition Apache Junction vs Skyline Prep Phoenix",Football,"Arizona",09/04/2026,07:00 PM,"The Skyline Prep Phoenix varsity football team has an away non-conference game @ Imagine Prep Superstition Apache Junction (Arizona) on Friday, September 4 @ 7p.","/az/football/game/imagine-prep-superstition-apache-junction-vs-skyline-prep-phoenix/9-4-2026/?c=440d3f79-c68b-466a-9309-daa886c5ec1a","https://www.maxpreps.com/az/football/game/imagine-prep-superstition-apache-junction-vs-skyline-prep-phoenix/9-4-2026/?c=440d3f79-c68b-466a-9309-daa886c5ec1a",c69bc67
8,"Chino Valley vs Desert Star Fort Mohave",Football,"Arizona",09/04/2026,07:00 PM,"The Desert Star Fort Mohave varsity football team has an away non-conference game @ Chino Valley (Arizona) on Friday, September 4 @ 7p.","/az/football/game/chino-valley-vs-desert-star-fort-mohave/9-4-2026/?c=c9de2b65-f6b2-4050-9122-fcc538e3cdca","https://www.maxpreps.com/az/football/game/chino-valley-vs-desert-star-fort-mohave/9-4-2026/?c=c9de2b65-f6b2-4050-9122-fcc538e3cdca",8c6ade2
9,"Prescott vs Thunderbird Phoenix",Football,"Arizona",09/04/2026,07:00 PM,"The Thunderbird Phoenix varsity football team has an away non-conference game @ Prescott (Arizona) on Friday, September 4 @ 7p.","/az/football/game/prescott-vs-thunderbird-phoenix/9-4-2026/?c=a274075a-a395-4543-8a41-e1217296ce01","https://www.maxpreps.com/az/football/game/prescott-vs-thunderbird-phoenix/9-4-2026/?c=a274075a-a395-4543-8a41-e1217296ce01",014c044
10,"Coolidge vs Fountain Hills",Football,"Arizona",09/04/2026,07:00 PM,"The Fountain Hills varsity football team has an away non-conference game @ Coolidge (Arizona) on Friday, September 4 @ 7p.","/az/football/game/coolidge-vs-fountain-hills/9-4-2026/?c=93557bae-d45e-41d5-a52e-3144766ea420","https://www.maxpreps.com/az/football/game/coolidge-vs-fountain-hills/9-4-2026/?c=93557bae-d45e-41d5-a52e-3144766ea420",cd980f8
11,"Cibola Yuma vs Glendale",Football,"Arizona",09/04/2026,07:00 PM,"The Glendale varsity football team has an away non-conference game @ Cibola Yuma (Arizona) on Friday, September 4 @ 7p.","/az/football/game/cibola-yuma-vs-glendale/9-4-2026/?c=f5359297-9018-4e4f-8fd2-674decaac358","https://www.maxpreps.com/az/football/game/cibola-yuma-vs-glendale/9-4-2026/?c=f5359297-9018-4e4f-8fd2-674decaac358",d5dd723
12,"Cortez Phoenix vs Washington Phoenix",Football,"Arizona",09/04/2026,07:00 PM,"The Washington Phoenix varsity football team has an away non-conference game @ Cortez Phoenix (Arizona) on Friday, September 4 @ 7p.","/az/football/game/cortez-phoenix-vs-washington-phoenix/9-4-2026/?c=ee71ba25-cf04-4e3d-8f8f-39852b6b2c7a","https://www.maxpreps.com/az/football/game/cortez-phoenix-vs-washington-phoenix/9-4-2026/?c=ee71ba25-cf04-4e3d-8f8f-39852b6b2c7a",0ad7f6f
13,"Buena Sierra Vista vs Skyline Mesa",Football,"Arizona",09/04/2026,07:00 PM,"The Skyline Mesa varsity football team has an away non-conference game @ Buena Sierra Vista (Arizona) on Friday, September 4 @ 7p.","/az/football/game/buena-sierra-vista-vs-skyline-mesa/9-4-2026/?c=830e2603-9e76-425c-8f93-45c634de4e5f","https://www.maxpreps.com/az/football/game/buena-sierra-vista-vs-skyline-mesa/9-4-2026/?c=830e2603-9e76-425c-8f93-45c634de4e5f",6e511fa
14,"Catalina Tucson vs Heritage Academy Mesa",Football,"Arizona",09/04/2026,07:00 PM,"The Heritage Academy Mesa varsity football team has an away non-conference game @ Catalina Tucson (Arizona) on Friday, September 4 @ 7p.","/az/football/game/catalina-tucson-vs-heritage-academy-mesa/9-4-2026/?c=7ac7d8c5-432b-4713-996c-ecd88b10b64e","https://www.maxpreps.com/az/football/game/catalina-tucson-vs-heritage-academy-mesa/9-4-2026/?c=7ac7d8c5-432b-4713-996c-ecd88b10b64e",a9c54f9
