No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Bentonville vs Conway",Football,"Arkansas",09/04/2026,07:00 PM,"The Conway varsity football team has an away non-conference game @ Bentonville (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/bentonville-vs-conway/9-4-2026/?c=e7b822df-9ad5-4436-8e87-d12abe4a4443","https://www.maxpreps.com/ar/football/game/bentonville-vs-conway/9-4-2026/?c=e7b822df-9ad5-4436-8e87-d12abe4a4443",d4f025c
2,"Little Rock Christian Academy vs Shiloh Christian Springdale",Football,"Arkansas",09/04/2026,07:00 PM,"The Shiloh Christian Springdale varsity football team has an away non-conference game @ Little Rock Christian Academy (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/little-rock-christian-academy-vs-shiloh-christian-springdale/9-4-2026/?c=c96676b3-b0fd-4d18-8282-d3b5310a02be","https://www.maxpreps.com/ar/football/game/little-rock-christian-academy-vs-shiloh-christian-springdale/9-4-2026/?c=c96676b3-b0fd-4d18-8282-d3b5310a02be",6491e20
3,"Hope vs Mayflower",Football,"Arkansas",09/04/2026,07:00 PM,"The Mayflower varsity football team has an away non-conference game @ Hope (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/hope-vs-mayflower/9-4-2026/?c=4160af62-1fa1-464f-a79a-0caea7ea5a10","https://www.maxpreps.com/ar/football/game/hope-vs-mayflower/9-4-2026/?c=4160af62-1fa1-464f-a79a-0caea7ea5a10",ee90283
4,"Carlisle vs Clarendon",Football,"Arkansas",09/04/2026,07:00 PM,"The Clarendon varsity football team has an away non-conference game @ Carlisle (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/carlisle-vs-clarendon/9-4-2026/?c=daf1933b-9dea-46b2-a7f3-c1321c555ea9","https://www.maxpreps.com/ar/football/game/carlisle-vs-clarendon/9-4-2026/?c=daf1933b-9dea-46b2-a7f3-c1321c555ea9",29520f2
5,"Forrest City vs Wynne",Football,"Arkansas",09/04/2026,07:00 PM,"The Wynne varsity football team has an away non-conference game @ Forrest City (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/forrest-city-vs-wynne/9-4-2026/?c=aa0cf2c2-c54b-4f9e-9046-0b8504d21c47","https://www.maxpreps.com/ar/football/game/forrest-city-vs-wynne/9-4-2026/?c=aa0cf2c2-c54b-4f9e-9046-0b8504d21c47",19e277b
6,"Maumelle vs Sylvan Hills Sherwood",Football,"Arkansas",09/04/2026,07:00 PM,"The Sylvan Hills Sherwood varsity football team has an away non-conference game @ Maumelle (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/maumelle-vs-sylvan-hills-sherwood/9-4-2026/?c=5b2a00e3-fe82-400d-95fa-448a4c59643b","https://www.maxpreps.com/ar/football/game/maumelle-vs-sylvan-hills-sherwood/9-4-2026/?c=5b2a00e3-fe82-400d-95fa-448a4c59643b",391b289
7,"Charleston vs Pottsville",Football,"Arkansas",09/04/2026,07:00 PM,"The Pottsville varsity football team has an away non-conference game @ Charleston (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/charleston-vs-pottsville/9-4-2026/?c=3408d0d5-648c-4452-9ad8-347220a1e4c8","https://www.maxpreps.com/ar/football/game/charleston-vs-pottsville/9-4-2026/?c=3408d0d5-648c-4452-9ad8-347220a1e4c8",f9b4b3e
8,"Hackett vs Lavaca",Football,"Arkansas",09/04/2026,07:00 PM,"The Lavaca varsity football team has an away non-conference game @ Hackett (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/hackett-vs-lavaca/9-4-2026/?c=822b1a8c-b3dc-445e-9795-e29b7cf482a0","https://www.maxpreps.com/ar/football/game/hackett-vs-lavaca/9-4-2026/?c=822b1a8c-b3dc-445e-9795-e29b7cf482a0",722670d
9,"Gurdon vs Hampton",Football,"Arkansas",09/04/2026,07:00 PM,"The Hampton varsity football team has an away non-conference game @ Gurdon (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/gurdon-vs-hampton/9-4-2026/?c=0680413b-7652-4627-95b2-04cfa5a5fd8e","https://www.maxpreps.com/ar/football/game/gurdon-vs-hampton/9-4-2026/?c=0680413b-7652-4627-95b2-04cfa5a5fd8e",3de401c
10,"Conway Christian vs Hector",Football,"Arkansas",09/04/2026,07:00 PM,"The Hector varsity football team has an away non-conference game @ Conway Christian (Arkansas) on Friday, September 4 @ 7p.","/ar/football/game/conway-christian-vs-hector/9-4-2026/?c=4665a15c-f374-428f-bc2c-bb187823754d","https://www.maxpreps.com/ar/football/game/conway-christian-vs-hector/9-4-2026/?c=4665a15c-f374-428f-bc2c-bb187823754d",085bdf8
