No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Oak Hills Hesperia vs Rancho Cucamonga",Football,"California",09/03/2026,07:00 PM,"The Rancho Cucamonga varsity football team has an away non-conference game @ Oak Hills Hesperia (California) on Thursday, September 3 @ 7p.","/ca/football/game/oak-hills-hesperia-vs-rancho-cucamonga/9-3-2026/?c=56b8273f-0141-427a-b979-422d024919e9","https://www.maxpreps.com/ca/football/game/oak-hills-hesperia-vs-rancho-cucamonga/9-3-2026/?c=56b8273f-0141-427a-b979-422d024919e9",d47cb7f
2,"Fulton Van Nuys vs Panorama Panorama City",Football,"California",09/03/2026,07:00 PM,"The Panorama Panorama City varsity football team has an away non-conference game @ Fulton Van Nuys (California) on Thursday, September 3 @ 7p.","/ca/football/game/fulton-van-nuys-vs-panorama-panorama-city/9-3-2026/?c=0870fc5a-32ef-4922-8669-2e649a049393","https://www.maxpreps.com/ca/football/game/fulton-van-nuys-vs-panorama-panorama-city/9-3-2026/?c=0870fc5a-32ef-4922-8669-2e649a049393",3e772aa
3,"North Monterey County Castroville vs Rancho San Juan Salinas",Football,"California",09/03/2026,07:00 PM,"The Rancho San Juan Salinas varsity football team has an away non-conference game @ North Monterey County Castroville (California) on Thursday, September 3 @ 7p.","/ca/football/game/north-monterey-county-castroville-vs-rancho-san-juan-salinas/9-3-2026/?c=6ac873d4-82b2-4c50-8ae0-825bbbe55006","https://www.maxpreps.com/ca/football/game/north-monterey-county-castroville-vs-rancho-san-juan-salinas/9-3-2026/?c=6ac873d4-82b2-4c50-8ae0-825bbbe55006",d98d200
4,"Capuchino San Bruno vs Jefferson Daly City",Football,"California",09/03/2026,07:00 PM,"The Jefferson Daly City varsity football team has an away non-conference game @ Capuchino San Bruno (California) on Thursday, September 3 @ 7p.","/ca/football/game/capuchino-san-bruno-vs-jefferson-daly-city/9-3-2026/?c=d476b47b-fad1-4aa5-82c0-0a87da3cb74b","https://www.maxpreps.com/ca/football/game/capuchino-san-bruno-vs-jefferson-daly-city/9-3-2026/?c=d476b47b-fad1-4aa5-82c0-0a87da3cb74b",cda3a66
5,"Hill San Jose vs Mt Eden Hayward",Football,"California",09/03/2026,07:00 PM,"The Mt Eden Hayward varsity football team has an away non-conference game @ Hill San Jose (California) on Thursday, September 3 @ 7p.","/ca/football/game/hill-san-jose-vs-mt-eden-hayward/9-3-2026/?c=3f87df09-fb6e-47c1-ba91-c68fc659139c","https://www.maxpreps.com/ca/football/game/hill-san-jose-vs-mt-eden-hayward/9-3-2026/?c=3f87df09-fb6e-47c1-ba91-c68fc659139c",3398b28
6,"El Camino South San Francisco vs Prospect Saratoga",Football,"California",09/03/2026,07:00 PM,"The Prospect Saratoga varsity football team has an away non-conference game @ El Camino South San Francisco (California) on Thursday, September 3 @ 7p.","/ca/football/game/el-camino-south-san-francisco-vs-prospect-saratoga/9-3-2026/?c=dc426f80-44cd-4468-be3c-c16cc605e83b","https://www.maxpreps.com/ca/football/game/el-camino-south-san-francisco-vs-prospect-saratoga/9-3-2026/?c=dc426f80-44cd-4468-be3c-c16cc605e83b",bebe91a
7,"Del Mar San Jose vs Santa Clara",Football,"California",09/03/2026,07:00 PM,"The Santa Clara varsity football team has an away non-conference game @ Del Mar San Jose (California) on Thursday, September 3 @ 7p.","/ca/football/game/del-mar-san-jose-vs-santa-clara/9-3-2026/?c=602af07b-d304-41e6-ae04-b9d9ec6552b4","https://www.maxpreps.com/ca/football/game/del-mar-san-jose-vs-santa-clara/9-3-2026/?c=602af07b-d304-41e6-ae04-b9d9ec6552b4",00e50cd
8,"Mountain View vs San Lorenzo Valley Felton",Football,"California",09/03/2026,07:00 PM,"The San Lorenzo Valley Felton varsity football team has an away non-conference game @ Mountain View (California) on Thursday, September 3 @ 7p.","/ca/football/game/mountain-view-vs-san-lorenzo-valley-felton/9-3-2026/?c=50de47db-64bf-4ad5-8946-c0cb3eb66fcd","https://www.maxpreps.com/ca/football/game/mountain-view-vs-san-lorenzo-valley-felton/9-3-2026/?c=50de47db-64bf-4ad5-8946-c0cb3eb66fcd",3b0221a
9,"Leigh San Jose vs Terra Nova Pacifica",Football,"California",09/03/2026,07:00 PM,"The Terra Nova Pacifica varsity football team has an away non-conference game @ Leigh San Jose (California) on Thursday, September 3 @ 7p.","/ca/football/game/leigh-san-jose-vs-terra-nova-pacifica/9-3-2026/?c=f0e4287d-a302-4093-9beb-3eb8ff8ca6cc","https://www.maxpreps.com/ca/football/game/leigh-san-jose-vs-terra-nova-pacifica/9-3-2026/?c=f0e4287d-a302-4093-9beb-3eb8ff8ca6cc",8c1eba4
10,"Gilroy vs Marina",Football,"California",09/03/2026,07:00 PM,"The Marina varsity football team has an away non-conference game @ Gilroy (California) on Thursday, September 3 @ 7p.","/ca/football/game/gilroy-vs-marina/9-3-2026/?c=e3dd9160-1728-4868-aea5-658c68fddc91","https://www.maxpreps.com/ca/football/game/gilroy-vs-marina/9-3-2026/?c=e3dd9160-1728-4868-aea5-658c68fddc91",77e09be
11,"Oakland Tech vs Willow Glen San Jose",Football,"California",09/03/2026,07:00 PM,"The Willow Glen San Jose varsity football team has an away non-conference game @ Oakland Tech (California) on Thursday, September 3 @ 7p.","/ca/football/game/oakland-tech-vs-willow-glen-san-jose/9-3-2026/?c=688e8f78-3e28-4730-9d8c-b1b7d00a9167","https://www.maxpreps.com/ca/football/game/oakland-tech-vs-willow-glen-san-jose/9-3-2026/?c=688e8f78-3e28-4730-9d8c-b1b7d00a9167",db93e23
12,"Alisal Salinas vs Watsonville",Football,"California",09/03/2026,07:00 PM,"The Watsonville varsity football team has an away non-conference game @ Alisal Salinas (California) on Thursday, September 3 @ 7p.","/ca/football/game/alisal-salinas-vs-watsonville/9-3-2026/?c=6b50821c-2852-4e35-bcd7-71b9614bbf54","https://www.maxpreps.com/ca/football/game/alisal-salinas-vs-watsonville/9-3-2026/?c=6b50821c-2852-4e35-bcd7-71b9614bbf54",eae2842
