No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Fort Collins vs Windsor",Football,"Colorado",08/29/2026,07:00 PM,"The Windsor varsity football team has an away non-conference game @ Fort Collins (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/fort-collins-vs-windsor/8-29-2026/?c=82c21195-f5d0-4ff7-9dce-e1282fba46fb","https://www.maxpreps.com/co/football/game/fort-collins-vs-windsor/8-29-2026/?c=82c21195-f5d0-4ff7-9dce-e1282fba46fb",9d505e7
2,"Central Warriors Grand Junction vs Montrose",Football,"Colorado",08/29/2026,07:00 PM,"The Montrose varsity football team has an away non-conference game @ Central Warriors Grand Junction (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/central-warriors-grand-junction-vs-montrose/8-29-2026/?c=a8c083ba-2944-41bf-91eb-554c0b71a9c5","https://www.maxpreps.com/co/football/game/central-warriors-grand-junction-vs-montrose/8-29-2026/?c=a8c083ba-2944-41bf-91eb-554c0b71a9c5",0f6cc2c
3,"Mountain View Loveland vs Poudre Fort Collins",Football,"Colorado",08/29/2026,07:00 PM,"The Poudre Fort Collins varsity football team has an away non-conference game @ Mountain View Loveland (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/mountain-view-loveland-vs-poudre-fort-collins/8-29-2026/?c=9be8401f-7b29-4d98-b330-72b628933a09","https://www.maxpreps.com/co/football/game/mountain-view-loveland-vs-poudre-fort-collins/8-29-2026/?c=9be8401f-7b29-4d98-b330-72b628933a09",da44e68
4,"Montbello Denver vs Northfield Denver",Football,"Colorado",08/29/2026,07:00 PM,"The Northfield Denver varsity football team has an away non-conference game @ Montbello Denver (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/montbello-denver-vs-northfield-denver/8-29-2026/?c=36643332-11eb-4212-86f0-555048f4f50e","https://www.maxpreps.com/co/football/game/montbello-denver-vs-northfield-denver/8-29-2026/?c=36643332-11eb-4212-86f0-555048f4f50e",f5f42c0
5,"Fruita Monument vs Vista Peak Prep Aurora",Football,"Colorado",08/29/2026,07:00 PM,"The Vista Peak Prep Aurora varsity football team has an away non-conference game @ Fruita Monument (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/fruita-monument-vs-vista-peak-prep-aurora/8-29-2026/?c=059c0a19-5a72-40db-9c0f-8f5a8c9cd9da","https://www.maxpreps.com/co/football/game/fruita-monument-vs-vista-peak-prep-aurora/8-29-2026/?c=059c0a19-5a72-40db-9c0f-8f5a8c9cd9da",1b343a3
6,"North Park Walden vs Prairie New Raymer",Football,"Colorado",08/29/2026,07:00 PM,"The Prairie New Raymer varsity football team has an away non-conference game @ North Park Walden (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/north-park-walden-vs-prairie-new-raymer/8-29-2026/?c=da59a85a-b978-4de4-b0b3-a90ae162980b","https://www.maxpreps.com/co/football/game/north-park-walden-vs-prairie-new-raymer/8-29-2026/?c=da59a85a-b978-4de4-b0b3-a90ae162980b",e052d9f
7,"Ponderosa Jaguars Parker vs Rock Canyon Highlands Ranch",Football,"Colorado",08/29/2026,07:00 PM,"The Rock Canyon Highlands Ranch varsity football team has an away non-conference game @ Ponderosa Jaguars Parker (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/ponderosa-jaguars-parker-vs-rock-canyon-highlands-ranch/8-29-2026/?c=10471623-3a07-47a0-9fb9-abf8fc2f05c5","https://www.maxpreps.com/co/football/game/ponderosa-jaguars-parker-vs-rock-canyon-highlands-ranch/8-29-2026/?c=10471623-3a07-47a0-9fb9-abf8fc2f05c5",967558b
8,"Antonito vs Cheraw",Football,"Colorado",08/29/2026,07:00 PM,"The Cheraw varsity football team has an away non-conference game @ Antonito (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/antonito-vs-cheraw/8-29-2026/?c=59cf51f7-48df-4bd1-9dc6-72d1d3381085","https://www.maxpreps.com/co/football/game/antonito-vs-cheraw/8-29-2026/?c=59cf51f7-48df-4bd1-9dc6-72d1d3381085",4059806
9,"Branson Kim vs Mountain Valley Wolves Saguache",Football,"Colorado",08/29/2026,07:00 PM,"The Mountain Valley Wolves Saguache varsity football team has an away non-conference game @ Branson Kim (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/branson-kim-vs-mountain-valley-wolves-saguache/8-29-2026/?c=5d3bccc5-6166-4864-8dc8-adaa9b21bcf1","https://www.maxpreps.com/co/football/game/branson-kim-vs-mountain-valley-wolves-saguache/8-29-2026/?c=5d3bccc5-6166-4864-8dc8-adaa9b21bcf1",6d6faab
10,"Dayspring Christian Academy Greeley vs Flatirons Academy Bulldogs Westminster",Football,"Colorado",08/29/2026,07:00 PM,"The Flatirons Academy Bulldogs Westminster varsity football team has an away non-conference game @ Dayspring Christian Academy Greeley (Colorado) on Thursday, August 27 @ 7p.","/co/football/game/dayspring-christian-academy-greeley-vs-flatirons-academy-bulldogs-westminster/8-29-2026/?c=3c670d96-e7c5-4bd8-a39e-e02d2f281cd3","https://www.maxpreps.com/co/football/game/dayspring-christian-academy-greeley-vs-flatirons-academy-bulldogs-westminster/8-29-2026/?c=3c670d96-e7c5-4bd8-a39e-e02d2f281cd3",4166650
