No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"New Canaan vs Trumbull",Football,"Connecticut",09/10/2026,07:00 PM,"The Trumbull varsity football team has an away non-conference game @ New Canaan (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/new-canaan-vs-trumbull/9-10-2026/?c=e31da5f4-1533-4e7f-a0ed-f5c3d68b87cc","https://www.maxpreps.com/ct/football/game/new-canaan-vs-trumbull/9-10-2026/?c=e31da5f4-1533-4e7f-a0ed-f5c3d68b87cc",fae6039
2,"Bridgeport Central vs Greenwich",Football,"Connecticut",09/10/2026,07:00 PM,"The Greenwich varsity football team has an away non-conference game @ Bridgeport Central (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/bridgeport-central-vs-greenwich/9-10-2026/?c=98c2ec26-ca57-4b32-bcc9-3b2cef9ee8fb","https://www.maxpreps.com/ct/football/game/bridgeport-central-vs-greenwich/9-10-2026/?c=98c2ec26-ca57-4b32-bcc9-3b2cef9ee8fb",96799cf
3,"Darien vs St Joseph Trumbull",Football,"Connecticut",09/10/2026,07:00 PM,"The St Joseph Trumbull varsity football team has an away non-conference game @ Darien (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/darien-vs-st-joseph-trumbull/9-10-2026/?c=240f9b94-c91e-47ce-9e35-a62d3141f9c1","https://www.maxpreps.com/ct/football/game/darien-vs-st-joseph-trumbull/9-10-2026/?c=240f9b94-c91e-47ce-9e35-a62d3141f9c1",e42d032
4,"Wilby Waterbury vs Wolcott",Football,"Connecticut",09/10/2026,07:00 PM,"The Wolcott varsity football team has an away non-conference game @ Wilby Waterbury (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/wilby-waterbury-vs-wolcott/9-10-2026/?c=66575ec7-c964-466f-b029-0e78327cfea8","https://www.maxpreps.com/ct/football/game/wilby-waterbury-vs-wolcott/9-10-2026/?c=66575ec7-c964-466f-b029-0e78327cfea8",4f7a194
5,"Capital Prep Harbor Bridgeport vs King Stamford",Football,"Connecticut",09/10/2026,07:00 PM,"The King Stamford varsity football team has an away non-conference game @ Capital Prep Harbor Bridgeport (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/capital-prep-harbor-bridgeport-vs-king-stamford/9-10-2026/?c=2e770e96-bb38-404c-9922-8f0aedbce741","https://www.maxpreps.com/ct/football/game/capital-prep-harbor-bridgeport-vs-king-stamford/9-10-2026/?c=2e770e96-bb38-404c-9922-8f0aedbce741",0ca961b
6,"Conard West Hartford vs South Windsor",Football,"Connecticut",09/10/2026,07:00 PM,"The South Windsor varsity football team has an away non-conference game @ Conard West Hartford (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/conard-west-hartford-vs-south-windsor/9-10-2026/?c=6a65032e-f393-4bf2-ac94-b01d38739551","https://www.maxpreps.com/ct/football/game/conard-west-hartford-vs-south-windsor/9-10-2026/?c=6a65032e-f393-4bf2-ac94-b01d38739551",2d7c900
7,"Danbury vs Stamford",Football,"Connecticut",09/10/2026,07:00 PM,"The Stamford varsity football team has an away non-conference game @ Danbury (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/danbury-vs-stamford/9-10-2026/?c=2363a8f8-5e68-42f3-9dc9-e4df0607eca2","https://www.maxpreps.com/ct/football/game/danbury-vs-stamford/9-10-2026/?c=2363a8f8-5e68-42f3-9dc9-e4df0607eca2",a4e367e
8,"Ridgefield vs Warde Fairfield",Football,"Connecticut",09/10/2026,07:00 PM,"The Warde Fairfield varsity football team has an away non-conference game @ Ridgefield (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/ridgefield-vs-warde-fairfield/9-10-2026/?c=d6bc2cb9-03cd-46f6-953a-3bdd1fe028d4","https://www.maxpreps.com/ct/football/game/ridgefield-vs-warde-fairfield/9-10-2026/?c=d6bc2cb9-03cd-46f6-953a-3bdd1fe028d4",5d11329
9,"Joel Barlow Redding vs New London",Football,"Connecticut",09/10/2026,07:00 PM,"The New London varsity football team has an away non-conference game @ Joel Barlow Redding (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/joel-barlow-redding-vs-new-london/9-10-2026/?c=8e532028-bb1d-4fcb-ac74-ac25b5081ebc","https://www.maxpreps.com/ct/football/game/joel-barlow-redding-vs-new-london/9-10-2026/?c=8e532028-bb1d-4fcb-ac74-ac25b5081ebc",f01c38d
10,"Morgan Old Saybrook Westbrook Clinton vs North Branford",Football,"Connecticut",09/10/2026,07:00 PM,"The North Branford varsity football team has an away non-conference game @ Morgan Old Saybrook Westbrook Clinton (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/morgan-old-saybrook-westbrook-clinton-vs-north-branford/9-10-2026/?c=68b4e721-0a58-46d1-8388-360a918abab7","https://www.maxpreps.com/ct/football/game/morgan-old-saybrook-westbrook-clinton-vs-north-branford/9-10-2026/?c=68b4e721-0a58-46d1-8388-360a918abab7",ebac44f
11,"Avon vs Northwest Catholic Lions West Hartford",Football,"Connecticut",09/10/2026,07:00 PM,"The Northwest Catholic Lions West Hartford varsity football team has an away non-conference game @ Avon (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/avon-vs-northwest-catholic-lions-west-hartford/9-10-2026/?c=a4eeac7a-7ce9-42a7-afde-ebcb3b284a15","https://www.maxpreps.com/ct/football/game/avon-vs-northwest-catholic-lions-west-hartford/9-10-2026/?c=a4eeac7a-7ce9-42a7-afde-ebcb3b284a15",300d08b
12,"Ansonia vs Seymour",Football,"Connecticut",09/10/2026,07:00 PM,"The Seymour varsity football team has an away non-conference game @ Ansonia (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/ansonia-vs-seymour/9-10-2026/?c=b67639d2-d92e-42d5-aed6-63000f6e6b18","https://www.maxpreps.com/ct/football/game/ansonia-vs-seymour/9-10-2026/?c=b67639d2-d92e-42d5-aed6-63000f6e6b18",971e25b
13,"Middletown vs Simsbury",Football,"Connecticut",09/10/2026,07:00 PM,"The Simsbury varsity football team has an away non-conference game @ Middletown (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/middletown-vs-simsbury/9-10-2026/?c=9950e20d-bcbe-443b-a4f3-a52884963160","https://www.maxpreps.com/ct/football/game/middletown-vs-simsbury/9-10-2026/?c=9950e20d-bcbe-443b-a4f3-a52884963160",2b7ab47
14,"Montville Oakdale vs Weston",Football,"Connecticut",09/10/2026,07:00 PM,"The Weston varsity football team has an away non-conference game @ Montville Oakdale (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/montville-oakdale-vs-weston/9-10-2026/?c=54eeb219-7588-4fd9-b8ba-2fe00916e7d1","https://www.maxpreps.com/ct/football/game/montville-oakdale-vs-weston/9-10-2026/?c=54eeb219-7588-4fd9-b8ba-2fe00916e7d1",af8d611
15,"Bullard Havens Bridgeport vs Prince Rvt Hartford",Football,"Connecticut",09/10/2026,07:00 PM,"The Prince Rvt Hartford varsity football team has an away non-conference game @ Bullard Havens Bridgeport (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/bullard-havens-bridgeport-vs-prince-rvt-hartford/9-10-2026/?c=0a9a605d-d7c8-4a81-82df-aab380666533","https://www.maxpreps.com/ct/football/game/bullard-havens-bridgeport-vs-prince-rvt-hartford/9-10-2026/?c=0a9a605d-d7c8-4a81-82df-aab380666533",c7c68f6
16,"Hamden vs Law Milford",Football,"Connecticut",09/10/2026,07:00 PM,"The Law Milford varsity football team has an away non-conference game @ Hamden (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/hamden-vs-law-milford/9-10-2026/?c=68267652-adf8-437e-8a7b-8228c2d19481","https://www.maxpreps.com/ct/football/game/hamden-vs-law-milford/9-10-2026/?c=68267652-adf8-437e-8a7b-8228c2d19481",b185da3
17,"Farmington vs Wethersfield",Football,"Connecticut",09/10/2026,07:00 PM,"The Wethersfield varsity football team has an away non-conference game @ Farmington (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/farmington-vs-wethersfield/9-10-2026/?c=c4166aef-ffca-4ee2-8931-511f25ea8158","https://www.maxpreps.com/ct/football/game/farmington-vs-wethersfield/9-10-2026/?c=c4166aef-ffca-4ee2-8931-511f25ea8158",be01d3d
18,"Griswold Wheeler vs Waterford",Football,"Connecticut",09/10/2026,07:00 PM,"The Waterford varsity football team has an away non-conference game @ Griswold Wheeler (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/griswold-wheeler-vs-waterford/9-10-2026/?c=0b8ed40c-819b-424c-b0a2-ff0f5dc522fa","https://www.maxpreps.com/ct/football/game/griswold-wheeler-vs-waterford/9-10-2026/?c=0b8ed40c-819b-424c-b0a2-ff0f5dc522fa",2b4a596
19,"Edwin O Smith Storrs vs Newington",Football,"Connecticut",09/10/2026,07:00 PM,"The Newington varsity football team has an away non-conference game @ Edwin O Smith Storrs (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/edwin-o-smith-storrs-vs-newington/9-10-2026/?c=f0252fb9-14e9-4731-9a13-35745e825c88","https://www.maxpreps.com/ct/football/game/edwin-o-smith-storrs-vs-newington/9-10-2026/?c=f0252fb9-14e9-4731-9a13-35745e825c88",9014026
20,"Fitch Groton vs Stonington",Football,"Connecticut",09/10/2026,07:00 PM,"The Stonington varsity football team has an away non-conference game @ Fitch Groton (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/fitch-groton-vs-stonington/9-10-2026/?c=f05c8b96-68d2-4e24-8782-3c957ad6996f","https://www.maxpreps.com/ct/football/game/fitch-groton-vs-stonington/9-10-2026/?c=f05c8b96-68d2-4e24-8782-3c957ad6996f",c4bd69b
21,"Norwalk vs Wilton",Football,"Connecticut",09/10/2026,07:00 PM,"The Wilton varsity football team has an away non-conference game @ Norwalk (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/norwalk-vs-wilton/9-10-2026/?c=3099e241-62aa-4ad7-9421-cfa12b311c7a","https://www.maxpreps.com/ct/football/game/norwalk-vs-wilton/9-10-2026/?c=3099e241-62aa-4ad7-9421-cfa12b311c7a",d77574b
22,"Cromwell Portland vs Haddam Killingworth Higganum",Football,"Connecticut",09/10/2026,07:00 PM,"The Haddam Killingworth Higganum varsity football team has an away non-conference game @ Cromwell Portland (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/cromwell-portland-vs-haddam-killingworth-higganum/9-10-2026/?c=89ea8d17-0bfb-4427-825c-835480a7c1b7","https://www.maxpreps.com/ct/football/game/cromwell-portland-vs-haddam-killingworth-higganum/9-10-2026/?c=89ea8d17-0bfb-4427-825c-835480a7c1b7",9a46e97
23,"Killingly vs Sheehan Wallingford",Football,"Connecticut",09/10/2026,07:00 PM,"The Sheehan Wallingford varsity football team has an away non-conference game @ Killingly (Connecticut) on Thursday, September 10 @ 7p.","/ct/football/game/killingly-vs-sheehan-wallingford/9-10-2026/?c=8e9a6669-14a8-40c9-96b0-29508f187951","https://www.maxpreps.com/ct/football/game/killingly-vs-sheehan-wallingford/9-10-2026/?c=8e9a6669-14a8-40c9-96b0-29508f187951",2c2e156
