No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Appoquinimink West Middletown vs Archmere Academy Claymont",Football,"Delaware",09/03/2026,07:00 PM,"The Archmere Academy Claymont varsity football team has an away non-conference game @ Appoquinimink West Middletown (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/appoquinimink-west-middletown-vs-archmere-academy-claymont/9-3-2026/?c=f2ec660d-4be8-445f-8af4-00f307158c00","https://www.maxpreps.com/de/football/game/appoquinimink-west-middletown-vs-archmere-academy-claymont/9-3-2026/?c=f2ec660d-4be8-445f-8af4-00f307158c00",bdb0436
2,"Hodgson Vo Tech Newark vs Howard Wilmington",Football,"Delaware",09/03/2026,07:00 PM,"The Howard Wilmington varsity football team has an away non-conference game @ Hodgson Vo Tech Newark (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/hodgson-vo-tech-newark-vs-howard-wilmington/9-3-2026/?c=ff81e6d4-92fd-4bf9-bc29-ee5b3453e338","https://www.maxpreps.com/de/football/game/hodgson-vo-tech-newark-vs-howard-wilmington/9-3-2026/?c=ff81e6d4-92fd-4bf9-bc29-ee5b3453e338",3109dd2
3,"Concord Wilmington vs Wilmington Charter",Football,"Delaware",09/03/2026,07:00 PM,"The Wilmington Charter varsity football team has an away non-conference game @ Concord Wilmington (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/concord-wilmington-vs-wilmington-charter/9-3-2026/?c=e184b4eb-8a4e-4123-ab68-08e3263602cf","https://www.maxpreps.com/de/football/game/concord-wilmington-vs-wilmington-charter/9-3-2026/?c=e184b4eb-8a4e-4123-ab68-08e3263602cf",d14d179
4,"Newark vs Wilmington Friends",Football,"Delaware",09/03/2026,07:00 PM,"The Wilmington Friends varsity football team has an away non-conference game @ Newark (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/newark-vs-wilmington-friends/9-3-2026/?c=8a37c078-e1fc-46e3-b7d2-5ab22b5addb5","https://www.maxpreps.com/de/football/game/newark-vs-wilmington-friends/9-3-2026/?c=8a37c078-e1fc-46e3-b7d2-5ab22b5addb5",eac9fef
5,"St Georges Tech Middletown vs William Penn New Castle",Football,"Delaware",09/03/2026,07:00 PM,"The William Penn New Castle varsity football team has an away non-conference game @ St Georges Tech Middletown (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/st-georges-tech-middletown-vs-william-penn-new-castle/9-3-2026/?c=70e10556-667e-406b-9e65-5821c433399d","https://www.maxpreps.com/de/football/game/st-georges-tech-middletown-vs-william-penn-new-castle/9-3-2026/?c=70e10556-667e-406b-9e65-5821c433399d",aa9754d
6,"Christiana Newark vs Newark Charter School",Football,"Delaware",09/03/2026,07:00 PM,"The Newark Charter School varsity football team has an away non-conference game @ Christiana Newark (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/christiana-newark-vs-newark-charter-school/9-3-2026/?c=838a7dc2-3563-4380-8af7-fc3e08570e6f","https://www.maxpreps.com/de/football/game/christiana-newark-vs-newark-charter-school/9-3-2026/?c=838a7dc2-3563-4380-8af7-fc3e08570e6f",f9ae423
7,"First State Military Academy Clayton vs St Elizabeth Wilmington",Football,"Delaware",09/03/2026,07:00 PM,"The St Elizabeth Wilmington varsity football team has an away non-conference game @ First State Military Academy Clayton (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/first-state-military-academy-clayton-vs-st-elizabeth-wilmington/9-3-2026/?c=98d1458c-f177-4f9a-9c16-bf8859312e07","https://www.maxpreps.com/de/football/game/first-state-military-academy-clayton-vs-st-elizabeth-wilmington/9-3-2026/?c=98d1458c-f177-4f9a-9c16-bf8859312e07",dfa916e
8,"Delcastle Technical Wilmington vs St Andrews Middletown",Football,"Delaware",09/03/2026,07:00 PM,"The St Andrews Middletown varsity football team has an away non-conference game @ Delcastle Technical Wilmington (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/delcastle-technical-wilmington-vs-st-andrews-middletown/9-3-2026/?c=90c77aa6-9b5a-4f4c-a180-c5eba1e7488f","https://www.maxpreps.com/de/football/game/delcastle-technical-wilmington-vs-st-andrews-middletown/9-3-2026/?c=90c77aa6-9b5a-4f4c-a180-c5eba1e7488f",9542669
9,"Brandywine Wilmington vs Mount Pleasant Wilmington",Football,"Delaware",09/03/2026,07:00 PM,"The Mount Pleasant Wilmington varsity football team has an away non-conference game @ Brandywine Wilmington (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/brandywine-wilmington-vs-mount-pleasant-wilmington/9-3-2026/?c=252ed071-6ff0-475e-a373-1589480b61f3","https://www.maxpreps.com/de/football/game/brandywine-wilmington-vs-mount-pleasant-wilmington/9-3-2026/?c=252ed071-6ff0-475e-a373-1589480b61f3",e4a4e1e
10,"Dupont Alexis I Du Pont Wilmington vs Seaford",Football,"Delaware",09/03/2026,07:00 PM,"The Seaford varsity football team has an away non-conference game @ Dupont Alexis I Du Pont Wilmington (Delaware) on Thursday, September 3 @ 7p.","/de/football/game/dupont-alexis-i-du-pont-wilmington-vs-seaford/9-3-2026/?c=53816dc9-2fdc-47e1-a2cd-ccca9ffeb0ab","https://www.maxpreps.com/de/football/game/dupont-alexis-i-du-pont-wilmington-vs-seaford/9-3-2026/?c=53816dc9-2fdc-47e1-a2cd-ccca9ffeb0ab",cc679cd
