No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"North Clayton College Park vs Sandy Creek Tyrone",Football,"Georgia",09/04/2026,07:00 PM,"The Sandy Creek Tyrone varsity football team has an away non-conference game @ North Clayton College Park (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/north-clayton-college-park-vs-sandy-creek-tyrone/9-4-2026/?c=73d6854b-b77a-489a-b980-c25a80c4268d","https://www.maxpreps.com/ga/football/game/north-clayton-college-park-vs-sandy-creek-tyrone/9-4-2026/?c=73d6854b-b77a-489a-b980-c25a80c4268d",535b226
2,"North Gwinnett Suwanee vs Walton Marietta",Football,"Georgia",09/04/2026,07:00 PM,"The Walton Marietta varsity football team has an away non-conference game @ North Gwinnett Suwanee (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/north-gwinnett-suwanee-vs-walton-marietta/9-4-2026/?c=a9d0b385-e646-4607-b556-46858ae62ec4","https://www.maxpreps.com/ga/football/game/north-gwinnett-suwanee-vs-walton-marietta/9-4-2026/?c=a9d0b385-e646-4607-b556-46858ae62ec4",983f156
3,"Mt Bethel Christian Academy Marietta vs Utopian Academy For The Arts Ellenwood",Football,"Georgia",09/04/2026,07:00 PM,"The Utopian Academy For The Arts Ellenwood varsity football team has an away non-conference game @ Mt Bethel Christian Academy Marietta (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/mt-bethel-christian-academy-marietta-vs-utopian-academy-for-the-arts-ellenwood/9-4-2026/?c=3ac304ae-4c3c-4488-8bae-fe750b2c5f94","https://www.maxpreps.com/ga/football/game/mt-bethel-christian-academy-marietta-vs-utopian-academy-for-the-arts-ellenwood/9-4-2026/?c=3ac304ae-4c3c-4488-8bae-fe750b2c5f94",55d912a
4,"Holy Innocents Episcopal Atlanta vs Mount Vernon Atlanta",Football,"Georgia",09/04/2026,07:00 PM,"The Mount Vernon Atlanta varsity football team has an away non-conference game @ Holy Innocents Episcopal Atlanta (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/holy-innocents-episcopal-atlanta-vs-mount-vernon-atlanta/9-4-2026/?c=43989181-3e0c-4616-8b3e-df05762f63ed","https://www.maxpreps.com/ga/football/game/holy-innocents-episcopal-atlanta-vs-mount-vernon-atlanta/9-4-2026/?c=43989181-3e0c-4616-8b3e-df05762f63ed",8428a43
5,"Holy Spirit Prep Atlanta vs Praise Academy Powder Springs",Football,"Georgia",09/04/2026,07:00 PM,"The Praise Academy Powder Springs varsity football team has an away non-conference game @ Holy Spirit Prep Atlanta (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/holy-spirit-prep-atlanta-vs-praise-academy-powder-springs/9-4-2026/?c=c1bad7ec-55b4-4f43-a3bf-3dfdeb93e0a2","https://www.maxpreps.com/ga/football/game/holy-spirit-prep-atlanta-vs-praise-academy-powder-springs/9-4-2026/?c=c1bad7ec-55b4-4f43-a3bf-3dfdeb93e0a2",0129cf2
6,"Lakeside Atlanta vs Midtown Atlanta",Football,"Georgia",09/04/2026,07:00 PM,"The Midtown Atlanta varsity football team has an away non-conference game @ Lakeside Atlanta (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/lakeside-atlanta-vs-midtown-atlanta/9-4-2026/?c=c22502e4-27b0-45ed-8045-ed9b077ecd98","https://www.maxpreps.com/ga/football/game/lakeside-atlanta-vs-midtown-atlanta/9-4-2026/?c=c22502e4-27b0-45ed-8045-ed9b077ecd98",878cb03
7,"South Atlanta vs Washington Atlanta",Football,"Georgia",09/04/2026,07:00 PM,"The Washington Atlanta varsity football team has an away non-conference game @ South Atlanta (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/south-atlanta-vs-washington-atlanta/9-4-2026/?c=97e4a7b9-d9fc-4772-8cb6-8a6475cd0c1c","https://www.maxpreps.com/ga/football/game/south-atlanta-vs-washington-atlanta/9-4-2026/?c=97e4a7b9-d9fc-4772-8cb6-8a6475cd0c1c",85dca3f
8,"Central Talbotton vs Scintilla Charter Academy Valdosta",Football,"Georgia",09/04/2026,07:00 PM,"The Scintilla Charter Academy Valdosta varsity football team has an away non-conference game @ Central Talbotton (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/central-talbotton-vs-scintilla-charter-academy-valdosta/9-4-2026/?c=a45e4bba-990b-4d5b-936e-6b722dd054b8","https://www.maxpreps.com/ga/football/game/central-talbotton-vs-scintilla-charter-academy-valdosta/9-4-2026/?c=a45e4bba-990b-4d5b-936e-6b722dd054b8",dc032c8
9,"Columbus vs Westover Albany",Football,"Georgia",09/04/2026,07:00 PM,"The Westover Albany varsity football team has an away non-conference game @ Columbus (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/columbus-vs-westover-albany/9-4-2026/?c=5cf3f99e-8188-411e-944e-9b807f3e9415","https://www.maxpreps.com/ga/football/game/columbus-vs-westover-albany/9-4-2026/?c=5cf3f99e-8188-411e-944e-9b807f3e9415",2a1dd8b
10,"Columbia Decatur vs New Manchester Douglasville",Football,"Georgia",09/04/2026,07:00 PM,"The New Manchester Douglasville varsity football team has an away non-conference game @ Columbia Decatur (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/columbia-decatur-vs-new-manchester-douglasville/9-4-2026/?c=4fd4eaf9-8854-423d-acc2-922e5f9fa9dc","https://www.maxpreps.com/ga/football/game/columbia-decatur-vs-new-manchester-douglasville/9-4-2026/?c=4fd4eaf9-8854-423d-acc2-922e5f9fa9dc",f68a5cf
11,"Haralson County Tallapoosa vs Miller Grove Lithonia",Football,"Georgia",09/04/2026,07:00 PM,"The Miller Grove Lithonia varsity football team has an away non-conference game @ Haralson County Tallapoosa (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/haralson-county-tallapoosa-vs-miller-grove-lithonia/9-4-2026/?c=247f1278-4f14-49ca-aa28-fec5e6f2eb15","https://www.maxpreps.com/ga/football/game/haralson-county-tallapoosa-vs-miller-grove-lithonia/9-4-2026/?c=247f1278-4f14-49ca-aa28-fec5e6f2eb15",9701519
12,"Georgia Military College Milledgeville vs Mcintosh County Academy Darien",Football,"Georgia",09/04/2026,07:00 PM,"The Mcintosh County Academy Darien varsity football team has an away non-conference game @ Georgia Military College Milledgeville (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/georgia-military-college-milledgeville-vs-mcintosh-county-academy-darien/9-4-2026/?c=7b5c243e-1983-44ab-8195-991c04d21501","https://www.maxpreps.com/ga/football/game/georgia-military-college-milledgeville-vs-mcintosh-county-academy-darien/9-4-2026/?c=7b5c243e-1983-44ab-8195-991c04d21501",c87bd66
13,"Alcovy Covington vs Meadowcreek Norcross",Football,"Georgia",09/04/2026,07:00 PM,"The Meadowcreek Norcross varsity football team has an away non-conference game @ Alcovy Covington (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/alcovy-covington-vs-meadowcreek-norcross/9-4-2026/?c=57d35dce-9ca7-4bf6-a2f6-5b98ac1b8fb1","https://www.maxpreps.com/ga/football/game/alcovy-covington-vs-meadowcreek-norcross/9-4-2026/?c=57d35dce-9ca7-4bf6-a2f6-5b98ac1b8fb1",52cc076
14,"Crisp Academy Cordele vs Fullington Academy Pinehurst",Football,"Georgia",09/04/2026,07:00 PM,"The Fullington Academy Pinehurst varsity football team has an away non-conference game @ Crisp Academy Cordele (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/crisp-academy-cordele-vs-fullington-academy-pinehurst/9-4-2026/?c=c8c8d09b-38d0-4f11-b7a9-77f42a10289b","https://www.maxpreps.com/ga/football/game/crisp-academy-cordele-vs-fullington-academy-pinehurst/9-4-2026/?c=c8c8d09b-38d0-4f11-b7a9-77f42a10289b",328c718
15,"Collins Hill Suwanee vs Parkview Lilburn",Football,"Georgia",09/04/2026,07:00 PM,"The Parkview Lilburn varsity football team has an away non-conference game @ Collins Hill Suwanee (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/collins-hill-suwanee-vs-parkview-lilburn/9-4-2026/?c=934047bd-cd12-4794-816a-c2f922a7f3ff","https://www.maxpreps.com/ga/football/game/collins-hill-suwanee-vs-parkview-lilburn/9-4-2026/?c=934047bd-cd12-4794-816a-c2f922a7f3ff",16d2b97
16,"Brookwood Snellville vs South Gwinnett Snellville",Football,"Georgia",09/04/2026,07:00 PM,"The South Gwinnett Snellville varsity football team has an away non-conference game @ Brookwood Snellville (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/brookwood-snellville-vs-south-gwinnett-snellville/9-4-2026/?c=b2d7ea28-661f-4f35-adc6-d443c0c3d82e","https://www.maxpreps.com/ga/football/game/brookwood-snellville-vs-south-gwinnett-snellville/9-4-2026/?c=b2d7ea28-661f-4f35-adc6-d443c0c3d82e",7d85822
17,"Jenkins Savannah vs Richmond Hill",Football,"Georgia",09/04/2026,07:00 PM,"The Richmond Hill varsity football team has an away non-conference game @ Jenkins Savannah (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/jenkins-savannah-vs-richmond-hill/9-4-2026/?c=e24d2457-f603-4c98-9c37-d058108c9d4c","https://www.maxpreps.com/ga/football/game/jenkins-savannah-vs-richmond-hill/9-4-2026/?c=e24d2457-f603-4c98-9c37-d058108c9d4c",036c784
18,"Athens Academy vs Savannah Country Day",Football,"Georgia",09/04/2026,07:00 PM,"The Savannah Country Day varsity football team has an away non-conference game @ Athens Academy (Georgia) on Friday, September 4 @ 7p.","/ga/football/game/athens-academy-vs-savannah-country-day/9-4-2026/?c=a6982c75-3ece-4a1b-888d-7e8955f4b662","https://www.maxpreps.com/ga/football/game/athens-academy-vs-savannah-country-day/9-4-2026/?c=a6982c75-3ece-4a1b-888d-7e8955f4b662",d9fdd92
