No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Brownsburg vs Franklin Central Indianapolis",Football,"Indiana",09/04/2026,07:00 PM,"The Franklin Central Indianapolis varsity football team has an away non-conference game @ Brownsburg (Indiana) on Friday, September 4 @ 7p.","/in/football/game/brownsburg-vs-franklin-central-indianapolis/9-4-2026/?c=955cbe28-7675-45ea-b98c-0ef9ca963cf1","https://www.maxpreps.com/in/football/game/brownsburg-vs-franklin-central-indianapolis/9-4-2026/?c=955cbe28-7675-45ea-b98c-0ef9ca963cf1",9dd707f
2,"Westfield vs Zionsville",Football,"Indiana",09/04/2026,07:00 PM,"The Zionsville varsity football team has an away non-conference game @ Westfield (Indiana) on Friday, September 4 @ 7p.","/in/football/game/westfield-vs-zionsville/9-4-2026/?c=0f110794-684e-44eb-bcc6-f1425a496861","https://www.maxpreps.com/in/football/game/westfield-vs-zionsville/9-4-2026/?c=0f110794-684e-44eb-bcc6-f1425a496861",7b9ba85
3,"North Central Indianapolis vs Warren Central Indianapolis",Football,"Indiana",09/04/2026,07:00 PM,"The Warren Central Indianapolis varsity football team has an away non-conference game @ North Central Indianapolis (Indiana) on Friday, September 4 @ 7p.","/in/football/game/north-central-indianapolis-vs-warren-central-indianapolis/9-4-2026/?c=9fbcd5da-27a2-4e91-b20a-d612ca6505c7","https://www.maxpreps.com/in/football/game/north-central-indianapolis-vs-warren-central-indianapolis/9-4-2026/?c=9fbcd5da-27a2-4e91-b20a-d612ca6505c7",fbaf045
4,"Castle Newburgh vs Evansville Bosse",Football,"Indiana",09/04/2026,07:00 PM,"The Evansville Bosse varsity football team has an away non-conference game @ Castle Newburgh (Indiana) on Friday, September 4 @ 7p.","/in/football/game/castle-newburgh-vs-evansville-bosse/9-4-2026/?c=a373c022-1679-4354-b313-2c468e09a6bc","https://www.maxpreps.com/in/football/game/castle-newburgh-vs-evansville-bosse/9-4-2026/?c=a373c022-1679-4354-b313-2c468e09a6bc",672617f
5,"Evansville Reitz vs Jasper",Football,"Indiana",09/04/2026,07:00 PM,"The Jasper varsity football team has an away non-conference game @ Evansville Reitz (Indiana) on Friday, September 4 @ 7p.","/in/football/game/evansville-reitz-vs-jasper/9-4-2026/?c=da0e8045-a727-4c0c-bf78-b17fa67a2595","https://www.maxpreps.com/in/football/game/evansville-reitz-vs-jasper/9-4-2026/?c=da0e8045-a727-4c0c-bf78-b17fa67a2595",929cdbd
6,"Evansville Harrison vs Evansville North",Football,"Indiana",09/04/2026,07:00 PM,"The Evansville North varsity football team has an away non-conference game @ Evansville Harrison (Indiana) on Friday, September 4 @ 7p.","/in/football/game/evansville-harrison-vs-evansville-north/9-4-2026/?c=4c66249c-0f5e-4818-8256-68b07ddf3a31","https://www.maxpreps.com/in/football/game/evansville-harrison-vs-evansville-north/9-4-2026/?c=4c66249c-0f5e-4818-8256-68b07ddf3a31",c646184
7,"Boone Grove Valparaiso vs Bremen",Football,"Indiana",09/04/2026,07:00 PM,"The Bremen varsity football team has an away non-conference game @ Boone Grove Valparaiso (Indiana) on Friday, September 4 @ 7p.","/in/football/game/boone-grove-valparaiso-vs-bremen/9-4-2026/?c=8b74875a-ce18-46ee-b656-312b8e8e58d0","https://www.maxpreps.com/in/football/game/boone-grove-valparaiso-vs-bremen/9-4-2026/?c=8b74875a-ce18-46ee-b656-312b8e8e58d0",15a2bbd
8,"North Knox Bicknell vs North Posey Poseyville",Football,"Indiana",09/04/2026,07:00 PM,"The North Posey Poseyville varsity football team has an away non-conference game @ North Knox Bicknell (Indiana) on Friday, September 4 @ 7p.","/in/football/game/north-knox-bicknell-vs-north-posey-poseyville/9-4-2026/?c=866e56de-18e9-4a82-b6df-432812306def","https://www.maxpreps.com/in/football/game/north-knox-bicknell-vs-north-posey-poseyville/9-4-2026/?c=866e56de-18e9-4a82-b6df-432812306def",ba608c8
9,"Faith Christian Lafayette vs North Newton Morocco",Football,"Indiana",09/04/2026,07:00 PM,"The North Newton Morocco varsity football team has an away non-conference game @ Faith Christian Lafayette (Indiana) on Friday, September 4 @ 7p.","/in/football/game/faith-christian-lafayette-vs-north-newton-morocco/9-4-2026/?c=cc4e1b58-0283-4d96-a004-817aad6fe743","https://www.maxpreps.com/in/football/game/faith-christian-lafayette-vs-north-newton-morocco/9-4-2026/?c=cc4e1b58-0283-4d96-a004-817aad6fe743",5a32078
10,"Evansville Central vs Evansville Memorial",Football,"Indiana",09/04/2026,07:00 PM,"The Evansville Memorial varsity football team has an away non-conference game @ Evansville Central (Indiana) on Friday, September 4 @ 7p.","/in/football/game/evansville-central-vs-evansville-memorial/9-4-2026/?c=8ffff232-efda-41c4-b2a4-8e6fe7838b96","https://www.maxpreps.com/in/football/game/evansville-central-vs-evansville-memorial/9-4-2026/?c=8ffff232-efda-41c4-b2a4-8e6fe7838b96",ee7b25a
