No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"North Scott Eldridge vs Xavier Cedar Rapids",Football,"Iowa",08/28/2026,07:00 PM,"The Xavier Cedar Rapids varsity football team has an away non-conference game @ North Scott Eldridge (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/north-scott-eldridge-vs-xavier-cedar-rapids/8-28-2026/?c=5a2c653c-0db2-4e49-8eae-711afd34e5ad","https://www.maxpreps.com/ia/football/game/north-scott-eldridge-vs-xavier-cedar-rapids/8-28-2026/?c=5a2c653c-0db2-4e49-8eae-711afd34e5ad",db59ad0
2,"Dowling Catholic West Des Moines vs Valley West Des Moines",Football,"Iowa",08/28/2026,07:00 PM,"The Valley West Des Moines varsity football team has an away non-conference game @ Dowling Catholic West Des Moines (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/dowling-catholic-west-des-moines-vs-valley-west-des-moines/8-28-2026/?c=7c203b85-36d9-4091-8b22-cb254dddad92","https://www.maxpreps.com/ia/football/game/dowling-catholic-west-des-moines-vs-valley-west-des-moines/8-28-2026/?c=7c203b85-36d9-4091-8b22-cb254dddad92",c8fe3d5
3,"Ankeny Centennial vs Southeast Polk Pleasant Hill",Football,"Iowa",08/28/2026,07:00 PM,"The Southeast Polk Pleasant Hill varsity football team has an away non-conference game @ Ankeny Centennial (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/ankeny-centennial-vs-southeast-polk-pleasant-hill/8-28-2026/?c=d3712468-0282-45d0-bd14-00c92315c3ca","https://www.maxpreps.com/ia/football/game/ankeny-centennial-vs-southeast-polk-pleasant-hill/8-28-2026/?c=d3712468-0282-45d0-bd14-00c92315c3ca",964a5f6
4,"Benton Van Horne vs Fairfield",Football,"Iowa",08/28/2026,07:00 PM,"The Fairfield varsity football team has an away non-conference game @ Benton Van Horne (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/benton-van-horne-vs-fairfield/8-28-2026/?c=5ccd9e98-a7d1-433e-95e4-855270664e03","https://www.maxpreps.com/ia/football/game/benton-van-horne-vs-fairfield/8-28-2026/?c=5ccd9e98-a7d1-433e-95e4-855270664e03",7945683
5,"West Branch vs West Liberty",Football,"Iowa",08/28/2026,07:00 PM,"The West Liberty varsity football team has an away non-conference game @ West Branch (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/west-branch-vs-west-liberty/8-28-2026/?c=87e33e6a-df68-49e9-b87b-6ea423d49adc","https://www.maxpreps.com/ia/football/game/west-branch-vs-west-liberty/8-28-2026/?c=87e33e6a-df68-49e9-b87b-6ea423d49adc",7d64057
6,"Coon Rapids Bayard vs Twin Cedars Bussey",Football,"Iowa",08/28/2026,07:00 PM,"The Twin Cedars Bussey varsity football team has an away non-conference game @ Coon Rapids Bayard (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/coon-rapids-bayard-vs-twin-cedars-bussey/8-28-2026/?c=2da4282b-8422-4569-9caa-2c670a4ebab1","https://www.maxpreps.com/ia/football/game/coon-rapids-bayard-vs-twin-cedars-bussey/8-28-2026/?c=2da4282b-8422-4569-9caa-2c670a4ebab1",c761a73
7,"A D M Adel vs Winterset",Football,"Iowa",08/28/2026,07:00 PM,"The Winterset varsity football team has an away non-conference game @ A D M Adel (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/a-d-m-adel-vs-winterset/8-28-2026/?c=e882d787-3c04-4175-a65e-66ae7779f34a","https://www.maxpreps.com/ia/football/game/a-d-m-adel-vs-winterset/8-28-2026/?c=e882d787-3c04-4175-a65e-66ae7779f34a",269c93f
8,"Montezuma vs Springville",Football,"Iowa",08/28/2026,07:00 PM,"The Springville varsity football team has an away non-conference game @ Montezuma (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/montezuma-vs-springville/8-28-2026/?c=27324842-9752-49d2-976b-c005129feea2","https://www.maxpreps.com/ia/football/game/montezuma-vs-springville/8-28-2026/?c=27324842-9752-49d2-976b-c005129feea2",1cb4fbf
9,"Denison Schleswig vs Storm Lake",Football,"Iowa",08/28/2026,07:00 PM,"The Storm Lake varsity football team has an away non-conference game @ Denison Schleswig (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/denison-schleswig-vs-storm-lake/8-28-2026/?c=9d5a9313-38f1-4738-8925-efe4b714d96c","https://www.maxpreps.com/ia/football/game/denison-schleswig-vs-storm-lake/8-28-2026/?c=9d5a9313-38f1-4738-8925-efe4b714d96c",658dfc4
10,"Murray vs Southeast Warren Liberty Center",Football,"Iowa",08/28/2026,07:00 PM,"The Southeast Warren Liberty Center varsity football team has an away non-conference game @ Murray (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/murray-vs-southeast-warren-liberty-center/8-28-2026/?c=087e9f35-b3a6-4fd6-b335-e6153b972392","https://www.maxpreps.com/ia/football/game/murray-vs-southeast-warren-liberty-center/8-28-2026/?c=087e9f35-b3a6-4fd6-b335-e6153b972392",f1076b9
11,"Lincoln Des Moines vs Roosevelt Des Moines",Football,"Iowa",08/28/2026,07:00 PM,"The Roosevelt Des Moines varsity football team has an away non-conference game @ Lincoln Des Moines (Iowa) on Friday, August 28 @ 7p.","/ia/football/game/lincoln-des-moines-vs-roosevelt-des-moines/8-28-2026/?c=f0bd2e8d-edbd-4d19-93bb-05494c50d381","https://www.maxpreps.com/ia/football/game/lincoln-des-moines-vs-roosevelt-des-moines/8-28-2026/?c=f0bd2e8d-edbd-4d19-93bb-05494c50d381",5e59edb
