No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Andale vs Rose Hill",Football,"Kansas",09/04/2026,07:00 PM,"The Rose Hill varsity football team has an away non-conference game @ Andale (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/andale-vs-rose-hill/9-4-2026/?c=da984cf1-eb22-4c74-b7eb-d0e08c2f46a0","https://www.maxpreps.com/ks/football/game/andale-vs-rose-hill/9-4-2026/?c=da984cf1-eb22-4c74-b7eb-d0e08c2f46a0",ec06faf
2,"Saint Thomas Aquinas Overland Park vs St James Academy Lenexa",Football,"Kansas",09/04/2026,07:00 PM,"The St James Academy Lenexa varsity football team has an away non-conference game @ Saint Thomas Aquinas Overland Park (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/saint-thomas-aquinas-overland-park-vs-st-james-academy-lenexa/9-4-2026/?c=b657876e-ffa3-4ffb-93a6-4eef48270d81","https://www.maxpreps.com/ks/football/game/saint-thomas-aquinas-overland-park-vs-st-james-academy-lenexa/9-4-2026/?c=b657876e-ffa3-4ffb-93a6-4eef48270d81",e4a7f0e
3,"Dodge City vs West Wichita",Football,"Kansas",09/04/2026,07:00 PM,"The West Wichita varsity football team has an away non-conference game @ Dodge City (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/dodge-city-vs-west-wichita/9-4-2026/?c=76a270ef-1245-42e0-afcf-1dfe7b564291","https://www.maxpreps.com/ks/football/game/dodge-city-vs-west-wichita/9-4-2026/?c=76a270ef-1245-42e0-afcf-1dfe7b564291",8c60ee1
4,"Conway Springs vs Douglass",Football,"Kansas",09/04/2026,07:00 PM,"The Douglass varsity football team has an away non-conference game @ Conway Springs (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/conway-springs-vs-douglass/9-4-2026/?c=5a1f8ead-dd8a-4420-9482-06d4b2ef911c","https://www.maxpreps.com/ks/football/game/conway-springs-vs-douglass/9-4-2026/?c=5a1f8ead-dd8a-4420-9482-06d4b2ef911c",9b8ac8c
5,"Buhler vs Maize South Wichita",Football,"Kansas",09/04/2026,07:00 PM,"The Maize South Wichita varsity football team has an away non-conference game @ Buhler (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/buhler-vs-maize-south-wichita/9-4-2026/?c=9b86fdbe-2d73-4639-b297-96f2c6be61a4","https://www.maxpreps.com/ks/football/game/buhler-vs-maize-south-wichita/9-4-2026/?c=9b86fdbe-2d73-4639-b297-96f2c6be61a4",6315581
6,"Fort Scott vs Paola",Football,"Kansas",09/04/2026,07:00 PM,"The Paola varsity football team has an away non-conference game @ Fort Scott (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/fort-scott-vs-paola/9-4-2026/?c=12a59e6a-c59d-48b5-ad22-34706fb72853","https://www.maxpreps.com/ks/football/game/fort-scott-vs-paola/9-4-2026/?c=12a59e6a-c59d-48b5-ad22-34706fb72853",5d3c828
7,"Sublette vs Wallace County Sharon Springs",Football,"Kansas",09/04/2026,07:00 PM,"The Wallace County Sharon Springs varsity football team has an away non-conference game @ Sublette (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/sublette-vs-wallace-county-sharon-springs/9-4-2026/?c=165ee2a5-c160-493e-a33c-ceb70940e1b8","https://www.maxpreps.com/ks/football/game/sublette-vs-wallace-county-sharon-springs/9-4-2026/?c=165ee2a5-c160-493e-a33c-ceb70940e1b8",1a4012e
8,"Frankfort vs Washington County",Football,"Kansas",09/04/2026,07:00 PM,"The Washington County varsity football team has an away non-conference game @ Frankfort (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/frankfort-vs-washington-county/9-4-2026/?c=013d1186-bc17-454d-9f33-00464aee2c57","https://www.maxpreps.com/ks/football/game/frankfort-vs-washington-county/9-4-2026/?c=013d1186-bc17-454d-9f33-00464aee2c57",29628c0
9,"Belle Plaine vs Trinity Hutchinson",Football,"Kansas",09/04/2026,07:00 PM,"The Trinity Hutchinson varsity football team has an away non-conference game @ Belle Plaine (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/belle-plaine-vs-trinity-hutchinson/9-4-2026/?c=7651d329-671b-42e1-844f-9d8c0e8c3f89","https://www.maxpreps.com/ks/football/game/belle-plaine-vs-trinity-hutchinson/9-4-2026/?c=7651d329-671b-42e1-844f-9d8c0e8c3f89",19000f2
10,"Louisburg vs Tonganoxie",Football,"Kansas",09/04/2026,07:00 PM,"The Tonganoxie varsity football team has an away non-conference game @ Louisburg (Kansas) on Friday, September 4 @ 7p.","/ks/football/game/louisburg-vs-tonganoxie/9-4-2026/?c=9e6a5951-e4e4-4c00-9802-e43e49eedebc","https://www.maxpreps.com/ks/football/game/louisburg-vs-tonganoxie/9-4-2026/?c=9e6a5951-e4e4-4c00-9802-e43e49eedebc",623233c
