No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Christian Academy Louisville vs Owensboro",Football,"Kentucky",08/28/2026,07:00 PM,"The Owensboro varsity football team has an away non-conference game @ Christian Academy Louisville (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/christian-academy-louisville-vs-owensboro/8-28-2026/?c=16dbf809-9265-46e8-a0ea-870ed765cd62","https://www.maxpreps.com/ky/football/game/christian-academy-louisville-vs-owensboro/8-28-2026/?c=16dbf809-9265-46e8-a0ea-870ed765cd62",41b4369
2,"Lawrence County Louisa vs Lincoln County Stanford",Football,"Kentucky",08/28/2026,07:00 PM,"The Lincoln County Stanford varsity football team has an away non-conference game @ Lawrence County Louisa (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/lawrence-county-louisa-vs-lincoln-county-stanford/8-28-2026/?c=92a0d339-8fe1-42b5-ba9e-facaefad198b","https://www.maxpreps.com/ky/football/game/lawrence-county-louisa-vs-lincoln-county-stanford/8-28-2026/?c=92a0d339-8fe1-42b5-ba9e-facaefad198b",34a968a
3,"Clay County Manchester vs East Ridge Lick Creek",Football,"Kentucky",08/28/2026,07:00 PM,"The East Ridge Lick Creek varsity football team has an away non-conference game @ Clay County Manchester (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/clay-county-manchester-vs-east-ridge-lick-creek/8-28-2026/?c=f8d84ec3-9bd5-49b1-96b3-4294879c59a1","https://www.maxpreps.com/ky/football/game/clay-county-manchester-vs-east-ridge-lick-creek/8-28-2026/?c=f8d84ec3-9bd5-49b1-96b3-4294879c59a1",d3f3df6
4,"Larue County Hodgenville vs Russell County Russell Springs",Football,"Kentucky",08/28/2026,07:00 PM,"The Russell County Russell Springs varsity football team has an away non-conference game @ Larue County Hodgenville (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/larue-county-hodgenville-vs-russell-county-russell-springs/8-28-2026/?c=4ef25489-e626-4979-9ff8-d6f2a7e2ce38","https://www.maxpreps.com/ky/football/game/larue-county-hodgenville-vs-russell-county-russell-springs/8-28-2026/?c=4ef25489-e626-4979-9ff8-d6f2a7e2ce38",dc37735
5,"Jeffersontown Louisville vs Waggener Louisville",Football,"Kentucky",08/28/2026,07:00 PM,"The Waggener Louisville varsity football team has an away non-conference game @ Jeffersontown Louisville (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/jeffersontown-louisville-vs-waggener-louisville/8-28-2026/?c=a148b169-d8aa-4ded-80cf-8d45ea61ae00","https://www.maxpreps.com/ky/football/game/jeffersontown-louisville-vs-waggener-louisville/8-28-2026/?c=a148b169-d8aa-4ded-80cf-8d45ea61ae00",2812928
6,"Butler Louisville vs Doss Louisville",Football,"Kentucky",08/28/2026,07:00 PM,"The Doss Louisville varsity football team has an away non-conference game @ Butler Louisville (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/butler-louisville-vs-doss-louisville/8-28-2026/?c=9876ffcc-f535-4e72-b693-b4dfaa3ebebf","https://www.maxpreps.com/ky/football/game/butler-louisville-vs-doss-louisville/8-28-2026/?c=9876ffcc-f535-4e72-b693-b4dfaa3ebebf",748ca68
7,"Christian County Hopkinsville vs Mayfield",Football,"Kentucky",08/28/2026,07:00 PM,"The Mayfield varsity football team has an away non-conference game @ Christian County Hopkinsville (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/christian-county-hopkinsville-vs-mayfield/8-28-2026/?c=0ff4a931-f2b0-47e2-853a-5c1042252e95","https://www.maxpreps.com/ky/football/game/christian-county-hopkinsville-vs-mayfield/8-28-2026/?c=0ff4a931-f2b0-47e2-853a-5c1042252e95",54658cb
8,"Caverna Horse Cave vs Mclean County Calhoun",Football,"Kentucky",08/28/2026,07:00 PM,"The Mclean County Calhoun varsity football team has an away non-conference game @ Caverna Horse Cave (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/caverna-horse-cave-vs-mclean-county-calhoun/8-28-2026/?c=f579fb0e-6449-40a7-aa44-a5f0842abf1d","https://www.maxpreps.com/ky/football/game/caverna-horse-cave-vs-mclean-county-calhoun/8-28-2026/?c=f579fb0e-6449-40a7-aa44-a5f0842abf1d",47d15f1
9,"Calloway County Murray vs Murray",Football,"Kentucky",08/28/2026,07:00 PM,"The Murray varsity football team has an away non-conference game @ Calloway County Murray (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/calloway-county-murray-vs-murray/8-28-2026/?c=c96ce055-27fd-45bf-92c0-537fa84c4b78","https://www.maxpreps.com/ky/football/game/calloway-county-murray-vs-murray/8-28-2026/?c=c96ce055-27fd-45bf-92c0-537fa84c4b78",601210c
10,"Adair County Columbia vs Metcalfe County Edmonton",Football,"Kentucky",08/28/2026,07:00 PM,"The Metcalfe County Edmonton varsity football team has an away non-conference game @ Adair County Columbia (Kentucky) on Friday, August 28 @ 7p.","/ky/football/game/adair-county-columbia-vs-metcalfe-county-edmonton/8-28-2026/?c=f48ec334-57ae-4eee-813b-ea8f7fa81cbb","https://www.maxpreps.com/ky/football/game/adair-county-columbia-vs-metcalfe-county-edmonton/8-28-2026/?c=f48ec334-57ae-4eee-813b-ea8f7fa81cbb",fe7d584
