No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Byrd Shreveport vs Ouachita Parish Monroe",Football,"Louisiana",09/03/2026,07:00 PM,"The Ouachita Parish Monroe varsity football team has an away non-conference game @ Byrd Shreveport (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/byrd-shreveport-vs-ouachita-parish-monroe/9-3-2026/?c=b8c0cd91-1452-4795-9c94-ae08f6df116b","https://www.maxpreps.com/la/football/game/byrd-shreveport-vs-ouachita-parish-monroe/9-3-2026/?c=b8c0cd91-1452-4795-9c94-ae08f6df116b",41c7fdc
2,"Carver Collegiate Academy New Orleans vs Lord Beaconsfield Landry New Orleans",Football,"Louisiana",09/03/2026,07:00 PM,"The Lord Beaconsfield Landry New Orleans varsity football team has an away non-conference game @ Carver Collegiate Academy New Orleans (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/carver-collegiate-academy-new-orleans-vs-lord-beaconsfield-landry-new-orleans/9-3-2026/?c=069681d2-e2c1-42f1-b031-83d445cef2db","https://www.maxpreps.com/la/football/game/carver-collegiate-academy-new-orleans-vs-lord-beaconsfield-landry-new-orleans/9-3-2026/?c=069681d2-e2c1-42f1-b031-83d445cef2db",6d326b0
3,"Jefferson Rise Charter Harvey vs Riverdale Jefferson",Football,"Louisiana",09/03/2026,07:00 PM,"The Riverdale Jefferson varsity football team has an away non-conference game @ Jefferson Rise Charter Harvey (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/jefferson-rise-charter-harvey-vs-riverdale-jefferson/9-3-2026/?c=970fd769-4523-45ab-ae7c-1becff875b37","https://www.maxpreps.com/la/football/game/jefferson-rise-charter-harvey-vs-riverdale-jefferson/9-3-2026/?c=970fd769-4523-45ab-ae7c-1becff875b37",e66c98c
4,"John Paul The Great Academy Lafayette vs Northshore Vultures Covington",Football,"Louisiana",09/03/2026,07:00 PM,"The Northshore Vultures Covington varsity football team has an away non-conference game @ John Paul The Great Academy Lafayette (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/john-paul-the-great-academy-lafayette-vs-northshore-vultures-covington/9-3-2026/?c=f783d03b-0577-4f0b-9ad5-2ec7cc56d121","https://www.maxpreps.com/la/football/game/john-paul-the-great-academy-lafayette-vs-northshore-vultures-covington/9-3-2026/?c=f783d03b-0577-4f0b-9ad5-2ec7cc56d121",8297498
5,"Capitol Baton Rouge vs Mckinley Baton Rouge",Football,"Louisiana",09/03/2026,07:00 PM,"The Mckinley Baton Rouge varsity football team has an away non-conference game @ Capitol Baton Rouge (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/capitol-baton-rouge-vs-mckinley-baton-rouge/9-3-2026/?c=96975608-7211-413c-a81e-3763b6c29c4b","https://www.maxpreps.com/la/football/game/capitol-baton-rouge-vs-mckinley-baton-rouge/9-3-2026/?c=96975608-7211-413c-a81e-3763b6c29c4b",bdea37d
6,"Bogalusa vs Independence",Football,"Louisiana",09/03/2026,07:00 PM,"The Independence varsity football team has an away non-conference game @ Bogalusa (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/bogalusa-vs-independence/9-3-2026/?c=fbe41f4c-2bc4-4cc4-b312-76fd3ec5f2bc","https://www.maxpreps.com/la/football/game/bogalusa-vs-independence/9-3-2026/?c=fbe41f4c-2bc4-4cc4-b312-76fd3ec5f2bc",5fe2824
7,"Covington vs De La Salle New Orleans",Football,"Louisiana",09/03/2026,07:00 PM,"The De La Salle New Orleans varsity football team has an away non-conference game @ Covington (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/covington-vs-de-la-salle-new-orleans/9-3-2026/?c=01835565-1705-4891-bf77-9e11126c104f","https://www.maxpreps.com/la/football/game/covington-vs-de-la-salle-new-orleans/9-3-2026/?c=01835565-1705-4891-bf77-9e11126c104f",a1be881
8,"Green Oaks Shreveport vs Southwood Shreveport",Football,"Louisiana",09/03/2026,07:00 PM,"The Southwood Shreveport varsity football team has an away non-conference game @ Green Oaks Shreveport (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/green-oaks-shreveport-vs-southwood-shreveport/9-3-2026/?c=f083f0ee-d0f5-4d3f-a61d-7107657962ec","https://www.maxpreps.com/la/football/game/green-oaks-shreveport-vs-southwood-shreveport/9-3-2026/?c=f083f0ee-d0f5-4d3f-a61d-7107657962ec",7b92428
9,"Calvary Baptist Academy Shreveport vs Huntington Shreveport",Football,"Louisiana",09/03/2026,07:00 PM,"The Huntington Shreveport varsity football team has an away non-conference game @ Calvary Baptist Academy Shreveport (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/calvary-baptist-academy-shreveport-vs-huntington-shreveport/9-3-2026/?c=882b13db-65f2-474b-a0a0-c7700eba7474","https://www.maxpreps.com/la/football/game/calvary-baptist-academy-shreveport-vs-huntington-shreveport/9-3-2026/?c=882b13db-65f2-474b-a0a0-c7700eba7474",eb81d9e
10,"Oakdale vs Sacred Heart Ville Platte",Football,"Louisiana",09/03/2026,07:00 PM,"The Sacred Heart Ville Platte varsity football team has an away non-conference game @ Oakdale (Louisiana) on Thursday, September 3 @ 7p.","/la/football/game/oakdale-vs-sacred-heart-ville-platte/9-3-2026/?c=ee4b80c3-7b1b-4b4a-bb5e-be96b2c2db4b","https://www.maxpreps.com/la/football/game/oakdale-vs-sacred-heart-ville-platte/9-3-2026/?c=ee4b80c3-7b1b-4b4a-bb5e-be96b2c2db4b",c2ccd72
