No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Scarborough vs Thornton Academy Saco",Football,"Maine",09/04/2026,07:00 PM,"The Thornton Academy Saco varsity football team has an away non-conference game @ Scarborough (Maine) on Friday, September 4 @ 7p.","/me/football/game/scarborough-vs-thornton-academy-saco/9-4-2026/?c=97eb250a-3ab9-405b-b91f-7bfc97a703c4","https://www.maxpreps.com/me/football/game/scarborough-vs-thornton-academy-saco/9-4-2026/?c=97eb250a-3ab9-405b-b91f-7bfc97a703c4",08abc19
2,"Bonny Eagle Standish vs South Portland",Football,"Maine",09/04/2026,07:00 PM,"The South Portland varsity football team has an away non-conference game @ Bonny Eagle Standish (Maine) on Friday, September 4 @ 7p.","/me/football/game/bonny-eagle-standish-vs-south-portland/9-4-2026/?c=597ea94b-78a4-4781-b1cd-6a0fd428a017","https://www.maxpreps.com/me/football/game/bonny-eagle-standish-vs-south-portland/9-4-2026/?c=597ea94b-78a4-4781-b1cd-6a0fd428a017",a4d53cc
3,"Leavitt Turner vs Medomak Valley Waldoboro",Football,"Maine",09/04/2026,07:00 PM,"The Medomak Valley Waldoboro varsity football team has an away non-conference game @ Leavitt Turner (Maine) on Friday, September 4 @ 7p.","/me/football/game/leavitt-turner-vs-medomak-valley-waldoboro/9-4-2026/?c=c097b13d-8ffd-4a31-9ba2-ff5c5965ed74","https://www.maxpreps.com/me/football/game/leavitt-turner-vs-medomak-valley-waldoboro/9-4-2026/?c=c097b13d-8ffd-4a31-9ba2-ff5c5965ed74",e768feb
4,"Deering Portland vs Edward Little Auburn",Football,"Maine",09/04/2026,07:00 PM,"The Edward Little Auburn varsity football team has an away non-conference game @ Deering Portland (Maine) on Friday, September 4 @ 7p.","/me/football/game/deering-portland-vs-edward-little-auburn/9-4-2026/?c=b4723f93-f28c-4ad9-9307-94db0535347e","https://www.maxpreps.com/me/football/game/deering-portland-vs-edward-little-auburn/9-4-2026/?c=b4723f93-f28c-4ad9-9307-94db0535347e",fd2d87a
5,"Oxford Hills Buckfield South Paris vs Windham",Football,"Maine",09/04/2026,07:00 PM,"The Windham varsity football team has an away non-conference game @ Oxford Hills Buckfield South Paris (Maine) on Friday, September 4 @ 7p.","/me/football/game/oxford-hills-buckfield-south-paris-vs-windham/9-4-2026/?c=f0ec4690-d94d-472b-b6df-3d812a098062","https://www.maxpreps.com/me/football/game/oxford-hills-buckfield-south-paris-vs-windham/9-4-2026/?c=f0ec4690-d94d-472b-b6df-3d812a098062",9b7f2ee
6,"Cony Augusta vs Fryeburg",Football,"Maine",09/04/2026,07:00 PM,"The Fryeburg varsity football team has an away non-conference game @ Cony Augusta (Maine) on Friday, September 4 @ 7p.","/me/football/game/cony-augusta-vs-fryeburg/9-4-2026/?c=231ee58a-65ac-49eb-a58a-289db01f9173","https://www.maxpreps.com/me/football/game/cony-augusta-vs-fryeburg/9-4-2026/?c=231ee58a-65ac-49eb-a58a-289db01f9173",c01005c
7,"Cape Elizabeth vs Gray New Gloucester",Football,"Maine",09/04/2026,07:00 PM,"The Gray New Gloucester varsity football team has an away non-conference game @ Cape Elizabeth (Maine) on Friday, September 4 @ 7p.","/me/football/game/cape-elizabeth-vs-gray-new-gloucester/9-4-2026/?c=45641770-3181-45a0-b5d1-fc5d0c82708a","https://www.maxpreps.com/me/football/game/cape-elizabeth-vs-gray-new-gloucester/9-4-2026/?c=45641770-3181-45a0-b5d1-fc5d0c82708a",4dc77af
8,"Wells vs Winslow",Football,"Maine",09/04/2026,07:00 PM,"The Winslow varsity football team has an away non-conference game @ Wells (Maine) on Friday, September 4 @ 7p.","/me/football/game/wells-vs-winslow/9-4-2026/?c=80007446-5e7d-40a4-94c0-1b9501f8f31d","https://www.maxpreps.com/me/football/game/wells-vs-winslow/9-4-2026/?c=80007446-5e7d-40a4-94c0-1b9501f8f31d",423880e
9,"Dirigo Dixfield vs Poland",Football,"Maine",09/04/2026,07:00 PM,"The Poland varsity football team has an away non-conference game @ Dirigo Dixfield (Maine) on Friday, September 4 @ 7p.","/me/football/game/dirigo-dixfield-vs-poland/9-4-2026/?c=c9f45961-7a6a-4c69-918a-371f83a050d3","https://www.maxpreps.com/me/football/game/dirigo-dixfield-vs-poland/9-4-2026/?c=c9f45961-7a6a-4c69-918a-371f83a050d3",89e6e17
10,"Morse Bath vs Mountain Valley Rumford",Football,"Maine",09/04/2026,07:00 PM,"The Mountain Valley Rumford varsity football team has an away non-conference game @ Morse Bath (Maine) on Friday, September 4 @ 7p.","/me/football/game/morse-bath-vs-mountain-valley-rumford/9-4-2026/?c=81ed3d2f-a007-4ecd-b371-97d28ec86885","https://www.maxpreps.com/me/football/game/morse-bath-vs-mountain-valley-rumford/9-4-2026/?c=81ed3d2f-a007-4ecd-b371-97d28ec86885",1bb2eca
