No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Andover vs Catholic Memorial West Roxbury",Football,"Massachusetts",09/10/2026,07:00 PM,"The Catholic Memorial West Roxbury varsity football team has an away non-conference game @ Andover (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/andover-vs-catholic-memorial-west-roxbury/9-10-2026/?c=0d53524d-1538-4a59-8e91-f69b1e810583","https://www.maxpreps.com/ma/football/game/andover-vs-catholic-memorial-west-roxbury/9-10-2026/?c=0d53524d-1538-4a59-8e91-f69b1e810583",74e42aa
2,"Marshfield vs Milton",Football,"Massachusetts",09/10/2026,07:00 PM,"The Milton varsity football team has an away non-conference game @ Marshfield (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/marshfield-vs-milton/9-10-2026/?c=c94144ce-0908-4885-ba3e-1481459155af","https://www.maxpreps.com/ma/football/game/marshfield-vs-milton/9-10-2026/?c=c94144ce-0908-4885-ba3e-1481459155af",32aea3b
3,"Bridgewater Raynham vs Mansfield",Football,"Massachusetts",09/10/2026,07:00 PM,"The Mansfield varsity football team has an away non-conference game @ Bridgewater Raynham (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/bridgewater-raynham-vs-mansfield/9-10-2026/?c=ae6937f1-1491-4c60-824d-02b88b93383b","https://www.maxpreps.com/ma/football/game/bridgewater-raynham-vs-mansfield/9-10-2026/?c=ae6937f1-1491-4c60-824d-02b88b93383b",9dadca4
4,"Buckingham Browne And Nichols Cambridge vs Dexter Southfield Brookline",Football,"Massachusetts",09/10/2026,07:00 PM,"The Dexter Southfield Brookline varsity football team has an away non-conference game @ Buckingham Browne And Nichols Cambridge (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/buckingham-browne-and-nichols-cambridge-vs-dexter-southfield-brookline/9-10-2026/?c=1cfdc4dd-7ee3-4dec-8937-9c97c5607ea1","https://www.maxpreps.com/ma/football/game/buckingham-browne-and-nichols-cambridge-vs-dexter-southfield-brookline/9-10-2026/?c=1cfdc4dd-7ee3-4dec-8937-9c97c5607ea1",627516c
5,"Archbishop Williams Braintree vs Oliver Ames North Easton",Football,"Massachusetts",09/10/2026,07:00 PM,"The Oliver Ames North Easton varsity football team has an away non-conference game @ Archbishop Williams Braintree (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/archbishop-williams-braintree-vs-oliver-ames-north-easton/9-10-2026/?c=d9053ae0-f984-4237-9d0a-29a3363986cc","https://www.maxpreps.com/ma/football/game/archbishop-williams-braintree-vs-oliver-ames-north-easton/9-10-2026/?c=d9053ae0-f984-4237-9d0a-29a3363986cc",f694ed8
6,"Norwood vs Stoughton",Football,"Massachusetts",09/10/2026,07:00 PM,"The Stoughton varsity football team has an away non-conference game @ Norwood (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/norwood-vs-stoughton/9-10-2026/?c=1f0a2e2e-f53e-4ce3-bd21-33af79e8e38b","https://www.maxpreps.com/ma/football/game/norwood-vs-stoughton/9-10-2026/?c=1f0a2e2e-f53e-4ce3-bd21-33af79e8e38b",5a67b12
7,"Amesbury vs Lynnfield",Football,"Massachusetts",09/10/2026,07:00 PM,"The Lynnfield varsity football team has an away non-conference game @ Amesbury (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/amesbury-vs-lynnfield/9-10-2026/?c=8ca13c50-53d0-4f88-b8db-704ab666559b","https://www.maxpreps.com/ma/football/game/amesbury-vs-lynnfield/9-10-2026/?c=8ca13c50-53d0-4f88-b8db-704ab666559b",bb27df0
8,"Canton vs Holliston",Football,"Massachusetts",09/10/2026,07:00 PM,"The Holliston varsity football team has an away non-conference game @ Canton (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/canton-vs-holliston/9-10-2026/?c=880a1d0d-6fad-4eb5-9ee6-785ac3678374","https://www.maxpreps.com/ma/football/game/canton-vs-holliston/9-10-2026/?c=880a1d0d-6fad-4eb5-9ee6-785ac3678374",26a5796
9,"Cambridge Rindge And Latin vs Saugus",Football,"Massachusetts",09/10/2026,07:00 PM,"The Saugus varsity football team has an away non-conference game @ Cambridge Rindge And Latin (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/cambridge-rindge-and-latin-vs-saugus/9-10-2026/?c=a9a175b3-820c-4fe7-b19d-000e46886342","https://www.maxpreps.com/ma/football/game/cambridge-rindge-and-latin-vs-saugus/9-10-2026/?c=a9a175b3-820c-4fe7-b19d-000e46886342",86accfc
10,"Malden Catholic vs Medford",Football,"Massachusetts",09/10/2026,07:00 PM,"The Medford varsity football team has an away non-conference game @ Malden Catholic (Massachusetts) on Thursday, September 10 @ 7p.","/ma/football/game/malden-catholic-vs-medford/9-10-2026/?c=af669993-21b6-41fc-8a79-af9d2e6bd50b","https://www.maxpreps.com/ma/football/game/malden-catholic-vs-medford/9-10-2026/?c=af669993-21b6-41fc-8a79-af9d2e6bd50b",e647079
