No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Catholic Central Novi vs Chippewa Valley Clinton Township",Football,"Michigan",08/27/2026,07:00 PM,"The Chippewa Valley Clinton Township varsity football team has an away non-conference game @ Catholic Central Novi (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/catholic-central-novi-vs-chippewa-valley-clinton-township/8-27-2026/?c=ff728585-40c9-46c3-bd6e-0d3c21c9c46f","https://www.maxpreps.com/mi/football/game/catholic-central-novi-vs-chippewa-valley-clinton-township/8-27-2026/?c=ff728585-40c9-46c3-bd6e-0d3c21c9c46f",ece2249
2,"Dewitt vs Kenowa Hills Grand Rapids",Football,"Michigan",08/27/2026,07:00 PM,"The Kenowa Hills Grand Rapids varsity football team has an away non-conference game @ Dewitt (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/dewitt-vs-kenowa-hills-grand-rapids/8-27-2026/?c=674c2784-3319-45d7-8d23-5bb06c85ce10","https://www.maxpreps.com/mi/football/game/dewitt-vs-kenowa-hills-grand-rapids/8-27-2026/?c=674c2784-3319-45d7-8d23-5bb06c85ce10",9c1b620
3,"Rockford vs Saline",Football,"Michigan",08/27/2026,07:00 PM,"The Saline varsity football team has an away non-conference game @ Rockford (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/rockford-vs-saline/8-27-2026/?c=71e20559-049d-481e-aec6-f830463237c8","https://www.maxpreps.com/mi/football/game/rockford-vs-saline/8-27-2026/?c=71e20559-049d-481e-aec6-f830463237c8",497db98
4,"East English Village Prep Detroit vs Flint Southwestern Academy",Football,"Michigan",08/27/2026,07:00 PM,"The Flint Southwestern Academy varsity football team has an away non-conference game @ East English Village Prep Detroit (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/east-english-village-prep-detroit-vs-flint-southwestern-academy/8-27-2026/?c=60135f0a-f8ca-455c-b129-6f90ec1e0f76","https://www.maxpreps.com/mi/football/game/east-english-village-prep-detroit-vs-flint-southwestern-academy/8-27-2026/?c=60135f0a-f8ca-455c-b129-6f90ec1e0f76",eb8470a
5,"Anchor Bay Fair Haven vs Port Huron Red Hawks",Football,"Michigan",08/27/2026,07:00 PM,"The Port Huron Red Hawks varsity football team has an away non-conference game @ Anchor Bay Fair Haven (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/anchor-bay-fair-haven-vs-port-huron-red-hawks/8-27-2026/?c=5549a983-53b7-4e18-bc4a-046d4cf3939f","https://www.maxpreps.com/mi/football/game/anchor-bay-fair-haven-vs-port-huron-red-hawks/8-27-2026/?c=5549a983-53b7-4e18-bc4a-046d4cf3939f",a6472e8
6,"Cranbrook Kingswood Bloomfield Hills vs Mumford Detroit",Football,"Michigan",08/27/2026,07:00 PM,"The Mumford Detroit varsity football team has an away non-conference game @ Cranbrook Kingswood Bloomfield Hills (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/cranbrook-kingswood-bloomfield-hills-vs-mumford-detroit/8-27-2026/?c=7afc8648-0900-46a7-a01f-0673e788440f","https://www.maxpreps.com/mi/football/game/cranbrook-kingswood-bloomfield-hills-vs-mumford-detroit/8-27-2026/?c=7afc8648-0900-46a7-a01f-0673e788440f",3e2fd34
7,"Chelsea vs Harper Woods",Football,"Michigan",08/27/2026,07:00 PM,"The Harper Woods varsity football team has an away non-conference game @ Chelsea (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/chelsea-vs-harper-woods/8-27-2026/?c=984e0da6-c1c8-4eb8-97e6-92494f5b4461","https://www.maxpreps.com/mi/football/game/chelsea-vs-harper-woods/8-27-2026/?c=984e0da6-c1c8-4eb8-97e6-92494f5b4461",98ca7da
8,"Ford Detroit vs Michigan Collegiate Warren",Football,"Michigan",08/27/2026,07:00 PM,"The Michigan Collegiate Warren varsity football team has an away non-conference game @ Ford Detroit (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/ford-detroit-vs-michigan-collegiate-warren/8-27-2026/?c=950a3dcb-0e42-4c62-a1a9-2ec35a09abd9","https://www.maxpreps.com/mi/football/game/ford-detroit-vs-michigan-collegiate-warren/8-27-2026/?c=950a3dcb-0e42-4c62-a1a9-2ec35a09abd9",d42f6e3
9,"Bradford Academy Southfield vs University Liggett Grosse Pointe Woods",Football,"Michigan",08/27/2026,07:00 PM,"The University Liggett Grosse Pointe Woods varsity football team has an away non-conference game @ Bradford Academy Southfield (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/bradford-academy-southfield-vs-university-liggett-grosse-pointe-woods/8-27-2026/?c=fd6c5539-132a-4800-a596-da9b2f4b2b36","https://www.maxpreps.com/mi/football/game/bradford-academy-southfield-vs-university-liggett-grosse-pointe-woods/8-27-2026/?c=fd6c5539-132a-4800-a596-da9b2f4b2b36",6279561
10,"Manchester vs Sand Creek",Football,"Michigan",08/27/2026,07:00 PM,"The Sand Creek varsity football team has an away non-conference game @ Manchester (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/manchester-vs-sand-creek/8-27-2026/?c=123cd0aa-6c55-4604-9ac1-00872d75be82","https://www.maxpreps.com/mi/football/game/manchester-vs-sand-creek/8-27-2026/?c=123cd0aa-6c55-4604-9ac1-00872d75be82",cf255b0
11,"Ishpeming vs Lake Linden Hubbell",Football,"Michigan",08/27/2026,07:00 PM,"The Lake Linden Hubbell varsity football team has an away non-conference game @ Ishpeming (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/ishpeming-vs-lake-linden-hubbell/8-27-2026/?c=e3020d04-c9b5-454a-a1de-1a08547fdf07","https://www.maxpreps.com/mi/football/game/ishpeming-vs-lake-linden-hubbell/8-27-2026/?c=e3020d04-c9b5-454a-a1de-1a08547fdf07",f66550c
12,"De La Salle Collegiate Warren vs Hamtramck",Football,"Michigan",08/27/2026,07:00 PM,"The Hamtramck varsity football team has an away non-conference game @ De La Salle Collegiate Warren (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/de-la-salle-collegiate-warren-vs-hamtramck/8-27-2026/?c=e2909f0f-fc5a-4b35-ab9b-043190189621","https://www.maxpreps.com/mi/football/game/de-la-salle-collegiate-warren-vs-hamtramck/8-27-2026/?c=e2909f0f-fc5a-4b35-ab9b-043190189621",6b529af
13,"Loyola Detroit vs Southeastern Detroit",Football,"Michigan",08/27/2026,07:00 PM,"The Southeastern Detroit varsity football team has an away non-conference game @ Loyola Detroit (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/loyola-detroit-vs-southeastern-detroit/8-27-2026/?c=eeb1126c-f893-47b4-afe2-0b4deca3d83b","https://www.maxpreps.com/mi/football/game/loyola-detroit-vs-southeastern-detroit/8-27-2026/?c=eeb1126c-f893-47b4-afe2-0b4deca3d83b",f9b2db2
14,"Lanse vs West Iron County Iron River",Football,"Michigan",08/27/2026,07:00 PM,"The West Iron County Iron River varsity football team has an away non-conference game @ Lanse (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/lanse-vs-west-iron-county-iron-river/8-27-2026/?c=e7854bf6-2c7c-4354-a851-90841bf8155b","https://www.maxpreps.com/mi/football/game/lanse-vs-west-iron-county-iron-river/8-27-2026/?c=e7854bf6-2c7c-4354-a851-90841bf8155b",353b253
15,"Everett Lansing vs Sexton Lansing",Football,"Michigan",08/27/2026,07:00 PM,"The Sexton Lansing varsity football team has an away non-conference game @ Everett Lansing (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/everett-lansing-vs-sexton-lansing/8-27-2026/?c=016a22df-b9e6-40ed-8054-2b19d3dc9ef3","https://www.maxpreps.com/mi/football/game/everett-lansing-vs-sexton-lansing/8-27-2026/?c=016a22df-b9e6-40ed-8054-2b19d3dc9ef3",bc92d5d
16,"Eastern Lansing vs Eaton Rapids",Football,"Michigan",08/27/2026,07:00 PM,"The Eaton Rapids varsity football team has an away non-conference game @ Eastern Lansing (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/eastern-lansing-vs-eaton-rapids/8-27-2026/?c=89ef7f44-62ca-4c1f-89a0-a64526e873cd","https://www.maxpreps.com/mi/football/game/eastern-lansing-vs-eaton-rapids/8-27-2026/?c=89ef7f44-62ca-4c1f-89a0-a64526e873cd",b43d372
17,"Onekama vs Rudyard",Football,"Michigan",08/27/2026,07:00 PM,"The Rudyard varsity football team has an away non-conference game @ Onekama (Michigan) on Thursday, August 27 @ 7p.","/mi/football/game/onekama-vs-rudyard/8-27-2026/?c=9eb22d34-654b-48bd-aad4-b6128f715696","https://www.maxpreps.com/mi/football/game/onekama-vs-rudyard/8-27-2026/?c=9eb22d34-654b-48bd-aad4-b6128f715696",bdb7c48
