No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Alexandria vs Chanhassen",Football,"Minnesota",09/04/2026,07:00 PM,"The Chanhassen varsity football team has an away non-conference game @ Alexandria (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/alexandria-vs-chanhassen/9-4-2026/?c=94247ecf-cb4b-4e32-9d97-32576f1cec5f","https://www.maxpreps.com/mn/football/game/alexandria-vs-chanhassen/9-4-2026/?c=94247ecf-cb4b-4e32-9d97-32576f1cec5f",59b9202
2,"Marshall vs Westonka Mound",Football,"Minnesota",09/04/2026,07:00 PM,"The Westonka Mound varsity football team has an away non-conference game @ Marshall (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/marshall-vs-westonka-mound/9-4-2026/?c=05773a71-0cbc-4cd2-a81a-a6970dc68ed1","https://www.maxpreps.com/mn/football/game/marshall-vs-westonka-mound/9-4-2026/?c=05773a71-0cbc-4cd2-a81a-a6970dc68ed1",52ed79f
3,"Monticello vs Sauk Rapids Rice",Football,"Minnesota",09/04/2026,07:00 PM,"The Sauk Rapids Rice varsity football team has an away non-conference game @ Monticello (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/monticello-vs-sauk-rapids-rice/9-4-2026/?c=d9435f28-bcf2-40f7-8745-aedfc346cd43","https://www.maxpreps.com/mn/football/game/monticello-vs-sauk-rapids-rice/9-4-2026/?c=d9435f28-bcf2-40f7-8745-aedfc346cd43",0814935
4,"Parkers Prairie vs Upsala Swanville",Football,"Minnesota",09/04/2026,07:00 PM,"The Upsala Swanville varsity football team has an away non-conference game @ Parkers Prairie (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/parkers-prairie-vs-upsala-swanville/9-4-2026/?c=c03a4d5a-93c1-46af-8287-bc3578f7d43c","https://www.maxpreps.com/mn/football/game/parkers-prairie-vs-upsala-swanville/9-4-2026/?c=c03a4d5a-93c1-46af-8287-bc3578f7d43c",1d8b0ad
5,"South Ridge Culver vs Verndale",Football,"Minnesota",09/04/2026,07:00 PM,"The Verndale varsity football team has an away non-conference game @ South Ridge Culver (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/south-ridge-culver-vs-verndale/9-4-2026/?c=28ab110f-9aa4-4edf-bc7a-6a97c602a775","https://www.maxpreps.com/mn/football/game/south-ridge-culver-vs-verndale/9-4-2026/?c=28ab110f-9aa4-4edf-bc7a-6a97c602a775",f6a6fe6
6,"Kennedy Bloomington vs Roosevelt Minneapolis",Football,"Minnesota",09/04/2026,07:00 PM,"The Roosevelt Minneapolis varsity football team has an away non-conference game @ Kennedy Bloomington (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/kennedy-bloomington-vs-roosevelt-minneapolis/9-4-2026/?c=2e8483a4-c5c7-46a3-a223-b515f2cae06a","https://www.maxpreps.com/mn/football/game/kennedy-bloomington-vs-roosevelt-minneapolis/9-4-2026/?c=2e8483a4-c5c7-46a3-a223-b515f2cae06a",407d77d
7,"Dilworth Glyndon Felton vs Thief River Falls",Football,"Minnesota",09/04/2026,07:00 PM,"The Thief River Falls varsity football team has an away non-conference game @ Dilworth Glyndon Felton (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/dilworth-glyndon-felton-vs-thief-river-falls/9-4-2026/?c=631858b6-41a3-4888-88b2-62ba6ba2f036","https://www.maxpreps.com/mn/football/game/dilworth-glyndon-felton-vs-thief-river-falls/9-4-2026/?c=631858b6-41a3-4888-88b2-62ba6ba2f036",5b2d67c
8,"Border West Wheaton vs Stephen Argyle Central",Football,"Minnesota",09/04/2026,07:00 PM,"The Stephen Argyle Central varsity football team has an away non-conference game @ Border West Wheaton (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/border-west-wheaton-vs-stephen-argyle-central/9-4-2026/?c=1207e51c-ac7d-45a9-bebb-4e801d81ec87","https://www.maxpreps.com/mn/football/game/border-west-wheaton-vs-stephen-argyle-central/9-4-2026/?c=1207e51c-ac7d-45a9-bebb-4e801d81ec87",9547e59
9,"Kelley Silver Bay vs Ogilvie",Football,"Minnesota",09/04/2026,07:00 PM,"The Ogilvie varsity football team has an away non-conference game @ Kelley Silver Bay (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/kelley-silver-bay-vs-ogilvie/9-4-2026/?c=a83fa65c-ac98-429e-9ebb-5b31f2946046","https://www.maxpreps.com/mn/football/game/kelley-silver-bay-vs-ogilvie/9-4-2026/?c=a83fa65c-ac98-429e-9ebb-5b31f2946046",bd5a7d9
10,"Chisago Lakes Area Lindstrom vs Hill Murray Maplewood",Football,"Minnesota",09/04/2026,07:00 PM,"The Hill Murray Maplewood varsity football team has an away non-conference game @ Chisago Lakes Area Lindstrom (Minnesota) on Friday, September 4 @ 7p.","/mn/football/game/chisago-lakes-area-lindstrom-vs-hill-murray-maplewood/9-4-2026/?c=63b026b5-eee3-49f3-93e4-99a92645d14b","https://www.maxpreps.com/mn/football/game/chisago-lakes-area-lindstrom-vs-hill-murray-maplewood/9-4-2026/?c=63b026b5-eee3-49f3-93e4-99a92645d14b",2ab7ea3
