No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Brandon vs Tupelo",Football,"Mississippi",08/28/2026,07:00 PM,"The Tupelo varsity football team has an away non-conference game @ Brandon (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/brandon-vs-tupelo/8-28-2026/?c=00eb7a3f-8ead-41ca-afb4-3567f75bea6c","https://www.maxpreps.com/ms/football/game/brandon-vs-tupelo/8-28-2026/?c=00eb7a3f-8ead-41ca-afb4-3567f75bea6c",da07f21
2,"Gulfport vs Picayune",Football,"Mississippi",08/28/2026,07:00 PM,"The Picayune varsity football team has an away non-conference game @ Gulfport (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/gulfport-vs-picayune/8-28-2026/?c=ddbf2d6f-f0eb-4bad-8c28-4a941fe74a6f","https://www.maxpreps.com/ms/football/game/gulfport-vs-picayune/8-28-2026/?c=ddbf2d6f-f0eb-4bad-8c28-4a941fe74a6f",39cf581
3,"Oak Grove Hattiesburg vs Starkville",Football,"Mississippi",08/28/2026,07:00 PM,"The Starkville varsity football team has an away non-conference game @ Oak Grove Hattiesburg (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/oak-grove-hattiesburg-vs-starkville/8-28-2026/?c=5a06b5f0-f6b3-4523-aa63-0317c6c13667","https://www.maxpreps.com/ms/football/game/oak-grove-hattiesburg-vs-starkville/8-28-2026/?c=5a06b5f0-f6b3-4523-aa63-0317c6c13667",95cc0e1
4,"Lee Academy Clarksdale vs Magnolia Heights Senatobia",Football,"Mississippi",08/28/2026,07:00 PM,"The Magnolia Heights Senatobia varsity football team has an away non-conference game @ Lee Academy Clarksdale (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/lee-academy-clarksdale-vs-magnolia-heights-senatobia/8-28-2026/?c=c9901f97-5929-4bd0-b1f8-11f8dd145b71","https://www.maxpreps.com/ms/football/game/lee-academy-clarksdale-vs-magnolia-heights-senatobia/8-28-2026/?c=c9901f97-5929-4bd0-b1f8-11f8dd145b71",fb9fd93
5,"Northeast Lauderdale Meridian vs Scott Central Forest",Football,"Mississippi",08/28/2026,07:00 PM,"The Scott Central Forest varsity football team has an away non-conference game @ Northeast Lauderdale Meridian (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/northeast-lauderdale-meridian-vs-scott-central-forest/8-28-2026/?c=9ad33385-5144-4187-949a-c4abdacb2bfe","https://www.maxpreps.com/ms/football/game/northeast-lauderdale-meridian-vs-scott-central-forest/8-28-2026/?c=9ad33385-5144-4187-949a-c4abdacb2bfe",b70147f
6,"Noxapater vs Southeast Lauderdale Meridian",Football,"Mississippi",08/28/2026,07:00 PM,"The Southeast Lauderdale Meridian varsity football team has an away non-conference game @ Noxapater (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/noxapater-vs-southeast-lauderdale-meridian/8-28-2026/?c=8d410664-4b44-4463-ae4b-9795c9f616c2","https://www.maxpreps.com/ms/football/game/noxapater-vs-southeast-lauderdale-meridian/8-28-2026/?c=8d410664-4b44-4463-ae4b-9795c9f616c2",464b78b
7,"Potts Camp vs Strayhorn Sarah",Football,"Mississippi",08/28/2026,07:00 PM,"The Strayhorn Sarah varsity football team has an away non-conference game @ Potts Camp (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/potts-camp-vs-strayhorn-sarah/8-28-2026/?c=0ad48e21-75a2-4850-a5eb-8b6bda61ba44","https://www.maxpreps.com/ms/football/game/potts-camp-vs-strayhorn-sarah/8-28-2026/?c=0ad48e21-75a2-4850-a5eb-8b6bda61ba44",2d604cc
8,"Clarkdale Meridian vs Resurrection Catholic Pascagoula",Football,"Mississippi",08/28/2026,07:00 PM,"The Resurrection Catholic Pascagoula varsity football team has an away non-conference game @ Clarkdale Meridian (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/clarkdale-meridian-vs-resurrection-catholic-pascagoula/8-28-2026/?c=8a7ef90d-006a-4a3d-9b9e-0caf00af5fb7","https://www.maxpreps.com/ms/football/game/clarkdale-meridian-vs-resurrection-catholic-pascagoula/8-28-2026/?c=8a7ef90d-006a-4a3d-9b9e-0caf00af5fb7",dd40a1b
9,"St Joseph Catholic Madison vs St Joseph Greenville",Football,"Mississippi",08/28/2026,07:00 PM,"The St Joseph Greenville varsity football team has an away non-conference game @ St Joseph Catholic Madison (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/st-joseph-catholic-madison-vs-st-joseph-greenville/8-28-2026/?c=63d2b623-76cd-43e3-9aaf-9b8b32948bf6","https://www.maxpreps.com/ms/football/game/st-joseph-catholic-madison-vs-st-joseph-greenville/8-28-2026/?c=63d2b623-76cd-43e3-9aaf-9b8b32948bf6",84b0aa7
10,"Biloxi vs Holmes County Central Lexington",Football,"Mississippi",08/28/2026,07:00 PM,"The Holmes County Central Lexington varsity football team has an away non-conference game @ Biloxi (Mississippi) on Thursday, August 27 @ 7p.","/ms/football/game/biloxi-vs-holmes-county-central-lexington/8-28-2026/?c=1fef3276-c66e-4079-95fc-13cb1ddfa6ed","https://www.maxpreps.com/ms/football/game/biloxi-vs-holmes-county-central-lexington/8-28-2026/?c=1fef3276-c66e-4079-95fc-13cb1ddfa6ed",1de895c
