No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Christian Brothers College St Louis vs St Louis University",Football,"Missouri",09/04/2026,07:00 PM,"The St Louis University varsity football team has an away non-conference game @ Christian Brothers College St Louis (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/christian-brothers-college-st-louis-vs-st-louis-university/9-4-2026/?c=f4e1f643-cf52-46d0-87c3-15eaf9e5ffb5","https://www.maxpreps.com/mo/football/game/christian-brothers-college-st-louis-vs-st-louis-university/9-4-2026/?c=f4e1f643-cf52-46d0-87c3-15eaf9e5ffb5",c1b3938
2,"Liberty vs Liberty North",Football,"Missouri",09/04/2026,07:00 PM,"The Liberty North varsity football team has an away non-conference game @ Liberty (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/liberty-vs-liberty-north/9-4-2026/?c=2556ff77-c4aa-4e73-b9d7-0e2e61ed5c51","https://www.maxpreps.com/mo/football/game/liberty-vs-liberty-north/9-4-2026/?c=2556ff77-c4aa-4e73-b9d7-0e2e61ed5c51",634f11a
3,"Bishop Leblond St Joseph vs Schuyler County Lancaster",Football,"Missouri",09/04/2026,07:00 PM,"The Schuyler County Lancaster varsity football team has an away non-conference game @ Bishop Leblond St Joseph (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/bishop-leblond-st-joseph-vs-schuyler-county-lancaster/9-4-2026/?c=668cc422-f942-485c-aa95-423f626f93c0","https://www.maxpreps.com/mo/football/game/bishop-leblond-st-joseph-vs-schuyler-county-lancaster/9-4-2026/?c=668cc422-f942-485c-aa95-423f626f93c0",e4760d1
4,"Affton St Louis vs Crystal City",Football,"Missouri",09/04/2026,07:00 PM,"The Crystal City varsity football team has an away non-conference game @ Affton St Louis (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/affton-st-louis-vs-crystal-city/9-4-2026/?c=920c4c0c-c192-424d-830f-3e26a62be0f2","https://www.maxpreps.com/mo/football/game/affton-st-louis-vs-crystal-city/9-4-2026/?c=920c4c0c-c192-424d-830f-3e26a62be0f2",3ddef6a
5,"Parkway South Manchester vs Parkway West Ballwin",Football,"Missouri",09/04/2026,07:00 PM,"The Parkway West Ballwin varsity football team has an away non-conference game @ Parkway South Manchester (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/parkway-south-manchester-vs-parkway-west-ballwin/9-4-2026/?c=291eeed0-9403-4bb1-a2cb-6effafdfcb7a","https://www.maxpreps.com/mo/football/game/parkway-south-manchester-vs-parkway-west-ballwin/9-4-2026/?c=291eeed0-9403-4bb1-a2cb-6effafdfcb7a",835924c
6,"Festus vs St Marys South Side St Louis",Football,"Missouri",09/04/2026,07:00 PM,"The St Marys South Side St Louis varsity football team has an away non-conference game @ Festus (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/festus-vs-st-marys-south-side-st-louis/9-4-2026/?c=be28e4d8-bf60-4e92-996a-8bcc1ab376e6","https://www.maxpreps.com/mo/football/game/festus-vs-st-marys-south-side-st-louis/9-4-2026/?c=be28e4d8-bf60-4e92-996a-8bcc1ab376e6",feb53eb
7,"Keytesville Northwestern vs Osceola",Football,"Missouri",09/04/2026,07:00 PM,"The Osceola varsity football team has an away non-conference game @ Keytesville Northwestern (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/keytesville-northwestern-vs-osceola/9-4-2026/?c=03b75220-e9b9-48d0-905d-b18cca7b58b8","https://www.maxpreps.com/mo/football/game/keytesville-northwestern-vs-osceola/9-4-2026/?c=03b75220-e9b9-48d0-905d-b18cca7b58b8",d57066d
8,"Micds St Louis vs Richmond",Football,"Missouri",09/04/2026,07:00 PM,"The Richmond varsity football team has an away non-conference game @ Micds St Louis (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/micds-st-louis-vs-richmond/9-4-2026/?c=9b80f4ab-1431-425f-8443-946929fd8c04","https://www.maxpreps.com/mo/football/game/micds-st-louis-vs-richmond/9-4-2026/?c=9b80f4ab-1431-425f-8443-946929fd8c04",1aeed2e
9,"Blair Oaks Jefferson City vs Lutheran North St Louis",Football,"Missouri",09/04/2026,07:00 PM,"The Lutheran North St Louis varsity football team has an away non-conference game @ Blair Oaks Jefferson City (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/blair-oaks-jefferson-city-vs-lutheran-north-st-louis/9-4-2026/?c=93e39ec1-93c3-44dc-b04a-07e775b688ef","https://www.maxpreps.com/mo/football/game/blair-oaks-jefferson-city-vs-lutheran-north-st-louis/9-4-2026/?c=93e39ec1-93c3-44dc-b04a-07e775b688ef",d774f9c
10,"Jennings vs Ritenour Overland",Football,"Missouri",09/04/2026,07:00 PM,"The Ritenour Overland varsity football team has an away non-conference game @ Jennings (Missouri) on Friday, September 4 @ 7p.","/mo/football/game/jennings-vs-ritenour-overland/9-4-2026/?c=5da714f6-e876-4bb5-af90-f4000f891443","https://www.maxpreps.com/mo/football/game/jennings-vs-ritenour-overland/9-4-2026/?c=5da714f6-e876-4bb5-af90-f4000f891443",7536728
