No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Lame Deer vs Twin Bridges",Football,"Montana",09/05/2026,07:00 PM,"The Twin Bridges varsity football team has an away non-conference game @ Lame Deer (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/lame-deer-vs-twin-bridges/9-5-2026/?c=1618c7e0-a4ca-447c-8fd9-50a597ac7115","https://www.maxpreps.com/mt/football/game/lame-deer-vs-twin-bridges/9-5-2026/?c=1618c7e0-a4ca-447c-8fd9-50a597ac7115",af667c4
2,"St Regis vs Troy",Football,"Montana",09/05/2026,07:00 PM,"The Troy varsity football team has an away non-conference game @ St Regis (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/st-regis-vs-troy/9-5-2026/?c=be5af2cb-056e-4baf-a0ba-0b383ea806ca","https://www.maxpreps.com/mt/football/game/st-regis-vs-troy/9-5-2026/?c=be5af2cb-056e-4baf-a0ba-0b383ea806ca",d08c022
3,"Denton Stanford Geyser Geraldine vs Power Dutton Brady",Football,"Montana",09/05/2026,07:00 PM,"The Power Dutton Brady varsity football team has an away non-conference game @ Denton Stanford Geyser Geraldine (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/denton-stanford-geyser-geraldine-vs-power-dutton-brady/9-5-2026/?c=e9982694-0d8e-4f92-ae15-2797aa8040b8","https://www.maxpreps.com/mt/football/game/denton-stanford-geyser-geraldine-vs-power-dutton-brady/9-5-2026/?c=e9982694-0d8e-4f92-ae15-2797aa8040b8",df2cfc2
4,"Chester Joplin Inverness vs Garfield County Jordan",Football,"Montana",09/05/2026,07:00 PM,"The Garfield County Jordan varsity football team has an away non-conference game @ Chester Joplin Inverness (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/chester-joplin-inverness-vs-garfield-county-jordan/9-5-2026/?c=2afb8b3d-3e34-41df-999b-a7709cb1f0a9","https://www.maxpreps.com/mt/football/game/chester-joplin-inverness-vs-garfield-county-jordan/9-5-2026/?c=2afb8b3d-3e34-41df-999b-a7709cb1f0a9",f511f03
5,"Heart Butte vs Plenty Coups Pryor",Football,"Montana",09/05/2026,07:00 PM,"The Plenty Coups Pryor varsity football team has an away non-conference game @ Heart Butte (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/heart-butte-vs-plenty-coups-pryor/9-5-2026/?c=756cbbd8-7315-4c58-b303-d8328ad08bc7","https://www.maxpreps.com/mt/football/game/heart-butte-vs-plenty-coups-pryor/9-5-2026/?c=756cbbd8-7315-4c58-b303-d8328ad08bc7",e008fca
6,"Gardiner vs West Yellowstone",Football,"Montana",09/05/2026,07:00 PM,"The West Yellowstone varsity football team has an away non-conference game @ Gardiner (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/gardiner-vs-west-yellowstone/9-5-2026/?c=251ba39a-9805-4b17-8320-647f9a41a6fa","https://www.maxpreps.com/mt/football/game/gardiner-vs-west-yellowstone/9-5-2026/?c=251ba39a-9805-4b17-8320-647f9a41a6fa",bef9699
7,"Box Elder vs Simms",Football,"Montana",09/05/2026,07:00 PM,"The Simms varsity football team has an away non-conference game @ Box Elder (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/box-elder-vs-simms/9-5-2026/?c=2eed4956-9ed2-4f50-8524-d26ee7d7bd25","https://www.maxpreps.com/mt/football/game/box-elder-vs-simms/9-5-2026/?c=2eed4956-9ed2-4f50-8524-d26ee7d7bd25",c91e91f
8,"Powder River County Broadus vs Savage",Football,"Montana",09/05/2026,07:00 PM,"The Savage varsity football team has an away non-conference game @ Powder River County Broadus (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/powder-river-county-broadus-vs-savage/9-5-2026/?c=a8275f5b-1ec3-4dee-84a8-deddf2732aac","https://www.maxpreps.com/mt/football/game/powder-river-county-broadus-vs-savage/9-5-2026/?c=a8275f5b-1ec3-4dee-84a8-deddf2732aac",63ab52c
9,"Bainville vs Terry",Football,"Montana",09/05/2026,07:00 PM,"The Terry varsity football team has an away non-conference game @ Bainville (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/bainville-vs-terry/9-5-2026/?c=55d0a951-a1ff-4667-87a2-b40f467998e5","https://www.maxpreps.com/mt/football/game/bainville-vs-terry/9-5-2026/?c=55d0a951-a1ff-4667-87a2-b40f467998e5",f8ad650
10,"Brockton vs Plevna",Football,"Montana",09/05/2026,07:00 PM,"The Plevna varsity football team has an away non-conference game @ Brockton (Montana) on Saturday, September 5 @ 7p.","/mt/football/game/brockton-vs-plevna/9-5-2026/?c=3123eedb-1cdd-42e6-b950-baf4a43d5ee8","https://www.maxpreps.com/mt/football/game/brockton-vs-plevna/9-5-2026/?c=3123eedb-1cdd-42e6-b950-baf4a43d5ee8",faf78ea
