No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Carlin vs Mcdermitt",Football,"Nevada",09/04/2026,07:00 PM,"The Mcdermitt varsity football team has an away non-conference game @ Carlin (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/carlin-vs-mcdermitt/9-4-2026/?c=db936ca2-3123-4669-a723-6bf06404bcf5","https://www.maxpreps.com/nv/football/game/carlin-vs-mcdermitt/9-4-2026/?c=db936ca2-3123-4669-a723-6bf06404bcf5",bc253c6
2,"Virginia City vs Wells",Football,"Nevada",09/04/2026,07:00 PM,"The Wells varsity football team has an away non-conference game @ Virginia City (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/virginia-city-vs-wells/9-4-2026/?c=f3d08609-a427-4396-bbe2-1e89d53970a2","https://www.maxpreps.com/nv/football/game/virginia-city-vs-wells/9-4-2026/?c=f3d08609-a427-4396-bbe2-1e89d53970a2",2105c24
3,"Mineral County Hawthorne vs Owyhee",Football,"Nevada",09/04/2026,07:00 PM,"The Owyhee varsity football team has an away non-conference game @ Mineral County Hawthorne (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/mineral-county-hawthorne-vs-owyhee/9-4-2026/?c=49e71738-9c04-415f-a3b5-ac1046dd73f8","https://www.maxpreps.com/nv/football/game/mineral-county-hawthorne-vs-owyhee/9-4-2026/?c=49e71738-9c04-415f-a3b5-ac1046dd73f8",fb5ca95
4,"Chaparral Las Vegas vs Pahrump Valley",Football,"Nevada",09/04/2026,07:00 PM,"The Pahrump Valley varsity football team has an away non-conference game @ Chaparral Las Vegas (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/chaparral-las-vegas-vs-pahrump-valley/9-4-2026/?c=f44b7ab7-cca9-4a50-93a4-9099a6ee6d4e","https://www.maxpreps.com/nv/football/game/chaparral-las-vegas-vs-pahrump-valley/9-4-2026/?c=f44b7ab7-cca9-4a50-93a4-9099a6ee6d4e",9c7491a
5,"Bonanza Las Vegas vs Del Sol Las Vegas",Football,"Nevada",09/04/2026,07:00 PM,"The Del Sol Las Vegas varsity football team has an away non-conference game @ Bonanza Las Vegas (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/bonanza-las-vegas-vs-del-sol-las-vegas/9-4-2026/?c=b18c4101-1446-40f7-9176-d95bc06da830","https://www.maxpreps.com/nv/football/game/bonanza-las-vegas-vs-del-sol-las-vegas/9-4-2026/?c=b18c4101-1446-40f7-9176-d95bc06da830",474ec7a
6,"Cimarron Memorial Las Vegas vs Sierra Vista Las Vegas",Football,"Nevada",09/04/2026,07:00 PM,"The Sierra Vista Las Vegas varsity football team has an away non-conference game @ Cimarron Memorial Las Vegas (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/cimarron-memorial-las-vegas-vs-sierra-vista-las-vegas/9-4-2026/?c=ea4493ff-55fa-4106-b7fb-65b13e09ff35","https://www.maxpreps.com/nv/football/game/cimarron-memorial-las-vegas-vs-sierra-vista-las-vegas/9-4-2026/?c=ea4493ff-55fa-4106-b7fb-65b13e09ff35",a226ae7
7,"Boulder City vs Clark Las Vegas",Football,"Nevada",09/04/2026,07:00 PM,"The Clark Las Vegas varsity football team has an away non-conference game @ Boulder City (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/boulder-city-vs-clark-las-vegas/9-4-2026/?c=654bc694-3830-4b7e-bd3e-c224c4849414","https://www.maxpreps.com/nv/football/game/boulder-city-vs-clark-las-vegas/9-4-2026/?c=654bc694-3830-4b7e-bd3e-c224c4849414",f0c75df
8,"Desert Oasis Las Vegas vs Spring Valley Las Vegas",Football,"Nevada",09/04/2026,07:00 PM,"The Spring Valley Las Vegas varsity football team has an away non-conference game @ Desert Oasis Las Vegas (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/desert-oasis-las-vegas-vs-spring-valley-las-vegas/9-4-2026/?c=975afcb9-40bc-406d-9b3d-e5c326097070","https://www.maxpreps.com/nv/football/game/desert-oasis-las-vegas-vs-spring-valley-las-vegas/9-4-2026/?c=975afcb9-40bc-406d-9b3d-e5c326097070",d82df79
9,"Damonte Ranch Reno vs Wooster Reno",Football,"Nevada",09/04/2026,07:00 PM,"The Wooster Reno varsity football team has an away non-conference game @ Damonte Ranch Reno (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/damonte-ranch-reno-vs-wooster-reno/9-4-2026/?c=d1c4582b-9b66-40bf-bd11-92320e0386ea","https://www.maxpreps.com/nv/football/game/damonte-ranch-reno-vs-wooster-reno/9-4-2026/?c=d1c4582b-9b66-40bf-bd11-92320e0386ea",9c064ef
10,"Spring Creek vs Virgin Valley Mesquite",Football,"Nevada",09/04/2026,07:00 PM,"The Virgin Valley Mesquite varsity football team has an away non-conference game @ Spring Creek (Nevada) on Friday, September 4 @ 7p.","/nv/football/game/spring-creek-vs-virgin-valley-mesquite/9-4-2026/?c=c4365d88-aed6-43f7-bb8d-fee62c1151f7","https://www.maxpreps.com/nv/football/game/spring-creek-vs-virgin-valley-mesquite/9-4-2026/?c=c4365d88-aed6-43f7-bb8d-fee62c1151f7",b6d36bc
