No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Bedford vs Nashua South",Football,"New Hampshire",09/04/2026,07:00 PM,"The Nashua South varsity football team has an away non-conference game @ Bedford (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/bedford-vs-nashua-south/9-4-2026/?c=00ff12fa-6337-4a18-80a1-d19073923382","https://www.maxpreps.com/nh/football/game/bedford-vs-nashua-south/9-4-2026/?c=00ff12fa-6337-4a18-80a1-d19073923382",9071851
2,"Pinkerton Derry vs Salem",Football,"New Hampshire",09/04/2026,07:00 PM,"The Salem varsity football team has an away non-conference game @ Pinkerton Derry (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/pinkerton-derry-vs-salem/9-4-2026/?c=098c3be1-b094-4713-be5e-f64d3225b9e6","https://www.maxpreps.com/nh/football/game/pinkerton-derry-vs-salem/9-4-2026/?c=098c3be1-b094-4713-be5e-f64d3225b9e6",3a8df4e
3,"Bow vs Souhegan Amherst",Football,"New Hampshire",09/04/2026,07:00 PM,"The Souhegan Amherst varsity football team has an away non-conference game @ Bow (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/bow-vs-souhegan-amherst/9-4-2026/?c=aa3f651e-e893-4617-99f4-d39b523dc990","https://www.maxpreps.com/nh/football/game/bow-vs-souhegan-amherst/9-4-2026/?c=aa3f651e-e893-4617-99f4-d39b523dc990",dd4823a
4,"Goffstown vs Merrimack",Football,"New Hampshire",09/04/2026,07:00 PM,"The Merrimack varsity football team has an away non-conference game @ Goffstown (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/goffstown-vs-merrimack/9-4-2026/?c=398e2ff0-f1ce-4ac7-85ea-e544ef9e1d03","https://www.maxpreps.com/nh/football/game/goffstown-vs-merrimack/9-4-2026/?c=398e2ff0-f1ce-4ac7-85ea-e544ef9e1d03",f7b387e
5,"Alvirne Hudson vs Keene",Football,"New Hampshire",09/04/2026,07:00 PM,"The Keene varsity football team has an away non-conference game @ Alvirne Hudson (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/alvirne-hudson-vs-keene/9-4-2026/?c=df06d19f-1e1c-43eb-a59d-47d5789eb921","https://www.maxpreps.com/nh/football/game/alvirne-hudson-vs-keene/9-4-2026/?c=df06d19f-1e1c-43eb-a59d-47d5789eb921",f0213fc
6,"Bishop Guertin Nashua vs Nashua North",Football,"New Hampshire",09/04/2026,07:00 PM,"The Nashua North varsity football team has an away non-conference game @ Bishop Guertin Nashua (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/bishop-guertin-nashua-vs-nashua-north/9-4-2026/?c=aaa19f66-3210-4c4d-b728-8d611859fca6","https://www.maxpreps.com/nh/football/game/bishop-guertin-nashua-vs-nashua-north/9-4-2026/?c=aaa19f66-3210-4c4d-b728-8d611859fca6",68dc931
7,"Londonderry vs Timberlane Plaistow",Football,"New Hampshire",09/04/2026,07:00 PM,"The Timberlane Plaistow varsity football team has an away non-conference game @ Londonderry (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/londonderry-vs-timberlane-plaistow/9-4-2026/?c=49d69da3-6d1e-46a8-ad00-5200166d8f7c","https://www.maxpreps.com/nh/football/game/londonderry-vs-timberlane-plaistow/9-4-2026/?c=49d69da3-6d1e-46a8-ad00-5200166d8f7c",ee058c0
8,"Kearsarge North Sutton vs Monadnock East Swanzey",Football,"New Hampshire",09/04/2026,07:00 PM,"The Monadnock East Swanzey varsity football team has an away non-conference game @ Kearsarge North Sutton (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/kearsarge-north-sutton-vs-monadnock-east-swanzey/9-4-2026/?c=98278966-1142-4bf2-8525-539a55720cd0","https://www.maxpreps.com/nh/football/game/kearsarge-north-sutton-vs-monadnock-east-swanzey/9-4-2026/?c=98278966-1142-4bf2-8525-539a55720cd0",fbb5c11
9,"Manchester Central vs Spaulding Rochester",Football,"New Hampshire",09/04/2026,07:00 PM,"The Spaulding Rochester varsity football team has an away non-conference game @ Manchester Central (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/manchester-central-vs-spaulding-rochester/9-4-2026/?c=0cf02bd4-fd43-4852-99dc-bcafa03b86bd","https://www.maxpreps.com/nh/football/game/manchester-central-vs-spaulding-rochester/9-4-2026/?c=0cf02bd4-fd43-4852-99dc-bcafa03b86bd",56f47eb
10,"Kingswood Wolfeboro vs Pelham",Football,"New Hampshire",09/04/2026,07:00 PM,"The Pelham varsity football team has an away non-conference game @ Kingswood Wolfeboro (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/kingswood-wolfeboro-vs-pelham/9-4-2026/?c=0943eb0e-0692-4676-85a0-32b09e86f924","https://www.maxpreps.com/nh/football/game/kingswood-wolfeboro-vs-pelham/9-4-2026/?c=0943eb0e-0692-4676-85a0-32b09e86f924",ed1b8c3
11,"Hanover Bears vs Plymouth",Football,"New Hampshire",09/04/2026,07:00 PM,"The Plymouth varsity football team has an away non-conference game @ Hanover Bears (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/hanover-bears-vs-plymouth/9-4-2026/?c=7736b4df-6b28-4738-8787-108d61cdaa24","https://www.maxpreps.com/nh/football/game/hanover-bears-vs-plymouth/9-4-2026/?c=7736b4df-6b28-4738-8787-108d61cdaa24",1a2e91c
12,"Portsmouth Oyster River vs Winnacunnet Hampton",Football,"New Hampshire",09/04/2026,07:00 PM,"The Winnacunnet Hampton varsity football team has an away non-conference game @ Portsmouth Oyster River (New Hampshire) on Thursday, August 27 @ 7p.","/nh/football/game/portsmouth-oyster-river-vs-winnacunnet-hampton/9-4-2026/?c=5ae8e468-d4eb-43c5-a07a-c5d9796aeca6","https://www.maxpreps.com/nh/football/game/portsmouth-oyster-river-vs-winnacunnet-hampton/9-4-2026/?c=5ae8e468-d4eb-43c5-a07a-c5d9796aeca6",087f8f7
