No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Kinnelon vs West Deptford Westville",Football,"New Jersey",08/28/2026,07:00 PM,"The West Deptford Westville varsity football team has an away non-conference game @ Kinnelon (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/kinnelon-vs-west-deptford-westville/8-28-2026/?c=ab5a24d2-697e-4c96-90fb-d15b37a15f6a","https://www.maxpreps.com/nj/football/game/kinnelon-vs-west-deptford-westville/8-28-2026/?c=ab5a24d2-697e-4c96-90fb-d15b37a15f6a",955c2ba
2,"Keyport vs Whippany Park",Football,"New Jersey",08/28/2026,07:00 PM,"The Whippany Park varsity football team has an away non-conference game @ Keyport (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/keyport-vs-whippany-park/8-28-2026/?c=df9c2f9e-579f-4642-871e-544431a13be2","https://www.maxpreps.com/nj/football/game/keyport-vs-whippany-park/8-28-2026/?c=df9c2f9e-579f-4642-871e-544431a13be2",02a15d4
3,"Keyport Hudson Regional vs Whippany Park",Football,"New Jersey",08/28/2026,07:00 PM,"The Whippany Park varsity football team has an away non-conference game @ Keyport Hudson Regional (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/keyport-hudson-regional-vs-whippany-park/8-28-2026/?c=ec02ee2f-86a6-4fe4-9638-71ef3d5c7744","https://www.maxpreps.com/nj/football/game/keyport-hudson-regional-vs-whippany-park/8-28-2026/?c=ec02ee2f-86a6-4fe4-9638-71ef3d5c7744",71bd22b
4,"Camden Catholic Cherry Hill vs Pennsauken",Football,"New Jersey",08/28/2026,07:00 PM,"The Pennsauken varsity football team has an away non-conference game @ Camden Catholic Cherry Hill (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/camden-catholic-cherry-hill-vs-pennsauken/8-28-2026/?c=72c2f086-cb2c-4aac-931a-7a52c33a5f69","https://www.maxpreps.com/nj/football/game/camden-catholic-cherry-hill-vs-pennsauken/8-28-2026/?c=72c2f086-cb2c-4aac-931a-7a52c33a5f69",1617610
5,"Dayton Springfield vs Governor Livingston Berkeley Heights",Football,"New Jersey",08/28/2026,07:00 PM,"The Governor Livingston Berkeley Heights varsity football team has an away non-conference game @ Dayton Springfield (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/dayton-springfield-vs-governor-livingston-berkeley-heights/8-28-2026/?c=ba68f06e-528b-4ff4-967c-f3a8de13429d","https://www.maxpreps.com/nj/football/game/dayton-springfield-vs-governor-livingston-berkeley-heights/8-28-2026/?c=ba68f06e-528b-4ff4-967c-f3a8de13429d",67e10d5
6,"Colonia vs Summit",Football,"New Jersey",08/28/2026,07:00 PM,"The Summit varsity football team has an away non-conference game @ Colonia (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/colonia-vs-summit/8-28-2026/?c=f795bc0f-774a-4504-b007-c56c6961bbaa","https://www.maxpreps.com/nj/football/game/colonia-vs-summit/8-28-2026/?c=f795bc0f-774a-4504-b007-c56c6961bbaa",2914de8
7,"Rancocas Valley Mt Holly vs Wayne Valley",Football,"New Jersey",08/28/2026,07:00 PM,"The Wayne Valley varsity football team has an away non-conference game @ Rancocas Valley Mt Holly (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/rancocas-valley-mt-holly-vs-wayne-valley/8-28-2026/?c=230e7abe-8a40-4388-976b-a7910580e530","https://www.maxpreps.com/nj/football/game/rancocas-valley-mt-holly-vs-wayne-valley/8-28-2026/?c=230e7abe-8a40-4388-976b-a7910580e530",e03b6d1
8,"Cherry Hill East vs Delran",Football,"New Jersey",08/28/2026,07:00 PM,"The Delran varsity football team has an away non-conference game @ Cherry Hill East (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/cherry-hill-east-vs-delran/8-28-2026/?c=75df8e21-a686-433c-9689-7e0994a32865","https://www.maxpreps.com/nj/football/game/cherry-hill-east-vs-delran/8-28-2026/?c=75df8e21-a686-433c-9689-7e0994a32865",ec76e8d
9,"Manasquan vs Westwood Washington Township",Football,"New Jersey",08/28/2026,07:00 PM,"The Westwood Washington Township varsity football team has an away non-conference game @ Manasquan (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/manasquan-vs-westwood-washington-township/8-28-2026/?c=39c670b8-b67b-4a0d-a984-2a62ad5d4c80","https://www.maxpreps.com/nj/football/game/manasquan-vs-westwood-washington-township/8-28-2026/?c=39c670b8-b67b-4a0d-a984-2a62ad5d4c80",403ed9d
10,"Old Bridge vs Shawnee Medford",Football,"New Jersey",08/28/2026,07:00 PM,"The Shawnee Medford varsity football team has an away non-conference game @ Old Bridge (New Jersey) on Friday, August 28 @ 7p.","/nj/football/game/old-bridge-vs-shawnee-medford/8-28-2026/?c=2ea22802-b62d-4773-a968-343808a3d6bf","https://www.maxpreps.com/nj/football/game/old-bridge-vs-shawnee-medford/8-28-2026/?c=2ea22802-b62d-4773-a968-343808a3d6bf",2b6d4b6
