No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Las Cruces vs Mayfield Las Cruces",Football,"New Mexico",09/04/2026,07:00 PM,"The Mayfield Las Cruces varsity football team has an away non-conference game @ Las Cruces (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/las-cruces-vs-mayfield-las-cruces/9-4-2026/?c=266d5012-007f-4d3b-a784-8f606fc13f5a","https://www.maxpreps.com/nm/football/game/las-cruces-vs-mayfield-las-cruces/9-4-2026/?c=266d5012-007f-4d3b-a784-8f606fc13f5a",161a293
2,"Animas vs Logan",Football,"New Mexico",09/04/2026,07:00 PM,"The Logan varsity football team has an away non-conference game @ Animas (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/animas-vs-logan/9-4-2026/?c=3cf3bcc3-3c18-4572-9abf-3450f7dc4f37","https://www.maxpreps.com/nm/football/game/animas-vs-logan/9-4-2026/?c=3cf3bcc3-3c18-4572-9abf-3450f7dc4f37",e148556
3,"Bloomfield vs Taos",Football,"New Mexico",09/04/2026,07:00 PM,"The Taos varsity football team has an away non-conference game @ Bloomfield (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/bloomfield-vs-taos/9-4-2026/?c=b22ae6c6-f080-412f-998e-28fe7fb37760","https://www.maxpreps.com/nm/football/game/bloomfield-vs-taos/9-4-2026/?c=b22ae6c6-f080-412f-998e-28fe7fb37760",f79dc0c
4,"Gallup vs West Las Vegas",Football,"New Mexico",09/04/2026,07:00 PM,"The West Las Vegas varsity football team has an away non-conference game @ Gallup (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/gallup-vs-west-las-vegas/9-4-2026/?c=5591ee48-f155-4865-ad79-d200e7288d3f","https://www.maxpreps.com/nm/football/game/gallup-vs-west-las-vegas/9-4-2026/?c=5591ee48-f155-4865-ad79-d200e7288d3f",1077ea5
5,"Aztec vs Pojoaque Valley",Football,"New Mexico",09/04/2026,07:00 PM,"The Pojoaque Valley varsity football team has an away non-conference game @ Aztec (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/aztec-vs-pojoaque-valley/9-4-2026/?c=ddbd0350-4324-475d-a48d-c619f90e83b9","https://www.maxpreps.com/nm/football/game/aztec-vs-pojoaque-valley/9-4-2026/?c=ddbd0350-4324-475d-a48d-c619f90e83b9",e25bd49
6,"Dora vs Mountainair",Football,"New Mexico",09/04/2026,07:00 PM,"The Mountainair varsity football team has an away non-conference game @ Dora (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/dora-vs-mountainair/9-4-2026/?c=29ca0700-f060-4162-ad5b-893e7d8513f6","https://www.maxpreps.com/nm/football/game/dora-vs-mountainair/9-4-2026/?c=29ca0700-f060-4162-ad5b-893e7d8513f6",17e6cbc
7,"Navajo Prep Farmington vs Zuni",Football,"New Mexico",09/04/2026,07:00 PM,"The Zuni varsity football team has an away non-conference game @ Navajo Prep Farmington (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/navajo-prep-farmington-vs-zuni/9-4-2026/?c=16ea5ece-2d5a-4f19-9faa-0aae4e7a77e7","https://www.maxpreps.com/nm/football/game/navajo-prep-farmington-vs-zuni/9-4-2026/?c=16ea5ece-2d5a-4f19-9faa-0aae4e7a77e7",653d574
8,"Clovis vs Santa Fe",Football,"New Mexico",09/04/2026,07:00 PM,"The Santa Fe varsity football team has an away non-conference game @ Clovis (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/clovis-vs-santa-fe/9-4-2026/?c=4c8a225b-be5b-4079-91ac-b4ffefe3d236","https://www.maxpreps.com/nm/football/game/clovis-vs-santa-fe/9-4-2026/?c=4c8a225b-be5b-4079-91ac-b4ffefe3d236",d21e61d
9,"Goddard Roswell vs Los Lunas",Football,"New Mexico",09/04/2026,07:00 PM,"The Los Lunas varsity football team has an away non-conference game @ Goddard Roswell (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/goddard-roswell-vs-los-lunas/9-4-2026/?c=f35b428e-94bf-4bdd-919f-05756c1b86a6","https://www.maxpreps.com/nm/football/game/goddard-roswell-vs-los-lunas/9-4-2026/?c=f35b428e-94bf-4bdd-919f-05756c1b86a6",d953446
10,"Lordsburg vs Navajo Pine",Football,"New Mexico",09/04/2026,07:00 PM,"The Navajo Pine varsity football team has an away non-conference game @ Lordsburg (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/lordsburg-vs-navajo-pine/9-4-2026/?c=85aa0cdf-f597-4a99-8b70-d89907521662","https://www.maxpreps.com/nm/football/game/lordsburg-vs-navajo-pine/9-4-2026/?c=85aa0cdf-f597-4a99-8b70-d89907521662",535a475
11,"Miyamura Gallup vs Valencia Los Lunas",Football,"New Mexico",09/04/2026,07:00 PM,"The Valencia Los Lunas varsity football team has an away non-conference game @ Miyamura Gallup (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/miyamura-gallup-vs-valencia-los-lunas/9-4-2026/?c=edd38131-c549-4836-bea5-0ae32df9cac3","https://www.maxpreps.com/nm/football/game/miyamura-gallup-vs-valencia-los-lunas/9-4-2026/?c=edd38131-c549-4836-bea5-0ae32df9cac3",313f8ce
12,"Rio Grande Albuquerque vs Valley Albuquerque",Football,"New Mexico",09/04/2026,07:00 PM,"The Valley Albuquerque varsity football team has an away non-conference game @ Rio Grande Albuquerque (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/rio-grande-albuquerque-vs-valley-albuquerque/9-4-2026/?c=16073318-a5f1-4529-bce2-b19807861818","https://www.maxpreps.com/nm/football/game/rio-grande-albuquerque-vs-valley-albuquerque/9-4-2026/?c=16073318-a5f1-4529-bce2-b19807861818",5f298a9
13,"Carlsbad Cavemen Cavegirls vs Lovington",Football,"New Mexico",09/04/2026,07:00 PM,"The Lovington varsity football team has an away non-conference game @ Carlsbad Cavemen Cavegirls (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/carlsbad-cavemen-cavegirls-vs-lovington/9-4-2026/?c=06885f7b-8290-4b66-ab0b-4d5a932a2680","https://www.maxpreps.com/nm/football/game/carlsbad-cavemen-cavegirls-vs-lovington/9-4-2026/?c=06885f7b-8290-4b66-ab0b-4d5a932a2680",caf5372
14,"La Cueva Albuquerque vs Volcano Vista Albuquerque",Football,"New Mexico",09/04/2026,07:00 PM,"The Volcano Vista Albuquerque varsity football team has an away non-conference game @ La Cueva Albuquerque (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/la-cueva-albuquerque-vs-volcano-vista-albuquerque/9-4-2026/?c=cbbb4772-aee2-44bf-80f6-e3e4fcf5d1c8","https://www.maxpreps.com/nm/football/game/la-cueva-albuquerque-vs-volcano-vista-albuquerque/9-4-2026/?c=cbbb4772-aee2-44bf-80f6-e3e4fcf5d1c8",5736fba
15,"Fort Sumner House vs Melrose",Football,"New Mexico",09/04/2026,07:00 PM,"The Melrose varsity football team has an away non-conference game @ Fort Sumner House (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/fort-sumner-house-vs-melrose/9-4-2026/?c=6ba424e4-f97d-4dc9-89c0-67204ff6ea89","https://www.maxpreps.com/nm/football/game/fort-sumner-house-vs-melrose/9-4-2026/?c=6ba424e4-f97d-4dc9-89c0-67204ff6ea89",584e268
16,"Dexter vs Ruidoso",Football,"New Mexico",09/04/2026,07:00 PM,"The Ruidoso varsity football team has an away non-conference game @ Dexter (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/dexter-vs-ruidoso/9-4-2026/?c=afb6235f-5e8b-4935-bbe8-ccd9d09f9196","https://www.maxpreps.com/nm/football/game/dexter-vs-ruidoso/9-4-2026/?c=afb6235f-5e8b-4935-bbe8-ccd9d09f9196",9d6c710
17,"Albuquerque Academy vs Moriarty",Football,"New Mexico",09/04/2026,07:00 PM,"The Moriarty varsity football team has an away non-conference game @ Albuquerque Academy (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/albuquerque-academy-vs-moriarty/9-4-2026/?c=3881fd7f-ddb4-4319-9e8c-d22193d8fb2d","https://www.maxpreps.com/nm/football/game/albuquerque-academy-vs-moriarty/9-4-2026/?c=3881fd7f-ddb4-4319-9e8c-d22193d8fb2d",aa7fd84
18,"Menaul Albuquerque vs Ramah",Football,"New Mexico",09/04/2026,07:00 PM,"The Ramah varsity football team has an away non-conference game @ Menaul Albuquerque (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/menaul-albuquerque-vs-ramah/9-4-2026/?c=4a6c3a46-2ac2-400d-8ba8-5e16c124a591","https://www.maxpreps.com/nm/football/game/menaul-albuquerque-vs-ramah/9-4-2026/?c=4a6c3a46-2ac2-400d-8ba8-5e16c124a591",a968bb0
19,"Cuba vs Thoreau",Football,"New Mexico",09/04/2026,07:00 PM,"The Thoreau varsity football team has an away non-conference game @ Cuba (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/cuba-vs-thoreau/9-4-2026/?c=328a5c28-2b12-4550-a5c1-d422660c0977","https://www.maxpreps.com/nm/football/game/cuba-vs-thoreau/9-4-2026/?c=328a5c28-2b12-4550-a5c1-d422660c0977",10b5526
20,"Eldorado Golden Eagles Albuquerque vs Sandia Albuquerque",Football,"New Mexico",09/04/2026,07:00 PM,"The Sandia Albuquerque varsity football team has an away non-conference game @ Eldorado Golden Eagles Albuquerque (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/eldorado-golden-eagles-albuquerque-vs-sandia-albuquerque/9-4-2026/?c=f6c65a3d-4c07-4bbb-91fd-212a609f6a91","https://www.maxpreps.com/nm/football/game/eldorado-golden-eagles-albuquerque-vs-sandia-albuquerque/9-4-2026/?c=f6c65a3d-4c07-4bbb-91fd-212a609f6a91",f518921
21,"Floyd Nm vs Non Varsity Opponent Intl",Football,"New Mexico",09/04/2026,07:00 PM,"The Non Varsity Opponent Intl varsity football team has an away non-conference game @ Floyd Nm (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/floyd-nm-vs-non-varsity-opponent-intl/9-4-2026/?c=d90fa905-303e-4aba-a7d0-c350ee84d511","https://www.maxpreps.com/nm/football/game/floyd-nm-vs-non-varsity-opponent-intl/9-4-2026/?c=d90fa905-303e-4aba-a7d0-c350ee84d511",685c08c
22,"Santa Fe Indian Braves And Lady Braves vs Tohatchi",Football,"New Mexico",09/04/2026,07:00 PM,"The Tohatchi varsity football team has an away non-conference game @ Santa Fe Indian Braves And Lady Braves (New Mexico) on Friday, September 4 @ 7p.","/nm/football/game/santa-fe-indian-braves-and-lady-braves-vs-tohatchi/9-4-2026/?c=09440262-c699-4e35-89e9-98529b7430de","https://www.maxpreps.com/nm/football/game/santa-fe-indian-braves-and-lady-braves-vs-tohatchi/9-4-2026/?c=09440262-c699-4e35-89e9-98529b7430de",899e7c5
