No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Canisius Buffalo vs Health Sciences Buffalo Academy Of Science Global Concepts",Football,"New York",09/05/2026,07:00 PM,"The Health Sciences Buffalo Academy Of Science Global Concepts varsity football team has an away non-conference game @ Canisius Buffalo (New York) on Saturday, September 5 @ 7p.","/ny/football/game/canisius-buffalo-vs-health-sciences-buffalo-academy-of-science-global-concepts/9-5-2026/?c=9c97885d-ef4b-4b5a-8853-758f96970fec","https://www.maxpreps.com/ny/football/game/canisius-buffalo-vs-health-sciences-buffalo-academy-of-science-global-concepts/9-5-2026/?c=9c97885d-ef4b-4b5a-8853-758f96970fec",dc26029
2,"Edison Tech Rochester vs Monroe Rochester",Football,"New York",09/05/2026,07:00 PM,"The Monroe Rochester varsity football team has an away non-conference game @ Edison Tech Rochester (New York) on Saturday, September 5 @ 7p.","/ny/football/game/edison-tech-rochester-vs-monroe-rochester/9-5-2026/?c=ae8ca1f9-3383-4045-b1af-5485425d8fe9","https://www.maxpreps.com/ny/football/game/edison-tech-rochester-vs-monroe-rochester/9-5-2026/?c=ae8ca1f9-3383-4045-b1af-5485425d8fe9",8259307
3,"Port Jervis Raiders vs Waverly",Football,"New York",09/05/2026,07:00 PM,"The Waverly varsity football team has an away non-conference game @ Port Jervis Raiders (New York) on Saturday, September 5 @ 7p.","/ny/football/game/port-jervis-raiders-vs-waverly/9-5-2026/?c=85f13524-84f9-4959-8eec-ae87835c15f1","https://www.maxpreps.com/ny/football/game/port-jervis-raiders-vs-waverly/9-5-2026/?c=85f13524-84f9-4959-8eec-ae87835c15f1",d8e12e4
4,"Edgemont Scarsdale vs Irvington",Football,"New York",09/05/2026,07:00 PM,"The Irvington varsity football team has an away non-conference game @ Edgemont Scarsdale (New York) on Saturday, September 5 @ 7p.","/ny/football/game/edgemont-scarsdale-vs-irvington/9-5-2026/?c=cded0c09-2ddc-40db-a5a2-e083639342a8","https://www.maxpreps.com/ny/football/game/edgemont-scarsdale-vs-irvington/9-5-2026/?c=cded0c09-2ddc-40db-a5a2-e083639342a8",165d3cb
5,"Cardinal Spellman Bronx vs Douglass Academy New York",Football,"New York",09/05/2026,07:00 PM,"The Douglass Academy New York varsity football team has an away non-conference game @ Cardinal Spellman Bronx (New York) on Saturday, September 5 @ 7p.","/ny/football/game/cardinal-spellman-bronx-vs-douglass-academy-new-york/9-5-2026/?c=1b1d50b8-f28c-48ed-b2b1-5170ed339a50","https://www.maxpreps.com/ny/football/game/cardinal-spellman-bronx-vs-douglass-academy-new-york/9-5-2026/?c=1b1d50b8-f28c-48ed-b2b1-5170ed339a50",3f952d3
6,"Eagle Academy Iii Queens vs St John The Baptist West Islip",Football,"New York",09/05/2026,07:00 PM,"The St John The Baptist West Islip varsity football team has an away non-conference game @ Eagle Academy Iii Queens (New York) on Saturday, September 5 @ 7p.","/ny/football/game/eagle-academy-iii-queens-vs-st-john-the-baptist-west-islip/9-5-2026/?c=95977d51-58f8-4d9e-8926-15d23e062809","https://www.maxpreps.com/ny/football/game/eagle-academy-iii-queens-vs-st-john-the-baptist-west-islip/9-5-2026/?c=95977d51-58f8-4d9e-8926-15d23e062809",6513d9c
7,"Randolph Campus New York vs Xavier New York",Football,"New York",09/05/2026,07:00 PM,"The Xavier New York varsity football team has an away non-conference game @ Randolph Campus New York (New York) on Saturday, September 5 @ 7p.","/ny/football/game/randolph-campus-new-york-vs-xavier-new-york/9-5-2026/?c=fe0fccc1-9ef6-4f9d-8fd3-7326efa344bc","https://www.maxpreps.com/ny/football/game/randolph-campus-new-york-vs-xavier-new-york/9-5-2026/?c=fe0fccc1-9ef6-4f9d-8fd3-7326efa344bc",15464fd
8,"Holy Cross Flushing vs St Marys Lancaster",Football,"New York",09/05/2026,07:00 PM,"The St Marys Lancaster varsity football team has an away non-conference game @ Holy Cross Flushing (New York) on Saturday, September 5 @ 7p.","/ny/football/game/holy-cross-flushing-vs-st-marys-lancaster/9-5-2026/?c=eb582822-b866-4b57-a9f1-74a9b4f9f9e1","https://www.maxpreps.com/ny/football/game/holy-cross-flushing-vs-st-marys-lancaster/9-5-2026/?c=eb582822-b866-4b57-a9f1-74a9b4f9f9e1",e5241a8
9,"Bishop Timon St Jude Buffalo vs University Prep Rochester",Football,"New York",09/05/2026,07:00 PM,"The University Prep Rochester varsity football team has an away non-conference game @ Bishop Timon St Jude Buffalo (New York) on Saturday, September 5 @ 7p.","/ny/football/game/bishop-timon-st-jude-buffalo-vs-university-prep-rochester/9-5-2026/?c=3aa6d857-4e7d-4b6a-a201-d5c8653181c0","https://www.maxpreps.com/ny/football/game/bishop-timon-st-jude-buffalo-vs-university-prep-rochester/9-5-2026/?c=3aa6d857-4e7d-4b6a-a201-d5c8653181c0",ec106d4
10,"Port Chester vs Rye Neck Mamaroneck",Football,"New York",09/05/2026,07:00 PM,"The Rye Neck Mamaroneck varsity football team has an away non-conference game @ Port Chester (New York) on Saturday, September 5 @ 7p.","/ny/football/game/port-chester-vs-rye-neck-mamaroneck/9-5-2026/?c=56ee6afe-8633-407e-a48f-dc2d52fe53cc","https://www.maxpreps.com/ny/football/game/port-chester-vs-rye-neck-mamaroneck/9-5-2026/?c=56ee6afe-8633-407e-a48f-dc2d52fe53cc",5126ac2
