No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Ballantyne Ridge Charlotte vs Marvin Ridge Waxhaw",Football,"North Carolina",08/27/2026,07:00 PM,"The Marvin Ridge Waxhaw varsity football team has an away non-conference game @ Ballantyne Ridge Charlotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/ballantyne-ridge-charlotte-vs-marvin-ridge-waxhaw/8-27-2026/?c=1f259c31-94cc-41d1-aaa8-2b49164aee1e","https://www.maxpreps.com/nc/football/game/ballantyne-ridge-charlotte-vs-marvin-ridge-waxhaw/8-27-2026/?c=1f259c31-94cc-41d1-aaa8-2b49164aee1e",9a35646
2,"West Brunswick Shallotte vs Whiteville",Football,"North Carolina",08/27/2026,07:00 PM,"The Whiteville varsity football team has an away non-conference game @ West Brunswick Shallotte (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/west-brunswick-shallotte-vs-whiteville/8-27-2026/?c=7f847d75-d0db-44d1-bfa4-30058082abef","https://www.maxpreps.com/nc/football/game/west-brunswick-shallotte-vs-whiteville/8-27-2026/?c=7f847d75-d0db-44d1-bfa4-30058082abef",c98adf8
3,"West Craven Vanceboro vs Wilson Prep Tigers",Football,"North Carolina",08/27/2026,07:00 PM,"The Wilson Prep Tigers varsity football team has an away non-conference game @ West Craven Vanceboro (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/west-craven-vanceboro-vs-wilson-prep-tigers/8-27-2026/?c=a08acd2e-e9ad-4120-928f-d11ee53fdb1c","https://www.maxpreps.com/nc/football/game/west-craven-vanceboro-vs-wilson-prep-tigers/8-27-2026/?c=a08acd2e-e9ad-4120-928f-d11ee53fdb1c",395e140
4,"Northampton County Gaston vs Perquimans County Hertford",Football,"North Carolina",08/27/2026,07:00 PM,"The Perquimans County Hertford varsity football team has an away non-conference game @ Northampton County Gaston (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/northampton-county-gaston-vs-perquimans-county-hertford/8-27-2026/?c=710d6565-b855-4cc6-9ce4-7fcc79fc8657","https://www.maxpreps.com/nc/football/game/northampton-county-gaston-vs-perquimans-county-hertford/8-27-2026/?c=710d6565-b855-4cc6-9ce4-7fcc79fc8657",3ce9011
5,"Dh Conley Greenville vs Northeastern Elizabeth City",Football,"North Carolina",08/27/2026,07:00 PM,"The Northeastern Elizabeth City varsity football team has an away non-conference game @ Dh Conley Greenville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/dh-conley-greenville-vs-northeastern-elizabeth-city/8-27-2026/?c=9ea192ca-d1ef-4ddb-a6c0-7fe94de3d51d","https://www.maxpreps.com/nc/football/game/dh-conley-greenville-vs-northeastern-elizabeth-city/8-27-2026/?c=9ea192ca-d1ef-4ddb-a6c0-7fe94de3d51d",a5e8de4
6,"Cape Fear Fayetteville vs Seventy First Fayetteville",Football,"North Carolina",08/27/2026,07:00 PM,"The Seventy First Fayetteville varsity football team has an away non-conference game @ Cape Fear Fayetteville (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/cape-fear-fayetteville-vs-seventy-first-fayetteville/8-27-2026/?c=5f8bc398-c557-4f04-b998-c9bcc7de2114","https://www.maxpreps.com/nc/football/game/cape-fear-fayetteville-vs-seventy-first-fayetteville/8-27-2026/?c=5f8bc398-c557-4f04-b998-c9bcc7de2114",1b31c39
7,"Hunt Wilson vs Tarboro",Football,"North Carolina",08/27/2026,07:00 PM,"The Tarboro varsity football team has an away non-conference game @ Hunt Wilson (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hunt-wilson-vs-tarboro/8-27-2026/?c=d91d52ca-3275-4239-907f-5d16bb6c30b9","https://www.maxpreps.com/nc/football/game/hunt-wilson-vs-tarboro/8-27-2026/?c=d91d52ca-3275-4239-907f-5d16bb6c30b9",c94385a
8,"Fike Golden Demons Wilson vs South Johnston Four Oaks",Football,"North Carolina",08/27/2026,07:00 PM,"The South Johnston Four Oaks varsity football team has an away non-conference game @ Fike Golden Demons Wilson (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/fike-golden-demons-wilson-vs-south-johnston-four-oaks/8-27-2026/?c=5a640153-949c-4bc8-8d9f-3821f9310a49","https://www.maxpreps.com/nc/football/game/fike-golden-demons-wilson-vs-south-johnston-four-oaks/8-27-2026/?c=5a640153-949c-4bc8-8d9f-3821f9310a49",26ec237
9,"Kipp Pride Gaston vs Roanoke Rapids",Football,"North Carolina",08/27/2026,07:00 PM,"The Roanoke Rapids varsity football team has an away non-conference game @ Kipp Pride Gaston (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/kipp-pride-gaston-vs-roanoke-rapids/8-27-2026/?c=8e634852-6d60-4eaf-8bf8-386326d71985","https://www.maxpreps.com/nc/football/game/kipp-pride-gaston-vs-roanoke-rapids/8-27-2026/?c=8e634852-6d60-4eaf-8bf8-386326d71985",76f5ae5
10,"Hoke County Raeford vs South View Hope Mills",Football,"North Carolina",08/27/2026,07:00 PM,"The South View Hope Mills varsity football team has an away non-conference game @ Hoke County Raeford (North Carolina) on Thursday, August 27 @ 7p.","/nc/football/game/hoke-county-raeford-vs-south-view-hope-mills/8-27-2026/?c=b1b3ca80-0e97-4b83-84df-a647c032d9c4","https://www.maxpreps.com/nc/football/game/hoke-county-raeford-vs-south-view-hope-mills/8-27-2026/?c=b1b3ca80-0e97-4b83-84df-a647c032d9c4",14eebb5
