No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Horace vs Kindred",Football,"North Dakota",09/04/2026,07:00 PM,"The Kindred varsity football team has an away non-conference game @ Horace (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/horace-vs-kindred/9-4-2026/?c=69eb8d13-55f3-462f-bd79-a69bdb699289","https://www.maxpreps.com/nd/football/game/horace-vs-kindred/9-4-2026/?c=69eb8d13-55f3-462f-bd79-a69bdb699289",2270662
2,"Harvey Fessenden Bowdon vs Langdon Edmore Munich",Football,"North Dakota",09/04/2026,07:00 PM,"The Langdon Edmore Munich varsity football team has an away non-conference game @ Harvey Fessenden Bowdon (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/harvey-fessenden-bowdon-vs-langdon-edmore-munich/9-4-2026/?c=42436ada-c6d6-4f05-99b9-7003e99d439c","https://www.maxpreps.com/nd/football/game/harvey-fessenden-bowdon-vs-langdon-edmore-munich/9-4-2026/?c=42436ada-c6d6-4f05-99b9-7003e99d439c",4647ef4
3,"Ellendale Edgeley Kulm vs Mayville Portland Clifford Galesburg Finley Sharon",Football,"North Dakota",09/04/2026,07:00 PM,"The Mayville Portland Clifford Galesburg Finley Sharon varsity football team has an away non-conference game @ Ellendale Edgeley Kulm (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/ellendale-edgeley-kulm-vs-mayville-portland-clifford-galesburg-finley-sharon/9-4-2026/?c=be932e19-f24e-4488-b48f-a6fdc278b4a3","https://www.maxpreps.com/nd/football/game/ellendale-edgeley-kulm-vs-mayville-portland-clifford-galesburg-finley-sharon/9-4-2026/?c=be932e19-f24e-4488-b48f-a6fdc278b4a3",8d11ba2
4,"Red River Grand Forks vs St Marys Central Bismarck",Football,"North Dakota",09/04/2026,07:00 PM,"The St Marys Central Bismarck varsity football team has an away non-conference game @ Red River Grand Forks (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/red-river-grand-forks-vs-st-marys-central-bismarck/9-4-2026/?c=106663c2-31c5-445c-8ce5-a36b7f7a182b","https://www.maxpreps.com/nd/football/game/red-river-grand-forks-vs-st-marys-central-bismarck/9-4-2026/?c=106663c2-31c5-445c-8ce5-a36b7f7a182b",1b2537d
5,"Thompson vs Turtle Mountain Belcourt",Football,"North Dakota",09/04/2026,07:00 PM,"The Turtle Mountain Belcourt varsity football team has an away non-conference game @ Thompson (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/thompson-vs-turtle-mountain-belcourt/9-4-2026/?c=98b8230f-e8ba-4e0c-a208-c2f504a56002","https://www.maxpreps.com/nd/football/game/thompson-vs-turtle-mountain-belcourt/9-4-2026/?c=98b8230f-e8ba-4e0c-a208-c2f504a56002",4472a98
6,"Park River vs Rugby",Football,"North Dakota",09/04/2026,07:00 PM,"The Rugby varsity football team has an away non-conference game @ Park River (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/park-river-vs-rugby/9-4-2026/?c=7128e964-0eec-46e8-b95e-3da689e61865","https://www.maxpreps.com/nd/football/game/park-river-vs-rugby/9-4-2026/?c=7128e964-0eec-46e8-b95e-3da689e61865",99af772
7,"Central Cass Casselton vs Devils Lake",Football,"North Dakota",09/04/2026,07:00 PM,"The Devils Lake varsity football team has an away non-conference game @ Central Cass Casselton (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/central-cass-casselton-vs-devils-lake/9-4-2026/?c=45378a66-7069-4588-82d5-03676dbb4018","https://www.maxpreps.com/nd/football/game/central-cass-casselton-vs-devils-lake/9-4-2026/?c=45378a66-7069-4588-82d5-03676dbb4018",8b1e358
8,"Wahpeton vs Watford City",Football,"North Dakota",09/04/2026,07:00 PM,"The Watford City varsity football team has an away non-conference game @ Wahpeton (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/wahpeton-vs-watford-city/9-4-2026/?c=5b314b59-6631-4ab2-9c7f-d255841e9b9a","https://www.maxpreps.com/nd/football/game/wahpeton-vs-watford-city/9-4-2026/?c=5b314b59-6631-4ab2-9c7f-d255841e9b9a",28c7144
9,"Alexander vs Mohall Lansford Sherwood Renville",Football,"North Dakota",09/04/2026,07:00 PM,"The Mohall Lansford Sherwood Renville varsity football team has an away non-conference game @ Alexander (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/alexander-vs-mohall-lansford-sherwood-renville/9-4-2026/?c=4766ccab-9728-4137-9251-c15d200f6101","https://www.maxpreps.com/nd/football/game/alexander-vs-mohall-lansford-sherwood-renville/9-4-2026/?c=4766ccab-9728-4137-9251-c15d200f6101",101b0ab
10,"Beach vs Linton Hazelton Moffit Braddock",Football,"North Dakota",09/04/2026,07:00 PM,"The Linton Hazelton Moffit Braddock varsity football team has an away non-conference game @ Beach (North Dakota) on Friday, September 4 @ 7p.","/nd/football/game/beach-vs-linton-hazelton-moffit-braddock/9-4-2026/?c=8e978f35-04e7-40e7-964a-d6b08b280813","https://www.maxpreps.com/nd/football/game/beach-vs-linton-hazelton-moffit-braddock/9-4-2026/?c=8e978f35-04e7-40e7-964a-d6b08b280813",dd1e80c
