No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Bishop Watterson Columbus vs Ursuline Youngstown",Football,"Ohio",09/05/2026,07:00 PM,"The Ursuline Youngstown varsity football team has an away non-conference game @ Bishop Watterson Columbus (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/bishop-watterson-columbus-vs-ursuline-youngstown/9-5-2026/?c=4d1bff35-25a9-4883-8dd1-b0890f2dc60a","https://www.maxpreps.com/oh/football/game/bishop-watterson-columbus-vs-ursuline-youngstown/9-5-2026/?c=4d1bff35-25a9-4883-8dd1-b0890f2dc60a",d31a209
2,"East Tech Cleveland vs North Akron",Football,"Ohio",09/05/2026,07:00 PM,"The North Akron varsity football team has an away non-conference game @ East Tech Cleveland (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/east-tech-cleveland-vs-north-akron/9-5-2026/?c=d1bf1b60-5a52-4461-ab1a-847ed5a1c87b","https://www.maxpreps.com/oh/football/game/east-tech-cleveland-vs-north-akron/9-5-2026/?c=d1bf1b60-5a52-4461-ab1a-847ed5a1c87b",34b2b65
3,"Cleveland Central Catholic vs John Marshall Cleveland",Football,"Ohio",09/05/2026,07:00 PM,"The John Marshall Cleveland varsity football team has an away non-conference game @ Cleveland Central Catholic (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/cleveland-central-catholic-vs-john-marshall-cleveland/9-5-2026/?c=7de0ce1e-1df3-490d-b85b-5364ce64eb10","https://www.maxpreps.com/oh/football/game/cleveland-central-catholic-vs-john-marshall-cleveland/9-5-2026/?c=7de0ce1e-1df3-490d-b85b-5364ce64eb10",87fe795
4,"C4 Eagles Trenton vs North Adams Seaman",Football,"Ohio",09/05/2026,07:00 PM,"The North Adams Seaman varsity football team has an away non-conference game @ C4 Eagles Trenton (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/c4-eagles-trenton-vs-north-adams-seaman/9-5-2026/?c=22c782bb-daef-435f-9c25-c39e4ead6ea2","https://www.maxpreps.com/oh/football/game/c4-eagles-trenton-vs-north-adams-seaman/9-5-2026/?c=22c782bb-daef-435f-9c25-c39e4ead6ea2",46eaddb
5,"Stryker vs Windham",Football,"Ohio",09/05/2026,07:00 PM,"The Windham varsity football team has an away non-conference game @ Stryker (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/stryker-vs-windham/9-5-2026/?c=2fdfbf96-2c4d-42f5-a313-4d923c0065c6","https://www.maxpreps.com/oh/football/game/stryker-vs-windham/9-5-2026/?c=2fdfbf96-2c4d-42f5-a313-4d923c0065c6",eee5ea0
6,"Buchtel Akron vs Lake Catholic Mentor",Football,"Ohio",09/05/2026,07:00 PM,"The Lake Catholic Mentor varsity football team has an away non-conference game @ Buchtel Akron (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/buchtel-akron-vs-lake-catholic-mentor/9-5-2026/?c=2abd3e05-c3ac-4cf3-9569-397db532c763","https://www.maxpreps.com/oh/football/game/buchtel-akron-vs-lake-catholic-mentor/9-5-2026/?c=2abd3e05-c3ac-4cf3-9569-397db532c763",a6a4fec
7,"Foxfire Zanesville vs Peebles",Football,"Ohio",09/05/2026,07:00 PM,"The Peebles varsity football team has an away non-conference game @ Foxfire Zanesville (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/foxfire-zanesville-vs-peebles/9-5-2026/?c=9152f200-bc95-444f-a80c-8c65ff9642c0","https://www.maxpreps.com/oh/football/game/foxfire-zanesville-vs-peebles/9-5-2026/?c=9152f200-bc95-444f-a80c-8c65ff9642c0",5302b0c
8,"Jackson Milton North Jackson vs St John Ashtabula",Football,"Ohio",09/05/2026,07:00 PM,"The St John Ashtabula varsity football team has an away non-conference game @ Jackson Milton North Jackson (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/jackson-milton-north-jackson-vs-st-john-ashtabula/9-5-2026/?c=b4347f18-dcf2-4161-ba02-7129321efc49","https://www.maxpreps.com/oh/football/game/jackson-milton-north-jackson-vs-st-john-ashtabula/9-5-2026/?c=b4347f18-dcf2-4161-ba02-7129321efc49",4af99df
9,"Danbury Lakeside vs Mckinley Sebring",Football,"Ohio",09/05/2026,07:00 PM,"The Mckinley Sebring varsity football team has an away non-conference game @ Danbury Lakeside (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/danbury-lakeside-vs-mckinley-sebring/9-5-2026/?c=7ab475a8-0bd5-4342-8214-3cc46211af81","https://www.maxpreps.com/oh/football/game/danbury-lakeside-vs-mckinley-sebring/9-5-2026/?c=7ab475a8-0bd5-4342-8214-3cc46211af81",8861faa
10,"Chalker Southington vs St Joseph Central Catholic Fremont",Football,"Ohio",09/05/2026,07:00 PM,"The St Joseph Central Catholic Fremont varsity football team has an away non-conference game @ Chalker Southington (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/chalker-southington-vs-st-joseph-central-catholic-fremont/9-5-2026/?c=7734f20f-7929-42dd-9399-17859c0101b9","https://www.maxpreps.com/oh/football/game/chalker-southington-vs-st-joseph-central-catholic-fremont/9-5-2026/?c=7734f20f-7929-42dd-9399-17859c0101b9",2c4a344
11,"Firestone Akron vs Lutheran East Cleveland Heights",Football,"Ohio",09/05/2026,07:00 PM,"The Lutheran East Cleveland Heights varsity football team has an away non-conference game @ Firestone Akron (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/firestone-akron-vs-lutheran-east-cleveland-heights/9-5-2026/?c=9da61f2d-2315-4ca2-b862-e7274d0dd9ca","https://www.maxpreps.com/oh/football/game/firestone-akron-vs-lutheran-east-cleveland-heights/9-5-2026/?c=9da61f2d-2315-4ca2-b862-e7274d0dd9ca",9245ef8
12,"Cleveland Heights vs Glenoak Canton",Football,"Ohio",09/05/2026,07:00 PM,"The Glenoak Canton varsity football team has an away non-conference game @ Cleveland Heights (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/cleveland-heights-vs-glenoak-canton/9-5-2026/?c=df0b6a74-921d-4a99-a9f3-0ea61a18ab55","https://www.maxpreps.com/oh/football/game/cleveland-heights-vs-glenoak-canton/9-5-2026/?c=df0b6a74-921d-4a99-a9f3-0ea61a18ab55",5ff8e6e
13,"Plymouth vs St Mary Central Catholic Sandusky",Football,"Ohio",09/05/2026,07:00 PM,"The St Mary Central Catholic Sandusky varsity football team has an away non-conference game @ Plymouth (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/plymouth-vs-st-mary-central-catholic-sandusky/9-5-2026/?c=76bf2d1d-a6bc-4ffa-8a4a-79f3f6ad1e45","https://www.maxpreps.com/oh/football/game/plymouth-vs-st-mary-central-catholic-sandusky/9-5-2026/?c=76bf2d1d-a6bc-4ffa-8a4a-79f3f6ad1e45",88a4d40
14,"Pymatuning Valley Andover vs Valley Christian Youngstown",Football,"Ohio",09/05/2026,07:00 PM,"The Valley Christian Youngstown varsity football team has an away non-conference game @ Pymatuning Valley Andover (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/pymatuning-valley-andover-vs-valley-christian-youngstown/9-5-2026/?c=ed159d37-a8a2-4af3-98a6-13808c10d58a","https://www.maxpreps.com/oh/football/game/pymatuning-valley-andover-vs-valley-christian-youngstown/9-5-2026/?c=ed159d37-a8a2-4af3-98a6-13808c10d58a",1be0b70
15,"Adena Frankfort vs Cincinnati",Football,"Ohio",09/05/2026,07:00 PM,"The Cincinnati varsity football team has an away non-conference game @ Adena Frankfort (Ohio) on Saturday, September 5 @ 7p.","/oh/football/game/adena-frankfort-vs-cincinnati/9-5-2026/?c=d1d8a6b1-cfb7-4253-a7ca-d62bf3c46d93","https://www.maxpreps.com/oh/football/game/adena-frankfort-vs-cincinnati/9-5-2026/?c=d1d8a6b1-cfb7-4253-a7ca-d62bf3c46d93",36551ec
