No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Bixby vs Owasso",Football,"Oklahoma",08/28/2026,07:00 PM,"The Owasso varsity football team has an away non-conference game @ Bixby (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/bixby-vs-owasso/8-28-2026/?c=f875e92e-55c8-41f5-9ba7-4dd65099f22a","https://www.maxpreps.com/ok/football/game/bixby-vs-owasso/8-28-2026/?c=f875e92e-55c8-41f5-9ba7-4dd65099f22a",5acdc6e
2,"Carl Albert Midwest City vs Newcastle",Football,"Oklahoma",08/28/2026,07:00 PM,"The Newcastle varsity football team has an away non-conference game @ Carl Albert Midwest City (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/carl-albert-midwest-city-vs-newcastle/8-28-2026/?c=fd109be8-6df8-488f-a4eb-65f073a60853","https://www.maxpreps.com/ok/football/game/carl-albert-midwest-city-vs-newcastle/8-28-2026/?c=fd109be8-6df8-488f-a4eb-65f073a60853",b3541ea
3,"Guthrie vs Tuttle",Football,"Oklahoma",08/28/2026,07:00 PM,"The Tuttle varsity football team has an away non-conference game @ Guthrie (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/guthrie-vs-tuttle/8-28-2026/?c=652e411f-c1d1-40ad-a966-0b610fef1327","https://www.maxpreps.com/ok/football/game/guthrie-vs-tuttle/8-28-2026/?c=652e411f-c1d1-40ad-a966-0b610fef1327",2fdc2ef
4,"Cordell vs Sharon Mutual",Football,"Oklahoma",08/28/2026,07:00 PM,"The Sharon Mutual varsity football team has an away non-conference game @ Cordell (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/cordell-vs-sharon-mutual/8-28-2026/?c=ccedb282-93eb-45db-9317-0a6371dd3c8a","https://www.maxpreps.com/ok/football/game/cordell-vs-sharon-mutual/8-28-2026/?c=ccedb282-93eb-45db-9317-0a6371dd3c8a",44745b5
5,"Beggs vs Sperry",Football,"Oklahoma",08/28/2026,07:00 PM,"The Sperry varsity football team has an away non-conference game @ Beggs (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/beggs-vs-sperry/8-28-2026/?c=ecc79cc1-9dbd-4afa-8317-97b05560a017","https://www.maxpreps.com/ok/football/game/beggs-vs-sperry/8-28-2026/?c=ecc79cc1-9dbd-4afa-8317-97b05560a017",7918db5
6,"Salina vs Woodland Fairfax",Football,"Oklahoma",08/28/2026,07:00 PM,"The Woodland Fairfax varsity football team has an away non-conference game @ Salina (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/salina-vs-woodland-fairfax/8-28-2026/?c=28d472be-01cc-44e2-8320-5714ad9f70c0","https://www.maxpreps.com/ok/football/game/salina-vs-woodland-fairfax/8-28-2026/?c=28d472be-01cc-44e2-8320-5714ad9f70c0",3ff034a
7,"Keota vs Midway Council Hill",Football,"Oklahoma",08/28/2026,07:00 PM,"The Midway Council Hill varsity football team has an away non-conference game @ Keota (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/keota-vs-midway-council-hill/8-28-2026/?c=7d6e97c4-eed6-4ca1-be20-76e29eadab22","https://www.maxpreps.com/ok/football/game/keota-vs-midway-council-hill/8-28-2026/?c=7d6e97c4-eed6-4ca1-be20-76e29eadab22",99c2bc8
8,"Bluejacket vs Foyil",Football,"Oklahoma",08/28/2026,07:00 PM,"The Foyil varsity football team has an away non-conference game @ Bluejacket (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/bluejacket-vs-foyil/8-28-2026/?c=12a02ada-59cd-4d0d-a4d4-ea7c313958f9","https://www.maxpreps.com/ok/football/game/bluejacket-vs-foyil/8-28-2026/?c=12a02ada-59cd-4d0d-a4d4-ea7c313958f9",ed94e7e
9,"Cascia Hall Tulsa vs Holland Hall Tulsa",Football,"Oklahoma",08/28/2026,07:00 PM,"The Holland Hall Tulsa varsity football team has an away non-conference game @ Cascia Hall Tulsa (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/cascia-hall-tulsa-vs-holland-hall-tulsa/8-28-2026/?c=fccc0ffc-55b5-4d09-8e7f-7c77f0db2803","https://www.maxpreps.com/ok/football/game/cascia-hall-tulsa-vs-holland-hall-tulsa/8-28-2026/?c=fccc0ffc-55b5-4d09-8e7f-7c77f0db2803",54ac97f
10,"Henryetta vs Morris",Football,"Oklahoma",08/28/2026,07:00 PM,"The Morris varsity football team has an away non-conference game @ Henryetta (Oklahoma) on Thursday, August 27 @ 7p.","/ok/football/game/henryetta-vs-morris/8-28-2026/?c=8d038734-ab44-47b0-8e04-5ed9ef4da734","https://www.maxpreps.com/ok/football/game/henryetta-vs-morris/8-28-2026/?c=8d038734-ab44-47b0-8e04-5ed9ef4da734",5bf399d
