No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Central Catholic Portland vs West Linn",Football,"Oregon",09/04/2026,07:00 PM,"The West Linn varsity football team has an away non-conference game @ Central Catholic Portland (Oregon) on Friday, September 4 @ 7p.","/or/football/game/central-catholic-portland-vs-west-linn/9-4-2026/?c=362e9479-e8c7-4faa-b00c-ac32557312c6","https://www.maxpreps.com/or/football/game/central-catholic-portland-vs-west-linn/9-4-2026/?c=362e9479-e8c7-4faa-b00c-ac32557312c6",98ee04d
2,"Joseph vs North Douglas Drain",Football,"Oregon",09/04/2026,07:00 PM,"The North Douglas Drain varsity football team has an away non-conference game @ Joseph (Oregon) on Friday, September 4 @ 7p.","/or/football/game/joseph-vs-north-douglas-drain/9-4-2026/?c=e961aed9-ac04-42cb-877b-0c6f133c7b9b","https://www.maxpreps.com/or/football/game/joseph-vs-north-douglas-drain/9-4-2026/?c=e961aed9-ac04-42cb-877b-0c6f133c7b9b",10a3f47
3,"Huntington vs Spray Mitchell Wheeler",Football,"Oregon",09/04/2026,07:00 PM,"The Spray Mitchell Wheeler varsity football team has an away non-conference game @ Huntington (Oregon) on Friday, September 4 @ 7p.","/or/football/game/huntington-vs-spray-mitchell-wheeler/9-4-2026/?c=088ae7c9-6950-4e07-8c07-f4ed5ed1fed9","https://www.maxpreps.com/or/football/game/huntington-vs-spray-mitchell-wheeler/9-4-2026/?c=088ae7c9-6950-4e07-8c07-f4ed5ed1fed9",75c0e76
4,"Jordan Valley vs South Wasco County Maupin",Football,"Oregon",09/04/2026,07:00 PM,"The South Wasco County Maupin varsity football team has an away non-conference game @ Jordan Valley (Oregon) on Friday, September 4 @ 7p.","/or/football/game/jordan-valley-vs-south-wasco-county-maupin/9-4-2026/?c=15b1b6f3-0fbc-4329-9dd1-e8c240803d08","https://www.maxpreps.com/or/football/game/jordan-valley-vs-south-wasco-county-maupin/9-4-2026/?c=15b1b6f3-0fbc-4329-9dd1-e8c240803d08",da0268d
5,"Eagle Point vs Mckay Salem",Football,"Oregon",09/04/2026,07:00 PM,"The Mckay Salem varsity football team has an away non-conference game @ Eagle Point (Oregon) on Friday, September 4 @ 7p.","/or/football/game/eagle-point-vs-mckay-salem/9-4-2026/?c=fd1a2fa1-cdc2-4261-a3e9-ee493d4d3b67","https://www.maxpreps.com/or/football/game/eagle-point-vs-mckay-salem/9-4-2026/?c=fd1a2fa1-cdc2-4261-a3e9-ee493d4d3b67",b47c7a3
6,"Astoria vs North Bend",Football,"Oregon",09/04/2026,07:00 PM,"The North Bend varsity football team has an away non-conference game @ Astoria (Oregon) on Friday, September 4 @ 7p.","/or/football/game/astoria-vs-north-bend/9-4-2026/?c=5e28e817-e749-47c8-a3d0-5b8b106e2ea0","https://www.maxpreps.com/or/football/game/astoria-vs-north-bend/9-4-2026/?c=5e28e817-e749-47c8-a3d0-5b8b106e2ea0",1d9eab0
7,"Condon vs Wallowa",Football,"Oregon",09/04/2026,07:00 PM,"The Wallowa varsity football team has an away non-conference game @ Condon (Oregon) on Friday, September 4 @ 7p.","/or/football/game/condon-vs-wallowa/9-4-2026/?c=19496447-6c7c-41bd-8034-10e24a320289","https://www.maxpreps.com/or/football/game/condon-vs-wallowa/9-4-2026/?c=19496447-6c7c-41bd-8034-10e24a320289",53c42dc
8,"Estacada vs La Grande",Football,"Oregon",09/04/2026,07:00 PM,"The La Grande varsity football team has an away non-conference game @ Estacada (Oregon) on Friday, September 4 @ 7p.","/or/football/game/estacada-vs-la-grande/9-4-2026/?c=202d905e-d484-43d8-99a1-e65b6249de79","https://www.maxpreps.com/or/football/game/estacada-vs-la-grande/9-4-2026/?c=202d905e-d484-43d8-99a1-e65b6249de79",eaf693e
9,"Aloha Beaverton vs Lebanon",Football,"Oregon",09/04/2026,07:00 PM,"The Lebanon varsity football team has an away non-conference game @ Aloha Beaverton (Oregon) on Friday, September 4 @ 7p.","/or/football/game/aloha-beaverton-vs-lebanon/9-4-2026/?c=a0d734c0-5846-473f-bf53-6613d84291f9","https://www.maxpreps.com/or/football/game/aloha-beaverton-vs-lebanon/9-4-2026/?c=a0d734c0-5846-473f-bf53-6613d84291f9",5ff5526
10,"Cascade Christian Medford vs Scappoose",Football,"Oregon",09/04/2026,07:00 PM,"The Scappoose varsity football team has an away non-conference game @ Cascade Christian Medford (Oregon) on Friday, September 4 @ 7p.","/or/football/game/cascade-christian-medford-vs-scappoose/9-4-2026/?c=0506bb51-907e-4684-bcee-0c36797dafc6","https://www.maxpreps.com/or/football/game/cascade-christian-medford-vs-scappoose/9-4-2026/?c=0506bb51-907e-4684-bcee-0c36797dafc6",9937f10
11,"Sherwood vs Tualatin",Football,"Oregon",09/04/2026,07:00 PM,"The Tualatin varsity football team has an away non-conference game @ Sherwood (Oregon) on Friday, September 4 @ 7p.","/or/football/game/sherwood-vs-tualatin/9-4-2026/?c=6a2e365e-42e0-46de-8b18-3ad40ce8254d","https://www.maxpreps.com/or/football/game/sherwood-vs-tualatin/9-4-2026/?c=6a2e365e-42e0-46de-8b18-3ad40ce8254d",b71af03
