No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Cedar Cliff Camp Hill vs Harrisburg",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Harrisburg varsity football team has an away non-conference game @ Cedar Cliff Camp Hill (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/cedar-cliff-camp-hill-vs-harrisburg/9-5-2026/?c=5a6fb90a-8e9d-482f-a1a3-8d9e2d6754d8","https://www.maxpreps.com/pa/football/game/cedar-cliff-camp-hill-vs-harrisburg/9-5-2026/?c=5a6fb90a-8e9d-482f-a1a3-8d9e2d6754d8",28354ce
2,"Archbishop Ryan Raiders And Ragdolls Philadelphia vs Monsignor Bonner Archbishop Prendergast Catholic Friars Pandas Drexel Hill",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Monsignor Bonner Archbishop Prendergast Catholic Friars Pandas Drexel Hill varsity football team has an away non-conference game @ Archbishop Ryan Raiders And Ragdolls Philadelphia (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/archbishop-ryan-raiders-and-ragdolls-philadelphia-vs-monsignor-bonner-archbishop-prendergast-catholic-friars-pandas-drexel-hill/9-5-2026/?c=37dc0d30-e991-4d13-afef-7da8a0f997e4","https://www.maxpreps.com/pa/football/game/archbishop-ryan-raiders-and-ragdolls-philadelphia-vs-monsignor-bonner-archbishop-prendergast-catholic-friars-pandas-drexel-hill/9-5-2026/?c=37dc0d30-e991-4d13-afef-7da8a0f997e4",d83ec6c
3,"Father Judge Philadelphia vs Lansdale Catholic",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Lansdale Catholic varsity football team has an away non-conference game @ Father Judge Philadelphia (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/father-judge-philadelphia-vs-lansdale-catholic/9-5-2026/?c=ba7d17b6-532f-48c1-81af-99ed67331c9b","https://www.maxpreps.com/pa/football/game/father-judge-philadelphia-vs-lansdale-catholic/9-5-2026/?c=ba7d17b6-532f-48c1-81af-99ed67331c9b",d7b3444
4,"Central Philadelphia vs South Philadelphia",Football,"Pennsylvania",09/05/2026,07:00 PM,"The South Philadelphia varsity football team has an away non-conference game @ Central Philadelphia (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/central-philadelphia-vs-south-philadelphia/9-5-2026/?c=210a6fee-5797-4edb-b6b4-389ef0e12abe","https://www.maxpreps.com/pa/football/game/central-philadelphia-vs-south-philadelphia/9-5-2026/?c=210a6fee-5797-4edb-b6b4-389ef0e12abe",cb36c19
5,"Bethlehem Center Fredericktown vs Riverview Oakmont",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Riverview Oakmont varsity football team has an away non-conference game @ Bethlehem Center Fredericktown (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/bethlehem-center-fredericktown-vs-riverview-oakmont/9-5-2026/?c=4827fcb4-c8ac-422e-95ee-5fcfd3237075","https://www.maxpreps.com/pa/football/game/bethlehem-center-fredericktown-vs-riverview-oakmont/9-5-2026/?c=4827fcb4-c8ac-422e-95ee-5fcfd3237075",1b590ac
6,"Springdale vs Summit Academy Herman",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Summit Academy Herman varsity football team has an away non-conference game @ Springdale (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/springdale-vs-summit-academy-herman/9-5-2026/?c=85df51ad-79ec-437f-ab3d-2321f419976a","https://www.maxpreps.com/pa/football/game/springdale-vs-summit-academy-herman/9-5-2026/?c=85df51ad-79ec-437f-ab3d-2321f419976a",c19ea2d
7,"Allentown Central Catholic vs Bethlehem Catholic",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Bethlehem Catholic varsity football team has an away non-conference game @ Allentown Central Catholic (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/allentown-central-catholic-vs-bethlehem-catholic/9-5-2026/?c=01e10a79-38c6-47e2-9ae3-9464edd7138a","https://www.maxpreps.com/pa/football/game/allentown-central-catholic-vs-bethlehem-catholic/9-5-2026/?c=01e10a79-38c6-47e2-9ae3-9464edd7138a",8950d01
8,"Kipp Dubois Collegiate Academy Philadelphia vs Morrisville",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Morrisville varsity football team has an away non-conference game @ Kipp Dubois Collegiate Academy Philadelphia (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/kipp-dubois-collegiate-academy-philadelphia-vs-morrisville/9-5-2026/?c=fd841894-a9ab-408c-95dd-ade163a5e3a5","https://www.maxpreps.com/pa/football/game/kipp-dubois-collegiate-academy-philadelphia-vs-morrisville/9-5-2026/?c=fd841894-a9ab-408c-95dd-ade163a5e3a5",f13a62a
9,"Hickory Hermitage vs Sharon",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Sharon varsity football team has an away non-conference game @ Hickory Hermitage (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/hickory-hermitage-vs-sharon/9-5-2026/?c=8ea5f07a-8f0f-4820-977c-93c69bd8299d","https://www.maxpreps.com/pa/football/game/hickory-hermitage-vs-sharon/9-5-2026/?c=8ea5f07a-8f0f-4820-977c-93c69bd8299d",5db35b6
10,"Kennett Kennett Square vs Plymouth Whitemarsh Plymouth Meeting",Football,"Pennsylvania",09/05/2026,07:00 PM,"The Plymouth Whitemarsh Plymouth Meeting varsity football team has an away non-conference game @ Kennett Kennett Square (Pennsylvania) on Saturday, September 5 @ 7p.","/pa/football/game/kennett-kennett-square-vs-plymouth-whitemarsh-plymouth-meeting/9-5-2026/?c=4ec7b66f-e779-41a7-b737-7ed7fcc9cfa5","https://www.maxpreps.com/pa/football/game/kennett-kennett-square-vs-plymouth-whitemarsh-plymouth-meeting/9-5-2026/?c=4ec7b66f-e779-41a7-b737-7ed7fcc9cfa5",7ffc010
