No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"La Salle Academy Rams New York vs North Kingstown",Football,"Rhode Island",09/04/2026,07:00 PM,"The North Kingstown varsity football team has an away non-conference game @ La Salle Academy Rams New York (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/la-salle-academy-rams-new-york-vs-north-kingstown/9-4-2026/?c=6e8ad21c-f491-45aa-b636-520cae84e411","https://www.maxpreps.com/ri/football/game/la-salle-academy-rams-new-york-vs-north-kingstown/9-4-2026/?c=6e8ad21c-f491-45aa-b636-520cae84e411",8d74f64
2,"Coventry vs Cranston West",Football,"Rhode Island",09/04/2026,07:00 PM,"The Cranston West varsity football team has an away non-conference game @ Coventry (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/coventry-vs-cranston-west/9-4-2026/?c=d913746d-3ae3-4ca8-b4ee-a58793073d5a","https://www.maxpreps.com/ri/football/game/coventry-vs-cranston-west/9-4-2026/?c=d913746d-3ae3-4ca8-b4ee-a58793073d5a",dc4208c
3,"Chariho Wood River Junction vs Westerly",Football,"Rhode Island",09/04/2026,07:00 PM,"The Westerly varsity football team has an away non-conference game @ Chariho Wood River Junction (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/chariho-wood-river-junction-vs-westerly/9-4-2026/?c=997d46d8-c378-4194-9549-5d25af00eb05","https://www.maxpreps.com/ri/football/game/chariho-wood-river-junction-vs-westerly/9-4-2026/?c=997d46d8-c378-4194-9549-5d25af00eb05",8f0d488
4,"Exeter West Greenwich Prout vs South Kingstown Wakefield",Football,"Rhode Island",09/04/2026,07:00 PM,"The South Kingstown Wakefield varsity football team has an away non-conference game @ Exeter West Greenwich Prout (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/exeter-west-greenwich-prout-vs-south-kingstown-wakefield/9-4-2026/?c=14db167f-480a-4d76-a41c-be335817928d","https://www.maxpreps.com/ri/football/game/exeter-west-greenwich-prout-vs-south-kingstown-wakefield/9-4-2026/?c=14db167f-480a-4d76-a41c-be335817928d",c23edcf
5,"St Raphael Academy Pawtucket vs Woonsocket",Football,"Rhode Island",09/04/2026,07:00 PM,"The Woonsocket varsity football team has an away non-conference game @ St Raphael Academy Pawtucket (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/st-raphael-academy-pawtucket-vs-woonsocket/9-4-2026/?c=8a33d6d5-129d-4192-97ac-cc54e5bfd326","https://www.maxpreps.com/ri/football/game/st-raphael-academy-pawtucket-vs-woonsocket/9-4-2026/?c=8a33d6d5-129d-4192-97ac-cc54e5bfd326",75a6ccf
6,"Central Falls vs Lincoln",Football,"Rhode Island",09/04/2026,07:00 PM,"The Lincoln varsity football team has an away non-conference game @ Central Falls (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/central-falls-vs-lincoln/9-4-2026/?c=f8ae65c5-4360-4d66-bfb1-15d1ce01d04a","https://www.maxpreps.com/ri/football/game/central-falls-vs-lincoln/9-4-2026/?c=f8ae65c5-4360-4d66-bfb1-15d1ce01d04a",8a329b4
7,"Cumberland vs West Warwick",Football,"Rhode Island",09/04/2026,07:00 PM,"The West Warwick varsity football team has an away non-conference game @ Cumberland (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/cumberland-vs-west-warwick/9-4-2026/?c=5f7f843c-8243-4248-9c19-81bb350645f5","https://www.maxpreps.com/ri/football/game/cumberland-vs-west-warwick/9-4-2026/?c=5f7f843c-8243-4248-9c19-81bb350645f5",9300c22
8,"Cranston East vs Pilgrim Warwick",Football,"Rhode Island",09/04/2026,07:00 PM,"The Pilgrim Warwick varsity football team has an away non-conference game @ Cranston East (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/cranston-east-vs-pilgrim-warwick/9-4-2026/?c=aec0bfcd-ee51-4c2a-96b1-969319db25f3","https://www.maxpreps.com/ri/football/game/cranston-east-vs-pilgrim-warwick/9-4-2026/?c=aec0bfcd-ee51-4c2a-96b1-969319db25f3",3191f47
9,"Narragansett vs Toll Gate Warwick",Football,"Rhode Island",09/04/2026,07:00 PM,"The Toll Gate Warwick varsity football team has an away non-conference game @ Narragansett (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/narragansett-vs-toll-gate-warwick/9-4-2026/?c=32d95c8c-e38a-48b4-a49f-2ed8cf396c02","https://www.maxpreps.com/ri/football/game/narragansett-vs-toll-gate-warwick/9-4-2026/?c=32d95c8c-e38a-48b4-a49f-2ed8cf396c02",d26e3c0
10,"Scituate North Scituate vs Smithfield Esmond",Football,"Rhode Island",09/04/2026,07:00 PM,"The Smithfield Esmond varsity football team has an away non-conference game @ Scituate North Scituate (Rhode Island) on Friday, September 4 @ 7p.","/ri/football/game/scituate-north-scituate-vs-smithfield-esmond/9-4-2026/?c=13f33d80-555c-440e-8994-ecf0a96e2494","https://www.maxpreps.com/ri/football/game/scituate-north-scituate-vs-smithfield-esmond/9-4-2026/?c=13f33d80-555c-440e-8994-ecf0a96e2494",9ca0364
