No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Dutch Fork Irmo vs Ridge View Columbia",Football,"South Carolina",08/28/2026,07:00 PM,"The Ridge View Columbia varsity football team has an away non-conference game @ Dutch Fork Irmo (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/dutch-fork-irmo-vs-ridge-view-columbia/8-28-2026/?c=11e405c3-ef3a-45fc-872c-65f911258942","https://www.maxpreps.com/sc/football/game/dutch-fork-irmo-vs-ridge-view-columbia/8-28-2026/?c=11e405c3-ef3a-45fc-872c-65f911258942",3a8a0da
2,"Nation Ford Fort Mill vs South Pointe Rock Hill",Football,"South Carolina",08/28/2026,07:00 PM,"The South Pointe Rock Hill varsity football team has an away non-conference game @ Nation Ford Fort Mill (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/nation-ford-fort-mill-vs-south-pointe-rock-hill/8-28-2026/?c=e7274571-29a0-47b9-b671-fed711a3d7fb","https://www.maxpreps.com/sc/football/game/nation-ford-fort-mill-vs-south-pointe-rock-hill/8-28-2026/?c=e7274571-29a0-47b9-b671-fed711a3d7fb",08f2ef2
3,"Ashley Ridge Summerville vs Rock Hill",Football,"South Carolina",08/28/2026,07:00 PM,"The Rock Hill varsity football team has an away non-conference game @ Ashley Ridge Summerville (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/ashley-ridge-summerville-vs-rock-hill/8-28-2026/?c=6397d6e2-663c-4b1c-a456-6be7a15523ea","https://www.maxpreps.com/sc/football/game/ashley-ridge-summerville-vs-rock-hill/8-28-2026/?c=6397d6e2-663c-4b1c-a456-6be7a15523ea",5a73205
4,"Dixie Due West vs Greenwood Christian",Football,"South Carolina",08/28/2026,07:00 PM,"The Greenwood Christian varsity football team has an away non-conference game @ Dixie Due West (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/dixie-due-west-vs-greenwood-christian/8-28-2026/?c=5c1208eb-9a45-4bf0-aeb0-545e86c90466","https://www.maxpreps.com/sc/football/game/dixie-due-west-vs-greenwood-christian/8-28-2026/?c=5c1208eb-9a45-4bf0-aeb0-545e86c90466",20fa0f4
5,"Heathwood Hall Episcopal Columbia vs Northwood Academy Charleston",Football,"South Carolina",08/28/2026,07:00 PM,"The Northwood Academy Charleston varsity football team has an away non-conference game @ Heathwood Hall Episcopal Columbia (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/heathwood-hall-episcopal-columbia-vs-northwood-academy-charleston/8-28-2026/?c=0d2ca46f-60c9-431a-bdaa-8bca8391c512","https://www.maxpreps.com/sc/football/game/heathwood-hall-episcopal-columbia-vs-northwood-academy-charleston/8-28-2026/?c=0d2ca46f-60c9-431a-bdaa-8bca8391c512",53f9129
6,"Cross Cross Schools Bluffton vs Hilton Head Prep Hilton Head Island",Football,"South Carolina",08/28/2026,07:00 PM,"The Hilton Head Prep Hilton Head Island varsity football team has an away non-conference game @ Cross Cross Schools Bluffton (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/cross-cross-schools-bluffton-vs-hilton-head-prep-hilton-head-island/8-28-2026/?c=d5e13a6a-88df-4dcb-acd1-7a9d3d0492e2","https://www.maxpreps.com/sc/football/game/cross-cross-schools-bluffton-vs-hilton-head-prep-hilton-head-island/8-28-2026/?c=d5e13a6a-88df-4dcb-acd1-7a9d3d0492e2",f5d2520
7,"Richard Winn Academy Winnsboro vs Wardlaw Academy Johnston",Football,"South Carolina",08/28/2026,07:00 PM,"The Wardlaw Academy Johnston varsity football team has an away non-conference game @ Richard Winn Academy Winnsboro (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/richard-winn-academy-winnsboro-vs-wardlaw-academy-johnston/8-28-2026/?c=21f58ba5-e66a-4a06-97e2-41d642860fdc","https://www.maxpreps.com/sc/football/game/richard-winn-academy-winnsboro-vs-wardlaw-academy-johnston/8-28-2026/?c=21f58ba5-e66a-4a06-97e2-41d642860fdc",09dd7f5
8,"American Leadership Academy Lexington vs Camden Military",Football,"South Carolina",08/28/2026,07:00 PM,"The Camden Military varsity football team has an away non-conference game @ American Leadership Academy Lexington (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/american-leadership-academy-lexington-vs-camden-military/8-28-2026/?c=35f5178e-e24e-4122-a5d7-31508576a120","https://www.maxpreps.com/sc/football/game/american-leadership-academy-lexington-vs-camden-military/8-28-2026/?c=35f5178e-e24e-4122-a5d7-31508576a120",81f14c1
9,"Cathedral Academy North Charleston vs Newberry Academy",Football,"South Carolina",08/28/2026,07:00 PM,"The Newberry Academy varsity football team has an away non-conference game @ Cathedral Academy North Charleston (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/cathedral-academy-north-charleston-vs-newberry-academy/8-28-2026/?c=5729852b-7e52-467c-ae9a-fbc380d0fdd0","https://www.maxpreps.com/sc/football/game/cathedral-academy-north-charleston-vs-newberry-academy/8-28-2026/?c=5729852b-7e52-467c-ae9a-fbc380d0fdd0",dde5e9f
10,"Andrews vs Georgetown",Football,"South Carolina",08/28/2026,07:00 PM,"The Georgetown varsity football team has an away non-conference game @ Andrews (South Carolina) on Friday, August 28 @ 7p.","/sc/football/game/andrews-vs-georgetown/8-28-2026/?c=617d6b83-c287-40b9-bcdb-4c10e899bb44","https://www.maxpreps.com/sc/football/game/andrews-vs-georgetown/8-28-2026/?c=617d6b83-c287-40b9-bcdb-4c10e899bb44",1b290f4
