No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Hot Springs vs St Thomas More Rapid City",Football,"South Dakota",09/04/2026,07:00 PM,"The St Thomas More Rapid City varsity football team has an away non-conference game @ Hot Springs (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/hot-springs-vs-st-thomas-more-rapid-city/9-4-2026/?c=73ab0086-78ed-44f9-aa51-a33290bfa6ac","https://www.maxpreps.com/sd/football/game/hot-springs-vs-st-thomas-more-rapid-city/9-4-2026/?c=73ab0086-78ed-44f9-aa51-a33290bfa6ac",8c951a0
2,"Custer vs Sioux Falls Christian",Football,"South Dakota",09/04/2026,07:00 PM,"The Sioux Falls Christian varsity football team has an away non-conference game @ Custer (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/custer-vs-sioux-falls-christian/9-4-2026/?c=540bbac1-c512-4c36-bc2f-e11e7e40713a","https://www.maxpreps.com/sd/football/game/custer-vs-sioux-falls-christian/9-4-2026/?c=540bbac1-c512-4c36-bc2f-e11e7e40713a",2855203
3,"Jefferson Sioux Falls vs Stevens Rapid City",Football,"South Dakota",09/04/2026,07:00 PM,"The Stevens Rapid City varsity football team has an away non-conference game @ Jefferson Sioux Falls (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/jefferson-sioux-falls-vs-stevens-rapid-city/9-4-2026/?c=1aaa4fcc-d88d-40b3-8bce-032a4ae4f9be","https://www.maxpreps.com/sd/football/game/jefferson-sioux-falls-vs-stevens-rapid-city/9-4-2026/?c=1aaa4fcc-d88d-40b3-8bce-032a4ae4f9be",8b8bdd6
4,"Ipswich vs North Central Eureka",Football,"South Dakota",09/04/2026,07:00 PM,"The North Central Eureka varsity football team has an away non-conference game @ Ipswich (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/ipswich-vs-north-central-eureka/9-4-2026/?c=927259ec-b952-45a4-a6b6-9b9374baab9d","https://www.maxpreps.com/sd/football/game/ipswich-vs-north-central-eureka/9-4-2026/?c=927259ec-b952-45a4-a6b6-9b9374baab9d",0d2c8a6
5,"Leola Frederick vs Northwestern Area Mellette",Football,"South Dakota",09/04/2026,07:00 PM,"The Northwestern Area Mellette varsity football team has an away non-conference game @ Leola Frederick (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/leola-frederick-vs-northwestern-area-mellette/9-4-2026/?c=0da39e6f-d912-42e4-8cda-e3806a164a79","https://www.maxpreps.com/sd/football/game/leola-frederick-vs-northwestern-area-mellette/9-4-2026/?c=0da39e6f-d912-42e4-8cda-e3806a164a79",46d57e3
6,"Harding County Bison Buffalo vs Lemmon Mcintosh",Football,"South Dakota",09/04/2026,07:00 PM,"The Lemmon Mcintosh varsity football team has an away non-conference game @ Harding County Bison Buffalo (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/harding-county-bison-buffalo-vs-lemmon-mcintosh/9-4-2026/?c=1845b633-9e05-4833-b80e-5b6d9561f23a","https://www.maxpreps.com/sd/football/game/harding-county-bison-buffalo-vs-lemmon-mcintosh/9-4-2026/?c=1845b633-9e05-4833-b80e-5b6d9561f23a",4574d1e
7,"Crow Creek Stephan vs Lower Brule",Football,"South Dakota",09/04/2026,07:00 PM,"The Lower Brule varsity football team has an away non-conference game @ Crow Creek Stephan (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/crow-creek-stephan-vs-lower-brule/9-4-2026/?c=5436cbe7-f1b4-4791-9ca8-61aafdb3eee7","https://www.maxpreps.com/sd/football/game/crow-creek-stephan-vs-lower-brule/9-4-2026/?c=5436cbe7-f1b4-4791-9ca8-61aafdb3eee7",44f3bca
8,"Mitchell vs Spearfish",Football,"South Dakota",09/04/2026,07:00 PM,"The Spearfish varsity football team has an away non-conference game @ Mitchell (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/mitchell-vs-spearfish/9-4-2026/?c=0af046d6-b372-4701-99fe-baf33802536c","https://www.maxpreps.com/sd/football/game/mitchell-vs-spearfish/9-4-2026/?c=0af046d6-b372-4701-99fe-baf33802536c",2547480
9,"Douglas Box Elder vs Huron",Football,"South Dakota",09/04/2026,07:00 PM,"The Huron varsity football team has an away non-conference game @ Douglas Box Elder (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/douglas-box-elder-vs-huron/9-4-2026/?c=36d6096b-a87f-4587-8979-8639a664b8cd","https://www.maxpreps.com/sd/football/game/douglas-box-elder-vs-huron/9-4-2026/?c=36d6096b-a87f-4587-8979-8639a664b8cd",aa201b0
10,"Canistota vs Chester",Football,"South Dakota",09/04/2026,07:00 PM,"The Chester varsity football team has an away non-conference game @ Canistota (South Dakota) on Friday, September 4 @ 7p.","/sd/football/game/canistota-vs-chester/9-4-2026/?c=bb8eb7d4-d0a6-4992-9c37-96f203c90ca7","https://www.maxpreps.com/sd/football/game/canistota-vs-chester/9-4-2026/?c=bb8eb7d4-d0a6-4992-9c37-96f203c90ca7",bf92acc
