No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Red Boiling Springs vs Westmoreland",Football,"Tennessee",09/03/2026,07:00 PM,"The Westmoreland varsity football team has an away non-conference game @ Red Boiling Springs (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/red-boiling-springs-vs-westmoreland/9-3-2026/?c=fef68b73-1577-4c49-9b03-ccf41f7db5de","https://www.maxpreps.com/tn/football/game/red-boiling-springs-vs-westmoreland/9-3-2026/?c=fef68b73-1577-4c49-9b03-ccf41f7db5de",9f79e82
2,"Jackson North Side vs Jackson South Side",Football,"Tennessee",09/03/2026,07:00 PM,"The Jackson South Side varsity football team has an away non-conference game @ Jackson North Side (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/jackson-north-side-vs-jackson-south-side/9-3-2026/?c=2e6a1334-b7d9-4d70-8e5c-76eb172f4fd6","https://www.maxpreps.com/tn/football/game/jackson-north-side-vs-jackson-south-side/9-3-2026/?c=2e6a1334-b7d9-4d70-8e5c-76eb172f4fd6",bb4f04a
3,"Greeneville vs Northview Academy Kodak",Football,"Tennessee",09/03/2026,07:00 PM,"The Northview Academy Kodak varsity football team has an away non-conference game @ Greeneville (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/greeneville-vs-northview-academy-kodak/9-3-2026/?c=183e767d-975f-4636-954f-3f2a4d654aa6","https://www.maxpreps.com/tn/football/game/greeneville-vs-northview-academy-kodak/9-3-2026/?c=183e767d-975f-4636-954f-3f2a4d654aa6",f5e75ae
4,"Chuckey Doak Afton vs West Greene Mosheim",Football,"Tennessee",09/03/2026,07:00 PM,"The West Greene Mosheim varsity football team has an away non-conference game @ Chuckey Doak Afton (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/chuckey-doak-afton-vs-west-greene-mosheim/9-3-2026/?c=af4b32ad-d99e-4ece-b8f1-840578c158e2","https://www.maxpreps.com/tn/football/game/chuckey-doak-afton-vs-west-greene-mosheim/9-3-2026/?c=af4b32ad-d99e-4ece-b8f1-840578c158e2",679e0c4
5,"Kirby Memphis vs Memphis University School",Football,"Tennessee",09/03/2026,07:00 PM,"The Memphis University School varsity football team has an away non-conference game @ Kirby Memphis (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/kirby-memphis-vs-memphis-university-school/9-3-2026/?c=37380dad-3289-4233-b0eb-faa03f6e3182","https://www.maxpreps.com/tn/football/game/kirby-memphis-vs-memphis-university-school/9-3-2026/?c=37380dad-3289-4233-b0eb-faa03f6e3182",ff8050e
6,"Hancock County Sneedville vs North Greene Greeneville",Football,"Tennessee",09/03/2026,07:00 PM,"The North Greene Greeneville varsity football team has an away non-conference game @ Hancock County Sneedville (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/hancock-county-sneedville-vs-north-greene-greeneville/9-3-2026/?c=fa9ef02c-b115-45f5-b3ec-6dd537332b5a","https://www.maxpreps.com/tn/football/game/hancock-county-sneedville-vs-north-greene-greeneville/9-3-2026/?c=fa9ef02c-b115-45f5-b3ec-6dd537332b5a",e23c861
7,"Memphis East vs Middle College Memphis",Football,"Tennessee",09/03/2026,07:00 PM,"The Middle College Memphis varsity football team has an away non-conference game @ Memphis East (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/memphis-east-vs-middle-college-memphis/9-3-2026/?c=280b1abe-4208-47d1-b0d3-e59e69fde8e9","https://www.maxpreps.com/tn/football/game/memphis-east-vs-middle-college-memphis/9-3-2026/?c=280b1abe-4208-47d1-b0d3-e59e69fde8e9",1a380cb
8,"Harding Academy Memphis vs Tipton Rosemark Academy Millington",Football,"Tennessee",09/03/2026,07:00 PM,"The Tipton Rosemark Academy Millington varsity football team has an away non-conference game @ Harding Academy Memphis (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/harding-academy-memphis-vs-tipton-rosemark-academy-millington/9-3-2026/?c=a1df7848-ce4d-43ed-8d1e-695cb5458c84","https://www.maxpreps.com/tn/football/game/harding-academy-memphis-vs-tipton-rosemark-academy-millington/9-3-2026/?c=a1df7848-ce4d-43ed-8d1e-695cb5458c84",926daff
9,"Oakhaven Memphis vs Overton Memphis",Football,"Tennessee",09/03/2026,07:00 PM,"The Overton Memphis varsity football team has an away non-conference game @ Oakhaven Memphis (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/oakhaven-memphis-vs-overton-memphis/9-3-2026/?c=9bc9fc45-5143-42c8-af84-da954a811e70","https://www.maxpreps.com/tn/football/game/oakhaven-memphis-vs-overton-memphis/9-3-2026/?c=9bc9fc45-5143-42c8-af84-da954a811e70",7cee57a
10,"Kipp Collegiate Memphis vs Raleigh Egypt Memphis",Football,"Tennessee",09/03/2026,07:00 PM,"The Raleigh Egypt Memphis varsity football team has an away non-conference game @ Kipp Collegiate Memphis (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/kipp-collegiate-memphis-vs-raleigh-egypt-memphis/9-3-2026/?c=5fd03615-941b-4d48-a6a9-e9eed9b94cbc","https://www.maxpreps.com/tn/football/game/kipp-collegiate-memphis-vs-raleigh-egypt-memphis/9-3-2026/?c=5fd03615-941b-4d48-a6a9-e9eed9b94cbc",bdb3e6e
11,"Knoxville Central vs West Knoxville",Football,"Tennessee",09/03/2026,07:00 PM,"The West Knoxville varsity football team has an away non-conference game @ Knoxville Central (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/knoxville-central-vs-west-knoxville/9-3-2026/?c=85ac445b-e278-45dd-8921-13108e1842ce","https://www.maxpreps.com/tn/football/game/knoxville-central-vs-west-knoxville/9-3-2026/?c=85ac445b-e278-45dd-8921-13108e1842ce",0ba8180
12,"Cocke County Newport vs Seymour",Football,"Tennessee",09/03/2026,07:00 PM,"The Seymour varsity football team has an away non-conference game @ Cocke County Newport (Tennessee) on Thursday, September 3 @ 7p.","/tn/football/game/cocke-county-newport-vs-seymour/9-3-2026/?c=78b4192f-f2b0-42cd-ab41-55cda10788e2","https://www.maxpreps.com/tn/football/game/cocke-county-newport-vs-seymour/9-3-2026/?c=78b4192f-f2b0-42cd-ab41-55cda10788e2",40d6df7
