No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Cedar Valley Eagle Mountain vs Mountain Ridge Herriman",Football,"Utah",09/04/2026,07:00 PM,"The Mountain Ridge Herriman varsity football team has an away non-conference game @ Cedar Valley Eagle Mountain (Utah) on Friday, September 4 @ 7p.","/ut/football/game/cedar-valley-eagle-mountain-vs-mountain-ridge-herriman/9-4-2026/?c=ddbe9534-4912-4923-a5c0-e2d819687f13","https://www.maxpreps.com/ut/football/game/cedar-valley-eagle-mountain-vs-mountain-ridge-herriman/9-4-2026/?c=ddbe9534-4912-4923-a5c0-e2d819687f13",7508928
2,"Mountain Crest Hyrum vs Ridgeline Millville",Football,"Utah",09/04/2026,07:00 PM,"The Ridgeline Millville varsity football team has an away non-conference game @ Mountain Crest Hyrum (Utah) on Friday, September 4 @ 7p.","/ut/football/game/mountain-crest-hyrum-vs-ridgeline-millville/9-4-2026/?c=8c7a61b2-474a-4cee-a185-66d557bc133a","https://www.maxpreps.com/ut/football/game/mountain-crest-hyrum-vs-ridgeline-millville/9-4-2026/?c=8c7a61b2-474a-4cee-a185-66d557bc133a",301ff29
3,"Panguitch vs St Joseph Ogden",Football,"Utah",09/04/2026,07:00 PM,"The St Joseph Ogden varsity football team has an away non-conference game @ Panguitch (Utah) on Friday, September 4 @ 7p.","/ut/football/game/panguitch-vs-st-joseph-ogden/9-4-2026/?c=fe44bfbe-2d4e-4df1-b83c-b0d07329175f","https://www.maxpreps.com/ut/football/game/panguitch-vs-st-joseph-ogden/9-4-2026/?c=fe44bfbe-2d4e-4df1-b83c-b0d07329175f",f7f0463
4,"American Fork vs Farmington",Football,"Utah",09/04/2026,07:00 PM,"The Farmington varsity football team has an away non-conference game @ American Fork (Utah) on Friday, September 4 @ 7p.","/ut/football/game/american-fork-vs-farmington/9-4-2026/?c=784e3b02-cdd6-4eee-b67e-02d7ecb82538","https://www.maxpreps.com/ut/football/game/american-fork-vs-farmington/9-4-2026/?c=784e3b02-cdd6-4eee-b67e-02d7ecb82538",54689a7
5,"Bear River Garland vs Sky View Smithfield",Football,"Utah",09/04/2026,07:00 PM,"The Sky View Smithfield varsity football team has an away non-conference game @ Bear River Garland (Utah) on Friday, September 4 @ 7p.","/ut/football/game/bear-river-garland-vs-sky-view-smithfield/9-4-2026/?c=dd4dfa60-e653-4831-918e-36149f0097f9","https://www.maxpreps.com/ut/football/game/bear-river-garland-vs-sky-view-smithfield/9-4-2026/?c=dd4dfa60-e653-4831-918e-36149f0097f9",114437a
6,"Grantsville vs Hurricane",Football,"Utah",09/04/2026,07:00 PM,"The Hurricane varsity football team has an away non-conference game @ Grantsville (Utah) on Friday, September 4 @ 7p.","/ut/football/game/grantsville-vs-hurricane/9-4-2026/?c=483c9aba-87de-4b94-8323-c5836b0f5fa3","https://www.maxpreps.com/ut/football/game/grantsville-vs-hurricane/9-4-2026/?c=483c9aba-87de-4b94-8323-c5836b0f5fa3",b5c23bc
7,"Maple Mountain Spanish Fork vs Pleasant Grove",Football,"Utah",09/04/2026,07:00 PM,"The Pleasant Grove varsity football team has an away non-conference game @ Maple Mountain Spanish Fork (Utah) on Friday, September 4 @ 7p.","/ut/football/game/maple-mountain-spanish-fork-vs-pleasant-grove/9-4-2026/?c=3eda2635-b20a-4217-8d20-4ce6076434c3","https://www.maxpreps.com/ut/football/game/maple-mountain-spanish-fork-vs-pleasant-grove/9-4-2026/?c=3eda2635-b20a-4217-8d20-4ce6076434c3",69b13b4
8,"Logan vs Pine View St George",Football,"Utah",09/04/2026,07:00 PM,"The Pine View St George varsity football team has an away non-conference game @ Logan (Utah) on Friday, September 4 @ 7p.","/ut/football/game/logan-vs-pine-view-st-george/9-4-2026/?c=c55d2779-03fd-49d3-ac65-29837e764280","https://www.maxpreps.com/ut/football/game/logan-vs-pine-view-st-george/9-4-2026/?c=c55d2779-03fd-49d3-ac65-29837e764280",a19cbb9
9,"Deer Creek Heber City vs Wasatch Heber City",Football,"Utah",09/04/2026,07:00 PM,"The Wasatch Heber City varsity football team has an away non-conference game @ Deer Creek Heber City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/deer-creek-heber-city-vs-wasatch-heber-city/9-4-2026/?c=f8cb383b-fa21-4f42-bd2e-fd68468463bb","https://www.maxpreps.com/ut/football/game/deer-creek-heber-city-vs-wasatch-heber-city/9-4-2026/?c=f8cb383b-fa21-4f42-bd2e-fd68468463bb",64f16b5
10,"Box Elder Brigham City vs Northridge Layton",Football,"Utah",09/04/2026,07:00 PM,"The Northridge Layton varsity football team has an away non-conference game @ Box Elder Brigham City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/box-elder-brigham-city-vs-northridge-layton/9-4-2026/?c=27748f95-5868-4bf9-8023-ca2cc75cf6a2","https://www.maxpreps.com/ut/football/game/box-elder-brigham-city-vs-northridge-layton/9-4-2026/?c=27748f95-5868-4bf9-8023-ca2cc75cf6a2",c48d353
11,"Water Canyon Hildale vs Whitehorse Montezuma Creek",Football,"Utah",09/04/2026,07:00 PM,"The Whitehorse Montezuma Creek varsity football team has an away non-conference game @ Water Canyon Hildale (Utah) on Friday, September 4 @ 7p.","/ut/football/game/water-canyon-hildale-vs-whitehorse-montezuma-creek/9-4-2026/?c=ba76b991-8bec-4c82-9e9b-45f9b33ef0e1","https://www.maxpreps.com/ut/football/game/water-canyon-hildale-vs-whitehorse-montezuma-creek/9-4-2026/?c=ba76b991-8bec-4c82-9e9b-45f9b33ef0e1",798cd0b
12,"Timpanogos Orem vs Uintah Vernal",Football,"Utah",09/04/2026,07:00 PM,"The Uintah Vernal varsity football team has an away non-conference game @ Timpanogos Orem (Utah) on Friday, September 4 @ 7p.","/ut/football/game/timpanogos-orem-vs-uintah-vernal/9-4-2026/?c=328c3b2b-8c5e-416e-bf2e-8ee1660def39","https://www.maxpreps.com/ut/football/game/timpanogos-orem-vs-uintah-vernal/9-4-2026/?c=328c3b2b-8c5e-416e-bf2e-8ee1660def39",fca370d
13,"Juab Nephi vs Manti",Football,"Utah",09/04/2026,07:00 PM,"The Manti varsity football team has an away non-conference game @ Juab Nephi (Utah) on Friday, September 4 @ 7p.","/ut/football/game/juab-nephi-vs-manti/9-4-2026/?c=ba611e37-57b5-45b3-9d65-276d3a9eff73","https://www.maxpreps.com/ut/football/game/juab-nephi-vs-manti/9-4-2026/?c=ba611e37-57b5-45b3-9d65-276d3a9eff73",234af1c
14,"Herriman West Herriman vs Riverton",Football,"Utah",09/04/2026,07:00 PM,"The Riverton varsity football team has an away non-conference game @ Herriman West Herriman (Utah) on Friday, September 4 @ 7p.","/ut/football/game/herriman-west-herriman-vs-riverton/9-4-2026/?c=063249c4-2b6b-4a4b-a002-4e91f3ce22e2","https://www.maxpreps.com/ut/football/game/herriman-west-herriman-vs-riverton/9-4-2026/?c=063249c4-2b6b-4a4b-a002-4e91f3ce22e2",a810833
15,"American Leadership Academy Spanish Fork vs Ben Lomond Ogden",Football,"Utah",09/04/2026,07:00 PM,"The Ben Lomond Ogden varsity football team has an away non-conference game @ American Leadership Academy Spanish Fork (Utah) on Friday, September 4 @ 7p.","/ut/football/game/american-leadership-academy-spanish-fork-vs-ben-lomond-ogden/9-4-2026/?c=242b8578-37ab-41af-9af2-e191368cc7f9","https://www.maxpreps.com/ut/football/game/american-leadership-academy-spanish-fork-vs-ben-lomond-ogden/9-4-2026/?c=242b8578-37ab-41af-9af2-e191368cc7f9",ec13b90
16,"Alta Sandy vs Davis Kaysville",Football,"Utah",09/04/2026,07:00 PM,"The Davis Kaysville varsity football team has an away non-conference game @ Alta Sandy (Utah) on Friday, September 4 @ 7p.","/ut/football/game/alta-sandy-vs-davis-kaysville/9-4-2026/?c=7143d4d4-7df5-4a79-b6c6-d40b72421c4a","https://www.maxpreps.com/ut/football/game/alta-sandy-vs-davis-kaysville/9-4-2026/?c=7143d4d4-7df5-4a79-b6c6-d40b72421c4a",b9c34d4
17,"Monument Valley vs Utah Military Academy Hill Field Riverdale",Football,"Utah",09/04/2026,07:00 PM,"The Utah Military Academy Hill Field Riverdale varsity football team has an away non-conference game @ Monument Valley (Utah) on Friday, September 4 @ 7p.","/ut/football/game/monument-valley-vs-utah-military-academy-hill-field-riverdale/9-4-2026/?c=0f2b7e4c-2e55-4bbd-867f-2367becc1863","https://www.maxpreps.com/ut/football/game/monument-valley-vs-utah-military-academy-hill-field-riverdale/9-4-2026/?c=0f2b7e4c-2e55-4bbd-867f-2367becc1863",d0fe5b9
18,"Hunter West Valley City vs West Salt Lake City",Football,"Utah",09/04/2026,07:00 PM,"The West Salt Lake City varsity football team has an away non-conference game @ Hunter West Valley City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/hunter-west-valley-city-vs-west-salt-lake-city/9-4-2026/?c=9bf4cca6-c23f-4b94-a27b-11311abfe98d","https://www.maxpreps.com/ut/football/game/hunter-west-valley-city-vs-west-salt-lake-city/9-4-2026/?c=9bf4cca6-c23f-4b94-a27b-11311abfe98d",b286cff
19,"Beaver vs Duchesne",Football,"Utah",09/04/2026,07:00 PM,"The Duchesne varsity football team has an away non-conference game @ Beaver (Utah) on Friday, September 4 @ 7p.","/ut/football/game/beaver-vs-duchesne/9-4-2026/?c=a8d53ff7-f3b5-4b12-82a0-7e6cea306b06","https://www.maxpreps.com/ut/football/game/beaver-vs-duchesne/9-4-2026/?c=a8d53ff7-f3b5-4b12-82a0-7e6cea306b06",bcdbb33
20,"Brighton Salt Lake City vs Crimson Cliffs Washington",Football,"Utah",09/04/2026,07:00 PM,"The Crimson Cliffs Washington varsity football team has an away non-conference game @ Brighton Salt Lake City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/brighton-salt-lake-city-vs-crimson-cliffs-washington/9-4-2026/?c=976ad1c6-1b76-4d43-be22-84898cfc88ee","https://www.maxpreps.com/ut/football/game/brighton-salt-lake-city-vs-crimson-cliffs-washington/9-4-2026/?c=976ad1c6-1b76-4d43-be22-84898cfc88ee",2310a31
21,"San Juan Blanding vs Summit Academy Bluffdale",Football,"Utah",09/04/2026,07:00 PM,"The Summit Academy Bluffdale varsity football team has an away non-conference game @ San Juan Blanding (Utah) on Friday, September 4 @ 7p.","/ut/football/game/san-juan-blanding-vs-summit-academy-bluffdale/9-4-2026/?c=0ffa8fa3-0cf7-49c9-87c8-9dc377b888c4","https://www.maxpreps.com/ut/football/game/san-juan-blanding-vs-summit-academy-bluffdale/9-4-2026/?c=0ffa8fa3-0cf7-49c9-87c8-9dc377b888c4",673be05
22,"Bonneville Washington Terrace vs Fremont Plain City",Football,"Utah",09/04/2026,07:00 PM,"The Fremont Plain City varsity football team has an away non-conference game @ Bonneville Washington Terrace (Utah) on Friday, September 4 @ 7p.","/ut/football/game/bonneville-washington-terrace-vs-fremont-plain-city/9-4-2026/?c=4b1ad41e-6c10-43c7-ba8c-81e9e5da14ba","https://www.maxpreps.com/ut/football/game/bonneville-washington-terrace-vs-fremont-plain-city/9-4-2026/?c=4b1ad41e-6c10-43c7-ba8c-81e9e5da14ba",5d1a78f
23,"Gunnison Valley vs Milford",Football,"Utah",09/04/2026,07:00 PM,"The Milford varsity football team has an away non-conference game @ Gunnison Valley (Utah) on Friday, September 4 @ 7p.","/ut/football/game/gunnison-valley-vs-milford/9-4-2026/?c=fdd5566c-2e80-4a56-bcc5-d548d1241c9e","https://www.maxpreps.com/ut/football/game/gunnison-valley-vs-milford/9-4-2026/?c=fdd5566c-2e80-4a56-bcc5-d548d1241c9e",9d98618
24,"Kanab vs Millard Fillmore",Football,"Utah",09/04/2026,07:00 PM,"The Millard Fillmore varsity football team has an away non-conference game @ Kanab (Utah) on Friday, September 4 @ 7p.","/ut/football/game/kanab-vs-millard-fillmore/9-4-2026/?c=7fef0174-d9b9-4761-a57d-3f2df41b2979","https://www.maxpreps.com/ut/football/game/kanab-vs-millard-fillmore/9-4-2026/?c=7fef0174-d9b9-4761-a57d-3f2df41b2979",2cfadfa
25,"Mountain View Orem vs Park City",Football,"Utah",09/04/2026,07:00 PM,"The Park City varsity football team has an away non-conference game @ Mountain View Orem (Utah) on Friday, September 4 @ 7p.","/ut/football/game/mountain-view-orem-vs-park-city/9-4-2026/?c=112b9556-d6c1-4caf-8460-749cc469da6d","https://www.maxpreps.com/ut/football/game/mountain-view-orem-vs-park-city/9-4-2026/?c=112b9556-d6c1-4caf-8460-749cc469da6d",7e63cfc
26,"Cedar Cedar City vs Dixie St George",Football,"Utah",09/04/2026,07:00 PM,"The Dixie St George varsity football team has an away non-conference game @ Cedar Cedar City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/cedar-cedar-city-vs-dixie-st-george/9-4-2026/?c=1483a6bc-90dd-44d3-8af2-bcd616780085","https://www.maxpreps.com/ut/football/game/cedar-cedar-city-vs-dixie-st-george/9-4-2026/?c=1483a6bc-90dd-44d3-8af2-bcd616780085",900609c
27,"Clearfield vs Ogden",Football,"Utah",09/04/2026,07:00 PM,"The Ogden varsity football team has an away non-conference game @ Clearfield (Utah) on Friday, September 4 @ 7p.","/ut/football/game/clearfield-vs-ogden/9-4-2026/?c=fb36881f-66eb-4557-8bf0-eef80c289384","https://www.maxpreps.com/ut/football/game/clearfield-vs-ogden/9-4-2026/?c=fb36881f-66eb-4557-8bf0-eef80c289384",bb27fca
28,"Copper Hills West Jordan vs Layton",Football,"Utah",09/04/2026,07:00 PM,"The Layton varsity football team has an away non-conference game @ Copper Hills West Jordan (Utah) on Friday, September 4 @ 7p.","/ut/football/game/copper-hills-west-jordan-vs-layton/9-4-2026/?c=0955362f-efd5-4bdc-b633-4433ffc37b93","https://www.maxpreps.com/ut/football/game/copper-hills-west-jordan-vs-layton/9-4-2026/?c=0955362f-efd5-4bdc-b633-4433ffc37b93",76565f2
29,"Cyprus Magna vs Kearns",Football,"Utah",09/04/2026,07:00 PM,"The Kearns varsity football team has an away non-conference game @ Cyprus Magna (Utah) on Friday, September 4 @ 7p.","/ut/football/game/cyprus-magna-vs-kearns/9-4-2026/?c=e4d7e8b7-1f65-48b8-81bd-420813b64d86","https://www.maxpreps.com/ut/football/game/cyprus-magna-vs-kearns/9-4-2026/?c=e4d7e8b7-1f65-48b8-81bd-420813b64d86",5c62c3f
30,"Granger West Valley City vs Hillcrest Midvale",Football,"Utah",09/04/2026,07:00 PM,"The Hillcrest Midvale varsity football team has an away non-conference game @ Granger West Valley City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/granger-west-valley-city-vs-hillcrest-midvale/9-4-2026/?c=79f8b59d-b02e-4396-922d-3075e96562bf","https://www.maxpreps.com/ut/football/game/granger-west-valley-city-vs-hillcrest-midvale/9-4-2026/?c=79f8b59d-b02e-4396-922d-3075e96562bf",dc1ef02
31,"Green Canyon Wolfpack North Logan vs Stansbury Stansbury Park",Football,"Utah",09/04/2026,07:00 PM,"The Stansbury Stansbury Park varsity football team has an away non-conference game @ Green Canyon Wolfpack North Logan (Utah) on Friday, September 4 @ 7p.","/ut/football/game/green-canyon-wolfpack-north-logan-vs-stansbury-stansbury-park/9-4-2026/?c=060432f5-6353-4ec3-b50b-53868f7dadd0","https://www.maxpreps.com/ut/football/game/green-canyon-wolfpack-north-logan-vs-stansbury-stansbury-park/9-4-2026/?c=060432f5-6353-4ec3-b50b-53868f7dadd0",0edde2e
32,"East Salt Lake City vs Layton Christian Academy",Football,"Utah",09/04/2026,07:00 PM,"The Layton Christian Academy varsity football team has an away non-conference game @ East Salt Lake City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/east-salt-lake-city-vs-layton-christian-academy/9-4-2026/?c=701535a7-cb97-4021-90ce-22795410c9f9","https://www.maxpreps.com/ut/football/game/east-salt-lake-city-vs-layton-christian-academy/9-4-2026/?c=701535a7-cb97-4021-90ce-22795410c9f9",d92bf7c
33,"Desert Hills St George vs Spanish Fork",Football,"Utah",09/04/2026,07:00 PM,"The Spanish Fork varsity football team has an away non-conference game @ Desert Hills St George (Utah) on Friday, September 4 @ 7p.","/ut/football/game/desert-hills-st-george-vs-spanish-fork/9-4-2026/?c=394b2ba3-499d-4f56-8fda-354b708aa718","https://www.maxpreps.com/ut/football/game/desert-hills-st-george-vs-spanish-fork/9-4-2026/?c=394b2ba3-499d-4f56-8fda-354b708aa718",6484e2d
34,"North Summit Coalville vs Parowan",Football,"Utah",09/04/2026,07:00 PM,"The Parowan varsity football team has an away non-conference game @ North Summit Coalville (Utah) on Friday, September 4 @ 7p.","/ut/football/game/north-summit-coalville-vs-parowan/9-4-2026/?c=cc7990cd-0285-4dc6-b628-d82e7a2e1905","https://www.maxpreps.com/ut/football/game/north-summit-coalville-vs-parowan/9-4-2026/?c=cc7990cd-0285-4dc6-b628-d82e7a2e1905",2f4aca3
35,"Juan Diego Catholic Draper vs Skyline Salt Lake City",Football,"Utah",09/04/2026,07:00 PM,"The Skyline Salt Lake City varsity football team has an away non-conference game @ Juan Diego Catholic Draper (Utah) on Friday, September 4 @ 7p.","/ut/football/game/juan-diego-catholic-draper-vs-skyline-salt-lake-city/9-4-2026/?c=2ff1afc5-f493-439e-a951-0eace7fb9604","https://www.maxpreps.com/ut/football/game/juan-diego-catholic-draper-vs-skyline-salt-lake-city/9-4-2026/?c=2ff1afc5-f493-439e-a951-0eace7fb9604",92e77e3
36,"Canyon View Cedar City vs Carbon Price",Football,"Utah",09/04/2026,07:00 PM,"The Carbon Price varsity football team has an away non-conference game @ Canyon View Cedar City (Utah) on Friday, September 4 @ 7p.","/ut/football/game/canyon-view-cedar-city-vs-carbon-price/9-4-2026/?c=fecd8c45-758b-4955-9124-0cd29c0c9508","https://www.maxpreps.com/ut/football/game/canyon-view-cedar-city-vs-carbon-price/9-4-2026/?c=fecd8c45-758b-4955-9124-0cd29c0c9508",d614e0b
37,"Orem vs Springville",Football,"Utah",09/04/2026,07:00 PM,"The Springville varsity football team has an away non-conference game @ Orem (Utah) on Friday, September 4 @ 7p.","/ut/football/game/orem-vs-springville/9-4-2026/?c=361df65a-3963-44b3-93ee-1af6643503f5","https://www.maxpreps.com/ut/football/game/orem-vs-springville/9-4-2026/?c=361df65a-3963-44b3-93ee-1af6643503f5",16aa3dd
38,"North Sanpete Mt Pleasant vs Richfield",Football,"Utah",09/04/2026,07:00 PM,"The Richfield varsity football team has an away non-conference game @ North Sanpete Mt Pleasant (Utah) on Friday, September 4 @ 7p.","/ut/football/game/north-sanpete-mt-pleasant-vs-richfield/9-4-2026/?c=deecd6d1-13c2-4d93-9cd7-e602472f856f","https://www.maxpreps.com/ut/football/game/north-sanpete-mt-pleasant-vs-richfield/9-4-2026/?c=deecd6d1-13c2-4d93-9cd7-e602472f856f",b670ae9
39,"Emery Castle Dale vs Judge Memorial Catholic Salt Lake City",Football,"Utah",09/04/2026,07:00 PM,"The Judge Memorial Catholic Salt Lake City varsity football team has an away non-conference game @ Emery Castle Dale (Utah) on Friday, September 4 @ 7p.","/ut/football/game/emery-castle-dale-vs-judge-memorial-catholic-salt-lake-city/9-4-2026/?c=fd7b081f-0413-49ec-b26f-bb2bae322491","https://www.maxpreps.com/ut/football/game/emery-castle-dale-vs-judge-memorial-catholic-salt-lake-city/9-4-2026/?c=fd7b081f-0413-49ec-b26f-bb2bae322491",5e3df0b
40,"Delta vs Providence Hall Herriman",Football,"Utah",09/04/2026,07:00 PM,"The Providence Hall Herriman varsity football team has an away non-conference game @ Delta (Utah) on Friday, September 4 @ 7p.","/ut/football/game/delta-vs-providence-hall-herriman/9-4-2026/?c=57f28570-ad92-415f-93d9-e2a22bc42246","https://www.maxpreps.com/ut/football/game/delta-vs-providence-hall-herriman/9-4-2026/?c=57f28570-ad92-415f-93d9-e2a22bc42246",30931c1
41,"Viewmont Bountiful vs Weber Pleasant View",Football,"Utah",09/04/2026,07:00 PM,"The Weber Pleasant View varsity football team has an away non-conference game @ Viewmont Bountiful (Utah) on Friday, September 4 @ 7p.","/ut/football/game/viewmont-bountiful-vs-weber-pleasant-view/9-4-2026/?c=17591712-1b18-4e41-aa99-23576a8adc61","https://www.maxpreps.com/ut/football/game/viewmont-bountiful-vs-weber-pleasant-view/9-4-2026/?c=17591712-1b18-4e41-aa99-23576a8adc61",2c22531
42,"Payson vs Timpview Provo",Football,"Utah",09/04/2026,07:00 PM,"The Timpview Provo varsity football team has an away non-conference game @ Payson (Utah) on Friday, September 4 @ 7p.","/ut/football/game/payson-vs-timpview-provo/9-4-2026/?c=1c2e4573-94dd-4604-830d-740ff25b2fbd","https://www.maxpreps.com/ut/football/game/payson-vs-timpview-provo/9-4-2026/?c=1c2e4573-94dd-4604-830d-740ff25b2fbd",8b1072d
43,"Altamont vs Utah Military Academy Camp Williams Lehi",Football,"Utah",09/04/2026,07:00 PM,"The Utah Military Academy Camp Williams Lehi varsity football team has an away non-conference game @ Altamont (Utah) on Friday, September 4 @ 7p.","/ut/football/game/altamont-vs-utah-military-academy-camp-williams-lehi/9-4-2026/?c=3f9e94d7-ee90-4301-a35a-dafc59e89c77","https://www.maxpreps.com/ut/football/game/altamont-vs-utah-military-academy-camp-williams-lehi/9-4-2026/?c=3f9e94d7-ee90-4301-a35a-dafc59e89c77",2c7a6b8
