No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Centreville Clifton vs Stone Bridge Ashburn",Football,"Virginia",09/03/2026,07:00 PM,"The Stone Bridge Ashburn varsity football team has an away non-conference game @ Centreville Clifton (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/centreville-clifton-vs-stone-bridge-ashburn/9-3-2026/?c=2d152eb5-30ca-4b4c-86a8-3260190beb81","https://www.maxpreps.com/va/football/game/centreville-clifton-vs-stone-bridge-ashburn/9-3-2026/?c=2d152eb5-30ca-4b4c-86a8-3260190beb81",40002d6
2,"James Madison Vienna vs Lake Braddock Burke",Football,"Virginia",09/03/2026,07:00 PM,"The Lake Braddock Burke varsity football team has an away non-conference game @ James Madison Vienna (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/james-madison-vienna-vs-lake-braddock-burke/9-3-2026/?c=adab88ce-b45f-43db-a357-0ce47697abf3","https://www.maxpreps.com/va/football/game/james-madison-vienna-vs-lake-braddock-burke/9-3-2026/?c=adab88ce-b45f-43db-a357-0ce47697abf3",a283528
3,"Battlefield Haymarket vs Mountain View Stafford",Football,"Virginia",09/03/2026,07:00 PM,"The Mountain View Stafford varsity football team has an away non-conference game @ Battlefield Haymarket (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/battlefield-haymarket-vs-mountain-view-stafford/9-3-2026/?c=e577208c-43a7-404e-9815-543a5f5ef094","https://www.maxpreps.com/va/football/game/battlefield-haymarket-vs-mountain-view-stafford/9-3-2026/?c=e577208c-43a7-404e-9815-543a5f5ef094",66f6d29
4,"Handley Winchester vs Liberty Bealeton",Football,"Virginia",09/03/2026,07:00 PM,"The Liberty Bealeton varsity football team has an away non-conference game @ Handley Winchester (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/handley-winchester-vs-liberty-bealeton/9-3-2026/?c=8365381d-e3cd-4ee3-8bf2-1df9d0f311ef","https://www.maxpreps.com/va/football/game/handley-winchester-vs-liberty-bealeton/9-3-2026/?c=8365381d-e3cd-4ee3-8bf2-1df9d0f311ef",02031f1
5,"Powhatan vs Richmond High School For The Arts",Football,"Virginia",09/03/2026,07:00 PM,"The Richmond High School For The Arts varsity football team has an away non-conference game @ Powhatan (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/powhatan-vs-richmond-high-school-for-the-arts/9-3-2026/?c=2aabe72d-6492-4798-b39c-2a267edaacd4","https://www.maxpreps.com/va/football/game/powhatan-vs-richmond-high-school-for-the-arts/9-3-2026/?c=2aabe72d-6492-4798-b39c-2a267edaacd4",d9e9fc2
6,"Green Run Virginia Beach vs Salem Virginia Beach",Football,"Virginia",09/03/2026,07:00 PM,"The Salem Virginia Beach varsity football team has an away non-conference game @ Green Run Virginia Beach (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/green-run-virginia-beach-vs-salem-virginia-beach/9-3-2026/?c=b9623c60-21d4-4a19-90d7-8b196fd5fb3c","https://www.maxpreps.com/va/football/game/green-run-virginia-beach-vs-salem-virginia-beach/9-3-2026/?c=b9623c60-21d4-4a19-90d7-8b196fd5fb3c",d144e61
7,"Ocean Lakes Virginia Beach vs Princess Anne Virginia Beach",Football,"Virginia",09/03/2026,07:00 PM,"The Princess Anne Virginia Beach varsity football team has an away non-conference game @ Ocean Lakes Virginia Beach (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/ocean-lakes-virginia-beach-vs-princess-anne-virginia-beach/9-3-2026/?c=afc49490-1d16-4df8-aea6-ded817d6adb6","https://www.maxpreps.com/va/football/game/ocean-lakes-virginia-beach-vs-princess-anne-virginia-beach/9-3-2026/?c=afc49490-1d16-4df8-aea6-ded817d6adb6",1f02dda
8,"Cox Virginia Beach vs Kellam Virginia Beach",Football,"Virginia",09/03/2026,07:00 PM,"The Kellam Virginia Beach varsity football team has an away non-conference game @ Cox Virginia Beach (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/cox-virginia-beach-vs-kellam-virginia-beach/9-3-2026/?c=b1da81cc-a720-47c7-bc98-c395cbdcfbf8","https://www.maxpreps.com/va/football/game/cox-virginia-beach-vs-kellam-virginia-beach/9-3-2026/?c=b1da81cc-a720-47c7-bc98-c395cbdcfbf8",bd3c8be
9,"Kempsville Virginia Beach vs Tallwood Virginia Beach",Football,"Virginia",09/03/2026,07:00 PM,"The Tallwood Virginia Beach varsity football team has an away non-conference game @ Kempsville Virginia Beach (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/kempsville-virginia-beach-vs-tallwood-virginia-beach/9-3-2026/?c=2ddd5662-9a2d-4fb4-8e5d-179a2386895a","https://www.maxpreps.com/va/football/game/kempsville-virginia-beach-vs-tallwood-virginia-beach/9-3-2026/?c=2ddd5662-9a2d-4fb4-8e5d-179a2386895a",4407fc4
10,"First Colonial Virginia Beach vs Landstown Virginia Beach",Football,"Virginia",09/03/2026,07:00 PM,"The Landstown Virginia Beach varsity football team has an away non-conference game @ First Colonial Virginia Beach (Virginia) on Thursday, September 3 @ 7p.","/va/football/game/first-colonial-virginia-beach-vs-landstown-virginia-beach/9-3-2026/?c=c5255f87-78cd-4e92-8a6b-bb48f00b3006","https://www.maxpreps.com/va/football/game/first-colonial-virginia-beach-vs-landstown-virginia-beach/9-3-2026/?c=c5255f87-78cd-4e92-8a6b-bb48f00b3006",d93994a
