No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Graham Kapowsin vs Lake Stevens",Football,"Washington",09/04/2026,07:00 PM,"The Lake Stevens varsity football team has an away non-conference game @ Graham Kapowsin (Washington) on Friday, September 4 @ 7p.","/wa/football/game/graham-kapowsin-vs-lake-stevens/9-4-2026/?c=bfe2428b-823b-4042-bbd2-419695b363f8","https://www.maxpreps.com/wa/football/game/graham-kapowsin-vs-lake-stevens/9-4-2026/?c=bfe2428b-823b-4042-bbd2-419695b363f8",a0c46c0
2,"Odea Seattle vs Roosevelt Seattle",Football,"Washington",09/04/2026,07:00 PM,"The Roosevelt Seattle varsity football team has an away non-conference game @ Odea Seattle (Washington) on Friday, September 4 @ 7p.","/wa/football/game/odea-seattle-vs-roosevelt-seattle/9-4-2026/?c=2dbb4503-a507-46c2-b027-052192da8071","https://www.maxpreps.com/wa/football/game/odea-seattle-vs-roosevelt-seattle/9-4-2026/?c=2dbb4503-a507-46c2-b027-052192da8071",eceade6
3,"Columbia Hunters vs Wellpinit",Football,"Washington",09/04/2026,07:00 PM,"The Wellpinit varsity football team has an away non-conference game @ Columbia Hunters (Washington) on Friday, September 4 @ 7p.","/wa/football/game/columbia-hunters-vs-wellpinit/9-4-2026/?c=d65846e8-26fd-4cd1-8db7-c42859255342","https://www.maxpreps.com/wa/football/game/columbia-hunters-vs-wellpinit/9-4-2026/?c=d65846e8-26fd-4cd1-8db7-c42859255342",60cf633
4,"Curlew vs Waterville Mansfield",Football,"Washington",09/04/2026,07:00 PM,"The Waterville Mansfield varsity football team has an away non-conference game @ Curlew (Washington) on Friday, September 4 @ 7p.","/wa/football/game/curlew-vs-waterville-mansfield/9-4-2026/?c=4b6c293c-4ac4-41cd-9981-b9e31afdabb9","https://www.maxpreps.com/wa/football/game/curlew-vs-waterville-mansfield/9-4-2026/?c=4b6c293c-4ac4-41cd-9981-b9e31afdabb9",8cac1bf
5,"Foster Tukwila vs Kentridge Kent",Football,"Washington",09/04/2026,07:00 PM,"The Kentridge Kent varsity football team has an away non-conference game @ Foster Tukwila (Washington) on Friday, September 4 @ 7p.","/wa/football/game/foster-tukwila-vs-kentridge-kent/9-4-2026/?c=125c6dec-9b41-4289-8e0c-e0d4e159ac78","https://www.maxpreps.com/wa/football/game/foster-tukwila-vs-kentridge-kent/9-4-2026/?c=125c6dec-9b41-4289-8e0c-e0d4e159ac78",c8a8ba8
6,"Muckleshoot Tribal Auburn vs Vashon Island",Football,"Washington",09/04/2026,07:00 PM,"The Vashon Island varsity football team has an away non-conference game @ Muckleshoot Tribal Auburn (Washington) on Friday, September 4 @ 7p.","/wa/football/game/muckleshoot-tribal-auburn-vs-vashon-island/9-4-2026/?c=41e45e47-1824-46a5-8567-2f6421730919","https://www.maxpreps.com/wa/football/game/muckleshoot-tribal-auburn-vs-vashon-island/9-4-2026/?c=41e45e47-1824-46a5-8567-2f6421730919",6ec60f1
7,"Darrington vs Neah Bay Red Devils Lady Reds",Football,"Washington",09/04/2026,07:00 PM,"The Neah Bay Red Devils Lady Reds varsity football team has an away non-conference game @ Darrington (Washington) on Friday, September 4 @ 7p.","/wa/football/game/darrington-vs-neah-bay-red-devils-lady-reds/9-4-2026/?c=8d654c9b-1d34-4076-bcc0-49fadc40684d","https://www.maxpreps.com/wa/football/game/darrington-vs-neah-bay-red-devils-lady-reds/9-4-2026/?c=8d654c9b-1d34-4076-bcc0-49fadc40684d",e3e2fa5
8,"Evergreen Vancouver vs Kamiakin Kennewick",Football,"Washington",09/04/2026,07:00 PM,"The Kamiakin Kennewick varsity football team has an away non-conference game @ Evergreen Vancouver (Washington) on Friday, September 4 @ 7p.","/wa/football/game/evergreen-vancouver-vs-kamiakin-kennewick/9-4-2026/?c=1dea7a76-eb61-4b01-9291-9453486996a9","https://www.maxpreps.com/wa/football/game/evergreen-vancouver-vs-kamiakin-kennewick/9-4-2026/?c=1dea7a76-eb61-4b01-9291-9453486996a9",bf089e6
9,"Ferris Spokane vs Hanford Richland",Football,"Washington",09/04/2026,07:00 PM,"The Hanford Richland varsity football team has an away non-conference game @ Ferris Spokane (Washington) on Friday, September 4 @ 7p.","/wa/football/game/ferris-spokane-vs-hanford-richland/9-4-2026/?c=40c56767-ca58-4906-8f30-ccdfa2a00f4f","https://www.maxpreps.com/wa/football/game/ferris-spokane-vs-hanford-richland/9-4-2026/?c=40c56767-ca58-4906-8f30-ccdfa2a00f4f",7244879
10,"Garfield Seattle vs Lindbergh Renton",Football,"Washington",09/04/2026,07:00 PM,"The Lindbergh Renton varsity football team has an away non-conference game @ Garfield Seattle (Washington) on Friday, September 4 @ 7p.","/wa/football/game/garfield-seattle-vs-lindbergh-renton/9-4-2026/?c=8ee16548-0a06-430c-a783-45c3e9d57a0a","https://www.maxpreps.com/wa/football/game/garfield-seattle-vs-lindbergh-renton/9-4-2026/?c=8ee16548-0a06-430c-a783-45c3e9d57a0a",3df3489
