No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Jefferson Shenandoah Junction vs Morgantown",Football,"West Virginia",09/04/2026,07:00 PM,"The Morgantown varsity football team has an away non-conference game @ Jefferson Shenandoah Junction (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/jefferson-shenandoah-junction-vs-morgantown/9-4-2026/?c=62e25c3e-de83-4119-8fc3-ccf621566801","https://www.maxpreps.com/wv/football/game/jefferson-shenandoah-junction-vs-morgantown/9-4-2026/?c=62e25c3e-de83-4119-8fc3-ccf621566801",6ecd182
2,"Bluefield vs Princeton",Football,"West Virginia",09/04/2026,07:00 PM,"The Princeton varsity football team has an away non-conference game @ Bluefield (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/bluefield-vs-princeton/9-4-2026/?c=c4b4f5f0-2e24-4038-9a81-f76a2a9b2c45","https://www.maxpreps.com/wv/football/game/bluefield-vs-princeton/9-4-2026/?c=c4b4f5f0-2e24-4038-9a81-f76a2a9b2c45",c21b9d8
3,"Spring Mills Martinsburg vs Wheeling Park",Football,"West Virginia",09/04/2026,07:00 PM,"The Wheeling Park varsity football team has an away non-conference game @ Spring Mills Martinsburg (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/spring-mills-martinsburg-vs-wheeling-park/9-4-2026/?c=d0077c6a-b9d8-4f2a-8d71-4d9725f0e40a","https://www.maxpreps.com/wv/football/game/spring-mills-martinsburg-vs-wheeling-park/9-4-2026/?c=d0077c6a-b9d8-4f2a-8d71-4d9725f0e40a",6c28d25
4,"John Marshall Glen Dale vs Weir Weirton",Football,"West Virginia",09/04/2026,07:00 PM,"The Weir Weirton varsity football team has an away non-conference game @ John Marshall Glen Dale (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/john-marshall-glen-dale-vs-weir-weirton/9-4-2026/?c=059f785b-573f-4b0a-8f7a-aece0ba344d0","https://www.maxpreps.com/wv/football/game/john-marshall-glen-dale-vs-weir-weirton/9-4-2026/?c=059f785b-573f-4b0a-8f7a-aece0ba344d0",ca006ac
5,"Elkins vs Moorefield",Football,"West Virginia",09/04/2026,07:00 PM,"The Moorefield varsity football team has an away non-conference game @ Elkins (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/elkins-vs-moorefield/9-4-2026/?c=b2bcaf98-b3e2-4f30-aba7-9cbd6fb55a76","https://www.maxpreps.com/wv/football/game/elkins-vs-moorefield/9-4-2026/?c=b2bcaf98-b3e2-4f30-aba7-9cbd6fb55a76",d172bf2
6,"Liberty Glen Daniel vs Pikeview Princeton",Football,"West Virginia",09/04/2026,07:00 PM,"The Pikeview Princeton varsity football team has an away non-conference game @ Liberty Glen Daniel (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/liberty-glen-daniel-vs-pikeview-princeton/9-4-2026/?c=af0776b1-04df-4e86-a67a-64a85c1c86a5","https://www.maxpreps.com/wv/football/game/liberty-glen-daniel-vs-pikeview-princeton/9-4-2026/?c=af0776b1-04df-4e86-a67a-64a85c1c86a5",ff16527
7,"Doddridge County West Union vs Ritchie County Ellenboro",Football,"West Virginia",09/04/2026,07:00 PM,"The Ritchie County Ellenboro varsity football team has an away non-conference game @ Doddridge County West Union (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/doddridge-county-west-union-vs-ritchie-county-ellenboro/9-4-2026/?c=9e00fa6d-8f21-4ec4-9c30-bdd403ad6f43","https://www.maxpreps.com/wv/football/game/doddridge-county-west-union-vs-ritchie-county-ellenboro/9-4-2026/?c=9e00fa6d-8f21-4ec4-9c30-bdd403ad6f43",632a348
8,"East Hardy Baker vs Pendleton County Franklin",Football,"West Virginia",09/04/2026,07:00 PM,"The Pendleton County Franklin varsity football team has an away non-conference game @ East Hardy Baker (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/east-hardy-baker-vs-pendleton-county-franklin/9-4-2026/?c=26898168-b0c5-4266-809a-0611e9c30bd3","https://www.maxpreps.com/wv/football/game/east-hardy-baker-vs-pendleton-county-franklin/9-4-2026/?c=26898168-b0c5-4266-809a-0611e9c30bd3",f09c283
9,"Oak Hill vs Riverside Belle",Football,"West Virginia",09/04/2026,07:00 PM,"The Riverside Belle varsity football team has an away non-conference game @ Oak Hill (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/oak-hill-vs-riverside-belle/9-4-2026/?c=96e06b2d-4826-432c-9f4b-3134b51108cd","https://www.maxpreps.com/wv/football/game/oak-hill-vs-riverside-belle/9-4-2026/?c=96e06b2d-4826-432c-9f4b-3134b51108cd",734c4c1
10,"Lincoln Shinnston vs South Harrison Lost Creek",Football,"West Virginia",09/04/2026,07:00 PM,"The South Harrison Lost Creek varsity football team has an away non-conference game @ Lincoln Shinnston (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/lincoln-shinnston-vs-south-harrison-lost-creek/9-4-2026/?c=d32672db-fa5b-4443-8b0f-42437b9e41c2","https://www.maxpreps.com/wv/football/game/lincoln-shinnston-vs-south-harrison-lost-creek/9-4-2026/?c=d32672db-fa5b-4443-8b0f-42437b9e41c2",e55b0b3
11,"Calhoun Mt Zion vs Richwood",Football,"West Virginia",09/04/2026,07:00 PM,"The Richwood varsity football team has an away non-conference game @ Calhoun Mt Zion (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/calhoun-mt-zion-vs-richwood/9-4-2026/?c=479f8558-dddc-47ba-a3b3-9de11109ca2f","https://www.maxpreps.com/wv/football/game/calhoun-mt-zion-vs-richwood/9-4-2026/?c=479f8558-dddc-47ba-a3b3-9de11109ca2f",6324348
12,"Cameron vs Valley Pine Grove",Football,"West Virginia",09/04/2026,07:00 PM,"The Valley Pine Grove varsity football team has an away non-conference game @ Cameron (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/cameron-vs-valley-pine-grove/9-4-2026/?c=63cbdaed-4608-4826-abf6-880fbb9e3617","https://www.maxpreps.com/wv/football/game/cameron-vs-valley-pine-grove/9-4-2026/?c=63cbdaed-4608-4826-abf6-880fbb9e3617",35e191e
13,"Expression Prep Academy Huntington vs Greater Beckley Christian Prosperity",Football,"West Virginia",09/04/2026,07:00 PM,"The Greater Beckley Christian Prosperity varsity football team has an away non-conference game @ Expression Prep Academy Huntington (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/expression-prep-academy-huntington-vs-greater-beckley-christian-prosperity/9-4-2026/?c=429c10b4-f631-4f95-9402-bdeb73ba364b","https://www.maxpreps.com/wv/football/game/expression-prep-academy-huntington-vs-greater-beckley-christian-prosperity/9-4-2026/?c=429c10b4-f631-4f95-9402-bdeb73ba364b",71f5c5f
14,"Herbert Hoover Elkview vs Winfield",Football,"West Virginia",09/04/2026,07:00 PM,"The Winfield varsity football team has an away non-conference game @ Herbert Hoover Elkview (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/herbert-hoover-elkview-vs-winfield/9-4-2026/?c=d09a9668-5a5a-4bd9-a7ee-287b2d960d87","https://www.maxpreps.com/wv/football/game/herbert-hoover-elkview-vs-winfield/9-4-2026/?c=d09a9668-5a5a-4bd9-a7ee-287b2d960d87",5772ec8
15,"Tucker County Hambleton vs Tygarts Valley Mill Creek",Football,"West Virginia",09/04/2026,07:00 PM,"The Tygarts Valley Mill Creek varsity football team has an away non-conference game @ Tucker County Hambleton (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/tucker-county-hambleton-vs-tygarts-valley-mill-creek/9-4-2026/?c=19eb8aa6-1fde-4051-8cc1-a7c225470ba4","https://www.maxpreps.com/wv/football/game/tucker-county-hambleton-vs-tygarts-valley-mill-creek/9-4-2026/?c=19eb8aa6-1fde-4051-8cc1-a7c225470ba4",02230cb
16,"Meadow Bridge vs Pocahontas County Dunmore",Football,"West Virginia",09/04/2026,07:00 PM,"The Pocahontas County Dunmore varsity football team has an away non-conference game @ Meadow Bridge (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/meadow-bridge-vs-pocahontas-county-dunmore/9-4-2026/?c=da8bf741-35e1-4903-873f-5026adbd4d2c","https://www.maxpreps.com/wv/football/game/meadow-bridge-vs-pocahontas-county-dunmore/9-4-2026/?c=da8bf741-35e1-4903-873f-5026adbd4d2c",ba994ae
17,"North Marion Farmington vs Preston Kingwood",Football,"West Virginia",09/04/2026,07:00 PM,"The Preston Kingwood varsity football team has an away non-conference game @ North Marion Farmington (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/north-marion-farmington-vs-preston-kingwood/9-4-2026/?c=ecdf1148-2925-47d3-82d7-299c54cb7c97","https://www.maxpreps.com/wv/football/game/north-marion-farmington-vs-preston-kingwood/9-4-2026/?c=ecdf1148-2925-47d3-82d7-299c54cb7c97",149db91
18,"Tug Valley Williamson vs Wyoming East New Richmond",Football,"West Virginia",09/04/2026,07:00 PM,"The Wyoming East New Richmond varsity football team has an away non-conference game @ Tug Valley Williamson (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/tug-valley-williamson-vs-wyoming-east-new-richmond/9-4-2026/?c=cd265a85-f021-4f87-ba17-bc6d5f1148ad","https://www.maxpreps.com/wv/football/game/tug-valley-williamson-vs-wyoming-east-new-richmond/9-4-2026/?c=cd265a85-f021-4f87-ba17-bc6d5f1148ad",053c86b
19,"Sissonville Charleston vs Tolsia Fort Gay",Football,"West Virginia",09/04/2026,07:00 PM,"The Tolsia Fort Gay varsity football team has an away non-conference game @ Sissonville Charleston (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/sissonville-charleston-vs-tolsia-fort-gay/9-4-2026/?c=2b33f045-5658-41e5-b2e4-71e5d34ac7d0","https://www.maxpreps.com/wv/football/game/sissonville-charleston-vs-tolsia-fort-gay/9-4-2026/?c=2b33f045-5658-41e5-b2e4-71e5d34ac7d0",5216860
20,"Frankfort Ridgeley vs Hampshire Romney",Football,"West Virginia",09/04/2026,07:00 PM,"The Hampshire Romney varsity football team has an away non-conference game @ Frankfort Ridgeley (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/frankfort-ridgeley-vs-hampshire-romney/9-4-2026/?c=b9482ad7-6e80-4530-ab9d-430193b0d891","https://www.maxpreps.com/wv/football/game/frankfort-ridgeley-vs-hampshire-romney/9-4-2026/?c=b9482ad7-6e80-4530-ab9d-430193b0d891",0d386e2
21,"Keyser vs Lewis County Weston",Football,"West Virginia",09/04/2026,07:00 PM,"The Lewis County Weston varsity football team has an away non-conference game @ Keyser (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/keyser-vs-lewis-county-weston/9-4-2026/?c=3929d655-322e-41e6-9eb9-5b16db7d2424","https://www.maxpreps.com/wv/football/game/keyser-vs-lewis-county-weston/9-4-2026/?c=3929d655-322e-41e6-9eb9-5b16db7d2424",5bd6a79
22,"Mingo Central Matewan vs Westside Clear Fork",Football,"West Virginia",09/04/2026,07:00 PM,"The Westside Clear Fork varsity football team has an away non-conference game @ Mingo Central Matewan (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/mingo-central-matewan-vs-westside-clear-fork/9-4-2026/?c=e79db31e-9022-4627-82c3-a9f80a5e9a54","https://www.maxpreps.com/wv/football/game/mingo-central-matewan-vs-westside-clear-fork/9-4-2026/?c=e79db31e-9022-4627-82c3-a9f80a5e9a54",980f985
23,"Logan vs River View Bradshaw",Football,"West Virginia",09/04/2026,07:00 PM,"The River View Bradshaw varsity football team has an away non-conference game @ Logan (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/logan-vs-river-view-bradshaw/9-4-2026/?c=3b77975a-b40c-4f46-b151-ae976e679f93","https://www.maxpreps.com/wv/football/game/logan-vs-river-view-bradshaw/9-4-2026/?c=3b77975a-b40c-4f46-b151-ae976e679f93",1036fe4
24,"Chapmanville Regional vs South Charleston",Football,"West Virginia",09/04/2026,07:00 PM,"The South Charleston varsity football team has an away non-conference game @ Chapmanville Regional (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/chapmanville-regional-vs-south-charleston/9-4-2026/?c=6b6d73dc-bfe8-46d6-8f3f-59fa94a5bb2c","https://www.maxpreps.com/wv/football/game/chapmanville-regional-vs-south-charleston/9-4-2026/?c=6b6d73dc-bfe8-46d6-8f3f-59fa94a5bb2c",ea676b4
25,"East Fairmont vs Grafton",Football,"West Virginia",09/04/2026,07:00 PM,"The Grafton varsity football team has an away non-conference game @ East Fairmont (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/east-fairmont-vs-grafton/9-4-2026/?c=b08b24f7-a964-4e71-a026-1c62584f4cf8","https://www.maxpreps.com/wv/football/game/east-fairmont-vs-grafton/9-4-2026/?c=b08b24f7-a964-4e71-a026-1c62584f4cf8",e3a1ff8
26,"Braxton County Sutton vs Gilmer County Glenville",Football,"West Virginia",09/04/2026,07:00 PM,"The Gilmer County Glenville varsity football team has an away non-conference game @ Braxton County Sutton (West Virginia) on Friday, September 4 @ 7p.","/wv/football/game/braxton-county-sutton-vs-gilmer-county-glenville/9-4-2026/?c=eb2f9a45-03a0-4548-83f8-699340d20d6b","https://www.maxpreps.com/wv/football/game/braxton-county-sutton-vs-gilmer-county-glenville/9-4-2026/?c=eb2f9a45-03a0-4548-83f8-699340d20d6b",289ac1b
