No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Muskego vs Oak Creek",Football,"Wisconsin",08/28/2026,07:00 PM,"The Oak Creek varsity football team has an away non-conference game @ Muskego (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/muskego-vs-oak-creek/8-28-2026/?c=c2f922eb-f342-421e-8743-97819d58e23b","https://www.maxpreps.com/wi/football/game/muskego-vs-oak-creek/8-28-2026/?c=c2f922eb-f342-421e-8743-97819d58e23b",e1e4ab2
2,"Arrowhead Hartland vs Neenah",Football,"Wisconsin",08/28/2026,07:00 PM,"The Neenah varsity football team has an away non-conference game @ Arrowhead Hartland (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/arrowhead-hartland-vs-neenah/8-28-2026/?c=f0312370-e2f4-4db5-affd-123c0de5da7c","https://www.maxpreps.com/wi/football/game/arrowhead-hartland-vs-neenah/8-28-2026/?c=f0312370-e2f4-4db5-affd-123c0de5da7c",4f49b40
3,"Badger Lake Geneva vs Mukwonago",Football,"Wisconsin",08/28/2026,07:00 PM,"The Mukwonago varsity football team has an away non-conference game @ Badger Lake Geneva (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/badger-lake-geneva-vs-mukwonago/8-28-2026/?c=a0d9596f-23cb-41ba-9a31-0a4403d839ef","https://www.maxpreps.com/wi/football/game/badger-lake-geneva-vs-mukwonago/8-28-2026/?c=a0d9596f-23cb-41ba-9a31-0a4403d839ef",c74859d
4,"Bowler Gresham Community vs Menominee Nation Keshena",Football,"Wisconsin",08/28/2026,07:00 PM,"The Menominee Nation Keshena varsity football team has an away non-conference game @ Bowler Gresham Community (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/bowler-gresham-community-vs-menominee-nation-keshena/8-28-2026/?c=7149ab21-136b-4842-aa51-7ad6169c1741","https://www.maxpreps.com/wi/football/game/bowler-gresham-community-vs-menominee-nation-keshena/8-28-2026/?c=7149ab21-136b-4842-aa51-7ad6169c1741",b39f68b
5,"Kenosha Tremper vs South Milwaukee",Football,"Wisconsin",08/28/2026,07:00 PM,"The South Milwaukee varsity football team has an away non-conference game @ Kenosha Tremper (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/kenosha-tremper-vs-south-milwaukee/8-28-2026/?c=f9980675-a10a-4f5a-af0d-64b7af8a1a49","https://www.maxpreps.com/wi/football/game/kenosha-tremper-vs-south-milwaukee/8-28-2026/?c=f9980675-a10a-4f5a-af0d-64b7af8a1a49",a481518
6,"Indian Trail Kenosha vs Middleton",Football,"Wisconsin",08/28/2026,07:00 PM,"The Middleton varsity football team has an away non-conference game @ Indian Trail Kenosha (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/indian-trail-kenosha-vs-middleton/8-28-2026/?c=2ba9ab8e-c79a-4a4f-9f10-acb931d5b81c","https://www.maxpreps.com/wi/football/game/indian-trail-kenosha-vs-middleton/8-28-2026/?c=2ba9ab8e-c79a-4a4f-9f10-acb931d5b81c",39278b0
7,"Baldwin Woodville vs Pewaukee",Football,"Wisconsin",08/28/2026,07:00 PM,"The Pewaukee varsity football team has an away non-conference game @ Baldwin Woodville (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/baldwin-woodville-vs-pewaukee/8-28-2026/?c=67fcc9b9-6d99-4566-bbfb-f1f4baf846bc","https://www.maxpreps.com/wi/football/game/baldwin-woodville-vs-pewaukee/8-28-2026/?c=67fcc9b9-6d99-4566-bbfb-f1f4baf846bc",036be2e
8,"La Crosse Logan vs Wausau East",Football,"Wisconsin",08/28/2026,07:00 PM,"The Wausau East varsity football team has an away non-conference game @ La Crosse Logan (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/la-crosse-logan-vs-wausau-east/8-28-2026/?c=7d39fd6c-df96-4e00-9aab-edd03957773a","https://www.maxpreps.com/wi/football/game/la-crosse-logan-vs-wausau-east/8-28-2026/?c=7d39fd6c-df96-4e00-9aab-edd03957773a",b3f4c36
9,"Boyceville vs Cameron",Football,"Wisconsin",08/28/2026,07:00 PM,"The Cameron varsity football team has an away non-conference game @ Boyceville (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/boyceville-vs-cameron/8-28-2026/?c=9e72c8ba-dfc5-4e10-a12c-96c773359417","https://www.maxpreps.com/wi/football/game/boyceville-vs-cameron/8-28-2026/?c=9e72c8ba-dfc5-4e10-a12c-96c773359417",3f91662
10,"Aquinas La Crosse vs St Croix Central Hammond",Football,"Wisconsin",08/28/2026,07:00 PM,"The St Croix Central Hammond varsity football team has an away non-conference game @ Aquinas La Crosse (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/aquinas-la-crosse-vs-st-croix-central-hammond/8-28-2026/?c=b7540d3b-f022-435a-9850-9b18d63a856a","https://www.maxpreps.com/wi/football/game/aquinas-la-crosse-vs-st-croix-central-hammond/8-28-2026/?c=b7540d3b-f022-435a-9850-9b18d63a856a",e650307
11,"Boscobel vs Fennimore",Football,"Wisconsin",08/28/2026,07:00 PM,"The Fennimore varsity football team has an away non-conference game @ Boscobel (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/boscobel-vs-fennimore/8-28-2026/?c=a4d1178d-437b-4a9f-8647-5f79018e28af","https://www.maxpreps.com/wi/football/game/boscobel-vs-fennimore/8-28-2026/?c=a4d1178d-437b-4a9f-8647-5f79018e28af",ceef530
12,"Kettle Moraine Lutheran Jackson vs Luther Prep Watertown",Football,"Wisconsin",08/28/2026,07:00 PM,"The Luther Prep Watertown varsity football team has an away non-conference game @ Kettle Moraine Lutheran Jackson (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/kettle-moraine-lutheran-jackson-vs-luther-prep-watertown/8-28-2026/?c=4c1be1a2-85d2-4298-a06a-006131112dec","https://www.maxpreps.com/wi/football/game/kettle-moraine-lutheran-jackson-vs-luther-prep-watertown/8-28-2026/?c=4c1be1a2-85d2-4298-a06a-006131112dec",da1b57c
13,"Ashwaubenon Green Bay vs Manitowoc Lincoln",Football,"Wisconsin",08/28/2026,07:00 PM,"The Manitowoc Lincoln varsity football team has an away non-conference game @ Ashwaubenon Green Bay (Wisconsin) on Friday, August 28 @ 7p.","/wi/football/game/ashwaubenon-green-bay-vs-manitowoc-lincoln/8-28-2026/?c=74f6fb02-0c99-4a84-b1e8-9ad47e9b3b30","https://www.maxpreps.com/wi/football/game/ashwaubenon-green-bay-vs-manitowoc-lincoln/8-28-2026/?c=74f6fb02-0c99-4a84-b1e8-9ad47e9b3b30",4b3a763
