No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short
1,"Big Horn vs Cody",Football,"Wyoming",08/28/2026,07:00 PM,"The Cody varsity football team has an away non-conference game @ Big Horn (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/big-horn-vs-cody/8-28-2026/?c=fd146a95-84d0-45ba-8e66-1e26634c703b","https://www.maxpreps.com/wy/football/game/big-horn-vs-cody/8-28-2026/?c=fd146a95-84d0-45ba-8e66-1e26634c703b",9f358b8
2,"Green River vs Mountain View Buffalos",Football,"Wyoming",08/28/2026,07:00 PM,"The Mountain View Buffalos varsity football team has an away non-conference game @ Green River (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/green-river-vs-mountain-view-buffalos/8-28-2026/?c=b91772a6-9f7a-4ee3-901c-2d464e7d3010","https://www.maxpreps.com/wy/football/game/green-river-vs-mountain-view-buffalos/8-28-2026/?c=b91772a6-9f7a-4ee3-901c-2d464e7d3010",8beed10
3,"Rock Springs vs Sheridan",Football,"Wyoming",08/28/2026,07:00 PM,"The Sheridan varsity football team has an away non-conference game @ Rock Springs (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/rock-springs-vs-sheridan/8-28-2026/?c=b4f367cf-22f5-460f-a0b9-8b053c7d3ef8","https://www.maxpreps.com/wy/football/game/rock-springs-vs-sheridan/8-28-2026/?c=b4f367cf-22f5-460f-a0b9-8b053c7d3ef8",36215e2
4,"Pinedale vs Tongue River Dayton",Football,"Wyoming",08/28/2026,07:00 PM,"The Tongue River Dayton varsity football team has an away non-conference game @ Pinedale (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/pinedale-vs-tongue-river-dayton/8-28-2026/?c=8b36fdac-c278-4557-a3fb-eeff97f35b13","https://www.maxpreps.com/wy/football/game/pinedale-vs-tongue-river-dayton/8-28-2026/?c=8b36fdac-c278-4557-a3fb-eeff97f35b13",791f200
5,"Laramie vs Natrona County Casper",Football,"Wyoming",08/28/2026,07:00 PM,"The Natrona County Casper varsity football team has an away non-conference game @ Laramie (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/laramie-vs-natrona-county-casper/8-28-2026/?c=341d7e9c-f309-45b6-96db-1b74e1c3ad8a","https://www.maxpreps.com/wy/football/game/laramie-vs-natrona-county-casper/8-28-2026/?c=341d7e9c-f309-45b6-96db-1b74e1c3ad8a",ef14359
6,"Powell vs Riverton",Football,"Wyoming",08/28/2026,07:00 PM,"The Riverton varsity football team has an away non-conference game @ Powell (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/powell-vs-riverton/8-28-2026/?c=60df9661-07e2-4ff1-950d-e2bf88afbf68","https://www.maxpreps.com/wy/football/game/powell-vs-riverton/8-28-2026/?c=60df9661-07e2-4ff1-950d-e2bf88afbf68",38f3497
7,"Campbell County Gillette vs Central Cheyenne",Football,"Wyoming",08/28/2026,07:00 PM,"The Central Cheyenne varsity football team has an away non-conference game @ Campbell County Gillette (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/campbell-county-gillette-vs-central-cheyenne/8-28-2026/?c=f1282e2d-73a7-46ca-9530-f2e6a33f10eb","https://www.maxpreps.com/wy/football/game/campbell-county-gillette-vs-central-cheyenne/8-28-2026/?c=f1282e2d-73a7-46ca-9530-f2e6a33f10eb",d6f09bd
8,"Big Piney vs Kemmerer",Football,"Wyoming",08/28/2026,07:00 PM,"The Kemmerer varsity football team has an away non-conference game @ Big Piney (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/big-piney-vs-kemmerer/8-28-2026/?c=8e9a1f9e-aba8-4eee-bd80-cdac1bdc1e5d","https://www.maxpreps.com/wy/football/game/big-piney-vs-kemmerer/8-28-2026/?c=8e9a1f9e-aba8-4eee-bd80-cdac1bdc1e5d",79b7040
9,"Casper Christian vs Kaycee",Football,"Wyoming",08/28/2026,07:00 PM,"The Kaycee varsity football team has an away non-conference game @ Casper Christian (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/casper-christian-vs-kaycee/8-28-2026/?c=71cb1936-7988-4903-91b9-a893489cd899","https://www.maxpreps.com/wy/football/game/casper-christian-vs-kaycee/8-28-2026/?c=71cb1936-7988-4903-91b9-a893489cd899",7ee681a
10,"Hot Springs County Thermopolis vs Worland",Football,"Wyoming",08/28/2026,07:00 PM,"The Worland varsity football team has an away non-conference game @ Hot Springs County Thermopolis (Wyoming) on Friday, August 28 @ 7p.","/wy/football/game/hot-springs-county-thermopolis-vs-worland/8-28-2026/?c=082cd31e-7a8c-43f2-8621-83aab616276b","https://www.maxpreps.com/wy/football/game/hot-springs-county-thermopolis-vs-worland/8-28-2026/?c=082cd31e-7a8c-43f2-8621-83aab616276b",7e775cf
