slug,url
mekw,"https://livetv.biz.id/play1.php?watch=Coastal Carolina Chanticleers vs Delaware Blue Hens"
kyn1,"https://livetv.biz.id/play1.php?watch=Georgia Bulldogs vs Arkansas Razorbacks"
lmmm,"https://livetv.biz.id/play1.php?watch=Kent State Golden Flashes vs Ohio State Buckeyes"
j9gh,"https://livetv.biz.id/play1.php?watch=Buffalo Bulls vs Penn State Nittany Lions"
2j32,"https://livetv.biz.id/play1.php?watch=Tulane Green Wave vs Kansas State Wildcats"
a2v2,"https://livetv.biz.id/play1.php?watch=Bowling Green Falcons vs Iowa State Cyclones"
eysc,"https://livetv.biz.id/play1.php?watch=Arizona State Sun Devils vs Kansas Jayhawks"
ioln,"https://livetv.biz.id/play1.php?watch=Mercer Bears vs Georgia Tech Yellow Jackets"
9bqi,"https://livetv.biz.id/play1.php?watch=North Carolina Tar Heels vs Clemson Tigers"
zrt8,"https://livetv.biz.id/play1.php?watch=Akron Zips vs Minnesota Golden Gophers"
qexx,"https://livetv.biz.id/play1.php?watch=North Texas Mean Green vs Texas State Bobcats"
vvy0,"https://livetv.biz.id/play1.php?watch=Eastern Michigan Eagles vs Wisconsin Badgers"
1f34,"https://livetv.biz.id/play1.php?watch=NC State Wolfpack vs Vanderbilt Commodores"
wwef,"https://livetv.biz.id/play1.php?watch=Wyoming Cowboys vs Central Michigan Chippewas"
rg8l,"https://livetv.biz.id/play1.php?watch=Maine Black Bears vs Boston College Eagles"
9v45,"https://livetv.biz.id/play1.php?watch=Southern Illinois Salukis vs Illinois Fighting Illini"
ea46,"https://livetv.biz.id/play1.php?watch=Temple Owls vs Toledo Rockets"
udzu,"https://livetv.biz.id/play1.php?watch=Kentucky Wildcats vs Texas A&M Aggies"
yb4h,"https://livetv.biz.id/play1.php?watch=Florida State Seminoles vs Alabama Crimson Tide"
ib5z,"https://livetv.biz.id/play1.php?watch=USC Trojans vs Rutgers Scarlet Knights"
cmjl,"https://livetv.biz.id/play1.php?watch=SMU Mustangs vs Louisville Cardinals"
q9v9,"https://livetv.biz.id/play1.php?watch=Utah State Aggies vs Utah Utes"
wcub,"https://livetv.biz.id/play1.php?watch=UTEP Miners vs Michigan Wolverines"
mikg,"https://livetv.biz.id/play1.php?watch=Miami (OH) RedHawks vs Cincinnati Bearcats"
qko2,"https://livetv.biz.id/play1.php?watch=Wagner Seahawks vs California Golden Bears"
kdv4,"https://livetv.biz.id/play1.php?watch=Duquesne Dukes vs Washington State Cougars"
