slug,url
y3fs,"https://livetv.biz.id/play1.php?watch=Carolina Panthers vs Atlanta Falcons"
utbm,"https://livetv.biz.id/play1.php?watch=Atlanta Falcons vs Carolina Panthers"
2g5c,"https://livetv.biz.id/play1.php?watch=Minnesota Vikings vs Chicago Bears"
owqk,"https://livetv.biz.id/play1.php?watch=Chicago Bears vs Minnesota Vikings"
3y6t,"https://livetv.biz.id/play1.php?watch=Philadelphia Eagles vs Tennessee Titans"
1jrr,"https://livetv.biz.id/play1.php?watch=Tennessee Titans vs Philadelphia Eagles"
opu7,"https://livetv.biz.id/play1.php?watch=Pittsburgh Steelers vs New England Patriots"
75qq,"https://livetv.biz.id/play1.php?watch=New England Patriots vs Pittsburgh Steelers"
qst2,"https://livetv.biz.id/play1.php?watch=Green Bay Packers vs New York Jets"
3re1,"https://livetv.biz.id/play1.php?watch=New York Jets vs Green Bay Packers"
bcc4,"https://livetv.biz.id/play1.php?watch=Cleveland Browns vs Tampa Bay Buccaneers"
pgi4,"https://livetv.biz.id/play1.php?watch=Tampa Bay Buccaneers vs Cleveland Browns"
qler,"https://livetv.biz.id/play1.php?watch=New Orleans Saints vs Baltimore Ravens"
eevy,"https://livetv.biz.id/play1.php?watch=Baltimore Ravens vs New Orleans Saints"
r21g,"https://livetv.biz.id/play1.php?watch=Cincinnati Bengals vs Houston Texans"
nb1c,"https://livetv.biz.id/play1.php?watch=Houston Texans vs Cincinnati Bengals"
0a1b,"https://livetv.biz.id/play1.php?watch=Jacksonville Jaguars vs Denver Broncos"
4s26,"https://livetv.biz.id/play1.php?watch=Denver Broncos vs Jacksonville Jaguars"
0882,"https://livetv.biz.id/play1.php?watch=Las Vegas Raiders vs Los Angeles Chargers"
mg3e,"https://livetv.biz.id/play1.php?watch=Los Angeles Chargers vs Las Vegas Raiders"
7duj,"https://livetv.biz.id/play1.php?watch=Washington Commanders vs Dallas Cowboys"
htva,"https://livetv.biz.id/play1.php?watch=Dallas Cowboys vs Washington Commanders"
gab6,"https://livetv.biz.id/play1.php?watch=Seattle Seahawks vs Arizona Cardinals"
8l2w,"https://livetv.biz.id/play1.php?watch=Arizona Cardinals vs Seattle Seahawks"
n7hv,"https://livetv.biz.id/play1.php?watch=Miami Dolphins vs San Francisco 49ers"
800q,"https://livetv.biz.id/play1.php?watch=San Francisco 49ers vs Miami Dolphins"
usih,"https://livetv.biz.id/play1.php?watch=Indianapolis Colts vs Kansas City Chiefs"
flhm,"https://livetv.biz.id/play1.php?watch=Kansas City Chiefs vs Indianapolis Colts"
