slug,url
ykk8,"https://livetv.biz.id/play1.php?watch=Erice (W) vs Padova (W)"
t3y6,"https://livetv.biz.id/play1.php?watch=Sola (W) vs  Ferencvaros (W)"
kikz,"https://livetv.biz.id/play1.php?watch=Chiaravalle vs Albatro"
jklo,"https://livetv.biz.id/play1.php?watch=Dortmund (W) vs  Bucharest (W)"
qqop,"https://livetv.biz.id/play1.php?watch=Zlin (W) vs  Slovan Sala (W)"
futg,"https://livetv.biz.id/play1.php?watch=Buxtehude (W) vs  Bensheim/Auerbach (W)"
it2z,"https://livetv.biz.id/play1.php?watch=Yalikavak (W) vs Yozgat (W)"
1jvu,"https://livetv.biz.id/play1.php?watch=Multi Esens vs Eurofarm Pelister 2"
gqis,"https://livetv.biz.id/play1.php?watch=Teramo (W) vs Conversano (W)"
wvm6,"https://livetv.biz.id/play1.php?watch=Alba Fehervar (W) vs  Budaors (W)"
uzi3,"https://livetv.biz.id/play1.php?watch=Potaissa Turda vs Konjuh Zivinice"
eqzu,"https://livetv.biz.id/play1.php?watch=Butel Skopje vs Ohrid"
p2r1,"https://livetv.biz.id/play1.php?watch=Cair (W) vs Jagodina (W)"
ak3z,"https://livetv.biz.id/play1.php?watch=Atletico Valladolid vs Villa de Aranda"
3mji,"https://livetv.biz.id/play1.php?watch=Ferrara (W) vs Brixen (W)"
sert,"https://livetv.biz.id/play1.php?watch=Cassano (W) vs Trapani (W)"
9e6q,"https://livetv.biz.id/play1.php?watch=Nuoro (W) vs Mezzocorona (W)"
d14o,"https://livetv.biz.id/play1.php?watch=Koka (W) vs Bjelovar (W)"
qtbh,"https://livetv.biz.id/play1.php?watch=Lokomotiv Zagreb (W) vs Dalmatinka (W)"
gica,"https://livetv.biz.id/play1.php?watch=Cangas vs Bidasoa Irun"
ruza,"https://livetv.biz.id/play1.php?watch=Sassari vs Cingoli"
ykpf,"https://livetv.biz.id/play1.php?watch=Haenna vs Cologne"
rd7u,"https://livetv.biz.id/play1.php?watch=Split (W) vs Rudar Labin (W)"
e6m7,"https://livetv.biz.id/play1.php?watch=Lazne Kynzvart (W) vs  Sokol Poruba (W)"
hu53,"https://livetv.biz.id/play1.php?watch=Women. IHF Trophy Africa vs"
hmi5,"https://livetv.biz.id/play1.php?watch=Sisak vs Trogir"
plp1,"https://livetv.biz.id/play1.php?watch=Spacva vs Porec"
kero,"https://livetv.biz.id/play1.php?watch=Szombathelyi (W) vs  Mosonmagyarovar (W)"
b64k,"https://livetv.biz.id/play1.php?watch=Esztergom (W) vs  Vasas (W)"
nqe1,"https://livetv.biz.id/play1.php?watch=Grosswallstadt vs Hamm-Westfalen"
v0xn,"https://livetv.biz.id/play1.php?watch=Vardar vs Mladost 1977"
fwqf,"https://livetv.biz.id/play1.php?watch=Gyongyos vs Szigetszentmiklos"
9zca,"https://livetv.biz.id/play1.php?watch=Budai Farkasok vs Csurgo"
adid,"https://livetv.biz.id/play1.php?watch=Puerto Sagunto vs Granollers"
7261,"https://livetv.biz.id/play1.php?watch=Plzen (W) vs  Slavia Prague (W)"
g7ce,"https://livetv.biz.id/play1.php?watch=Tikves vs Esch"
d4aj,"https://livetv.biz.id/play1.php?watch=HC Podravka Vegeta (W) vs  Metz (W)"
4f5x,"https://livetv.biz.id/play1.php?watch=Krim Ljubljana (W) vs  Esbjerg (W)"
78ns,"https://livetv.biz.id/play1.php?watch=Sinj (W) vs Osijek (W)"
bd72,"https://livetv.biz.id/play1.php?watch=Vojvodina vs Loznica"
mpc8,"https://livetv.biz.id/play1.php?watch=Wybrzeze Gdansk vs Slask"
rjm8,"https://livetv.biz.id/play1.php?watch=Berchem vs Sutjeska"
2buc,"https://livetv.biz.id/play1.php?watch=Casalgrande (W) vs Salerno (W)"
apgq,"https://livetv.biz.id/play1.php?watch=Metaloplastika vs Lavovi"
uxtq,"https://livetv.biz.id/play1.php?watch=Roosters vs Sharks"
