1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) today @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"SouthLake Christian Academy vs Tri-Cities Christian",Football,"Tennessee",9/17/2026,7:00pm,"The SouthLake Christian Academy varsity football team has an away non-conference game @  Tri-Cities Christian (Blountville, TN) on Thursday, September 17 @ 7p.","/inter-state/football/game/southlake-christian-academy-huntersville-nc-vs-tri-cities-christian-blountville-tn/9-17-2026/?c=257cc898-4ad2-4060-bb56-004a562dae48","https://www.maxpreps.com/inter-state/football/game/southlake-christian-academy-huntersville-nc-vs-tri-cities-christian-blountville-tn/9-17-2026/?c=257cc898-4ad2-4060-bb56-004a562dae48","/football/tn/2031?9/17/2026","Eagles","Eagles","https://www.maxpreps.com/tn/southlake-christian-academy-huntersville-nc/football/","https://www.maxpreps.com/tn/tri-cities-christian-blountville-tn/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F2%2F9%2Fd291fda6-53c9-4769-a705-d333658cb0c9.gif%3Fversion%3D636080030400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2Fc%2F1dc3f45d-f6c7-4146-bbb4-c82ce015a497.gif%3Fversion%3D637303269600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"Craigmont vs Kingsbury",Football,"Tennessee",9/17/2026,7:00pm,"The Craigmont varsity football team has an away non-conference game @  Kingsbury (Memphis, TN) on Thursday, September 17 @ 7p.","/tn/football/game/craigmont-memphis-vs-kingsbury-memphis/9-17-2026/?c=9ec9afcc-cbfb-4ac4-9b60-4c3c0889c2c7","https://www.maxpreps.com/tn/football/game/craigmont-memphis-vs-kingsbury-memphis/9-17-2026/?c=9ec9afcc-cbfb-4ac4-9b60-4c3c0889c2c7","/football/tn/f25?9/17/2026","Chiefs","Mighty Falcons","https://www.maxpreps.com/tn/craigmont-memphis/football/","https://www.maxpreps.com/tn/kingsbury-memphis/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2Ff%2F0%2Fff0c6ff1-921f-4be8-afad-47effbbe3a2b.gif%3Fversion%3D635841095400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fe%2F8%2F1e8a0167-0ffc-4c8b-aa09-42da1218496e.gif%3Fversion%3D637211044200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Siegel vs Oakland",Football,"Tennessee",9/17/2026,7:00pm,"The Siegel varsity football team has an away conference game @  Oakland (Murfreesboro, TN) on Thursday, September 17 @ 7p.","/tn/football/game/oakland-murfreesboro-vs-siegel-murfreesboro/9-17-2026/?c=08b26eca-3b7c-4532-838e-4d8319fa1a13","https://www.maxpreps.com/tn/football/game/oakland-murfreesboro-vs-siegel-murfreesboro/9-17-2026/?c=08b26eca-3b7c-4532-838e-4d8319fa1a13","/football/tn/1126?9/17/2026","Stars","Patriots","https://www.maxpreps.com/tn/oakland-murfreesboro/football/","https://www.maxpreps.com/tn/siegel-murfreesboro/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F8%2Fc%2F88cdeeb3-1a6a-484a-8158-feb6b10208e3.gif%3Fversion%3D636414082800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F9%2Fc%2F29c6c6bc-5dc0-4a7f-a62b-f4f1f8c642fc.gif%3Fversion%3D637189900200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Lausanne Collegiate vs Germantown",Football,"Tennessee",9/17/2026,7:00pm,"The Lausanne Collegiate varsity football team has an away non-conference game @  Germantown (TN) on Thursday, September 17 @ 7p.","/tn/football/game/germantown-vs-lausanne-collegiate-memphis/9-17-2026/?c=cd4c241f-663a-4596-a4c5-049e6d5d3591","https://www.maxpreps.com/tn/football/game/germantown-vs-lausanne-collegiate-memphis/9-17-2026/?c=cd4c241f-663a-4596-a4c5-049e6d5d3591","/football/tn/1042?9/17/2026","Lynx","Red Devils","https://www.maxpreps.com/tn/germantown/football/","https://www.maxpreps.com/tn/lausanne-collegiate-memphis/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fd%2F5%2Fdd50ca47-c82a-4add-9b92-58c95edf91cb.gif%3Fversion%3D638609493283706380%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F1%2F3%2F11302848-1def-4833-bd7f-3a751a263773.gif%3Fversion%3D636523717800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Smyrna vs Rockvale",Football,"Tennessee",9/17/2026,7:00pm,"The Smyrna varsity football team has an away conference game @  Rockvale (TN) on Thursday, September 17 @ 7p.","/tn/football/game/rockvale-vs-smyrna/9-17-2026/?c=3fd27210-7012-4a59-8bec-ca3aebc9a483","https://www.maxpreps.com/tn/football/game/rockvale-vs-smyrna/9-17-2026/?c=3fd27210-7012-4a59-8bec-ca3aebc9a483","/football/tn/734?9/17/2026","Bulldogs","TBD","https://www.maxpreps.com/tn/rockvale/football/","https://www.maxpreps.com/tn/smyrna/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Ff%2F9%2F4f914f2e-659d-4765-b0b6-95572d7ef25a.gif%3Fversion%3D637636563000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F2%2F1%2F621540e0-e2a4-47c2-ab54-a85ef27e8a06.gif%3Fversion%3D637464949800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"KIPP Collegiate vs Middle College",Football,"Tennessee",9/17/2026,7:00pm,"The KIPP Collegiate varsity football team has an away conference game @  Middle College (Memphis, TN) on Thursday, September 17 @ 7p.","/tn/football/game/kipp-collegiate-memphis-vs-middle-college-memphis/9-17-2026/?c=7da764c7-240c-418a-903f-d7da6093171a","https://www.maxpreps.com/tn/football/game/kipp-collegiate-memphis-vs-middle-college-memphis/9-17-2026/?c=7da764c7-240c-418a-903f-d7da6093171a","/football/tn/12f4?9/17/2026","phoenix","Bulldogs","https://www.maxpreps.com/tn/kipp-collegiate-memphis/football/","https://www.maxpreps.com/tn/middle-college-memphis/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fe%2F1%2Fae1bac26-a903-42b1-b27d-446473d76148.gif%3Fversion%3D636582462600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F3%2F9%2F739545bd-0c9f-436f-bad9-ec953e447b59.gif%3Fversion%3D636758803800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Trezevant vs South Gibson",Football,"Tennessee",9/17/2026,7:00pm,"The Trezevant varsity football team has an away non-conference game @  South Gibson (Medina, TN) on Thursday, September 17 @ 7p.","/tn/football/game/south-gibson-medina-vs-trezevant-memphis/9-17-2026/?c=adb94c63-73f0-4c21-a2d7-78aba3b8d93c","https://www.maxpreps.com/tn/football/game/south-gibson-medina-vs-trezevant-memphis/9-17-2026/?c=adb94c63-73f0-4c21-a2d7-78aba3b8d93c","/football/tn/fc3?9/17/2026","Bears","Hornets","https://www.maxpreps.com/tn/south-gibson-medina/football/","https://www.maxpreps.com/tn/trezevant-memphis/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F7%2Fd%2F67dc49bb-3535-427a-8b90-1ee0f88c7d53.gif%3Fversion%3D638384321400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2Fb%2F8%2Ffb8bdd25-2670-4a63-b36b-131058697a0e.gif%3Fversion%3D637351093200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Booker T. Washington vs Oakhaven",Football,"Tennessee",9/17/2026,7:00pm,"The Booker T. Washington varsity football team has an away conference game @  Oakhaven (Memphis, TN) on Thursday, September 17 @ 7p.","/tn/football/game/booker-t-washington-memphis-vs-oakhaven-memphis/9-17-2026/?c=1a7bdffa-f126-4add-9187-ee8cf976a3e9","https://www.maxpreps.com/tn/football/game/booker-t-washington-memphis-vs-oakhaven-memphis/9-17-2026/?c=1a7bdffa-f126-4add-9187-ee8cf976a3e9","/football/tn/1262?9/17/2026","Warriors","Hawks","https://www.maxpreps.com/tn/booker-t-washington-memphis/football/","https://www.maxpreps.com/tn/oakhaven-memphis/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fc%2Ff%2Fdcfe87bd-f57a-4e79-857b-5f9538550e5f.gif%3Fversion%3D635202381000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F6%2F8%2Fa682926a-7e9c-44d5-9b77-e2a638229496.gif%3Fversion%3D639210207816059470%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"Hardin Valley Academy vs Bearden",Football,"Tennessee",9/17/2026,7:00pm,"The Hardin Valley Academy varsity football team has an away conference game @  Bearden (Knoxville, TN) on Thursday, September 17 @ 7p.","/tn/football/game/bearden-knoxville-vs-hardin-valley-academy-knoxville/9-17-2026/?c=94eff26b-6eeb-4824-b258-efdc8715ddcf","https://www.maxpreps.com/tn/football/game/bearden-knoxville-vs-hardin-valley-academy-knoxville/9-17-2026/?c=94eff26b-6eeb-4824-b258-efdc8715ddcf","/football/tn/1457?9/17/2026","Hawks","Bulldogs","https://www.maxpreps.com/tn/bearden-knoxville/football/","https://www.maxpreps.com/tn/hardin-valley-academy-knoxville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Ff%2F5%2Fef5e132b-8073-4408-808d-0a742ce24dd6.gif%3Fversion%3D636717380400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fd%2Fc%2Fadc66a4f-2318-4b4d-bf8c-b6f39adec271.gif%3Fversion%3D636117645600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
