1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) today @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Lone Peak vs Corner Canyon",Football,"Utah",9/18/2026,7:00pm,"The Lone Peak varsity football team has an away conference game @  Corner Canyon (Draper, UT) on Friday, September 18 @ 7p.","/ut/football/game/corner-canyon-draper-vs-lone-peak-highland/9-18-2026/?c=6911344b-3af0-4460-8cf9-2306db09335e","https://www.maxpreps.com/ut/football/game/corner-canyon-draper-vs-lone-peak-highland/9-18-2026/?c=6911344b-3af0-4460-8cf9-2306db09335e","/football/ut/1014?9/18/2026","Knights","Chargers","https://www.maxpreps.com/ut/corner-canyon-draper/football/","https://www.maxpreps.com/ut/lone-peak-highland/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F7%2Fb%2Fe7badf59-379d-43cc-a875-938bdc607f2d.gif%3Fversion%3D635784693600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fe%2F4%2F7e4dce6a-b7c1-4d9a-959c-892cd4b227df.gif%3Fversion%3D637026921600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"Mountain Ridge vs Chaparral",Football,"Utah",9/18/2026,7:00pm,"The Mountain Ridge varsity football team has an away non-conference game @  Chaparral (Temecula, CA) on Friday, September 18 @ 7p.","/inter-state/football/game/chaparral-temecula-ca-vs-mountain-ridge-herriman-ut/9-18-2026/?c=a57e41a5-aec9-411d-adbb-c1f9cf2d6590","https://www.maxpreps.com/inter-state/football/game/chaparral-temecula-ca-vs-mountain-ridge-herriman-ut/9-18-2026/?c=a57e41a5-aec9-411d-adbb-c1f9cf2d6590","/football/ut/139b?9/18/2026","Sentinels","Pumas","https://www.maxpreps.com/ut/chaparral-temecula-ca/football/","https://www.maxpreps.com/ut/mountain-ridge-herriman-ut/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F3%2F1%2F63103896-a46c-47ce-8b5c-fe54c3aad494.gif%3Fversion%3D637605787200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F9%2Ff%2Fd9fa2972-0bc2-4d7b-baa4-aaa7d69c119e.gif%3Fversion%3D637999521000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Ridgeline vs Deseret Peak",Football,"Utah",9/18/2026,7:00pm,"The Ridgeline varsity football team has an away conference game @  Deseret Peak (Tooele, UT) on Friday, September 18 @ 7p.","/ut/football/game/deseret-peak-tooele-vs-ridgeline-millville/9-18-2026/?c=336d41e9-47b7-40d0-9bae-9ebe82042c43","https://www.maxpreps.com/ut/football/game/deseret-peak-tooele-vs-ridgeline-millville/9-18-2026/?c=336d41e9-47b7-40d0-9bae-9ebe82042c43","/football/ut/105c?9/18/2026","Riverhawks","Golden Eagles","https://www.maxpreps.com/ut/deseret-peak-tooele/football/","https://www.maxpreps.com/ut/ridgeline-millville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F9%2F5%2F195dd565-52ac-499a-8a51-6e5a6ca3b161.gif%3Fversion%3D636078793800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F5%2Ff%2F25ffea3c-a43c-4fc1-9298-729b0028c7da.gif%3Fversion%3D638810024064252270%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"St. Joseph vs Watersprings",Football,"Utah",9/18/2026,4:00pm,"The St. Joseph varsity football team has an away non-conference game @  Watersprings (Idaho Falls, ID) on Friday, September 18 @ 4p.","/inter-state/football/game/st-joseph-ogden-ut-vs-watersprings-idaho-falls-id/9-18-2026/?c=2385ebc9-3f17-4a14-aadb-371d0e6f4b44","https://www.maxpreps.com/inter-state/football/game/st-joseph-ogden-ut-vs-watersprings-idaho-falls-id/9-18-2026/?c=2385ebc9-3f17-4a14-aadb-371d0e6f4b44","/football/ut/12c4?9/18/2026","Jayhawks","Warriors","https://www.maxpreps.com/ut/st-joseph-ogden-ut/football/","https://www.maxpreps.com/ut/watersprings-idaho-falls-id/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F9%2Fb%2F99b030a2-1c41-4a57-b264-14facf223f56.gif%3Fversion%3D638571684611816210%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F4%2F9%2F349a37dd-0ed2-4060-b8eb-dfd4d63484a6.gif%3Fversion%3D637641970200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"South Summit vs Layton Christian Academy",Football,"Utah",9/18/2026,4:00pm,"The South Summit varsity football team has an away non-conference game @  Layton Christian Academy (Layton, UT) on Friday, September 18 @ 4p.","/ut/football/game/layton-christian-academy-vs-south-summit-kamas/9-18-2026/?c=ac4fda31-fb93-46d7-a815-1b4f078cea1b","https://www.maxpreps.com/ut/football/game/layton-christian-academy-vs-south-summit-kamas/9-18-2026/?c=ac4fda31-fb93-46d7-a815-1b4f078cea1b","/football/ut/1206?9/18/2026","Wildcats","Eagles","https://www.maxpreps.com/ut/layton-christian-academy/football/","https://www.maxpreps.com/ut/south-summit-kamas/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fc%2Ff%2F6cf9ee31-9947-4288-8d79-b0ba173dda07.gif%3Fversion%3D637187828400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fb%2Ff%2F7bfd7955-5184-4b6c-9dfe-ef2d1c105ac6.gif%3Fversion%3D638749517538248340%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"Utah Military Academy - Camp Williams vs Utah Military Academy - Hill Field",Football,"Utah",9/18/2026,4:30pm,"The Utah Military Academy - Camp Williams varsity football team has an away conference game @  Utah Military Academy - Hill Field (Riverdale, UT) on Friday, September 18 @ 4:30p.","/ut/football/game/utah-military-academy-camp-williams-lehi-vs-utah-military-academy-hill-field-riverdale/9-18-2026/?c=62b05ec1-17de-4619-8f96-ffd0ad41ac08","https://www.maxpreps.com/ut/football/game/utah-military-academy-camp-williams-lehi-vs-utah-military-academy-hill-field-riverdale/9-18-2026/?c=62b05ec1-17de-4619-8f96-ffd0ad41ac08","/football/ut/20f7?9/18/2026","Marauders","Thunderbirds","https://www.maxpreps.com/ut/utah-military-academy-camp-williams-lehi/football/","https://www.maxpreps.com/ut/utah-military-academy-hill-field-riverdale/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fd%2F9%2F4d93a9ba-5798-47bf-8b99-8991c952a9bf.gif%3Fversion%3D637660160400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F2%2F8%2Fe288a7a3-ca34-4079-86ed-6f0c881234f5.gif%3Fversion%3D637359658200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Bear River vs Tooele",Football,"Utah",9/18/2026,7:00pm,"The Bear River varsity football team has an away conference game @  Tooele (UT) on Friday, September 18 @ 7p.","/ut/football/game/bear-river-garland-vs-tooele/9-18-2026/?c=4e1d9fce-eac9-4ec3-9f7a-80005272d2ae","https://www.maxpreps.com/ut/football/game/bear-river-garland-vs-tooele/9-18-2026/?c=4e1d9fce-eac9-4ec3-9f7a-80005272d2ae","/football/ut/ac0?9/18/2026","Bears","Buffaloes","https://www.maxpreps.com/ut/bear-river-garland/football/","https://www.maxpreps.com/ut/tooele/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F9%2F2%2F89256834-140b-4795-b315-3d20fe7f7642.gif%3Fversion%3D639233333166846670%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F6%2F8%2F768c0b0c-3976-4301-bcb3-bbed698f1e39.gif%3Fversion%3D638796599295349970%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Altamont vs Rich",Football,"Utah",9/18/2026,7:00pm,"The Altamont varsity football team has an away conference game @  Rich (Randolph, UT) on Friday, September 18 @ 7p.","/ut/football/game/altamont-vs-rich-randolph/9-18-2026/?c=2590a33a-8342-4f4f-b46f-7d3fc86b01e4","https://www.maxpreps.com/ut/football/game/altamont-vs-rich-randolph/9-18-2026/?c=2590a33a-8342-4f4f-b46f-7d3fc86b01e4","/football/ut/9ce?9/18/2026","Longhorns","Rebels","https://www.maxpreps.com/ut/altamont/football/","https://www.maxpreps.com/ut/rich-randolph/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F9%2F4%2F594d2f49-40ba-416b-bd15-c2ccbfdfecd2.gif%3Fversion%3D636687093000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Ff%2F2%2Fbf25f6f4-c277-4879-96ff-64e5499453da.gif%3Fversion%3D636560101800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"Monticello vs Whitehorse",Football,"Utah",9/18/2026,7:00pm,"The Monticello varsity football team has an away conference game @  Whitehorse (Montezuma Creek, UT) on Friday, September 18 @ 7p.","/ut/football/game/monticello-vs-whitehorse-montezuma-creek/9-18-2026/?c=658a6e44-6302-4670-82c4-b1e0b730da0d","https://www.maxpreps.com/ut/football/game/monticello-vs-whitehorse-montezuma-creek/9-18-2026/?c=658a6e44-6302-4670-82c4-b1e0b730da0d","/football/ut/fff?9/18/2026","Buckaroo","Raiders","https://www.maxpreps.com/ut/monticello/football/","https://www.maxpreps.com/ut/whitehorse-montezuma-creek/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F2%2Fb%2F62b7e759-fb43-46a7-bcdc-a21294964452.gif%3Fversion%3D638470527600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F9%2Fe%2F79e597ff-d421-42f3-b9d3-f9c50e5ddd63.gif%3Fversion%3D635821561800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
