1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) today @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"De Pere vs Bay Port",Football,"Wisconsin",9/17/2026,7:00pm,"The De Pere varsity football team has an away conference game @  Bay Port (Green Bay, WI) on Thursday, September 17 @ 7p.","/wi/football/game/bay-port-green-bay-vs-de-pere/9-17-2026/?c=94fc8dfa-c4a8-41ea-984b-4d9d9d97e506","https://www.maxpreps.com/wi/football/game/bay-port-green-bay-vs-de-pere/9-17-2026/?c=94fc8dfa-c4a8-41ea-984b-4d9d9d97e506","/football/wi/aba?9/17/2026","Redbirds","Pirates","https://www.maxpreps.com/wi/bay-port-green-bay/football/","https://www.maxpreps.com/wi/de-pere/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F1%2F9%2Fd1966587-a7cc-4ecd-9973-89cb6c0a8845.gif%3Fversion%3D637549740600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fc%2F8%2F5c826126-bd7c-482b-bd3b-cf740ad1e3c0.gif%3Fversion%3D634336975200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"West De Pere vs Appleton West",Football,"Wisconsin",9/17/2026,7:00pm,"The West De Pere varsity football team has an away conference game @  Appleton West (Appleton, WI) on Thursday, September 17 @ 7p.","/wi/football/game/appleton-west-vs-west-de-pere/9-17-2026/?c=2d38c418-dbf2-41c5-b487-214bb0f14e6c","https://www.maxpreps.com/wi/football/game/appleton-west-vs-west-de-pere/9-17-2026/?c=2d38c418-dbf2-41c5-b487-214bb0f14e6c","/football/wi/b28?9/17/2026","Phantoms","Terrors","https://www.maxpreps.com/wi/appleton-west/football/","https://www.maxpreps.com/wi/west-de-pere/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fb%2Fa%2Faba1e9ec-cea6-4c16-ade9-99c069f42b6a.gif%3Fversion%3D635128733400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2Fe%2F6%2F2e667ea1-93da-4068-85db-de3ea537bd0d.gif%3Fversion%3D636100561200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Notre Dame Academy vs Green Bay East",Football,"Wisconsin",9/17/2026,7:00pm,"The Notre Dame Academy varsity football team has an away conference game @  Green Bay East (Green Bay, WI) on Thursday, September 17 @ 7p.","/wi/football/game/green-bay-east-vs-notre-dame-academy-green-bay/9-17-2026/?c=0776fb84-6622-4384-8be5-e2b0e68d509b","https://www.maxpreps.com/wi/football/game/green-bay-east-vs-notre-dame-academy-green-bay/9-17-2026/?c=0776fb84-6622-4384-8be5-e2b0e68d509b","/football/wi/112b?9/17/2026","Tritons","Red Devils","https://www.maxpreps.com/wi/green-bay-east/football/","https://www.maxpreps.com/wi/notre-dame-academy-green-bay/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fb%2F3%2Fcb3737f7-ab8c-4979-b529-db93ea0c19ff.gif%3Fversion%3D636092665200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fb%2F0%2Fab0e3e19-b0ce-49fb-8644-fbee4a8a919e.gif%3Fversion%3D636238788000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Milwaukee Bay View vs Pulaski/Carmen Science &amp; Tech South/Carmen Science &amp; Tech Southeast",Football,"Wisconsin",9/17/2026,4:30pm,"The Milwaukee Bay View varsity football team has an away conference game @  Pulaski/Carmen Science &amp; Tech South/Carmen Science &amp; Tech Southeast (Milwaukee, WI) on Thursday, September 17 @ 4:30p.","/wi/football/game/milwaukee-bay-view-vs-pulaski-carmen-science-and-tech-south-carmen-science-and-tech-southeast-milwaukee/9-17-2026/?c=c8f1bcca-290d-46fa-b2ec-dd7db59e2996","https://www.maxpreps.com/wi/football/game/milwaukee-bay-view-vs-pulaski-carmen-science-and-tech-south-carmen-science-and-tech-southeast-milwaukee/9-17-2026/?c=c8f1bcca-290d-46fa-b2ec-dd7db59e2996","/football/wi/2765?9/17/2026","Redcats","TBD","https://www.maxpreps.com/wi/milwaukee-bay-view/football/","https://www.maxpreps.com/wi/pulaski-carmen-science-and-tech-south-carmen-science-and-tech-southeast-milwaukee/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fc%2Fe%2Fbce0cebc-91a4-4fda-beb7-7bc6a1e24c83.gif%3Fversion%3D634827165000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fc%2Fe%2Fbce0cebc-91a4-4fda-beb7-7bc6a1e24c83.gif%3Fversion%3D634827165000000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"North vs Washington",Football,"Wisconsin",9/17/2026,6:00pm,"The North varsity football team has an away conference game @  Washington (Milwaukee, WI) on Thursday, September 17 @ 6p.","/wi/football/game/north-milwaukee-vs-washington-milwaukee/9-17-2026/?c=df904aa4-c9f1-4a2b-8901-4d21e8cf585d","https://www.maxpreps.com/wi/football/game/north-milwaukee-vs-washington-milwaukee/9-17-2026/?c=df904aa4-c9f1-4a2b-8901-4d21e8cf585d","/football/wi/f92?9/17/2026","Blue Devils","Purgolders","https://www.maxpreps.com/wi/north-milwaukee/football/","https://www.maxpreps.com/wi/washington-milwaukee/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fe%2Fb%2Faeb97e80-e100-428e-9a85-91a7a9fd176e.gif%3Fversion%3D635850925200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fe%2Fb%2Faeb97e80-e100-428e-9a85-91a7a9fd176e.gif%3Fversion%3D635850925200000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"South vs Fuller Collegiate Academy",Football,"Wisconsin",9/17/2026,6:00pm,"The South varsity football team has an away conference game @  Fuller Collegiate Academy (Milwaukee, WI) on Thursday, September 17 @ 6p.","/wi/football/game/fuller-collegiate-academy-milwaukee-vs-south-milwaukee/9-17-2026/?c=dea942c8-62d9-40de-8b63-fc47f5eb68a0","https://www.maxpreps.com/wi/football/game/fuller-collegiate-academy-milwaukee-vs-south-milwaukee/9-17-2026/?c=dea942c8-62d9-40de-8b63-fc47f5eb68a0","/football/wi/1529?9/17/2026","Cardinals","Lions","https://www.maxpreps.com/wi/fuller-collegiate-academy-milwaukee/football/","https://www.maxpreps.com/wi/south-milwaukee/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F8%2F7%2Ff876cae5-6eb3-4b42-9cf7-d335326b4d9f.gif%3Fversion%3D635632507800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F7%2F7%2F67790cf5-8328-4f75-9a1e-f69e55f37efc.gif%3Fversion%3D636795177600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Sheboygan North vs Oshkosh North",Football,"Wisconsin",9/17/2026,7:00pm,"The Sheboygan North varsity football team has an away conference game @  Oshkosh North (Oshkosh, WI) on Thursday, September 17 @ 7p.","/wi/football/game/oshkosh-north-vs-sheboygan-north/9-17-2026/?c=217276e1-e063-4aba-b965-ede1569c5778","https://www.maxpreps.com/wi/football/game/oshkosh-north-vs-sheboygan-north/9-17-2026/?c=217276e1-e063-4aba-b965-ede1569c5778","/football/wi/cb2?9/17/2026","Raiders","Spartans","https://www.maxpreps.com/wi/oshkosh-north/football/","https://www.maxpreps.com/wi/sheboygan-north/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F9%2F4%2F1947bb75-40a4-4752-99a9-4b72fbb208ea.gif%3Fversion%3D636084361200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Ff%2Fa%2Fbfa02919-0b5e-4cd5-8ec7-6c066520af4b.gif%3Fversion%3D635366025600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Bradley Tech/Milwaukee Arts vs Milwaukee Reagan",Football,"Wisconsin",9/17/2026,7:00pm,"The Bradley Tech/Milwaukee Arts varsity football team has an away conference game @  Milwaukee Reagan (Milwaukee, WI) on Thursday, September 17 @ 7p.","/wi/football/game/bradley-tech-milwaukee-arts-vs-milwaukee-reagan/9-17-2026/?c=68990f28-6b34-4c70-bee5-80840894e17b","https://www.maxpreps.com/wi/football/game/bradley-tech-milwaukee-arts-vs-milwaukee-reagan/9-17-2026/?c=68990f28-6b34-4c70-bee5-80840894e17b","/football/wi/122e?9/17/2026","Huskies","TBD","https://www.maxpreps.com/wi/bradley-tech-milwaukee-arts/football/","https://www.maxpreps.com/wi/milwaukee-reagan/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F1%2F7%2Fb172ca8b-796e-4706-a4d8-c1afd45ae6ea.gif%3Fversion%3D638454982800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F1%2F7%2Fb172ca8b-796e-4706-a4d8-c1afd45ae6ea.gif%3Fversion%3D638454982800000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"South Shore vs Flambeau",Football,"Wisconsin",9/17/2026,7:00pm,"The South Shore varsity football team has an away non-conference game @  Flambeau (Tony, WI) on Thursday, September 17 @ 7p.","/wi/football/game/flambeau-tony-vs-south-shore-port-wing/9-17-2026/?c=441fead0-1075-46df-b319-c47402c36c86","https://www.maxpreps.com/wi/football/game/flambeau-tony-vs-south-shore-port-wing/9-17-2026/?c=441fead0-1075-46df-b319-c47402c36c86","/football/wi/ecc?9/17/2026","Cardinals","Falcons","https://www.maxpreps.com/wi/flambeau-tony/football/","https://www.maxpreps.com/wi/south-shore-port-wing/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fe%2F6%2F7e676f88-4ca7-4720-8eea-2455ea0a570d.gif%3Fversion%3D633700706400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fe%2F6%2F7e676f88-4ca7-4720-8eea-2455ea0a570d.gif%3Fversion%3D633700706400000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
