slug,url
s3gb,"https://livetv.biz.id/play1.php?watch=Vora vs Skenderbeu"
kenx,"https://livetv.biz.id/play1.php?watch=Dinamo City vs Laci"
yrv2,"https://livetv.biz.id/play1.php?watch=Carroi vs Penya Encarnada"
rsjx,"https://livetv.biz.id/play1.php?watch=Sporting Escaldes vs Santa Coloma"
ebhz,"https://livetv.biz.id/play1.php?watch=Gimnasia Mendoza vs Deportivo Riestra"
uk44,"https://livetv.biz.id/play1.php?watch=Gimnasia y Esgrima LP vs Banfield"
8jdu,"https://livetv.biz.id/play1.php?watch=Union de Santa Fe vs Independiente"
k9gs,"https://livetv.biz.id/play1.php?watch=River Plate vs Huracan"
ve4p,"https://livetv.biz.id/play1.php?watch=Instituto vs Talleres de Cordoba"
vp1k,"https://livetv.biz.id/play1.php?watch=Acassuso vs Atletico Mitre"
efu7,"https://livetv.biz.id/play1.php?watch=San Telmo vs Estudiantes de Caseros"
kh4c,"https://livetv.biz.id/play1.php?watch=San Miguel vs All Boys"
gcsk,"https://livetv.biz.id/play1.php?watch=Ferro Carril Oeste vs Ciudad de Bolivar"
c2e9,"https://livetv.biz.id/play1.php?watch=Atletico Rafaela vs San Martin T"
esjw,"https://livetv.biz.id/play1.php?watch=Temperley vs Almagro"
r7ig,"https://livetv.biz.id/play1.php?watch=Alashkert vs Pyunik"
b0um,"https://livetv.biz.id/play1.php?watch=BKMA vs Sardarapat"
ff9v,"https://livetv.biz.id/play1.php?watch=Iran U-23 vs  China U-23"
tdpm,"https://livetv.biz.id/play1.php?watch=Hong Kong U-23 vs  Thailand U-23"
28yn,"https://livetv.biz.id/play1.php?watch=North Korea U-23 vs  UAE U-23"
3vkt,"https://livetv.biz.id/play1.php?watch=Box Hill United (W) vs  Avondale (W)"
asvk,"https://livetv.biz.id/play1.php?watch=Austria Lustenau vs SCR Altach"
8fen,"https://livetv.biz.id/play1.php?watch=Grazer AK vs Austria Vienna"
vhdq,"https://livetv.biz.id/play1.php?watch=Turan Tovuz vs Zira"
d44f,"https://livetv.biz.id/play1.php?watch=Sabah vs Imisli"
1n2j,"https://livetv.biz.id/play1.php?watch=Al-Hala vs Bouri"
3rbm,"https://livetv.biz.id/play1.php?watch=Al Tadamun Buri vs Busaiteen"
roik,"https://livetv.biz.id/play1.php?watch=Smorgon vs Niva Dolbizno"
g8fl,"https://livetv.biz.id/play1.php?watch=Bumprom vs Lida"
rc7i,"https://livetv.biz.id/play1.php?watch=Orsha vs Slutsk"
mxyg,"https://livetv.biz.id/play1.php?watch=Volna Pinsk vs SKA-1938"
vejr,"https://livetv.biz.id/play1.php?watch=Uni X Labs vs Slonim"
vj6y,"https://livetv.biz.id/play1.php?watch=Minsk Res vs Asipovichy"
uzcl,"https://livetv.biz.id/play1.php?watch=Slavia Mazyr vs Naftan"
zlkf,"https://livetv.biz.id/play1.php?watch=Dinamo Minsk vs BATE"
h6id,"https://livetv.biz.id/play1.php?watch=Oud-Heverlee vs RAAL La Louviere"
7n73,"https://livetv.biz.id/play1.php?watch=Charleroi vs Cercle"
dkq7,"https://livetv.biz.id/play1.php?watch=Lommel vs Mechelen"
83rm,"https://livetv.biz.id/play1.php?watch=Anderlecht vs Zulte Waregem"
q9hd,"https://livetv.biz.id/play1.php?watch=Standard Liege (W) vs  Oud-Heverlee (W)"
4trw,"https://livetv.biz.id/play1.php?watch=BSK Banja Luka vs Radnik Bijeljina"
0wi3,"https://livetv.biz.id/play1.php?watch=Zrinjski vs Velez"
tet2,"https://livetv.biz.id/play1.php?watch=Vila Real CE vs Pacatuba"
72xl,"https://livetv.biz.id/play1.php?watch=Sertaozinho U-20 vs  Santo Andre U-20"
0dgw,"https://livetv.biz.id/play1.php?watch=Portuguesa Santista U-20 vs  Novorizontino U-20"
of6x,"https://livetv.biz.id/play1.php?watch=Osasco U-20 vs  Desportivo Brasil U-20"
zgtf,"https://livetv.biz.id/play1.php?watch=Capivariano U-20 vs  Agua Santa U-20"
6g33,"https://livetv.biz.id/play1.php?watch=Noroeste vs Primavera"
mtps,"https://livetv.biz.id/play1.php?watch=Sao Jose vs Comercial RP"
ayc9,"https://livetv.biz.id/play1.php?watch=Nacao vs Joinville"
7qtl,"https://livetv.biz.id/play1.php?watch=Blumenau vs Metropolitano"
qxwy,"https://livetv.biz.id/play1.php?watch=Marcilio Dias vs Hercilio Luz"
muke,"https://livetv.biz.id/play1.php?watch=Atletico-MG vs Chapecoense"
qqku,"https://livetv.biz.id/play1.php?watch=Mirassol vs Botafogo-RJ"
kim9,"https://livetv.biz.id/play1.php?watch=Remo vs Santos-SP"
vsem,"https://livetv.biz.id/play1.php?watch=Vasco de Gama vs Coritiba"
vspa,"https://livetv.biz.id/play1.php?watch=Sao Paolo vs Inter-RS"
quq2,"https://livetv.biz.id/play1.php?watch=Sport Recife vs Juventude"
7w9a,"https://livetv.biz.id/play1.php?watch=Athletic MG vs Botafogo-SP"
1zlq,"https://livetv.biz.id/play1.php?watch=Maringa vs Botafogo-PB"
kmj1,"https://livetv.biz.id/play1.php?watch=Sao Jose (W) vs Sao Bento (W)"
065f,"https://livetv.biz.id/play1.php?watch=Centro Olimpico (W) vs Lemense (W)"
8ri0,"https://livetv.biz.id/play1.php?watch=Sao Paolo (W) vs  Flamengo-RJ (W)"
s81c,"https://livetv.biz.id/play1.php?watch=Dunav vs Botev Vratsa"
