slug,url
l6xk,"https://livetv.biz.id/play1.php?watch=Straubing Tigers vs Krefeld Pinguine"
i5vn,"https://livetv.biz.id/play1.php?watch=Grizzlys Wolfsburg vs RB Munich"
gfgl,"https://livetv.biz.id/play1.php?watch=Augsburg vs Schwenninger"
2yrs,"https://livetv.biz.id/play1.php?watch=Dukla Michalovce vs Zvolen"
qab4,"https://livetv.biz.id/play1.php?watch=Banska Bystrica vs Spisska Nova Ves"
b6tz,"https://livetv.biz.id/play1.php?watch=Unia Oswiecim vs STS Sanok"
5mx5,"https://livetv.biz.id/play1.php?watch=Zaglebie Sosnowiec vs Tychy"
m1m0,"https://livetv.biz.id/play1.php?watch=Katowice vs Podhale Nowy Targ"
8h9u,"https://livetv.biz.id/play1.php?watch=Zilina vs Presov"
nays,"https://livetv.biz.id/play1.php?watch=Cracovie vs Jastrzebie"
xonf,"https://livetv.biz.id/play1.php?watch=Glasgow Clan vs Sheffield Steelers"
y915,"https://livetv.biz.id/play1.php?watch=Bili Tygri Liberec vs Rytiri Kladno"
fexx,"https://livetv.biz.id/play1.php?watch=Vitkovice vs Litvinov"
3av4,"https://livetv.biz.id/play1.php?watch=Ceske Budejovice vs Olomouc"
t38c,"https://livetv.biz.id/play1.php?watch=Dynamo Pardubice vs Karlovy Vary"
494g,"https://livetv.biz.id/play1.php?watch=Kometa Brno vs Mountfield"
9g3q,"https://livetv.biz.id/play1.php?watch=Herlev vs Odense"
d69q,"https://livetv.biz.id/play1.php?watch=Klagenfurt vs Pustertal Wolfe"
z2lp,"https://livetv.biz.id/play1.php?watch=TTH Torun vs Polonia Bytom"
zvqe,"https://livetv.biz.id/play1.php?watch=Dundee Stars vs Coventry Blaze"
tgeb,"https://livetv.biz.id/play1.php?watch=Bolzano vs Salzburg"
ui0h,"https://livetv.biz.id/play1.php?watch=Dallas Wings (W) vs  Phoenix Mercury (W)"
t7c9,"https://livetv.biz.id/play1.php?watch=Lokomotiv Kuban vs Igokea"
d7qv,"https://livetv.biz.id/play1.php?watch=Paris vs Nanterre"
tncp,"https://livetv.biz.id/play1.php?watch=Real Madrid vs Olympiacos"
taeh,"https://livetv.biz.id/play1.php?watch=Promitheas vs Rasta Vechta"
bina,"https://livetv.biz.id/play1.php?watch=Milan vs Virtus Bologna"
08t4,"https://livetv.biz.id/play1.php?watch=Hongcheon Challenger vs"
ircf,"https://livetv.biz.id/play1.php?watch=Feytiat (W) vs  Roche Vendee (W)"
xj94,"https://livetv.biz.id/play1.php?watch=Chalons-Reims (W) vs  Saint Amand (W)"
ocze,"https://livetv.biz.id/play1.php?watch=Bonn vs Hamburg"
a57a,"https://livetv.biz.id/play1.php?watch=Nice (W) vs  Montbrison (W)"
fllb,"https://livetv.biz.id/play1.php?watch=USK Praha vs Slavia Prague"
yrq4,"https://livetv.biz.id/play1.php?watch=Valencia vs Barcelona"
lfl0,"https://livetv.biz.id/play1.php?watch=Gladsaxe vs Vaerlose"
67nc,"https://livetv.biz.id/play1.php?watch=Atlanta Dream (W) vs  Chicago Sky (W)"
5sy9,"https://livetv.biz.id/play1.php?watch=Hongcheon Challenger vs"
96aw,"https://livetv.biz.id/play1.php?watch=Santos U-20 vs  Sorocaba U-20"
vxpx,"https://livetv.biz.id/play1.php?watch=Astros de Jalisco vs Dorados de Chihuahua"
fehx,"https://livetv.biz.id/play1.php?watch=Golden State Valkyries (W) vs  Seattle Storm (W)"
1yit,"https://livetv.biz.id/play1.php?watch=Hong Kong (W) vs Philippines (W)"
82t8,"https://livetv.biz.id/play1.php?watch=Canberra (W) vs Southside (W)"
zahm,"https://livetv.biz.id/play1.php?watch=Hongcheon Challenger vs"
4eha,"https://livetv.biz.id/play1.php?watch=Kazakhstan (W) vs Japan (W)"
0ba9,"https://livetv.biz.id/play1.php?watch=NZ Breakers vs The Hawks"
c87e,"https://livetv.biz.id/play1.php?watch=Geelong (W) vs Bendigo (W)"
lqfq,"https://livetv.biz.id/play1.php?watch=Sydney Kings vs Cairns Taipans"
ozkx,"https://livetv.biz.id/play1.php?watch=Taunsvill (W) vs Sydney (W)"
2aiz,"https://livetv.biz.id/play1.php?watch=Gulbenes Buki/BJSS vs Jekabpils"
j6qd,"https://livetv.biz.id/play1.php?watch=Tenerife vs Bilbao"
ejyn,"https://livetv.biz.id/play1.php?watch=Konya BBSK vs Harem Spor"
rlod,"https://livetv.biz.id/play1.php?watch=Oldenburg vs Mitteldeutscher"
3vgm,"https://livetv.biz.id/play1.php?watch=Fenerbahce 2 vs Kecioren Baglum"
oefh,"https://livetv.biz.id/play1.php?watch=Neptunas vs Zalgiris"
r942,"https://livetv.biz.id/play1.php?watch=Zabok vs Alkar"
uwuz,"https://livetv.biz.id/play1.php?watch=Academy Kalathosfairisis Karditsas vs XANTH"
u9fl,"https://livetv.biz.id/play1.php?watch=Pefkis vs Kronos Ag. Dimitriou"
0itg,"https://livetv.biz.id/play1.php?watch=Athinaikos vs Panellinios Gymnastikos Syllogos"
ytgp,"https://livetv.biz.id/play1.php?watch=Ulm vs Ludwigsburg"
hoor,"https://livetv.biz.id/play1.php?watch=Salon Vilpas vs Oradea"
4irz,"https://livetv.biz.id/play1.php?watch=Falirou vs Promitheas"
x0up,"https://livetv.biz.id/play1.php?watch=AO Sporting vs AGE Chalkidas"
sdxd,"https://livetv.biz.id/play1.php?watch=Olomoucko vs GAPA Hradec Kralove"
sg4o,"https://livetv.biz.id/play1.php?watch=Darussafaka vs Balikesir"
p04l,"https://livetv.biz.id/play1.php?watch=Bayern Munich vs Bamberg"
f1ea,"https://livetv.biz.id/play1.php?watch=Usti nad Labem vs Sokol Pisek"
tcpn,"https://livetv.biz.id/play1.php?watch=Gargzdu vs Siauliai"
vyup,"https://livetv.biz.id/play1.php?watch=Dubrava Furnir vs Dinamo Zagreb"
c2e3,"https://livetv.biz.id/play1.php?watch=Luz / Matos vs Paul / Stricker"
bj8f,"https://livetv.biz.id/play1.php?watch=Nadia Podoroska (W) vs  Paula Badosa Gibert (W)"
plxs,"https://livetv.biz.id/play1.php?watch=Christian Garin vs Rafael Jodar"
iu1m,"https://livetv.biz.id/play1.php?watch=Brazil vs Switzerland"
x2ha,"https://livetv.biz.id/play1.php?watch=Auger-Aliassime / Chan vs Herbert / Bonzi"
hall,"https://livetv.biz.id/play1.php?watch=Diego Duran vs Nuno Borges"
6fxn,"https://livetv.biz.id/play1.php?watch=Zamarripa (W) /  Rogers (W) vs  Strakhova (W) /  Tikhonova (W)"
kzpn,"https://livetv.biz.id/play1.php?watch=Joao Fonseca vs Stanislas Wawrinka"
owk5,"https://livetv.biz.id/play1.php?watch=Stefani (W) /  Dabrowski (W) vs  You (W) /  Yiming (W)"
ezo0,"https://livetv.biz.id/play1.php?watch=Huertas / Buse vs Vallejo / Vergara"
40mc,"https://livetv.biz.id/play1.php?watch=Felix Auger-Aliassime vs Arthur Rinderknech"
0eze,"https://livetv.biz.id/play1.php?watch=Canada vs France"
bfgs,"https://livetv.biz.id/play1.php?watch=Gustavo Heide vs Dominic-Stephan Stricker"
z5q4,"https://livetv.biz.id/play1.php?watch=Ignacio Buse vs Adolfo Daniel Vallejo"
dosf,"https://livetv.biz.id/play1.php?watch=Bucsa (W) /  Melichar (W) vs  Kobori (W) /  Plipuech (W)"
unu1,"https://livetv.biz.id/play1.php?watch=Peru vs Paraguay"
4n5i,"https://livetv.biz.id/play1.php?watch=Joaquin Aguilar Cardozo vs Oliver Ojakaar"
r76a,"https://livetv.biz.id/play1.php?watch=Liam Draxl vs Quentin Halys"
p6kr,"https://livetv.biz.id/play1.php?watch=Hugo Dellien vs Tsz Fu Wong"
1w2e,"https://livetv.biz.id/play1.php?watch=Juan Varillas vs Hernando Jose Escurra Isnardi"
mu4n,"https://livetv.biz.id/play1.php?watch=Peyton Stearns (W) vs  Iva Jovic (W)"
fmu7,"https://livetv.biz.id/play1.php?watch=New Zealand vs Japan"
cxq9,"https://livetv.biz.id/play1.php?watch=Rai / Reynolds vs Watanuki / Yuzuki"
kost,"https://livetv.biz.id/play1.php?watch=Anton Shepp vs Sho Shimabukuro"
jaab,"https://livetv.biz.id/play1.php?watch=Alexandra Shubladze (W) vs  Darya Astakhova (W)"
4auy,"https://livetv.biz.id/play1.php?watch=Australia vs Poland"
uvw6,"https://livetv.biz.id/play1.php?watch=Chinese Taipei vs Sweden"
qvln,"https://livetv.biz.id/play1.php?watch=James Watt vs Rei Sakamoto"
ni4c,"https://livetv.biz.id/play1.php?watch=Hsiou Hsu / Ho vs Goransson / Grevelius"
jjgz,"https://livetv.biz.id/play1.php?watch=Purcell / Hijikata vs Drzewiecki / Zielinski"
ttsk,"https://livetv.biz.id/play1.php?watch=Miho Kuramochi (W) vs  Yao Xinxin (W)"
xo1u,"https://livetv.biz.id/play1.php?watch=Tseng Chun-hsin vs Olle Wallin"
d8o7,"https://livetv.biz.id/play1.php?watch=Alex De Minaur vs Kamil Majchrzak"
bsdd,"https://livetv.biz.id/play1.php?watch=South Korea vs India"
yb5m,"https://livetv.biz.id/play1.php?watch=James Duckworth vs Maks Kasnikowski"
2miz,"https://livetv.biz.id/play1.php?watch=Yu Hsiou Hsu vs Karl Friberg"
zcwl,"https://livetv.biz.id/play1.php?watch=Efstathiou / Neos vs Orlov / Ovcharenko"
