1,"Elberta vs Saraland",Football,"Alabama",10/1/2026,7:00pm,"The Elberta varsity football team has an away conference game @  Saraland (AL) on Thursday, October 1 @ 7p.","/al/football/game/elberta-vs-saraland/10-1-2026/?c=1822ccf1-9802-4f63-9376-e3214a8563ab","https://www.maxpreps.com/al/football/game/elberta-vs-saraland/10-1-2026/?c=1822ccf1-9802-4f63-9376-e3214a8563ab","/football/al/768?10/1/2026","Warriors","Spartans","https://www.maxpreps.com/al/elberta/football/","https://www.maxpreps.com/al/saraland/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Fb%2F0%2F3b098b89-0312-46a8-a94b-b02b736eb67c.gif%3Fversion%3D638216566800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fb%2F3%2Fcb3e2346-78ff-4642-9bdb-ff0eb37c96d9.gif%3Fversion%3D638253672000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"CSTHEA vs East Central HomeSchool",Football,"Alabama",10/1/2026,7:00pm,"The CSTHEA varsity football team has an away non-conference game @  East Central HomeSchool (Trussville, AL) on Thursday, October 1 @ 7p.","/inter-state/football/game/csthea-chattanooga-tn-vs-east-central-homeschool-patriots-pinson-al/10-1-2026/?c=fcb3d1ca-9cdf-4229-8b6e-ac62fe5f773b","https://www.maxpreps.com/inter-state/football/game/csthea-chattanooga-tn-vs-east-central-homeschool-patriots-pinson-al/10-1-2026/?c=fcb3d1ca-9cdf-4229-8b6e-ac62fe5f773b","/football/al/1a02?10/1/2026","Patriots","Patriots","https://www.maxpreps.com/al/csthea-chattanooga-tn/football/","https://www.maxpreps.com/al/east-central-homeschool-patriots-pinson-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F3%2F0%2Fb30f63e6-535f-4842-8071-ebcbf8d271cd.gif%3Fversion%3D636069770400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2Fe%2F7%2F0e742038-4c50-4773-8452-730811010183.gif%3Fversion%3D638972829318793880%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Chambers Academy vs Edgewood Academy",Football,"Alabama",10/1/2026,7:00pm,"The Chambers Academy varsity football team has an away non-conference game @  Edgewood Academy (Elmore, AL) on Thursday, October 1 @ 7p.","/al/football/game/chambers-academy-lafayette-vs-edgewood-academy-elmore/10-1-2026/?c=c7c5b356-eb14-4231-ac40-0ddecf9b79a0","https://www.maxpreps.com/al/football/game/chambers-academy-lafayette-vs-edgewood-academy-elmore/10-1-2026/?c=c7c5b356-eb14-4231-ac40-0ddecf9b79a0","/football/al/1475?10/1/2026","Rebels","Wildcats","https://www.maxpreps.com/al/chambers-academy-lafayette/football/","https://www.maxpreps.com/al/edgewood-academy-elmore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F4%2Ff%2Fc4f0056b-185c-4356-9fe9-ee571b4d41a1.gif%3Fversion%3D637368031800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F3%2F353518ce-299e-47a0-9423-4585ad983a53.gif%3Fversion%3D635856982200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Randolph School vs Madison Academy",Football,"Alabama",10/1/2026,7:00pm,"The Randolph School varsity football team has an away conference game @  Madison Academy (Madison, AL) on Thursday, October 1 @ 7p.","/al/football/game/madison-academy-vs-randolph-school-huntsville/10-1-2026/?c=f65b400a-119b-4515-9669-94bfb19bfe3a","https://www.maxpreps.com/al/football/game/madison-academy-vs-randolph-school-huntsville/10-1-2026/?c=f65b400a-119b-4515-9669-94bfb19bfe3a","/football/al/11b7?10/1/2026","Raiders","Mustangs","https://www.maxpreps.com/al/madison-academy/football/","https://www.maxpreps.com/al/randolph-school-huntsville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F3%2F4%2F3347cec5-62ce-4257-891e-9cc5b701480d.gif%3Fversion%3D638253665400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F2%2F7%2F427bc1f8-c20e-4bad-8ce1-2212fa7dd465.gif%3Fversion%3D638241489000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Austin vs East Limestone",Football,"Alabama",10/1/2026,7:00pm,"The Austin varsity football team has an away conference game @  East Limestone (Athens, AL) on Thursday, October 1 @ 7p.","/al/football/game/austin-decatur-vs-east-limestone-athens/10-1-2026/?c=5d0a5cb7-ac18-4d95-9704-674cec4e3a95","https://www.maxpreps.com/al/football/game/austin-decatur-vs-east-limestone-athens/10-1-2026/?c=5d0a5cb7-ac18-4d95-9704-674cec4e3a95","/football/al/f46?10/1/2026","Black Bears","Indians","https://www.maxpreps.com/al/austin-decatur/football/","https://www.maxpreps.com/al/east-limestone-athens/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2Fb%2Fb%2F2bb79358-5601-4ead-a460-1ceb073a2876.gif%3Fversion%3D638212237200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F4%2Fa%2Fe4a656d7-35f2-4080-ac47-17bd182a5689.gif%3Fversion%3D638216566200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"John Carroll Catholic vs Westminster Christian Academy",Football,"Alabama",10/1/2026,7:00pm,"The John Carroll Catholic varsity football team has an away conference game @  Westminster Christian Academy (Huntsville, AL) on Thursday, October 1 @ 7p.","/al/football/game/john-carroll-catholic-birmingham-vs-westminster-christian-academy-huntsville/10-1-2026/?c=9a1fd932-8745-4cf4-9ca4-6d10c149c531","https://www.maxpreps.com/al/football/game/john-carroll-catholic-birmingham-vs-westminster-christian-academy-huntsville/10-1-2026/?c=9a1fd932-8745-4cf4-9ca4-6d10c149c531","/football/al/1e00?10/1/2026","The Cavaliers","Wildcats","https://www.maxpreps.com/al/john-carroll-catholic-birmingham/football/","https://www.maxpreps.com/al/westminster-christian-academy-huntsville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F1%2F2%2F9122ba06-6592-43e6-9787-3ad081afcbb1.gif%3Fversion%3D638235460800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F9%2F5%2F29567c24-7767-4a70-8e40-fd69421a47c7.gif%3Fversion%3D638253705000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Woodland vs Loachapoka",Football,"Alabama",10/1/2026,7:00pm,"The Woodland varsity football team has an away non-conference game @  Loachapoka (AL) on Thursday, October 1 @ 7p.","/al/football/game/loachapoka-vs-woodland/10-1-2026/?c=b6fa6e3b-a882-4f74-9e32-703ddf228432","https://www.maxpreps.com/al/football/game/loachapoka-vs-woodland/10-1-2026/?c=b6fa6e3b-a882-4f74-9e32-703ddf228432","/football/al/8ae?10/1/2026","Bobcats","Indians","https://www.maxpreps.com/al/loachapoka/football/","https://www.maxpreps.com/al/woodland/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fa%2F4%2F6a4c9ae1-07f5-4297-8929-7afa97f593bc.gif%3Fversion%3D638253707400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2Fd%2F6%2F2d62b4e2-1413-4610-a3d4-75790e9af17c.gif%3Fversion%3D638876460151564410%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Mortimer Jordan vs Jackson-Olin",Football,"Alabama",10/1/2026,7:00pm,"The Mortimer Jordan varsity football team has an away conference game @  Jackson-Olin (Birmingham, AL) on Thursday, October 1 @ 7p.","/al/football/game/jackson-olin-birmingham-vs-mortimer-jordan-kimberly/10-1-2026/?c=cde98c19-f22d-4e45-a2ff-0fde160fc89d","https://www.maxpreps.com/al/football/game/jackson-olin-birmingham-vs-mortimer-jordan-kimberly/10-1-2026/?c=cde98c19-f22d-4e45-a2ff-0fde160fc89d","/football/al/13fc?10/1/2026","Blue Devils","Mustangs","https://www.maxpreps.com/al/jackson-olin-birmingham/football/","https://www.maxpreps.com/al/mortimer-jordan-kimberly/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F1%2F1%2F711c3975-250c-4e4f-bedd-24af12ebf473.gif%3Fversion%3D638241475800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F2%2F0%2F620e07ce-82d4-4814-a5da-88c7af53b278.gif%3Fversion%3D638235459600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"Briarwood Christian vs St. John Paul II",Football,"Alabama",10/1/2026,7:00pm,"The Briarwood Christian varsity football team has an away non-conference game @  St. John Paul II (Huntsville, AL) on Thursday, October 1 @ 7p.","/al/football/game/briarwood-christian-birmingham-vs-st-john-paul-ii-huntsville/10-1-2026/?c=46ccdf57-6557-4a56-be34-550b71c4c73f","https://www.maxpreps.com/al/football/game/briarwood-christian-birmingham-vs-st-john-paul-ii-huntsville/10-1-2026/?c=46ccdf57-6557-4a56-be34-550b71c4c73f","/football/al/1765?10/1/2026","Lions","Falcons","https://www.maxpreps.com/al/briarwood-christian-birmingham/football/","https://www.maxpreps.com/al/st-john-paul-ii-huntsville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fb%2F5%2F7b519326-5a99-4dfd-abb3-79fce2a5da66.gif%3Fversion%3D638215516800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F6%2F3%2F863ff616-4589-46d1-a2c4-879da6e3a7c9.gif%3Fversion%3D638249396400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
10,"St. Luke&#x27;s Episcopal vs Northside Methodist Academy",Football,"Alabama",10/1/2026,7:00pm,"The St. Luke&#x27;s Episcopal varsity football team has an away conference game @  Northside Methodist Academy (Dothan, AL) on Thursday, October 1 @ 7p.","/al/football/game/northside-methodist-academy-dothan-vs-st-lukes-episcopal-mobile/10-1-2026/?c=fb32b711-8166-48b6-87f4-7379ddb49307","https://www.maxpreps.com/al/football/game/northside-methodist-academy-dothan-vs-st-lukes-episcopal-mobile/10-1-2026/?c=fb32b711-8166-48b6-87f4-7379ddb49307","/football/al/1887?10/1/2026","Wildcats","Knights","https://www.maxpreps.com/al/northside-methodist-academy-dothan/football/","https://www.maxpreps.com/al/st-lukes-episcopal-mobile/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F1%2F3%2Ff136e65c-752b-40f8-bc88-873a6824354c.gif%3Fversion%3D636428977800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fa%2F1%2Faa130e65-5306-466d-878c-a1e9e1b4e990.gif%3Fversion%3D638253621600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
