slug,url
upjn,"https://livetv.biz.id/play1.php?watch=Saipa vs KooKoo"
t160,"https://livetv.biz.id/play1.php?watch=Pelicans vs Jyvaskyla"
zz5s,"https://livetv.biz.id/play1.php?watch=Jokerit vs Tappara"
zvd0,"https://livetv.biz.id/play1.php?watch=HPK vs TPS"
c0d1,"https://livetv.biz.id/play1.php?watch=Kaluga vs Buran Voronezh"
fp91,"https://livetv.biz.id/play1.php?watch=Hermes vs TuTo"
ivg1,"https://livetv.biz.id/play1.php?watch=Pyry vs K-Vantaa"
nmvz,"https://livetv.biz.id/play1.php?watch=KeuPa vs Kettera"
kbf8,"https://livetv.biz.id/play1.php?watch=IPK vs RoKi"
wqey,"https://livetv.biz.id/play1.php?watch=Dynamo-Olimpik vs Zubry"
y2u9,"https://livetv.biz.id/play1.php?watch=Neftekhimik vs Yastreby"
ev22,"https://livetv.biz.id/play1.php?watch=Medvedi vs Belarus U18"
2r7q,"https://livetv.biz.id/play1.php?watch=Dneprovskiye Lvy vs Junior"
uizk,"https://livetv.biz.id/play1.php?watch=Zemgale vs Liepaja"
nieg,"https://livetv.biz.id/play1.php?watch=Decin vs Rebel Havlickuv Brod"
19n6,"https://livetv.biz.id/play1.php?watch=Fehervar AV19 vs Olimpija"
7df6,"https://livetv.biz.id/play1.php?watch=Ringerike vs Narvik"
s413,"https://livetv.biz.id/play1.php?watch=Stjernen vs Lillehammer"
rf4u,"https://livetv.biz.id/play1.php?watch=Stavanger vs Nidaros"
57er,"https://livetv.biz.id/play1.php?watch=Sparta vs Storhamar"
ulrn,"https://livetv.biz.id/play1.php?watch=Karpat vs Sport Vaasan"
151x,"https://livetv.biz.id/play1.php?watch=Assat vs Kiekko-Espoo"
2d4a,"https://livetv.biz.id/play1.php?watch=Frydek Mistek vs Kolin"
goj8,"https://livetv.biz.id/play1.php?watch=Zubr Prerov vs Horacka Slavia"
p2y5,"https://livetv.biz.id/play1.php?watch=Tabor vs Dynamo Pardubice B"
3wb5,"https://livetv.biz.id/play1.php?watch=Vsetin vs Stadion Litomerice"
3a19,"https://livetv.biz.id/play1.php?watch=Banik Sokolov vs AZ Havirov"
4hz1,"https://livetv.biz.id/play1.php?watch=Belarus U17 vs Rysi"
f81d,"https://livetv.biz.id/play1.php?watch=Progress vs Belstal"
jbzt,"https://livetv.biz.id/play1.php?watch=Koprivnice vs Hanacka Slavia Kromeriz"
gyf8,"https://livetv.biz.id/play1.php?watch=Sumperk vs Prostejov 1913"
i4vc,"https://livetv.biz.id/play1.php?watch=Uhersky Brod vs Velke Mezirici"
0qyj,"https://livetv.biz.id/play1.php?watch=Valasske Mezirici vs Novy-Jicin"
atc4,"https://livetv.biz.id/play1.php?watch=Benatky vs Slovan Ustecti Lvi"
5eip,"https://livetv.biz.id/play1.php?watch=Milevsko vs Kadan"
imry,"https://livetv.biz.id/play1.php?watch=Pribram vs Kralupy"
vbmr,"https://livetv.biz.id/play1.php?watch=Bellinzona Snakes vs Arosa"
s7kw,"https://livetv.biz.id/play1.php?watch=Znojmo vs Opava"
0l5v,"https://livetv.biz.id/play1.php?watch=Dukla Jihlava vs Pirati"
v03e,"https://livetv.biz.id/play1.php?watch=Innsbruck vs Vienna"
3wvw,"https://livetv.biz.id/play1.php?watch=EHC Basel vs Thurgau"
5sw3,"https://livetv.biz.id/play1.php?watch=Karlskoga vs Vasteras"
a44x,"https://livetv.biz.id/play1.php?watch=Jestrabi Prostejov vs Technika Brno"
wbft,"https://livetv.biz.id/play1.php?watch=Ocelari Trinec vs Plzen"
i13v,"https://livetv.biz.id/play1.php?watch=Lulea vs Rogle"
yy9d,"https://livetv.biz.id/play1.php?watch=Farjestad vs Oerebro"
ziyi,"https://livetv.biz.id/play1.php?watch=Djurgarden vs Bjorkloven"
9mdm,"https://livetv.biz.id/play1.php?watch=Cheb vs Pisek"
ji8d,"https://livetv.biz.id/play1.php?watch=Vrchlabi vs Zdar nad Sazavou"
am11,"https://livetv.biz.id/play1.php?watch=Kobra Praha vs Mostecti Lvi"
g4ab,"https://livetv.biz.id/play1.php?watch=Frisk Asker vs Valerenga"
bqg3,"https://livetv.biz.id/play1.php?watch=Chur vs Olten"
17f8,"https://livetv.biz.id/play1.php?watch=Varese vs Eppan"
kd5o,"https://livetv.biz.id/play1.php?watch=Pergine vs Fassa Falcons"
7u9v,"https://livetv.biz.id/play1.php?watch=Ormansport vs Goztepe"
wzs5,"https://livetv.biz.id/play1.php?watch=iLab vs CO Basket"
d3s3,"https://livetv.biz.id/play1.php?watch=Lietkabelis vs Juventus"
zrzc,"https://livetv.biz.id/play1.php?watch=Roanne vs ASVEL"
mdeq,"https://livetv.biz.id/play1.php?watch=Pardubice vs Brno"
80p6,"https://livetv.biz.id/play1.php?watch=Cesis vs South Kurzeme Municipality"
rkdi,"https://livetv.biz.id/play1.php?watch=Panionios vs Amintas"
sz97,"https://livetv.biz.id/play1.php?watch=Dubai vs Fenerbahce"
oxgq,"https://livetv.biz.id/play1.php?watch=Anadolu Efes vs UNICS"
d5w7,"https://livetv.biz.id/play1.php?watch=Ionikos Ionias vs Sofadon"
k8wm,"https://livetv.biz.id/play1.php?watch=Ionikos Nikaias vs Paneritraikos"
5xnf,"https://livetv.biz.id/play1.php?watch=Gaziantep BB vs Final Spor"
8mk4,"https://livetv.biz.id/play1.php?watch=Dziki Warszawa vs Breogan"
qkf5,"https://livetv.biz.id/play1.php?watch=Kipas Istiklal vs Ted Ankara"
wofz,"https://livetv.biz.id/play1.php?watch=Derthona vs Venezia"
odo1,"https://livetv.biz.id/play1.php?watch=Joventut vs Baskonia"
gtc7,"https://livetv.biz.id/play1.php?watch=Opava vs NH Ostrava"
1d0n,"https://livetv.biz.id/play1.php?watch=Taurages vs Jonava"
i33m,"https://livetv.biz.id/play1.php?watch=Rostock vs Phoenix Hagen"
g8bi,"https://livetv.biz.id/play1.php?watch=Braunschweig vs Trier Gladiators"
7kw5,"https://livetv.biz.id/play1.php?watch=Alevtina Ibragimova (W) vs  Rina Saigo (W)"
0pzw,"https://livetv.biz.id/play1.php?watch=Dominko / Sesko vs Cukierman / Shimanov"
7041,"https://livetv.biz.id/play1.php?watch=Miedler / Oberleitner vs Gille / Vliegen"
lu6i,"https://livetv.biz.id/play1.php?watch=Alexander Shevchenko vs Kasidit Samrej"
7byt,"https://livetv.biz.id/play1.php?watch=Slovakia vs Greece"
e4mi,"https://livetv.biz.id/play1.php?watch=Menelaos Efstathiou vs Oleksii Krutykh"
gxag,"https://livetv.biz.id/play1.php?watch=Holmgren / Overbeck vs Donski / Nesterov"
fv9k,"https://livetv.biz.id/play1.php?watch=Liang En-shuo (W) vs  Sara Saito (W)"
on8j,"https://livetv.biz.id/play1.php?watch=Mia Pohankova (W) vs  Gabriela Andrea Knutson (W)"
htsc,"https://livetv.biz.id/play1.php?watch=Samira De Stefano (W) vs  Laura Samson (W)"
5zg1,"https://livetv.biz.id/play1.php?watch=Alex Molcan vs Stefanos Sakellaridis"
gk5q,"https://livetv.biz.id/play1.php?watch=Holmgren / Ingildsen vs Donski / Nesterov"
rak4,"https://livetv.biz.id/play1.php?watch=Austria vs Belgium"
blci,"https://livetv.biz.id/play1.php?watch=Niklas-Salminen / Heliovaara vs Nys / Arneodo"
ozv4,"https://livetv.biz.id/play1.php?watch=Yassine Dlimi vs Daniel Adeleye"
21ib,"https://livetv.biz.id/play1.php?watch=Norbert Gombos vs Stefanos Tsitsipas"
0dag,"https://livetv.biz.id/play1.php?watch=Holger Rune vs Grigor Dimitrov"
6tm0,"https://livetv.biz.id/play1.php?watch=Jurij Rodionov vs Zizou Bergs"
24pp,"https://livetv.biz.id/play1.php?watch=Filip Jeff Planinsek vs Amit Vales"
4q4v,"https://livetv.biz.id/play1.php?watch=Toby Samuel vs Andres Andrade"
8rr0,"https://livetv.biz.id/play1.php?watch=Serbia vs Lithuania"
2jz4,"https://livetv.biz.id/play1.php?watch=Netherlands vs Colombia"
a6w3,"https://livetv.biz.id/play1.php?watch=Germany vs Croatia"
9o12,"https://livetv.biz.id/play1.php?watch=United Kingdom vs Ecuador"
ena3,"https://livetv.biz.id/play1.php?watch=Miomir Kecmanovic vs Edas Butvilas"
nww2,"https://livetv.biz.id/play1.php?watch=De Jong / Pel vs Barrientos / Tobon"
lcz4,"https://livetv.biz.id/play1.php?watch=Knaff / Rodesch vs Piros / Fuele"
0ab9,"https://livetv.biz.id/play1.php?watch=Alexander Zverev vs Matej Dodig"
56th,"https://livetv.biz.id/play1.php?watch=Pavlasek / Rikl vs Harrison / Krajicek"
cabh,"https://livetv.biz.id/play1.php?watch=Jakupovic (W) /  Karamoko (W) vs  Selekhmeteva (W) /  Romero Gormaz (W)"
s37j,"https://livetv.biz.id/play1.php?watch=Mona Barthel (W) vs  Noemi Basiletti (W)"
gfdw,"https://livetv.biz.id/play1.php?watch=Lisa Pigato (W) vs  Jeline Vandromme (W)"
ids7,"https://livetv.biz.id/play1.php?watch=Timofey Skatov vs Maximus Jones"
ib0p,"https://livetv.biz.id/play1.php?watch=Otto Virtanen vs Valentin Vacherot"
vonx,"https://livetv.biz.id/play1.php?watch=Lukas Neumayer vs Gauthier Onclin"
