slug,url
d1sh,"https://livetv.biz.id/play1.php?watch=BSB  Assen vs"
7me4,"https://livetv.biz.id/play1.php?watch=GT World Challenge  Zandvoort vs"
c68f,"https://livetv.biz.id/play1.php?watch=Polish Speedway. 2 Liga vs"
vjyf,"https://livetv.biz.id/play1.php?watch=Rookies Cup  Spielberg vs"
ni6c,"https://livetv.biz.id/play1.php?watch=Clio Cup Series vs"
qe1p,"https://livetv.biz.id/play1.php?watch=Italian F4 Championship (Misano) vs"
it92,"https://livetv.biz.id/play1.php?watch=Polish Speedway vs"
5t5n,"https://livetv.biz.id/play1.php?watch=Kazimierza Wielka vs Piast Gliwice"
1ggu,"https://livetv.biz.id/play1.php?watch=Leszno vs Jagiellonia"
u10e,"https://livetv.biz.id/play1.php?watch=Velez Camaqua vs Joinville"
567w,"https://livetv.biz.id/play1.php?watch=Kharkiv vs Budivelnyk"
5bwp,"https://livetv.biz.id/play1.php?watch=Pniewy vs Olsztyn"
qoxj,"https://livetv.biz.id/play1.php?watch=Napoli (W) vs Roma (W)"
tsue,"https://livetv.biz.id/play1.php?watch=Levante Caprarica (W) vs Altamura (W)"
h868,"https://livetv.biz.id/play1.php?watch=We-Met vs Legia"
10vp,"https://livetv.biz.id/play1.php?watch=Slask vs Przemysl"
3eds,"https://livetv.biz.id/play1.php?watch=CMB (W) vs Falconara (W)"
krxs,"https://livetv.biz.id/play1.php?watch=Bitonto (W) vs TikiTaka Adriatica (W)"
y77w,"https://livetv.biz.id/play1.php?watch=Sesvete vs Gorica"
vpun,"https://livetv.biz.id/play1.php?watch=Karlovac vs Metkovic"
ssbh,"https://livetv.biz.id/play1.php?watch=Ardiaei vs Dugo Selo"
gutz,"https://livetv.biz.id/play1.php?watch=Bietigheim vs Hanover-Burgdorf"
nedj,"https://livetv.biz.id/play1.php?watch=Samot 65 vs Radnicki"
46s5,"https://livetv.biz.id/play1.php?watch=Alkaloid vs Kumanovo"
hr7l,"https://livetv.biz.id/play1.php?watch=Bor (W) vs Stars Lavice (W)"
cepd,"https://livetv.biz.id/play1.php?watch=Torrelavega vs Nava"
eod6,"https://livetv.biz.id/play1.php?watch=Molteno vs Bolzano"
v31y,"https://livetv.biz.id/play1.php?watch=Burgos vs SinFin"
lct9,"https://livetv.biz.id/play1.php?watch=Cesson-Rennes vs Pays d`Aix"
iq5a,"https://livetv.biz.id/play1.php?watch=Goeppingen (W) vs  Leipzig (W)"
tib3,"https://livetv.biz.id/play1.php?watch=Samot vs Radnicki"
ow41,"https://livetv.biz.id/play1.php?watch=Alpla Hard vs Dubocica"
yh0k,"https://livetv.biz.id/play1.php?watch=Brno vs MKS Kalisz"
whe7,"https://livetv.biz.id/play1.php?watch=Bjelovar vs Rudar"
psv9,"https://livetv.biz.id/play1.php?watch=Potsdam vs Ludwigshafen"
rt39,"https://livetv.biz.id/play1.php?watch=Metzingen (W) vs  Thueringer (W)"
k8cr,"https://livetv.biz.id/play1.php?watch=Budvanska Rivijera vs Drama"
otlc,"https://livetv.biz.id/play1.php?watch=Marina Kastela (W) vs Virovitica (W)"
513z,"https://livetv.biz.id/play1.php?watch=Fivers Margareten vs Giresunspor"
a41c,"https://livetv.biz.id/play1.php?watch=Pressano vs Fasano"
u0d1,"https://livetv.biz.id/play1.php?watch=Dunajska Streda (W) vs  Zora Olomouc (W)"
a6mm,"https://livetv.biz.id/play1.php?watch=Rivne-OSHVSM (W) vs Proskuriv (W)"
fpz5,"https://livetv.biz.id/play1.php?watch=Caserio Ciudad Real vs EON Alicante"
icyd,"https://livetv.biz.id/play1.php?watch=Ademar Leon vs Cuenca"
zqav,"https://livetv.biz.id/play1.php?watch=Mihaliccikspor vs Trabzonspor"
7m77,"https://livetv.biz.id/play1.php?watch=Nykoebing Falster (W) vs  Blomberg-Lippe (W)"
17x8,"https://livetv.biz.id/play1.php?watch=Storhamar (W) vs  Gyor (W)"
ge66,"https://livetv.biz.id/play1.php?watch=Aalborg vs Nordsjaelland"
lcw8,"https://livetv.biz.id/play1.php?watch=BHC vs Fuechse Berlin"
2b4q,"https://livetv.biz.id/play1.php?watch=Nilufer vs Besiktas"
6vvw,"https://livetv.biz.id/play1.php?watch=Guneysu SK vs Beykoz"
bykd,"https://livetv.biz.id/play1.php?watch=Gloria Bistrita (W) vs  Odense (W)"
1nbe,"https://livetv.biz.id/play1.php?watch=RK Buducnost (W) vs  Brest Bretagne (W)"
53yq,"https://livetv.biz.id/play1.php?watch=Granitas vs Omonia"
ayub,"https://livetv.biz.id/play1.php?watch=Wetzlar vs Gummersbach"
zh1q,"https://livetv.biz.id/play1.php?watch=Lemgo vs Erlangen"
8h6q,"https://livetv.biz.id/play1.php?watch=Elbflorenz vs Leipzig"
4thl,"https://livetv.biz.id/play1.php?watch=Eintracht Hagen vs Emsdetten"
aotj,"https://livetv.biz.id/play1.php?watch=Puente Genil vs Barcelona"
