1,"Williamson vs Pine Forest",Football,"Alabama",9/10/2026,7:00pm,"The Williamson varsity football team has an away non-conference game @  Pine Forest (Pensacola, FL) today @ 7p.","/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","https://www.maxpreps.com/inter-state/football/game/pine-forest-pensacola-fl-vs-williamson-mobile-al/9-10-2026/?c=b48ca10a-920f-4d26-896f-6434b1a3086b","/football/al/126f?9/10/2026","Lions","Eagles","https://www.maxpreps.com/al/pine-forest-pensacola-fl/football/","https://www.maxpreps.com/al/williamson-mobile-al/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2F5%2F355baefa-ed80-4252-8fd0-e4d9f4383788.gif%3Fversion%3D638253706200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F4%2Ff64eb451-c381-42d0-afd0-7e4a0143f336.gif%3Fversion%3D636391719600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Land O&#x27; Lakes vs Calvary Christian",Boys Volleyball,"Florida",9/25/2026,2:00pm,"The Land O&#x27; Lakes varsity volleyball team has an away tournament match @  Calvary Christian (Clearwater, FL) on Friday, September 25 @ 2p.","/fl/volleyball/match/calvary-christian-clearwater-vs-land-o-lakes/9-25-2026/?c=e6207158-ef77-4031-b784-181ff7d7f89b","https://www.maxpreps.com/fl/volleyball/match/calvary-christian-clearwater-vs-land-o-lakes/9-25-2026/?c=e6207158-ef77-4031-b784-181ff7d7f89b","/volleyball/fl/10f6?9/25/2026","Gators","Warriors","https://www.maxpreps.com/fl/calvary-christian-clearwater/boys-volleyball/","https://www.maxpreps.com/fl/land-o-lakes/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F1%2Fd%2Fe1ddc49b-238d-4c19-8c7a-033361420204.gif%3Fversion%3D638989775524741460%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fa%2Fe%2F6ae65209-f562-4951-8a4c-d234b87cbb04.gif%3Fversion%3D637697956800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"Strawberry Crest vs Calvary Christian",Boys Volleyball,"Florida",9/25/2026,5:00pm,"The Strawberry Crest varsity volleyball team has an away non-conference match @  Calvary Christian (Clearwater, FL) on Friday, September 25 @ 5p.","/fl/volleyball/match/calvary-christian-clearwater-vs-strawberry-crest-dover/9-25-2026/?c=c8fd9900-bdd2-416a-9574-d0c3f8b7b69e","https://www.maxpreps.com/fl/volleyball/match/calvary-christian-clearwater-vs-strawberry-crest-dover/9-25-2026/?c=c8fd9900-bdd2-416a-9574-d0c3f8b7b69e","/volleyball/fl/156e?9/25/2026","Chargers","Warriors","https://www.maxpreps.com/fl/calvary-christian-clearwater/boys-volleyball/","https://www.maxpreps.com/fl/strawberry-crest-dover/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F4%2F3%2Ff43501ca-e01a-4ad6-811e-aff5d52a21f4.gif%3Fversion%3D633870370800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fa%2Fe%2F6ae65209-f562-4951-8a4c-d234b87cbb04.gif%3Fversion%3D637697956800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Academy of the Holy Names vs Calvary Christian",Boys Volleyball,"Florida",9/25/2026,7:00pm,"The Academy of the Holy Names varsity volleyball team has an away non-conference match @  Calvary Christian (Clearwater, FL) on Friday, September 25 @ 7p.","/fl/volleyball/match/academy-of-the-holy-names-tampa-vs-calvary-christian-clearwater/9-25-2026/?c=f80b9e4a-97c1-4cfd-b386-3ab83999f3d2","https://www.maxpreps.com/fl/volleyball/match/academy-of-the-holy-names-tampa-vs-calvary-christian-clearwater/9-25-2026/?c=f80b9e4a-97c1-4cfd-b386-3ab83999f3d2","/volleyball/fl/182c?9/25/2026","Jaguars","Warriors","https://www.maxpreps.com/fl/academy-of-the-holy-names-tampa/boys-volleyball/","https://www.maxpreps.com/fl/calvary-christian-clearwater/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fc%2F1%2F1c1ca678-8b1e-42c5-978f-2f6ecf9357e7.gif%3Fversion%3D634763153400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fa%2Fe%2F6ae65209-f562-4951-8a4c-d234b87cbb04.gif%3Fversion%3D637697956800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Tournament Opponent vs North Kissimmee Christian",Boys Volleyball,"Florida",9/25/2026,10:00am,"The Tournament Opponent varsity volleyball team has an away tournament match @  North Kissimmee Christian (Kissimmee, FL) on Friday, September 25 @ 10a.","/fl/volleyball/match/north-kissimmee-christian-fl-vs-tournament-opponent-intl/9-25-2026/?c=2e80fb73-b819-4b56-b3b7-9a523333bfab","https://www.maxpreps.com/fl/volleyball/match/north-kissimmee-christian-fl-vs-tournament-opponent-intl/9-25-2026/?c=2e80fb73-b819-4b56-b3b7-9a523333bfab","/volleyball/fl/1624?9/25/2026","Lions","TBD","https://www.maxpreps.com/fl/north-kissimmee-christian-fl/boys-volleyball/","https://www.maxpreps.com/fl/tournament-opponent-intl/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F0%2F8%2F6089cdf8-5a43-4514-a670-f39b82bf9a57.gif%3Fversion%3D634871851200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F0%2F8%2F6089cdf8-5a43-4514-a670-f39b82bf9a57.gif%3Fversion%3D634871851200000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Edison Private vs Academy for Innovative Education",Boys Volleyball,"Florida",9/25/2026,3:30pm,"The Edison Private varsity volleyball team has an away non-conference match @  Academy for Innovative Education (Miami Springs, FL) on Friday, September 25 @ 3:30p.","/fl/volleyball/match/academy-for-innovative-education-miami-springs-vs-edison-private-hialeah/9-25-2026/?c=d021b014-f31e-493b-869a-0f92aa0108d8","https://www.maxpreps.com/fl/volleyball/match/academy-for-innovative-education-miami-springs-vs-edison-private-hialeah/9-25-2026/?c=d021b014-f31e-493b-869a-0f92aa0108d8","/volleyball/fl/1bf4?9/25/2026","Eagles","Aviators","https://www.maxpreps.com/fl/academy-for-innovative-education-miami-springs/boys-volleyball/","https://www.maxpreps.com/fl/edison-private-hialeah/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fd%2Fd%2Fbdd3686d-e972-42e0-8d3e-194b3c41a15d.gif%3Fversion%3D637031163000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F9%2Fb%2F59bfccdd-f8f2-4180-8c8b-e2a957b0b527.gif%3Fversion%3D638416887000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"Somerset Academy South Homestead vs Somerset Prep Homestead",Boys Volleyball,"Florida",9/25/2026,3:30pm,"The Somerset Academy South Homestead varsity volleyball team has an away non-conference match @  Somerset Prep Homestead (Homestead, FL) on Friday, September 25 @ 3:30p.","/fl/volleyball/match/somerset-academy-south-homestead-vs-somerset-prep-homestead/9-25-2026/?c=acc43ee0-46fd-4d0e-b5ec-20dc3c9dfef1","https://www.maxpreps.com/fl/volleyball/match/somerset-academy-south-homestead-vs-somerset-prep-homestead/9-25-2026/?c=acc43ee0-46fd-4d0e-b5ec-20dc3c9dfef1","/volleyball/fl/173a?9/25/2026","Hurricanes","Pythons","https://www.maxpreps.com/fl/somerset-academy-south-homestead/boys-volleyball/","https://www.maxpreps.com/fl/somerset-prep-homestead/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Fimages%2Flogos%2Fmaxpreps-logo-white-2025.png","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Freact%2Fplay-on-logo.png"
7,"LaProgresiva Presbyterian vs Everglades Prep Academy",Boys Volleyball,"Florida",9/25/2026,3:30pm,"The LaProgresiva Presbyterian varsity volleyball team has an away non-conference match @  Everglades Prep Academy (Homestead, FL) on Friday, September 25 @ 3:30p.","/fl/volleyball/match/everglades-prep-academy-homestead-vs-laprogresiva-presbyterian-miami/9-25-2026/?c=c9ff5f39-c59b-4002-8889-482d3b2535da","https://www.maxpreps.com/fl/volleyball/match/everglades-prep-academy-homestead-vs-laprogresiva-presbyterian-miami/9-25-2026/?c=c9ff5f39-c59b-4002-8889-482d3b2535da","/volleyball/fl/1abf?9/25/2026","Knights","Panther","https://www.maxpreps.com/fl/everglades-prep-academy-homestead/boys-volleyball/","https://www.maxpreps.com/fl/laprogresiva-presbyterian-miami/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F2%2Fa%2F12afbea4-e5cc-4bcb-bae1-03751537741e.gif%3Fversion%3D636812438400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F6%2F6%2Ff66b4af9-0ddb-42a3-9226-9c2211865c6e.gif%3Fversion%3D639209907241875810%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Sheridan Hills Christian vs Boca Prep International",Boys Volleyball,"Florida",9/25/2026,4:00pm,"The Sheridan Hills Christian varsity volleyball team has an away non-conference match @  Boca Prep International (Boca Raton, FL) on Friday, September 25 @ 4p.","/fl/volleyball/match/boca-prep-international-boca-raton-vs-sheridan-hills-christian-hollywood/9-25-2026/?c=d31479d1-2e7e-4844-97c6-88954b47a6e2","https://www.maxpreps.com/fl/volleyball/match/boca-prep-international-boca-raton-vs-sheridan-hills-christian-hollywood/9-25-2026/?c=d31479d1-2e7e-4844-97c6-88954b47a6e2","/volleyball/fl/1c0b?9/25/2026","Sharks","Lions","https://www.maxpreps.com/fl/boca-prep-international-boca-raton/boys-volleyball/","https://www.maxpreps.com/fl/sheridan-hills-christian-hollywood/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F6%2F2%2Fa6261298-1eed-42ad-ab58-22d5edd6d982.gif%3Fversion%3D637395604800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F3%2F5%2F8352b51b-4c27-4578-a79d-778fabfc1f9b.gif%3Fversion%3D638314102800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"IMG Academy vs DME Academy",Boys Volleyball,"Florida",9/25/2026,4:00pm,"The IMG Academy varsity volleyball team has an away non-conference match @  DME Academy (Daytona Beach, FL) on Friday, September 25 @ 4p.","/fl/volleyball/match/dme-academy-daytona-beach-vs-img-academy-bradenton/9-25-2026/?c=1f6b7c2d-dbea-470d-b4e7-269b20dfa389","https://www.maxpreps.com/fl/volleyball/match/dme-academy-daytona-beach-vs-img-academy-bradenton/9-25-2026/?c=1f6b7c2d-dbea-470d-b4e7-269b20dfa389","/volleyball/fl/12df?9/25/2026","Ascenders","TBD","https://www.maxpreps.com/fl/dme-academy-daytona-beach/boys-volleyball/","https://www.maxpreps.com/fl/img-academy-bradenton/boys-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fb%2Fd%2F7bdc339f-7cbf-4728-b0c8-ed898929cf68.gif%3Fversion%3D639050157932372200%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F2%2Fd%2Fe2d1cb29-badc-4a9e-bbf9-2bd808381e31.gif%3Fversion%3D638693718750758640%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
