slug,url
9shi,"https://livetv.biz.id/play1.php?watch=Liberty Flames vs Coastal Carolina Chanticleers"
yelb,"https://livetv.biz.id/play1.php?watch=Army Black Knights vs Temple Owls"
spx8,"https://livetv.biz.id/play1.php?watch=Howard Bison vs Rutgers Scarlet Knights"
xa2j,"https://livetv.biz.id/play1.php?watch=Navy Midshipmen vs UAB Blazers"
kmoe,"https://livetv.biz.id/play1.php?watch=Northwestern Wildcats vs Indiana Hoosiers"
chqj,"https://livetv.biz.id/play1.php?watch=Clemson Tigers vs California Golden Bears"
9c60,"https://livetv.biz.id/play1.php?watch=Texas Longhorns vs Tennessee Volunteers"
j7ds,"https://livetv.biz.id/play1.php?watch=Illinois Fighting Illini vs Ohio State Buckeyes"
m4uq,"https://livetv.biz.id/play1.php?watch=Sam Houston Bearkats vs Texas Tech Red Raiders"
fotw,"https://livetv.biz.id/play1.php?watch=Wake Forest Demon Deacons vs Louisville Cardinals"
aue6,"https://livetv.biz.id/play1.php?watch=Colorado Buffaloes vs Baylor Bears"
ijg9,"https://livetv.biz.id/play1.php?watch=Bucknell Bison vs Pittsburgh Panthers"
nmx9,"https://livetv.biz.id/play1.php?watch=Virginia Tech Hokies vs Boston College Eagles"
alm5,"https://livetv.biz.id/play1.php?watch=San Diego State Aztecs vs Toledo Rockets"
r0cp,"https://livetv.biz.id/play1.php?watch=Colorado State Rams vs UTSA Roadrunners"
ooyx,"https://livetv.biz.id/play1.php?watch=UNLV Rebels vs Akron Zips"
kyvi,"https://livetv.biz.id/play1.php?watch=Ball State Cardinals vs Kent State Golden Flashes"
srco,"https://livetv.biz.id/play1.php?watch=South Alabama Jaguars vs Kentucky Wildcats"
vqx8,"https://livetv.biz.id/play1.php?watch=Lindenwood Lions vs Eastern Michigan Eagles"
dpqw,"https://livetv.biz.id/play1.php?watch=UCLA Bruins vs Maryland Terrapins"
euny,"https://livetv.biz.id/play1.php?watch=Notre Dame Fighting Irish vs Purdue Boilermakers"
pn1a,"https://livetv.biz.id/play1.php?watch=Northern Illinois Huskies vs Georgia State Panthers"
