1,"Fairfield Prep vs New Canaan",Football,"Connecticut",9/18/2026,7:00pm,"The Fairfield Prep varsity football team has an away non-conference game @  New Canaan (CT) on Friday, September 18 @ 7p.","/ct/football/game/fairfield-prep-vs-new-canaan/9-18-2026/?c=fd3abb27-8685-4557-a87b-4dd62983db77","https://www.maxpreps.com/ct/football/game/fairfield-prep-vs-new-canaan/9-18-2026/?c=fd3abb27-8685-4557-a87b-4dd62983db77","/football/ct/aa6?9/18/2026","Fairfield Prep","Jesuits","https://www.maxpreps.com/ct/fairfield-prep/football/","https://www.maxpreps.com/ct/new-canaan/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F0%2Ff%2F70f5264c-19af-4feb-80f6-59c073378a14.gif%3Fversion%3D637667017200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fa%2F6%2Fba67ac89-7f88-46c5-b680-e9b89325d2a7.gif%3Fversion%3D637667021400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"Glastonbury vs Cheshire",Football,"Connecticut",9/18/2026,7:00pm,"The Glastonbury varsity football team has an away non-conference game @  Cheshire (CT) on Friday, September 18 @ 7p.","/ct/football/game/cheshire-vs-glastonbury/9-18-2026/?c=55ab13e6-50d0-4d94-9dc2-4ca32bb1b753","https://www.maxpreps.com/ct/football/game/cheshire-vs-glastonbury/9-18-2026/?c=55ab13e6-50d0-4d94-9dc2-4ca32bb1b753","/football/ct/948?9/18/2026","Glastonbury","Guardians","https://www.maxpreps.com/ct/cheshire/football/","https://www.maxpreps.com/ct/glastonbury/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F3%2F1%2F43135635-1539-4a59-80d4-8be4932c5148.gif%3Fversion%3D637672831200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Ff%2F0%2F4f00aa70-bbbe-4714-8fa3-29201607ce1b.gif%3Fversion%3D636217159800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"West Haven vs Norwalk",Football,"Connecticut",9/18/2026,7:00pm,"The West Haven varsity football team has an away non-conference game @  Norwalk (CT) on Friday, September 18 @ 7p.","/ct/football/game/norwalk-vs-west-haven/9-18-2026/?c=4d937ed6-8f69-4b36-b1fc-696ea7be8665","https://www.maxpreps.com/ct/football/game/norwalk-vs-west-haven/9-18-2026/?c=4d937ed6-8f69-4b36-b1fc-696ea7be8665","/football/ct/843?9/18/2026","West Haven","Blue Devils","https://www.maxpreps.com/ct/norwalk/football/","https://www.maxpreps.com/ct/west-haven/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Ff%2F2%2F3f2f8abc-bb57-4652-a498-5a24ff86e33d.gif%3Fversion%3D637716028200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F4%2F1%2F941fe4d7-ecd4-4bc7-b67e-42de0d1abd30.gif%3Fversion%3D637077082200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"Stafford/Somers/East Windsor vs Prince RVT",Football,"Connecticut",9/18/2026,3:30pm,"The Stafford/Somers/East Windsor varsity football team has an away non-conference game @  Prince RVT (Hartford, CT) on Friday, September 18 @ 3:30p.","/ct/football/game/prince-rvt-hartford-vs-stafford-somers-east-windsor-stafford-springs/9-18-2026/?c=4420e079-3e9f-4353-a018-4b84b08e6225","https://www.maxpreps.com/ct/football/game/prince-rvt-hartford-vs-stafford-somers-east-windsor-stafford-springs/9-18-2026/?c=4420e079-3e9f-4353-a018-4b84b08e6225","/football/ct/1ab9?9/18/2026","Stafford/Somers/East Windsor","Bulldogs","https://www.maxpreps.com/ct/prince-rvt-hartford/football/","https://www.maxpreps.com/ct/stafford-somers-east-windsor-stafford-springs/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fb%2Fc%2F7bcb401a-1a2c-476c-b7e3-7694f7c44abf.gif%3Fversion%3D635804911800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2Fd%2F7%2Fbd7f7c37-415f-4634-ae82-944f7c9059ba.gif%3Fversion%3D635320326000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"Wilby vs Bridgeport Central",Football,"Connecticut",9/18/2026,5:30pm,"The Wilby varsity football team has an away non-conference game @  Bridgeport Central (Bridgeport, CT) on Friday, September 18 @ 5:30p.","/ct/football/game/bridgeport-central-vs-wilby-waterbury/9-18-2026/?c=0c6f069e-2583-4d3d-b8de-60ded8ba0345","https://www.maxpreps.com/ct/football/game/bridgeport-central-vs-wilby-waterbury/9-18-2026/?c=0c6f069e-2583-4d3d-b8de-60ded8ba0345","/football/ct/ec4?9/18/2026","Wilby","Wildcats","https://www.maxpreps.com/ct/bridgeport-central/football/","https://www.maxpreps.com/ct/wilby-waterbury/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F4%2Fa%2F84a386af-7ced-4abf-bdb1-c3fab5f19c07.gif%3Fversion%3D637667022000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F4%2F7%2F04784ae6-db21-49b8-8f89-7b1b10ba63ac.gif%3Fversion%3D637667022000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"Farmington vs Warde",Football,"Connecticut",9/18/2026,6:00pm,"The Farmington varsity football team has an away non-conference game @  Warde (Fairfield, CT) on Friday, September 18 @ 6p.","/ct/football/game/farmington-vs-warde-fairfield/9-18-2026/?c=fddc62d7-9c35-4c83-8fff-208289bca0a1","https://www.maxpreps.com/ct/football/game/farmington-vs-warde-fairfield/9-18-2026/?c=fddc62d7-9c35-4c83-8fff-208289bca0a1","/football/ct/b5e?9/18/2026","Farmington","River Hawks","https://www.maxpreps.com/ct/farmington/football/","https://www.maxpreps.com/ct/warde-fairfield/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F9%2Fd%2F29d80f97-d8eb-4c10-a1df-f29009e1278e.gif%3Fversion%3D637626286200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F9%2F8%2Fd986ec8d-0952-4a65-a690-8cd8afb15bde.gif%3Fversion%3D633650471400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"Vinal RVT/Goodwin RVT/Whitney RVT vs RHAM",Football,"Connecticut",9/18/2026,6:00pm,"The Vinal RVT/Goodwin RVT/Whitney RVT varsity football team has an away non-conference game @  RHAM (Hebron, CT) on Friday, September 18 @ 6p.","/ct/football/game/rham-hebron-vs-vinal-rvt-goodwin-rvt-whitney-rvt-middletown/9-18-2026/?c=b8ac45f8-13d2-486e-af2f-44e0c71b149a","https://www.maxpreps.com/ct/football/game/rham-hebron-vs-vinal-rvt-goodwin-rvt-whitney-rvt-middletown/9-18-2026/?c=b8ac45f8-13d2-486e-af2f-44e0c71b149a","/football/ct/1708?9/18/2026","Vinal RVT/Goodwin RVT/Whitney RVT","Titans","https://www.maxpreps.com/ct/rham-hebron/football/","https://www.maxpreps.com/ct/vinal-rvt-goodwin-rvt-whitney-rvt-middletown/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F9%2F4%2F594d758e-0116-491b-b53e-935258aa82eb.gif%3Fversion%3D638526619718456620%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F9%2F1%2Fa915e1cd-0daa-41cb-adb8-a1bf538ee56d.gif%3Fversion%3D637685098800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"McMahon vs Manchester",Football,"Connecticut",9/18/2026,6:00pm,"The McMahon varsity football team has an away conference game @  Manchester (CT) on Friday, September 18 @ 6p.","/ct/football/game/manchester-vs-mcmahon-norwalk/9-18-2026/?c=de2b5127-9ed1-407d-8ea6-1595f8061048","https://www.maxpreps.com/ct/football/game/manchester-vs-mcmahon-norwalk/9-18-2026/?c=de2b5127-9ed1-407d-8ea6-1595f8061048","/football/ct/b7b?9/18/2026","McMahon","Senators","https://www.maxpreps.com/ct/manchester/football/","https://www.maxpreps.com/ct/mcmahon-norwalk/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F3%2Fe%2F83ea2351-dd9f-448e-8481-31083179186c.gif%3Fversion%3D637667019600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Ff%2Fe%2Fdfe42d82-995a-41e6-887e-3dcd102bf527.gif%3Fversion%3D637278954000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
9,"Enfield vs Ludlowe",Football,"Connecticut",9/18/2026,6:00pm,"The Enfield varsity football team has an away non-conference game @  Ludlowe (Fairfield, CT) on Friday, September 18 @ 6p.","/ct/football/game/enfield-vs-ludlowe-fairfield/9-18-2026/?c=723a4b52-6e44-449f-ba89-676f5baa56e4","https://www.maxpreps.com/ct/football/game/enfield-vs-ludlowe-fairfield/9-18-2026/?c=723a4b52-6e44-449f-ba89-676f5baa56e4","/football/ct/ae9?9/18/2026","Enfield","Eagles","https://www.maxpreps.com/ct/enfield/football/","https://www.maxpreps.com/ct/ludlowe-fairfield/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F4%2F6%2F8466fafb-6e33-4d8b-9c36-2fa74328fd67.gif%3Fversion%3D636228389400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F1%2F0%2F7102af69-f4e6-47be-bff5-08993e823afe.gif%3Fversion%3D635145613800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
10,"Bullard-Havens vs Montville",Football,"Connecticut",9/18/2026,6:00pm,"The Bullard-Havens varsity football team has an away non-conference game @  Montville (Oakdale, CT) on Friday, September 18 @ 6p.","/ct/football/game/bullard-havens-bridgeport-vs-montville-oakdale/9-18-2026/?c=672acd67-933c-4a73-8e8f-4b16ab3ee82c","https://www.maxpreps.com/ct/football/game/bullard-havens-bridgeport-vs-montville-oakdale/9-18-2026/?c=672acd67-933c-4a73-8e8f-4b16ab3ee82c","/football/ct/1212?9/18/2026","Bullard-Havens","Tigers","https://www.maxpreps.com/ct/bullard-havens-bridgeport/football/","https://www.maxpreps.com/ct/montville-oakdale/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Fb%2F2%2F3b2e2894-4a45-4b6d-808a-1757d127ff4f.gif%3Fversion%3D637719594600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fc%2F9%2F4c971fcc-83ac-4525-8ed2-f6bf44d36f94.gif%3Fversion%3D638210478600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
