1,"Flint Creek co-op [Drummond/Granite] vs Manhattan Christian",Football,"Montana",9/12/2026,1:00pm,"The Flint Creek co-op [Drummond/Granite] varsity football team has an away conference game @  Manhattan Christian (Manhattan, MT) today @ 1p.","/mt/football/game/flint-creek-co-op-drummond-granite-vs-manhattan-christian/9-12-2026/?c=de2cd0a7-cab1-4835-b909-c0e6e118f7bc","https://www.maxpreps.com/mt/football/game/flint-creek-co-op-drummond-granite-vs-manhattan-christian/9-12-2026/?c=de2cd0a7-cab1-4835-b909-c0e6e118f7bc","/football/mt/15fa?9/12/2026","Flint Creek co-op [Drummond/Granite]","Titans","https://www.maxpreps.com/mt/flint-creek-co-op-drummond-granite/football/","https://www.maxpreps.com/mt/manhattan-christian/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F5%2F9%2F159c92c5-e8f2-4ba3-aaf7-b882c5a614e6.gif%3Fversion%3D636452173800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F8%2F9%2F6891d17d-81c4-4a6c-9acc-2c3f2c42d9ee.gif%3Fversion%3D637115002200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
41,"Chestatee vs Commerce",Football,"Georgia",9/18/2026,7:30pm,"The Chestatee varsity football team has an away non-conference game @  Commerce (GA) on Friday, September 18 @ 7:30p.","/ga/football/game/chestatee-gainesville-vs-commerce/9-18-2026/?c=30e9917b-8cbe-4fbb-849b-43e7377eeb24","https://www.maxpreps.com/ga/football/game/chestatee-gainesville-vs-commerce/9-18-2026/?c=30e9917b-8cbe-4fbb-849b-43e7377eeb24","/football/ga/d04?9/18/2026","Chestatee","War Eagles","https://www.maxpreps.com/ga/chestatee-gainesville/football/","https://www.maxpreps.com/ga/commerce/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F0%2F8%2F90859826-449c-471c-8a0f-a4e0216f6812.gif%3Fversion%3D639127906947679850%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Ff%2F7%2F6f77a858-d9fe-4ab4-aaf4-0e4b884b5679.gif%3Fversion%3D639179251195372520%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
42,"Baldwin vs Howard",Football,"Georgia",9/18/2026,7:30pm,"The Baldwin varsity football team has an away conference game @  Howard (Macon, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/baldwin-milledgeville-vs-howard-macon/9-18-2026/?c=8bc8f5cb-6eef-4b43-98b5-491cc4379ef3","https://www.maxpreps.com/ga/football/game/baldwin-milledgeville-vs-howard-macon/9-18-2026/?c=8bc8f5cb-6eef-4b43-98b5-491cc4379ef3","/football/ga/e70?9/18/2026","Baldwin","Braves","https://www.maxpreps.com/ga/baldwin-milledgeville/football/","https://www.maxpreps.com/ga/howard-macon/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fe%2F9%2F4e970278-e8a3-4275-9de5-261971629eaf.gif%3Fversion%3D638779741620762120%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F5%2F4%2F554ba6ba-e5f2-41f3-809b-2de0c9a182a0.gif%3Fversion%3D639207415001109460%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
43,"Clinch County vs Bacon County",Football,"Georgia",9/18/2026,7:30pm,"The Clinch County varsity football team has an away non-conference game @  Bacon County (Alma, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/bacon-county-alma-vs-clinch-county-homerville/9-18-2026/?c=a7c96987-3281-4e75-b12c-f799e487f128","https://www.maxpreps.com/ga/football/game/bacon-county-alma-vs-clinch-county-homerville/9-18-2026/?c=a7c96987-3281-4e75-b12c-f799e487f128","/football/ga/1181?9/18/2026","Clinch County","Panthers","https://www.maxpreps.com/ga/bacon-county-alma/football/","https://www.maxpreps.com/ga/clinch-county-homerville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F0%2Fa%2F40a309d3-3c78-4d09-9bfd-9cdcee7a2dad.gif%3Fversion%3D639207373489869980%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F0%2F1%2Fd011cde4-02c3-4da3-951d-5776eff55b36.gif%3Fversion%3D639183594807481780%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
44,"Tattnall County vs Appling County",Football,"Georgia",9/18/2026,7:30pm,"The Tattnall County varsity football team has an away conference game @  Appling County (Baxley, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/appling-county-baxley-vs-tattnall-county-reidsville/9-18-2026/?c=22cee5e0-ccc0-4eb0-bb70-d6182e8d5c41","https://www.maxpreps.com/ga/football/game/appling-county-baxley-vs-tattnall-county-reidsville/9-18-2026/?c=22cee5e0-ccc0-4eb0-bb70-d6182e8d5c41","/football/ga/1442?9/18/2026","Tattnall County","Warriors","https://www.maxpreps.com/ga/appling-county-baxley/football/","https://www.maxpreps.com/ga/tattnall-county-reidsville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2Fc%2Fd%2F9cdb757e-2464-43cc-ae91-f58cc2499bb2.gif%3Fversion%3D636694498200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Ff%2F1%2F3f1112cd-2c40-4782-aa54-24e34423a0c1.gif%3Fversion%3D639127247812154460%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
45,"Berrien vs Irwin County",Football,"Georgia",9/18/2026,7:30pm,"The Berrien varsity football team has an away non-conference game @  Irwin County (Ocilla, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/berrien-nashville-vs-irwin-county-ocilla/9-18-2026/?c=d6939f68-6571-4cac-8541-3c716c7cf116","https://www.maxpreps.com/ga/football/game/berrien-nashville-vs-irwin-county-ocilla/9-18-2026/?c=d6939f68-6571-4cac-8541-3c716c7cf116","/football/ga/fb6?9/18/2026","Berrien","Rebels","https://www.maxpreps.com/ga/berrien-nashville/football/","https://www.maxpreps.com/ga/irwin-county-ocilla/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fb%2F9%2F4b9a4fe8-f341-4c89-abe6-29d1e33cebae.gif%3Fversion%3D639180161685392210%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Ff%2Fc%2Fdfc70e97-1ffd-438a-b424-08fea6ffeffb.gif%3Fversion%3D639134131145845130%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
46,"Griffin Christian vs Baker County",Football,"Georgia",9/18/2026,7:30pm,"The Griffin Christian varsity football team has an away non-conference game @  Baker County (Newton, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/baker-county-newton-vs-griffin-christian/9-18-2026/?c=75d1b12a-0dc0-4873-83b4-cc356eb1079c","https://www.maxpreps.com/ga/football/game/baker-county-newton-vs-griffin-christian/9-18-2026/?c=75d1b12a-0dc0-4873-83b4-cc356eb1079c","/football/ga/fb6?9/18/2026","Griffin Christian","Titans","https://www.maxpreps.com/ga/baker-county-newton/football/","https://www.maxpreps.com/ga/griffin-christian/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F5%2F9%2F55974409-3d40-4f1a-85f9-dd39bb9c80b8.gif%3Fversion%3D639177353740672750%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F8%2F8%2Fb88b3ae2-d823-4cd2-aa09-7649b85dbbff.gif%3Fversion%3D639180161709963800%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
47,"Georgia School for Innovation &amp; Classics vs Peachtree Academy",Football,"Georgia",9/18/2026,7:30pm,"The Georgia School for Innovation &amp; Classics varsity football team has an away non-conference game @  Peachtree Academy (Covington, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/georgia-school-for-innovation-and-classics-hephzibah-vs-peachtree-academy-covington/9-18-2026/?c=2786c59c-62f4-4abe-a09e-f5a656c7f3ae","https://www.maxpreps.com/ga/football/game/georgia-school-for-innovation-and-classics-hephzibah-vs-peachtree-academy-covington/9-18-2026/?c=2786c59c-62f4-4abe-a09e-f5a656c7f3ae","/football/ga/2034?9/18/2026","Georgia School for Innovation &amp; Classics","Patriots","https://www.maxpreps.com/ga/georgia-school-for-innovation-and-classics-hephzibah/football/","https://www.maxpreps.com/ga/peachtree-academy-covington/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Fb%2F3%2F7b3e9be9-f2ed-41d4-894c-a48a03551ce4.gif%3Fversion%3D637866484800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F4%2F2%2F542e4672-5123-4fc6-bdb2-b2e7d94d3063.gif%3Fversion%3D639127906972069560%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
48,"Evans vs Jenkins",Football,"Georgia",9/18/2026,7:30pm,"The Evans varsity football team has an away conference game @  Jenkins (Savannah, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/evans-vs-jenkins-savannah/9-18-2026/?c=7441bafc-ee78-4bee-9aff-0f17619112ad","https://www.maxpreps.com/ga/football/game/evans-vs-jenkins-savannah/9-18-2026/?c=7441bafc-ee78-4bee-9aff-0f17619112ad","/football/ga/9cf?9/18/2026","Evans","Knights","https://www.maxpreps.com/ga/evans/football/","https://www.maxpreps.com/ga/jenkins-savannah/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F0%2Ff%2F40fe0c22-b4b2-4861-beb2-9d40b658f883.gif%3Fversion%3D637170920400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2Fe%2Fe%2F9ee5c536-341a-4f7e-971c-6bf03eafa77d.gif%3Fversion%3D638651944221198650%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
49,"Bulloch Academy vs Robert Toombs Christian Academy",Football,"Georgia",9/18/2026,7:30pm,"The Bulloch Academy varsity football team has an away non-conference game @  Robert Toombs Christian Academy (Lyons, GA) on Friday, September 18 @ 7:30p.","/ga/football/game/bulloch-academy-statesboro-vs-robert-toombs-christian-academy-lyons/9-18-2026/?c=2d8a3a5d-9f1d-4c42-ba1f-1891e22c2bce","https://www.maxpreps.com/ga/football/game/bulloch-academy-statesboro-vs-robert-toombs-christian-academy-lyons/9-18-2026/?c=2d8a3a5d-9f1d-4c42-ba1f-1891e22c2bce","/football/ga/1a44?9/18/2026","Bulloch Academy","Gators","https://www.maxpreps.com/ga/bulloch-academy-statesboro/football/","https://www.maxpreps.com/ga/robert-toombs-christian-academy-lyons/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fc%2F6%2F6c6df1f2-7956-4e0e-8b26-6c347ca6bd9f.gif%3Fversion%3D638620981694099970%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F5%2Fb%2F55bd94b9-86da-470c-b844-fedbeec7514d.gif%3Fversion%3D639180967310897520%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
