1,"Xaverian Brothers vs Central",Football,"Massachusetts",9/25/2026,7:00pm,"The Xaverian Brothers varsity football team has an away non-conference game @  Central (Springfield, MA) on Friday, September 25 @ 7p.","/ma/football/game/central-springfield-vs-xaverian-brothers-westwood/9-25-2026/?c=02c52d9d-6b61-44c2-84b4-073780e8ddab","https://www.maxpreps.com/ma/football/game/central-springfield-vs-xaverian-brothers-westwood/9-25-2026/?c=02c52d9d-6b61-44c2-84b4-073780e8ddab","/football/ma/138d?9/25/2026","Xaverian Brothers","Hawks","https://www.maxpreps.com/ma/central-springfield/football/","https://www.maxpreps.com/ma/xaverian-brothers-westwood/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F6%2F5%2F565e9c50-d41d-4a70-8033-2ff61c4646a2.gif%3Fversion%3D636745007400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F7%2Fb%2Fe7b10e55-7fce-46c7-b82d-26717c00d19d.gif%3Fversion%3D635991768000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"Viera vs Catholic Memorial",Football,"Massachusetts",9/25/2026,6:00pm,"The Viera varsity football team has an away non-conference game @  Catholic Memorial (West Roxbury, MA) on Friday, September 25 @ 6p.","/inter-state/football/game/catholic-memorial-west-roxbury-ma-vs-viera-fl/9-25-2026/?c=ae8a7e21-5d89-4ae4-8f5f-1ca6f7be5762","https://www.maxpreps.com/inter-state/football/game/catholic-memorial-west-roxbury-ma-vs-viera-fl/9-25-2026/?c=ae8a7e21-5d89-4ae4-8f5f-1ca6f7be5762","/football/ma/1156?9/25/2026","Viera","Hawks","https://www.maxpreps.com/ma/catholic-memorial-west-roxbury-ma/football/","https://www.maxpreps.com/ma/viera-fl/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F1%2F1%2Fe1163324-091d-42f1-9394-35b45904eac9.gif%3Fversion%3D639069274943740940%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2Ff%2Fc%2F9fc70915-1f57-4fc3-87dd-3ed3611acb40.gif%3Fversion%3D638646692573093780%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"St. John&#x27;s Prep vs Needham",Football,"Massachusetts",9/25/2026,6:00pm,"The St. John&#x27;s Prep varsity football team has an away non-conference game @  Needham (MA) on Friday, September 25 @ 6p.","/ma/football/game/needham-vs-st-johns-prep-danvers/9-25-2026/?c=aff47366-c406-45d3-bce9-8087c684293e","https://www.maxpreps.com/ma/football/game/needham-vs-st-johns-prep-danvers/9-25-2026/?c=aff47366-c406-45d3-bce9-8087c684293e","/football/ma/c4f?9/25/2026","St. John&#x27;s Prep","Eagles","https://www.maxpreps.com/ma/needham/football/","https://www.maxpreps.com/ma/st-johns-prep-danvers/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F0%2Fd%2Fb0d953dd-a93e-41e8-befc-0730c2498364.gif%3Fversion%3D634836993600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F2%2Fd%2Fb2de80b3-8b2f-4e53-b55c-a8d8cbee7614.gif%3Fversion%3D636251679600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"Tech Boston Academy vs O&#x27;Bryant",Football,"Massachusetts",9/25/2026,4:00pm,"The Tech Boston Academy varsity football team has an away conference game @  O&#x27;Bryant (Roxbury, MA) on Friday, September 25 @ 4p.","/ma/football/game/obryant-roxbury-vs-tech-boston-academy-dorchester/9-25-2026/?c=2b708db1-2ed4-44a5-bc42-bdbc8166a663","https://www.maxpreps.com/ma/football/game/obryant-roxbury-vs-tech-boston-academy-dorchester/9-25-2026/?c=2b708db1-2ed4-44a5-bc42-bdbc8166a663","/football/ma/1351?9/25/2026","Tech Boston Academy","O&#x27;Bryant","https://www.maxpreps.com/ma/obryant-roxbury/football/","https://www.maxpreps.com/ma/tech-boston-academy-dorchester/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Ff%2F2%2F8f213dd7-6e72-4ca6-a63f-2632d068a6d0.gif%3Fversion%3D634228326000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Ff%2F2%2F8f213dd7-6e72-4ca6-a63f-2632d068a6d0.gif%3Fversion%3D634228326000000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"Shepherd Hill Regional vs Doherty Memorial",Football,"Massachusetts",9/25/2026,4:30pm,"The Shepherd Hill Regional varsity football team has an away non-conference game @  Doherty Memorial (Worcester, MA) on Friday, September 25 @ 4:30p.","/ma/football/game/doherty-memorial-worcester-vs-shepherd-hill-regional-dudley/9-25-2026/?c=a35dbe1c-0179-43b3-8353-621625e32973","https://www.maxpreps.com/ma/football/game/doherty-memorial-worcester-vs-shepherd-hill-regional-dudley/9-25-2026/?c=a35dbe1c-0179-43b3-8353-621625e32973","/football/ma/172b?9/25/2026","Shepherd Hill Regional","Rams","https://www.maxpreps.com/ma/doherty-memorial-worcester/football/","https://www.maxpreps.com/ma/shepherd-hill-regional-dudley/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fc%2Fd%2Facdf28e1-05f8-4a3b-8969-a783ca851d4c.gif%3Fversion%3D634315390800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F9%2F9%2Fb995c068-2380-4b9d-8e86-544176325140.gif%3Fversion%3D637066515600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"Southeastern RVT vs Blue Hills RVT",Football,"Massachusetts",9/25/2026,4:30pm,"The Southeastern RVT varsity football team has an away conference game @  Blue Hills RVT (Canton, MA) on Friday, September 25 @ 4:30p.","/ma/football/game/blue-hills-rvt-canton-vs-southeastern-rvt-south-easton/9-25-2026/?c=a42571fe-68da-4a8a-b317-8448760aa5a8","https://www.maxpreps.com/ma/football/game/blue-hills-rvt-canton-vs-southeastern-rvt-south-easton/9-25-2026/?c=a42571fe-68da-4a8a-b317-8448760aa5a8","/football/ma/1532?9/25/2026","Southeastern RVT","Hawks","https://www.maxpreps.com/ma/blue-hills-rvt-canton/football/","https://www.maxpreps.com/ma/southeastern-rvt-south-easton/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F6%2F1%2F461ab936-b096-423b-89ff-20d9d89ea5e8.gif%3Fversion%3D636125647800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F6%2F2%2Fe62a7df4-9855-4bc3-893e-da2a15ae789b.gif%3Fversion%3D635911299600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"Beverly vs Lynn Classical",Football,"Massachusetts",9/25/2026,5:00pm,"The Beverly varsity football team has an away non-conference game @  Lynn Classical (Lynn, MA) on Friday, September 25 @ 5p.","/ma/football/game/beverly-vs-lynn-classical/9-25-2026/?c=7018ef63-6dcf-408c-a33f-18f3e9edf870","https://www.maxpreps.com/ma/football/game/beverly-vs-lynn-classical/9-25-2026/?c=7018ef63-6dcf-408c-a33f-18f3e9edf870","/football/ma/9d9?9/25/2026","Beverly","Panthers","https://www.maxpreps.com/ma/beverly/football/","https://www.maxpreps.com/ma/lynn-classical/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F0%2F9%2F809c1da1-d5b8-42b6-a412-2919de45a657.gif%3Fversion%3D636075463200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F4%2Fb%2Fe4b237ef-6cf2-4270-af65-61040deab25d.gif%3Fversion%3D636446163000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"Abby Kelley Foster vs Bartlett",Football,"Massachusetts",9/25/2026,6:00pm,"The Abby Kelley Foster varsity football team has an away non-conference game @  Bartlett (Webster, MA) on Friday, September 25 @ 6p.","/ma/football/game/abby-kelley-foster-worcester-vs-bartlett-webster/9-25-2026/?c=b69b6dc7-effe-4a06-ab80-61291d90022f","https://www.maxpreps.com/ma/football/game/abby-kelley-foster-worcester-vs-bartlett-webster/9-25-2026/?c=b69b6dc7-effe-4a06-ab80-61291d90022f","/football/ma/12ea?9/25/2026","Abby Kelley Foster","Bears","https://www.maxpreps.com/ma/abby-kelley-foster-worcester/football/","https://www.maxpreps.com/ma/bartlett-webster/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fa%2Fb%2Fdabf3392-5b85-4613-a820-a4950604d105.gif%3Fversion%3D637066541400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F4%2Fc%2F64ced398-85dc-4a03-a03d-33123e8523e1.gif%3Fversion%3D635819591400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
9,"Norton vs Greater Lawrence Tech",Football,"Massachusetts",9/25/2026,6:00pm,"The Norton varsity football team has an away non-conference game @  Greater Lawrence Tech (Andover, MA) on Friday, September 25 @ 6p.","/ma/football/game/greater-lawrence-tech-andover-vs-norton/9-25-2026/?c=5de7bd78-b6e0-4115-ad57-c5d1316a4c39","https://www.maxpreps.com/ma/football/game/greater-lawrence-tech-andover-vs-norton/9-25-2026/?c=5de7bd78-b6e0-4115-ad57-c5d1316a4c39","/football/ma/f38?9/25/2026","Norton","Lancers","https://www.maxpreps.com/ma/greater-lawrence-tech-andover/football/","https://www.maxpreps.com/ma/norton/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2Fa%2Fd%2F2adbca81-84a5-4654-a8e2-6a4f52109b9d.gif%3Fversion%3D635328277800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F0%2F1%2Fd017e13c-8f57-4ceb-8a13-1ec8ed769835.gif%3Fversion%3D637066515600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
10,"Taconic vs North Quincy",Football,"Massachusetts",9/25/2026,6:00pm,"The Taconic varsity football team has an away non-conference game @  North Quincy (MA) on Friday, September 25 @ 6p.","/ma/football/game/north-quincy-vs-taconic-pittsfield/9-25-2026/?c=eedf69e3-ce0a-4543-b9e7-50d8bb8bb24e","https://www.maxpreps.com/ma/football/game/north-quincy-vs-taconic-pittsfield/9-25-2026/?c=eedf69e3-ce0a-4543-b9e7-50d8bb8bb24e","/football/ma/d7a?9/25/2026","Taconic","Thunder","https://www.maxpreps.com/ma/north-quincy/football/","https://www.maxpreps.com/ma/taconic-pittsfield/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Ff%2F0%2F4f0e4726-51b2-48b7-ac2b-ab7295854756.gif%3Fversion%3D638288031600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F1%2F2%2F312ab276-c4c8-44d6-aa97-62208015f127.gif%3Fversion%3D637661310600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
