1,"King/Drew vs St. Frances Academy",Football,"Maryland",9/25/2026,7:00pm,"The King/Drew varsity football team has an away non-conference game @  St. Frances Academy (Baltimore, MD) on Friday, September 25 @ 7p.","/inter-state/football/game/king-drew-los-angeles-ca-vs-st-frances-academy-baltimore-md/9-25-2026/?c=d1e141f7-0d4d-4a07-b113-368d66ffd2d1","https://www.maxpreps.com/inter-state/football/game/king-drew-los-angeles-ca-vs-st-frances-academy-baltimore-md/9-25-2026/?c=d1e141f7-0d4d-4a07-b113-368d66ffd2d1","/football/md/1624?9/25/2026","King/Drew","Golden Eagles","https://www.maxpreps.com/md/king-drew-los-angeles-ca/football/","https://www.maxpreps.com/md/st-frances-academy-baltimore-md/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F4%2F7%2Fc4733592-6041-48cb-9b77-94ac325b445c.gif%3Fversion%3D635309165400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F1%2F7%2Fc1783fb0-c965-42a0-abe3-41fbe7641303.gif%3Fversion%3D637678140000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"DeMatha vs Riverdale Baptist",Football,"Maryland",9/25/2026,7:00pm,"The DeMatha varsity football team has an away non-conference game @  Riverdale Baptist (Upper Marlboro, MD) on Friday, September 25 @ 7p.","/md/football/game/dematha-hyattsville-vs-riverdale-baptist-rbs-upper-marlboro/9-25-2026/?c=592af09f-10a1-431b-91d3-801a5311bbe0","https://www.maxpreps.com/md/football/game/dematha-hyattsville-vs-riverdale-baptist-rbs-upper-marlboro/9-25-2026/?c=592af09f-10a1-431b-91d3-801a5311bbe0","/football/md/1737?9/25/2026","DeMatha","Stags","https://www.maxpreps.com/md/dematha-hyattsville/football/","https://www.maxpreps.com/md/riverdale-baptist-rbs-upper-marlboro/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F0%2Fd%2Ff0d82e69-dabf-44e0-a131-32581fac97dc.gif%3Fversion%3D636632875200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F9%2F7%2F397dffad-3fe4-48d7-aa4b-c9396e519d2b.gif%3Fversion%3D637697160600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"Gilman vs Archbishop Spalding",Football,"Maryland",9/25/2026,7:00pm,"The Gilman varsity football team has an away conference game @  Archbishop Spalding (Severn, MD) on Friday, September 25 @ 7p.","/md/football/game/archbishop-spalding-severn-vs-gilman-baltimore/9-25-2026/?c=6b0a7a52-ece5-4b8f-adec-890dc16b0985","https://www.maxpreps.com/md/football/game/archbishop-spalding-severn-vs-gilman-baltimore/9-25-2026/?c=6b0a7a52-ece5-4b8f-adec-890dc16b0985","/football/md/1209?9/25/2026","Gilman","Greyhounds","https://www.maxpreps.com/md/archbishop-spalding-severn/football/","https://www.maxpreps.com/md/gilman-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F7%2F3%2F373d37e4-9397-4b76-ac0b-b90bdcdaacde.gif%3Fversion%3D638361680400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2Fa%2F6%2Ffa67a40c-5261-46c2-9db1-631b71b38334.gif%3Fversion%3D635417913600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"Green Street Academy vs Douglass",Football,"Maryland",9/25/2026,3:45pm,"The Green Street Academy varsity football team has an away conference game @  Douglass (Baltimore, MD) on Friday, September 25 @ 3:45p.","/md/football/game/douglass-baltimore-vs-green-street-academy-baltimore/9-25-2026/?c=af3e39ff-cd5c-4899-8256-ff0016543486","https://www.maxpreps.com/md/football/game/douglass-baltimore-vs-green-street-academy-baltimore/9-25-2026/?c=af3e39ff-cd5c-4899-8256-ff0016543486","/football/md/1453?9/25/2026","Green Street Academy","Chargers","https://www.maxpreps.com/md/douglass-baltimore/football/","https://www.maxpreps.com/md/green-street-academy-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2Fb%2Fd%2F0bd315f4-7b93-4c02-a8ac-79815a831a7a.gif%3Fversion%3D636712747800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fa%2F5%2Fca5616e4-ac4a-41a7-b3fd-6bd29d2db885.gif%3Fversion%3D635054199600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"Edmondson-Westside vs Lewis",Football,"Maryland",9/25/2026,3:45pm,"The Edmondson-Westside varsity football team has an away non-conference game @  Lewis (Baltimore, MD) on Friday, September 25 @ 3:45p.","/md/football/game/edmondson-westside-baltimore-vs-lewis-baltimore/9-25-2026/?c=49db35f8-30d1-4ef7-9670-e67fcf91f3d8","https://www.maxpreps.com/md/football/game/edmondson-westside-baltimore-vs-lewis-baltimore/9-25-2026/?c=49db35f8-30d1-4ef7-9670-e67fcf91f3d8","/football/md/129b?9/25/2026","Edmondson-Westside","Red Storm","https://www.maxpreps.com/md/edmondson-westside-baltimore/football/","https://www.maxpreps.com/md/lewis-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F0%2F2%2F80228fe8-9d7b-4609-a8a1-f62fabc900bb.gif%3Fversion%3D634661071800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fe%2Fb%2Feeb83ab3-1938-42b2-9af4-d6188eb32cb7.gif%3Fversion%3D635915007000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"City College vs Forest Park",Football,"Maryland",9/25/2026,3:45pm,"The City College varsity football team has an away non-conference game @  Forest Park (Baltimore, MD) on Friday, September 25 @ 3:45p.","/md/football/game/city-college-baltimore-vs-forest-park-baltimore/9-25-2026/?c=6fdf4a7f-dbc9-4257-bb75-cc13b3a3881c","https://www.maxpreps.com/md/football/game/city-college-baltimore-vs-forest-park-baltimore/9-25-2026/?c=6fdf4a7f-dbc9-4257-bb75-cc13b3a3881c","/football/md/124a?9/25/2026","City College","Knights","https://www.maxpreps.com/md/city-college-baltimore/football/","https://www.maxpreps.com/md/forest-park-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Fb%2Fa%2F3bae4ed6-3e5b-4427-a1c2-d084dbd06ff2.gif%3Fversion%3D635767963800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2Fa%2F1%2F9a14aede-cb48-4c6a-ab7a-442cecbca3c8.gif%3Fversion%3D635846600400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"Digital Harbor vs Benjamin Franklin",Football,"Maryland",9/25/2026,3:45pm,"The Digital Harbor varsity football team has an away non-conference game @  Benjamin Franklin (Baltimore, MD) on Friday, September 25 @ 3:45p.","/md/football/game/benjamin-franklin-baltimore-vs-digital-harbor-baltimore/9-25-2026/?c=ebbcce12-6765-4e1d-9dd1-55bff083fdae","https://www.maxpreps.com/md/football/game/benjamin-franklin-baltimore-vs-digital-harbor-baltimore/9-25-2026/?c=ebbcce12-6765-4e1d-9dd1-55bff083fdae","/football/md/156a?9/25/2026","Digital Harbor","Rams","https://www.maxpreps.com/md/benjamin-franklin-baltimore/football/","https://www.maxpreps.com/md/digital-harbor-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2Fd%2F7%2Ffd739fa2-8568-414c-a1a9-2c3048bd835a.gif%3Fversion%3D636627408600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F8%2Fc%2Fc8c108ef-8691-414b-a172-c27604cf22ba.gif%3Fversion%3D636310669200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"Gonzaga vs Benedictine",Football,"Maryland",9/25/2026,4:00pm,"The Gonzaga varsity football team has an away non-conference game @  Benedictine (Richmond, VA) on Friday, September 25 @ 4p.","/inter-state/football/game/benedictine-richmond-va-vs-gonzaga-washington-dc/9-25-2026/?c=d70ec8de-1cb3-471c-9bea-dbde9e838533","https://www.maxpreps.com/inter-state/football/game/benedictine-richmond-va-vs-gonzaga-washington-dc/9-25-2026/?c=d70ec8de-1cb3-471c-9bea-dbde9e838533","/football/md/128c?9/25/2026","Gonzaga","Eagles","https://www.maxpreps.com/md/benedictine-richmond-va/football/","https://www.maxpreps.com/md/gonzaga-washington-dc/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fa%2F9%2F8a9e8582-5e9f-489a-a9c3-e63073d03fdf.gif%3Fversion%3D637776595800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F1%2F2%2F51280743-44d5-4d91-b7cd-25d109c78ef4.gif%3Fversion%3D635520099000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
9,"Boys Latin vs Annapolis Area Christian",Football,"Maryland",9/25/2026,4:00pm,"The Boys Latin varsity football team has an away conference game @  Annapolis Area Christian (Severn, MD) on Friday, September 25 @ 4p.","/md/football/game/annapolis-area-christian-severn-vs-boys-latin-baltimore/9-25-2026/?c=5876c122-cfc0-4104-a06f-69248cf11524","https://www.maxpreps.com/md/football/game/annapolis-area-christian-severn-vs-boys-latin-baltimore/9-25-2026/?c=5876c122-cfc0-4104-a06f-69248cf11524","/football/md/156e?9/25/2026","Boys Latin","Lakers","https://www.maxpreps.com/md/annapolis-area-christian-severn/football/","https://www.maxpreps.com/md/boys-latin-baltimore/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F0%2Fe%2F80ed222e-d796-42e4-85fc-ea5bffa26108.gif%3Fversion%3D638296663800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F9%2F7%2F097b4ba3-f515-43a5-b353-cddf010e955e.gif%3Fversion%3D634207525800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
10,"Our Lady of Mount Carmel vs St. Paul&#x27;s",Football,"Maryland",9/25/2026,4:00pm,"The Our Lady of Mount Carmel varsity football team has an away conference game @  St. Paul&#x27;s (Brooklandville, MD) on Friday, September 25 @ 4p.","/md/football/game/our-lady-of-mount-carmel-baltimore-vs-st-pauls-brooklandville/9-25-2026/?c=50c43d4d-8fc2-4adf-8bfa-a6bdeb5c7c0d","https://www.maxpreps.com/md/football/game/our-lady-of-mount-carmel-baltimore-vs-st-pauls-brooklandville/9-25-2026/?c=50c43d4d-8fc2-4adf-8bfa-a6bdeb5c7c0d","/football/md/179d?9/25/2026","Our Lady of Mount Carmel","Cougars","https://www.maxpreps.com/md/our-lady-of-mount-carmel-baltimore/football/","https://www.maxpreps.com/md/st-pauls-brooklandville/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F7%2Ff%2Fd7fb5f41-e97c-4496-b86e-1c08c628e031.gif%3Fversion%3D638709278293688860%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F7%2Ff%2Fd7fb5f41-e97c-4496-b86e-1c08c628e031.gif%3Fversion%3D638709278293688860%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
