1,"Christian Educational Consortium vs Highlands Latin",Boys Soccer,"Kentucky",9/25/2026,5:00pm,"The Christian Educational Consortium varsity soccer team has an away non-conference match @  Highlands Latin (Louisville, KY) on Friday, September 25 @ 5p.","/ky/soccer/match/christian-educational-consortium-louisville-vs-highlands-latin-louisville/9-25-2026/?c=afa7dfb4-40bf-4698-9fbf-7ef506a9c7ad","https://www.maxpreps.com/ky/soccer/match/christian-educational-consortium-louisville-vs-highlands-latin-louisville/9-25-2026/?c=afa7dfb4-40bf-4698-9fbf-7ef506a9c7ad","/soccer/ky/1d1f?9/25/2026","Christian Educational Consortium","Cougars","https://www.maxpreps.com/ky/christian-educational-consortium-louisville/soccer/","https://www.maxpreps.com/ky/highlands-latin-louisville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F4%2F1442137a-ea2c-47f5-aeff-aafb352d1292.gif%3Fversion%3D639068326674185030%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F4%2F1442137a-ea2c-47f5-aeff-aafb352d1292.gif%3Fversion%3D639068326674185030%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"North Bullitt vs Holy Cross",Boys Soccer,"Kentucky",9/25/2026,5:30pm,"The North Bullitt varsity soccer team has an away non-conference match @  Holy Cross (Covington, KY) on Friday, September 25 @ 5:30p.","/ky/soccer/match/holy-cross-covington-vs-north-bullitt-shepherdsville/9-25-2026/?c=c989f2fe-6c61-4510-85ae-f7e3f608a245","https://www.maxpreps.com/ky/soccer/match/holy-cross-covington-vs-north-bullitt-shepherdsville/9-25-2026/?c=c989f2fe-6c61-4510-85ae-f7e3f608a245","/soccer/ky/14c1?9/25/2026","North Bullitt","Eagles","https://www.maxpreps.com/ky/holy-cross-covington/soccer/","https://www.maxpreps.com/ky/north-bullitt-shepherdsville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fe%2F0%2Fee0cc661-cfb1-4d1e-a0d9-23d0d467b0f0.gif%3Fversion%3D635439578400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2Fd%2F1dd9dab1-ba59-4913-945e-5e0d549875a0.gif%3Fversion%3D634885176600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"North Bullitt vs Holy Cross",Boys Soccer,"Kentucky",9/25/2026,5:30pm,"The North Bullitt varsity soccer team has an away non-conference match @  Holy Cross (Louisville, KY) on Friday, September 25 @ 5:30p.","/ky/soccer/match/holy-cross-louisville-vs-north-bullitt-shepherdsville/9-25-2026/?c=dc3944ac-3cd4-4dfe-90de-abc95ac20549","https://www.maxpreps.com/ky/soccer/match/holy-cross-louisville-vs-north-bullitt-shepherdsville/9-25-2026/?c=dc3944ac-3cd4-4dfe-90de-abc95ac20549","/soccer/ky/1532?9/25/2026","North Bullitt","Eagles","https://www.maxpreps.com/ky/holy-cross-louisville/soccer/","https://www.maxpreps.com/ky/north-bullitt-shepherdsville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fe%2F0%2Fee0cc661-cfb1-4d1e-a0d9-23d0d467b0f0.gif%3Fversion%3D635439578400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fb%2Fa%2F6baef3e1-2b28-4688-aade-29d87994015e.gif%3Fversion%3D638670760212626940%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"Paris vs Menifee County",Boys Soccer,"Kentucky",9/25/2026,6:00pm,"The Paris varsity soccer team has an away non-conference match @  Menifee County (Frenchburg, KY) on Friday, September 25 @ 6p.","/ky/soccer/match/menifee-county-frenchburg-vs-paris/9-25-2026/?c=91a367fa-240e-4ec0-b665-184841ab7a59","https://www.maxpreps.com/ky/soccer/match/menifee-county-frenchburg-vs-paris/9-25-2026/?c=91a367fa-240e-4ec0-b665-184841ab7a59","/soccer/ky/d5d?9/25/2026","Paris","Greyhounds","https://www.maxpreps.com/ky/menifee-county-frenchburg/soccer/","https://www.maxpreps.com/ky/paris/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fd%2F9%2F8d9a4449-989b-40b9-9c13-4db29c178bcf.gif%3Fversion%3D637050010200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fd%2F9%2F8d9a4449-989b-40b9-9c13-4db29c178bcf.gif%3Fversion%3D637050010200000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"Notre Dame vs McCracken County",Boys Soccer,"Kentucky",9/25/2026,6:00pm,"The Notre Dame varsity soccer team has a neutral non-conference match vs.  McCracken County (Paducah, KY) on Friday, September 25 @ 6p.","/inter-state/soccer/match/mccracken-county-paducah-ky-vs-notre-dame-cape-girardeau-mo/9-25-2026/?c=54ab182b-6497-44ed-ae90-bdb7f59d9a57","https://www.maxpreps.com/inter-state/soccer/match/mccracken-county-paducah-ky-vs-notre-dame-cape-girardeau-mo/9-25-2026/?c=54ab182b-6497-44ed-ae90-bdb7f59d9a57","/soccer/ky/1669?9/25/2026","Notre Dame","Bulldogs","https://www.maxpreps.com/ky/mccracken-county-paducah-ky/soccer/","https://www.maxpreps.com/ky/notre-dame-cape-girardeau-mo/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Ff%2F3%2F7f3b76a5-5a71-4f1b-a1eb-4d9eaa908bd8.gif%3Fversion%3D638552475095596100%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Ff%2F1%2Fcf1ab0dd-2261-4947-ab1a-b5223bdd1fd2.gif%3Fversion%3D635030706000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"Portland Christian vs Frankfort Christian Academy",Boys Soccer,"Kentucky",9/25/2026,6:30pm,"The Portland Christian varsity soccer team has an away non-conference match @  Frankfort Christian Academy (Frankfort, KY) on Friday, September 25 @ 6:30p.","/ky/soccer/match/frankfort-christian-academy-vs-portland-christian-louisville/9-25-2026/?c=1eda7353-4f71-4808-b4af-c3fd95de876f","https://www.maxpreps.com/ky/soccer/match/frankfort-christian-academy-vs-portland-christian-louisville/9-25-2026/?c=1eda7353-4f71-4808-b4af-c3fd95de876f","/soccer/ky/17ce?9/25/2026","Portland Christian","Eagles","https://www.maxpreps.com/ky/frankfort-christian-academy/soccer/","https://www.maxpreps.com/ky/portland-christian-louisville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F3%2F1%2F6316395d-ae50-449a-be3d-249072ee396b.gif%3Fversion%3D636167860200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F3%2F1%2F6316395d-ae50-449a-be3d-249072ee396b.gif%3Fversion%3D636167860200000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"South Warren vs Evansville Memorial",Boys Soccer,"Kentucky",9/25/2026,8:00pm,"The South Warren varsity soccer team has a neutral non-conference match vs.  Evansville Memorial (Evansville, IN) on Friday, September 25 @ 8p.","/inter-state/soccer/match/evansville-memorial-in-vs-south-warren-bowling-green-ky/9-25-2026/?c=5001660b-f108-4638-96cb-af1fb47efd16","https://www.maxpreps.com/inter-state/soccer/match/evansville-memorial-in-vs-south-warren-bowling-green-ky/9-25-2026/?c=5001660b-f108-4638-96cb-af1fb47efd16","/soccer/ky/1560?9/25/2026","South Warren","Spartans","https://www.maxpreps.com/ky/evansville-memorial-in/soccer/","https://www.maxpreps.com/ky/south-warren-bowling-green-ky/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fa%2F9%2Fda96ba8a-59f1-4b5c-a106-8dd171956884.gif%3Fversion%3D637666806000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F4%2F0%2Fe404b49c-590c-452c-9344-18945ef9571a.gif%3Fversion%3D639152135180024770%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"Allen County-Scottsville vs Campbellsville",Boys Soccer,"Kentucky",9/25/2026,7:30pm,"The Allen County-Scottsville varsity soccer team has an away non-conference match @  Campbellsville (KY) on Friday, September 25 @ 7:30p.","/ky/soccer/match/allen-county-scottsville-vs-campbellsville/9-25-2026/?c=8d16828a-aa79-4d68-b69a-09f3b832551b","https://www.maxpreps.com/ky/soccer/match/allen-county-scottsville-vs-campbellsville/9-25-2026/?c=8d16828a-aa79-4d68-b69a-09f3b832551b","/soccer/ky/10d6?9/25/2026","Allen County-Scottsville","Patriots","https://www.maxpreps.com/ky/allen-county-scottsville/soccer/","https://www.maxpreps.com/ky/campbellsville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F3%2F9%2Ff3942982-71f8-4c65-9a8b-b119541a13d1.gif%3Fversion%3D636573030000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F3%2F9%2Ff3942982-71f8-4c65-9a8b-b119541a13d1.gif%3Fversion%3D636573030000000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
9,"Corry vs Fairview",Boys Soccer,"Kentucky",9/14/2026,6:00pm,"The Corry varsity soccer team has an away conference match @  Fairview (PA) today @ 6p.","/pa/soccer/match/corry-vs-fairview/9-14-2026/?c=9d9a024e-146c-4579-b354-d87e01137ddc","https://www.maxpreps.com/pa/soccer/match/corry-vs-fairview/9-14-2026/?c=9d9a024e-146c-4579-b354-d87e01137ddc","/soccer/ky/6cf?9/14/2026","Corry","Beavers","https://www.maxpreps.com/ky/corry/soccer/","https://www.maxpreps.com/ky/fairview/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F5%2F9%2Fb5978cb9-73d0-4e6c-9b0a-d61f8f001032.gif%3Fversion%3D637013730000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F5%2F5%2Fc55e25d8-abaa-4ab9-a42d-b5f15af1432c.gif%3Fversion%3D637696802400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
10,"Holland vs Spring Lake",Boys Soccer,"Kentucky",9/14/2026,6:45pm,"The Holland varsity soccer team has an away non-conference match @  Spring Lake (MI) today @ 6:45p.","/mi/soccer/match/holland-vs-spring-lake/9-14-2026/?c=8058511e-ddc2-4682-b220-83e1c03ed728","https://www.maxpreps.com/mi/soccer/match/holland-vs-spring-lake/9-14-2026/?c=8058511e-ddc2-4682-b220-83e1c03ed728","/soccer/ky/882?9/14/2026","Holland","Dutch","https://www.maxpreps.com/ky/holland/soccer/","https://www.maxpreps.com/ky/spring-lake/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F2%2F1%2F5213f33b-7c63-4787-b216-d744b2e37d2f.gif%3Fversion%3D636480639000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F6%2F7%2F06773db5-14ad-422e-b179-33b75de45100.gif%3Fversion%3D638778910498864900%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
