1,"Carmel Christian vs Christ School",Boys Soccer,"North Carolina",9/25/2026,6:30pm,"The Carmel Christian varsity soccer team has an away non-conference match @  Christ School (Arden, NC) on Friday, September 25 @ 6:30p.","/nc/soccer/match/carmel-christian-matthews-vs-christ-school-arden/9-25-2026/?c=453db192-100c-4372-8ce5-16d268944e8c","https://www.maxpreps.com/nc/soccer/match/carmel-christian-matthews-vs-christ-school-arden/9-25-2026/?c=453db192-100c-4372-8ce5-16d268944e8c","/soccer/nc/12bc?9/25/2026","Carmel Christian","Cougars","https://www.maxpreps.com/nc/carmel-christian-matthews/soccer/","https://www.maxpreps.com/nc/christ-school-arden/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F7%2F4%2F474f40b2-59d4-40ac-9f61-c38cde5a0fcd.gif%3Fversion%3D636245857200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F9%2F3%2F5939a639-4c82-4abb-800d-10db38f313d0.gif%3Fversion%3D639023997877933050%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"Coastal Christian vs John Paul II Catholic",Boys Soccer,"North Carolina",9/25/2026,5:30pm,"The Coastal Christian varsity soccer team has an away conference match @  John Paul II Catholic (Greenville, NC) on Friday, September 25 @ 5:30p.","/nc/soccer/match/coastal-christian-wilmington-vs-john-paul-ii-catholic-greenville/9-25-2026/?c=3c11b834-d841-40ca-acb6-4e13dae17c35","https://www.maxpreps.com/nc/soccer/match/coastal-christian-wilmington-vs-john-paul-ii-catholic-greenville/9-25-2026/?c=3c11b834-d841-40ca-acb6-4e13dae17c35","/soccer/nc/18ec?9/25/2026","Coastal Christian","Centurions","https://www.maxpreps.com/nc/coastal-christian-wilmington/soccer/","https://www.maxpreps.com/nc/john-paul-ii-catholic-greenville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F9%2F7%2F697ecac9-fe5d-434e-b126-e69b9f91156c.gif%3Fversion%3D638570396791624050%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F7%2Fd%2F97d40b29-8d27-4631-b9bb-b24b37bfe1a0.gif%3Fversion%3D637630807800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"Reagan vs Northwest Guilford",Boys Soccer,"North Carolina",9/25/2026,7:00pm,"The Reagan varsity soccer team has an away conference match @  Northwest Guilford (Greensboro, NC) on Friday, September 25 @ 7p.","/nc/soccer/match/northwest-guilford-greensboro-vs-ronald-reagan-raiders-pfafftown/9-25-2026/?c=a27ea50b-1032-46fc-b55b-fc53143d1c55","https://www.maxpreps.com/nc/soccer/match/northwest-guilford-greensboro-vs-ronald-reagan-raiders-pfafftown/9-25-2026/?c=a27ea50b-1032-46fc-b55b-fc53143d1c55","/soccer/nc/1947?9/25/2026","Reagan","Raiders","https://www.maxpreps.com/nc/northwest-guilford-greensboro/soccer/","https://www.maxpreps.com/nc/ronald-reagan-raiders-pfafftown/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fa%2Fb%2F8ab7f7a1-f11c-48ca-90ba-807a29f0ae2e.gif%3Fversion%3D638380063200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F6%2F3%2F063ae18b-ff42-4329-b0d8-cb1be30b9778.gif%3Fversion%3D638635581497738420%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"St. Thomas More Academy vs Faith Christian",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The St. Thomas More Academy varsity soccer team has an away non-conference match @  Faith Christian (Rocky Mount, NC) on Friday, September 25 @ 4p.","/nc/soccer/match/faith-christian-rocky-mount-vs-st-thomas-more-academy-raleigh/9-25-2026/?c=e544c5bc-079f-41e6-a138-8370c3ee567c","https://www.maxpreps.com/nc/soccer/match/faith-christian-rocky-mount-vs-st-thomas-more-academy-raleigh/9-25-2026/?c=e544c5bc-079f-41e6-a138-8370c3ee567c","/soccer/nc/1780?9/25/2026","St. Thomas More Academy","Chancellors","https://www.maxpreps.com/nc/faith-christian-rocky-mount/soccer/","https://www.maxpreps.com/nc/st-thomas-more-academy-raleigh/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Ff%2F5%2F8f514114-0ade-485d-8d0d-c7dd2a78aaf9.gif%3Fversion%3D635927773800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F0%2Fa%2F90a23c97-92fc-45fb-8acc-030d169a3a9b.gif%3Fversion%3D638055967200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"GRACE Christian vs Wake Christian Academy",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The GRACE Christian varsity soccer team has an away conference match @  Wake Christian Academy (Raleigh, NC) on Friday, September 25 @ 4p.","/nc/soccer/match/grace-christian-raleigh-vs-wake-christian-academy-raleigh/9-25-2026/?c=5b1631a9-72a4-4862-9b80-cf3d1e58621b","https://www.maxpreps.com/nc/soccer/match/grace-christian-raleigh-vs-wake-christian-academy-raleigh/9-25-2026/?c=5b1631a9-72a4-4862-9b80-cf3d1e58621b","/soccer/nc/15e4?9/25/2026","GRACE Christian","Eagles","https://www.maxpreps.com/nc/grace-christian-raleigh/soccer/","https://www.maxpreps.com/nc/wake-christian-academy-raleigh/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F1%2F2%2F7120b1a9-fd65-445d-87f6-db228ca30545.gif%3Fversion%3D637250443200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fd%2Fa%2F5da2600b-e987-402b-ac42-36ab7e084ccc.gif%3Fversion%3D635415418800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"Maranatha Christian vs Scotland Christian Academy",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The Maranatha Christian varsity soccer team has an away non-conference match @  Scotland Christian Academy (Laurinburg, NC) on Friday, September 25 @ 4p.","/inter-state/soccer/match/maranatha-christian-florence-sc-vs-scotland-christian-academy-laurinburg-nc/9-25-2026/?c=174a33f8-e8c6-4370-a649-a9f59429cde9","https://www.maxpreps.com/inter-state/soccer/match/maranatha-christian-florence-sc-vs-scotland-christian-academy-laurinburg-nc/9-25-2026/?c=174a33f8-e8c6-4370-a649-a9f59429cde9","/soccer/nc/1d11?9/25/2026","Maranatha Christian","Bulldogs","https://www.maxpreps.com/nc/maranatha-christian-florence-sc/soccer/","https://www.maxpreps.com/nc/scotland-christian-academy-laurinburg-nc/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F3%2F0%2F930c2951-ae6a-47be-8c42-77c554d6d34c.gif%3Fversion%3D638081028600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F3%2F0%2F930c2951-ae6a-47be-8c42-77c554d6d34c.gif%3Fversion%3D638081028600000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"Cape Fear Christian Academy vs Crossroads Christian",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The Cape Fear Christian Academy varsity soccer team has an away conference match @  Crossroads Christian (Henderson, NC) on Friday, September 25 @ 4p.","/nc/soccer/match/cape-fear-christian-academy-erwin-vs-crossroads-christian-henderson/9-25-2026/?c=a6ed1db4-33fd-4e78-ba0e-d8ae6f925794","https://www.maxpreps.com/nc/soccer/match/cape-fear-christian-academy-erwin-vs-crossroads-christian-henderson/9-25-2026/?c=a6ed1db4-33fd-4e78-ba0e-d8ae6f925794","/soccer/nc/1a14?9/25/2026","Cape Fear Christian Academy","Eagles","https://www.maxpreps.com/nc/cape-fear-christian-academy-erwin/soccer/","https://www.maxpreps.com/nc/crossroads-christian-henderson/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2Fb%2Fe%2F0be3435a-2acb-4b11-8086-ded98c60dfde.gif%3Fversion%3D636096129000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F7%2F9%2Fc790341c-d4f2-4c03-ad59-0863f7c3c006.gif%3Fversion%3D637387674600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"Suffolk Christian Academy vs New Life Academy",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The Suffolk Christian Academy varsity soccer team has an away conference match @  New Life Academy (Elizabeth City, NC) on Friday, September 25 @ 4p.","/inter-state/soccer/match/new-life-academy-elizabeth-city-nc-vs-suffolk-christian-academy-va/9-25-2026/?c=c6bd374a-caee-4765-a525-37c7b8d0e193","https://www.maxpreps.com/inter-state/soccer/match/new-life-academy-elizabeth-city-nc-vs-suffolk-christian-academy-va/9-25-2026/?c=c6bd374a-caee-4765-a525-37c7b8d0e193","/soccer/nc/1915?9/25/2026","Suffolk Christian Academy","Knights","https://www.maxpreps.com/nc/new-life-academy-elizabeth-city-nc/soccer/","https://www.maxpreps.com/nc/suffolk-christian-academy-va/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F9%2Ff%2Fb9f45220-9d7a-49d7-be8a-938d5c605e0c.gif%3Fversion%3D635009918400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F3%2F4%2Fa3419c00-0998-428d-b432-1aa55d19a8dd.gif%3Fversion%3D638155843800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
9,"Cornerstone Charter Academy vs River Mill Academy",Boys Soccer,"North Carolina",9/25/2026,4:00pm,"The Cornerstone Charter Academy varsity soccer team has an away non-conference match @  River Mill Academy (Graham, NC) on Friday, September 25 @ 4p.","/nc/soccer/match/cornerstone-charter-cardinals-greensboro-vs-river-mill-jaguars-graham/9-25-2026/?c=76274766-3506-485e-b354-160ffaefa19f","https://www.maxpreps.com/nc/soccer/match/cornerstone-charter-cardinals-greensboro-vs-river-mill-jaguars-graham/9-25-2026/?c=76274766-3506-485e-b354-160ffaefa19f","/soccer/nc/1b06?9/25/2026","Cornerstone Charter Academy","Cardinals","https://www.maxpreps.com/nc/cornerstone-charter-cardinals-greensboro/soccer/","https://www.maxpreps.com/nc/river-mill-jaguars-graham/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F3%2Fd%2F23df1b81-ea4b-4df5-bed6-249a215f02a8.gif%3Fversion%3D638379538200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F2%2F8%2F42891424-bd14-4f59-853e-97abc410a5d1.gif%3Fversion%3D636177415200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
10,"Coastal Brigade vs Terra Ceia Christian",Boys Soccer,"North Carolina",9/25/2026,4:30pm,"The Coastal Brigade varsity soccer team has an away non-conference match @  Terra Ceia Christian (Pantego, NC) on Friday, September 25 @ 4:30p.","/nc/soccer/match/coastal-brigade-newport-vs-terra-ceia-christian-pantego/9-25-2026/?c=341edcaa-ff30-44bf-ac7d-e9826e0a3a0f","https://www.maxpreps.com/nc/soccer/match/coastal-brigade-newport-vs-terra-ceia-christian-pantego/9-25-2026/?c=341edcaa-ff30-44bf-ac7d-e9826e0a3a0f","/soccer/nc/154b?9/25/2026","Coastal Brigade","BRIGADE MINUTEMAN","https://www.maxpreps.com/nc/coastal-brigade-newport/soccer/","https://www.maxpreps.com/nc/terra-ceia-christian-pantego/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Fimages%2Flogos%2Fmaxpreps-logo-white-2025.png","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Freact%2Fplay-on-logo.png","boy"
