41,"Gilboa-Conesville Central vs Windham-Ashland-Jewett",Boys Soccer,"New York",9/19/2026,12:00pm,"The Gilboa-Conesville Central varsity soccer team has an away non-conference match @  Windham-Ashland-Jewett (Windham, NY) on Saturday, September 19 @ 12p.","/ny/soccer/match/gilboa-conesville-central-vs-windham-ashland-jewett/9-19-2026/?c=9a2f0203-9012-4a6f-bb00-cb898defb8c1","https://www.maxpreps.com/ny/soccer/match/gilboa-conesville-central-vs-windham-ashland-jewett/9-19-2026/?c=9a2f0203-9012-4a6f-bb00-cb898defb8c1","/soccer/ny/13d8?9/19/2026","Gilboa-Conesville Central","Wildcats","https://www.maxpreps.com/ny/gilboa-conesville-central/boys-soccer/","https://www.maxpreps.com/ny/windham-ashland-jewett/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2Ff%2Fb%2F7fb96ec3-7dbf-45b4-aeea-709a382ccf38.gif%3Fversion%3D637162647600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2F1%2F1d17b6a1-eb39-4c7f-88ca-8b687bfb26b4.gif%3Fversion%3D637183063200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
42,"Roxbury Central vs Windham-Ashland-Jewett",Boys Soccer,"New York",9/19/2026,12:00pm,"The Roxbury Central varsity soccer team has an away tournament match @  Windham-Ashland-Jewett (Windham, NY) on Saturday, September 19 @ 12p.","/ny/soccer/match/roxbury-central-vs-windham-ashland-jewett/9-19-2026/?c=4d0aef7e-15af-46ec-ad84-d7024f33b441","https://www.maxpreps.com/ny/soccer/match/roxbury-central-vs-windham-ashland-jewett/9-19-2026/?c=4d0aef7e-15af-46ec-ad84-d7024f33b441","/soccer/ny/1024?9/19/2026","Roxbury Central","Rockets","https://www.maxpreps.com/ny/roxbury-central/boys-soccer/","https://www.maxpreps.com/ny/windham-ashland-jewett/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F8%2F0%2Fd80445ce-634b-4799-ba5d-02e912632b8b.gif%3Fversion%3D637179138000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2F1%2F1d17b6a1-eb39-4c7f-88ca-8b687bfb26b4.gif%3Fversion%3D637183063200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
43,"Worcester vs South Kortright Central",Boys Soccer,"New York",9/19/2026,12:00pm,"The Worcester varsity soccer team has an away non-conference match @  South Kortright Central (South Kortright, NY) on Saturday, September 19 @ 12p.","/ny/soccer/match/south-kortright-central-vs-worcester/9-19-2026/?c=e88c0baa-4d46-4482-bed4-73bcd906c58a","https://www.maxpreps.com/ny/soccer/match/south-kortright-central-vs-worcester/9-19-2026/?c=e88c0baa-4d46-4482-bed4-73bcd906c58a","/soccer/ny/e75?9/19/2026","Worcester","Wolverines","https://www.maxpreps.com/ny/south-kortright-central/boys-soccer/","https://www.maxpreps.com/ny/worcester/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F0%2F8%2F908642da-f53f-4bd9-9db2-a2e70d8f863c.gif%3Fversion%3D636479756400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fe%2F7%2F1e707370-9a58-4e67-b555-77d04e12d8f6.gif%3Fversion%3D637190800800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
44,"Groton vs Dryden",Boys Soccer,"New York",9/19/2026,12:00pm,"The Groton varsity soccer team has an away conference match @  Dryden (NY) on Saturday, September 19 @ 12p.","/ny/soccer/match/dryden-vs-groton/9-19-2026/?c=590f2a9b-d8de-4d8f-a680-3042b265c92f","https://www.maxpreps.com/ny/soccer/match/dryden-vs-groton/9-19-2026/?c=590f2a9b-d8de-4d8f-a680-3042b265c92f","/soccer/ny/662?9/19/2026","Groton","Red Hawks","https://www.maxpreps.com/ny/dryden/boys-soccer/","https://www.maxpreps.com/ny/groton/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fe%2Fc%2Fdec074d6-644f-4a91-aa1e-d02cad3dea8d.gif%3Fversion%3D638639771073755280%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F6%2F0%2Fd606ba94-885b-4961-a31a-27834bb5aaa9.gif%3Fversion%3D637672230000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
45,"Notre Dame vs Horseheads",Boys Soccer,"New York",9/19/2026,1:00pm,"The Notre Dame varsity soccer team has an away non-conference match @  Horseheads (NY) on Saturday, September 19 @ 1p.","/ny/soccer/match/horseheads-vs-notre-dame-elmira/9-19-2026/?c=f671fb05-8e9d-4884-9722-336661be8114","https://www.maxpreps.com/ny/soccer/match/horseheads-vs-notre-dame-elmira/9-19-2026/?c=f671fb05-8e9d-4884-9722-336661be8114","/soccer/ny/bfc?9/19/2026","Notre Dame","Crusaders","https://www.maxpreps.com/ny/horseheads/boys-soccer/","https://www.maxpreps.com/ny/notre-dame-elmira/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F0%2Ff%2F60fa5cf0-cd1f-4de6-9138-51bcb7d4c214.gif%3Fversion%3D637179128400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F1%2F8%2Fa1849d48-8ec8-4cf0-93d6-3fe1505e05a9.gif%3Fversion%3D638845428688135680%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
46,"Vestal vs Ithaca",Boys Soccer,"New York",9/19/2026,1:30pm,"The Vestal varsity soccer team has an away conference match @  Ithaca (NY) on Saturday, September 19 @ 1:30p.","/ny/soccer/match/ithaca-vs-vestal/9-19-2026/?c=ec2a54e4-2028-4d6e-865c-2cfbe8fdedd1","https://www.maxpreps.com/ny/soccer/match/ithaca-vs-vestal/9-19-2026/?c=ec2a54e4-2028-4d6e-865c-2cfbe8fdedd1","/soccer/ny/63c?9/19/2026","Vestal","Golden Bears","https://www.maxpreps.com/ny/ithaca/boys-soccer/","https://www.maxpreps.com/ny/vestal/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F1%2F3%2F113c180d-7c78-4200-a2cb-6bd3e0982a08.gif%3Fversion%3D638356449600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fa%2F9%2F5a9f6c3e-ce8b-414e-bdab-44413eb28043.gif%3Fversion%3D636450383400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
47,"Elmira vs Union-Endicott",Boys Soccer,"New York",9/19/2026,2:00pm,"The Elmira varsity soccer team has an away conference match @  Union-Endicott (Endicott, NY) on Saturday, September 19 @ 2p.","/ny/soccer/match/elmira-vs-union-endicott/9-19-2026/?c=e824d803-e216-4fba-9d24-e727d74e8da8","https://www.maxpreps.com/ny/soccer/match/elmira-vs-union-endicott/9-19-2026/?c=e824d803-e216-4fba-9d24-e727d74e8da8","/soccer/ny/96d?9/19/2026","Elmira","Express","https://www.maxpreps.com/ny/elmira/boys-soccer/","https://www.maxpreps.com/ny/union-endicott/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Fd%2F5%2Fdd533de3-6ead-4a2d-8f51-4e55e74f4849.gif%3Fversion%3D635618360400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F8%2F8%2F688d1e2b-425a-49e8-813a-1146c0fc3ea0.gif%3Fversion%3D637684969200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
48,"Afton vs Charlotte Valley",Boys Soccer,"New York",9/19/2026,4:00pm,"The Afton varsity soccer team has an away tournament match @  Charlotte Valley (Davenport, NY) on Saturday, September 19 @ 4p.","/ny/soccer/match/afton-vs-charlotte-valley-davenport/9-19-2026/?c=40b145a2-aea1-4d0c-90bd-de73c07f949e","https://www.maxpreps.com/ny/soccer/match/afton-vs-charlotte-valley-davenport/9-19-2026/?c=40b145a2-aea1-4d0c-90bd-de73c07f949e","/soccer/ny/ddb?9/19/2026","Afton","Knights","https://www.maxpreps.com/ny/afton/boys-soccer/","https://www.maxpreps.com/ny/charlotte-valley-davenport/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F1%2F4%2F9141a5e2-999e-4b07-9843-1faaf1a87979.gif%3Fversion%3D635983747200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fc%2F1%2F1c12b8d1-9544-4076-bfdc-780c6bb35680.gif%3Fversion%3D637172311800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
49,"Bainbridge-Guilford vs Charlotte Valley",Boys Soccer,"New York",9/19/2026,4:00pm,"The Bainbridge-Guilford varsity soccer team has an away non-conference match @  Charlotte Valley (Davenport, NY) on Saturday, September 19 @ 4p.","/ny/soccer/match/bainbridge-guilford-vs-charlotte-valley-davenport/9-19-2026/?c=81f9b61b-dfd0-46da-9db3-be37d96d436a","https://www.maxpreps.com/ny/soccer/match/bainbridge-guilford-vs-charlotte-valley-davenport/9-19-2026/?c=81f9b61b-dfd0-46da-9db3-be37d96d436a","/soccer/ny/1353?9/19/2026","Bainbridge-Guilford","Bobcats","https://www.maxpreps.com/ny/bainbridge-guilford/boys-soccer/","https://www.maxpreps.com/ny/charlotte-valley-davenport/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F5%2F5%2F055ebe11-90f6-49e0-ac61-1353a7150b41.gif%3Fversion%3D638378901000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fc%2F1%2F1c12b8d1-9544-4076-bfdc-780c6bb35680.gif%3Fversion%3D637172311800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
50,"Eastridge vs Newark",Boys Soccer,"New York",9/19/2026,11:00am,"The Eastridge varsity soccer team has an away non-conference match @  Newark (NY) on Saturday, September 19 @ 11a.","/ny/soccer/match/eastridge-rochester-vs-newark/9-19-2026/?c=23103bb2-a1ba-4ff7-bb3a-ab7958c4a7e1","https://www.maxpreps.com/ny/soccer/match/eastridge-rochester-vs-newark/9-19-2026/?c=23103bb2-a1ba-4ff7-bb3a-ab7958c4a7e1","/soccer/ny/b7f?9/19/2026","Eastridge","Lancers","https://www.maxpreps.com/ny/eastridge-rochester/boys-soccer/","https://www.maxpreps.com/ny/newark/boys-soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F5%2Fb%2F85b16cda-b77a-4db5-91da-406cb5cb8d28.gif%3Fversion%3D637329968400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fd%2Fa%2F8dafa532-4dc7-4099-a89c-7272a1d21ee7.gif%3Fversion%3D637866478200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
