1,"Mount Anthony vs Burr &amp; Burton",Boys Soccer,"Vermont",9/18/2026,5:00pm,"The Mount Anthony varsity soccer team has an away conference match @  Burr &amp; Burton (Manchester, VT) on Friday, September 18 @ 5p.","/vt/soccer/match/burr-and-burton-manchester-vs-mount-anthony-bennington/9-18-2026/?c=8c6dc41b-b0ea-42b2-b07c-8274fbe75e2e","https://www.maxpreps.com/vt/soccer/match/burr-and-burton-manchester-vs-mount-anthony-bennington/9-18-2026/?c=8c6dc41b-b0ea-42b2-b07c-8274fbe75e2e","/soccer/vt/153c?9/18/2026","Mount Anthony","Patriots","https://www.maxpreps.com/vt/burr-and-burton-manchester/soccer/","https://www.maxpreps.com/vt/mount-anthony-bennington/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F0%2F8%2F70858663-ee3d-4477-9382-84b7502b94f9.gif%3Fversion%3D637063816800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F2%2F1%2F2%2F2121b2e7-63eb-4368-bcfe-c2c88763e5e8.gif%3Fversion%3D638942090705093690%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
2,"Oxbow vs Paine Mountain",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Oxbow varsity soccer team has an away non-conference match @  Paine Mountain (Williamstown, VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/oxbow-bradford-vs-paine-mountain-williamstown/9-18-2026/?c=34451476-9c52-4356-912c-8f0420bbb7ae","https://www.maxpreps.com/vt/soccer/match/oxbow-bradford-vs-paine-mountain-williamstown/9-18-2026/?c=34451476-9c52-4356-912c-8f0420bbb7ae","/soccer/vt/11df?9/18/2026","Oxbow","Olympians","https://www.maxpreps.com/vt/oxbow-bradford/soccer/","https://www.maxpreps.com/vt/paine-mountain-williamstown/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F9%2F1%2Ff9120d8a-406a-4312-a3eb-f4b241e7b926.gif%3Fversion%3D636540312000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F9%2F1%2Ff9120d8a-406a-4312-a3eb-f4b241e7b926.gif%3Fversion%3D636540312000000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
3,"Fair Haven vs Hartford",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Fair Haven varsity soccer team has an away conference match @  Hartford (White River Junction, VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/fair-haven-vs-hartford-white-river-junction/9-18-2026/?c=dc1a20e4-6c8e-4b60-a9f4-e0c0fe0cc672","https://www.maxpreps.com/vt/soccer/match/fair-haven-vs-hartford-white-river-junction/9-18-2026/?c=dc1a20e4-6c8e-4b60-a9f4-e0c0fe0cc672","/soccer/vt/10b8?9/18/2026","Fair Haven","Slaters","https://www.maxpreps.com/vt/fair-haven/soccer/","https://www.maxpreps.com/vt/hartford-white-river-junction/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F9%2Fb%2Fd9bd4ef5-c424-4b13-a29a-5e989b5c6ed8.gif%3Fversion%3D635238593400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F6%2F9%2F569be9e1-b88f-4403-a892-f9ac48e90146.gif%3Fversion%3D638790007279135800%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
4,"Bellows Free Academy vs Vergennes",Boys Soccer,"Vermont",9/18/2026,3:30pm,"The Bellows Free Academy varsity soccer team has an away conference match @  Vergennes (VT) on Friday, September 18 @ 3:30p.","/vt/soccer/match/bellows-free-academy-fairfax-vs-vergennes/9-18-2026/?c=27aacd0e-8868-4e29-9c79-c4fdea04a30d","https://www.maxpreps.com/vt/soccer/match/bellows-free-academy-fairfax-vs-vergennes/9-18-2026/?c=27aacd0e-8868-4e29-9c79-c4fdea04a30d","/soccer/vt/fe6?9/18/2026","Bellows Free Academy","Bullets","https://www.maxpreps.com/vt/bellows-free-academy-fairfax/soccer/","https://www.maxpreps.com/vt/vergennes/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fc%2F2%2F4c20f0d6-f8d4-4bb2-99ea-f05878acaa16.gif%3Fversion%3D636685603200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F4%2F3%2F043a7aef-8393-4257-9f9d-3d34de6409be.gif%3Fversion%3D638503487400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
5,"Bellows Falls vs Springfield",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Bellows Falls varsity soccer team has an away non-conference match @  Springfield (VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/bellows-falls-vs-springfield/9-18-2026/?c=fbb169ab-f701-449f-a38a-c316dfa1b440","https://www.maxpreps.com/vt/soccer/match/bellows-falls-vs-springfield/9-18-2026/?c=fbb169ab-f701-449f-a38a-c316dfa1b440","/soccer/vt/b11?9/18/2026","Bellows Falls","Terriers","https://www.maxpreps.com/vt/bellows-falls/soccer/","https://www.maxpreps.com/vt/springfield/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F7%2F1%2F371a809f-40c4-4636-9027-51d49f07773d.gif%3Fversion%3D636685603200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F7%2F1%2F371a809f-40c4-4636-9027-51d49f07773d.gif%3Fversion%3D636685603200000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
6,"Grace Christian vs Sharon Academy",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Grace Christian varsity soccer team has an away non-conference match @  Sharon Academy (Sharon, VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/grace-christian-bennington-vs-sharon-academy/9-18-2026/?c=9fda6f02-0faf-4816-aa9c-965f6f8d1dbb","https://www.maxpreps.com/vt/soccer/match/grace-christian-bennington-vs-sharon-academy/9-18-2026/?c=9fda6f02-0faf-4816-aa9c-965f6f8d1dbb","/soccer/vt/1122?9/18/2026","Grace Christian","Lions","https://www.maxpreps.com/vt/grace-christian-bennington/soccer/","https://www.maxpreps.com/vt/sharon-academy/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F0%2F1%2F9018aa98-79fa-4c54-91c2-e9ff84a1a7a3.gif%3Fversion%3D638939811747648180%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F4%2Fd%2F84dacf09-55fc-4ad6-8a41-467b8fad55f0.gif%3Fversion%3D638962806144638580%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
7,"Danville vs Blue Mountain",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Danville varsity soccer team has an away conference match @  Blue Mountain (Wells River, VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/blue-mountain-wells-river-vs-danville/9-18-2026/?c=d6747401-e839-43fd-84de-b2120749c339","https://www.maxpreps.com/vt/soccer/match/blue-mountain-wells-river-vs-danville/9-18-2026/?c=d6747401-e839-43fd-84de-b2120749c339","/soccer/vt/e7b?9/18/2026","Danville","Bears","https://www.maxpreps.com/vt/blue-mountain-wells-river/soccer/","https://www.maxpreps.com/vt/danville/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F9%2F6%2F396a7003-b650-480e-b180-b19166cb6ce0.gif%3Fversion%3D638131915200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Ff%2F2%2F6f25ba4a-c888-478c-aff8-505371e0c5ed.gif%3Fversion%3D638941540919679480%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
8,"Spaulding vs Hazen",Boys Soccer,"Vermont",9/18/2026,4:30pm,"The Spaulding varsity soccer team has an away conference match @  Hazen (Hardwick, VT) on Friday, September 18 @ 4:30p.","/vt/soccer/match/hazen-hardwick-vs-spaulding-barre/9-18-2026/?c=0fe5dbb1-4c9f-4896-9f11-d7d82eb36b2f","https://www.maxpreps.com/vt/soccer/match/hazen-hardwick-vs-spaulding-barre/9-18-2026/?c=0fe5dbb1-4c9f-4896-9f11-d7d82eb36b2f","/soccer/vt/cd3?9/18/2026","Spaulding","Crimson Tide","https://www.maxpreps.com/vt/hazen-hardwick/soccer/","https://www.maxpreps.com/vt/spaulding-barre/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Fimages%2Flogos%2Fmaxpreps-logo-white-2025.png","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Freact%2Fplay-on-logo.png","boy"
9,"Rivendell Academy vs Leland &amp; Gray",Boys Soccer,"Vermont",9/18/2026,6:00pm,"The Rivendell Academy varsity soccer team has an away conference match @  Leland &amp; Gray (Townshend, VT) on Friday, September 18 @ 6p.","/inter-state/soccer/match/leland-and-gray-townshend-vt-vs-rivendell-academy-orford-nh/9-18-2026/?c=535e2cdf-c42c-4770-8dcd-2abb1aa34a1e","https://www.maxpreps.com/inter-state/soccer/match/leland-and-gray-townshend-vt-vs-rivendell-academy-orford-nh/9-18-2026/?c=535e2cdf-c42c-4770-8dcd-2abb1aa34a1e","/soccer/vt/1693?9/18/2026","Rivendell Academy","Leland &amp; Gray","https://www.maxpreps.com/vt/leland-and-gray-townshend-vt/soccer/","https://www.maxpreps.com/vt/rivendell-academy-orford-nh/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Fimages%2Flogos%2Fmaxpreps-logo-white-2025.png","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fasset.maxpreps.io%2Fincludes%2Freact%2Fplay-on-logo.png","boy"
10,"Montpelier vs Lake Region",Boys Soccer,"Vermont",9/18/2026,6:00pm,"The Montpelier varsity soccer team has an away conference match @  Lake Region (Orleans, VT) on Friday, September 18 @ 6p.","/vt/soccer/match/lake-region-orleans-vs-montpelier/9-18-2026/?c=bcf11b72-0e94-459c-8e3d-ec5343765941","https://www.maxpreps.com/vt/soccer/match/lake-region-orleans-vs-montpelier/9-18-2026/?c=bcf11b72-0e94-459c-8e3d-ec5343765941","/soccer/vt/cf1?9/18/2026","Montpelier","Solons","https://www.maxpreps.com/vt/lake-region-orleans/soccer/","https://www.maxpreps.com/vt/montpelier/soccer/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Fb%2F2%2F3b297181-c44d-4709-a90b-3f205da0c909.gif%3Fversion%3D636541054800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2Ff%2F2%2Fdf2158cb-6483-41f3-a883-58e2134d2db2.gif%3Fversion%3D638949837051882540%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","boy"
