41,"Varsity Opponent vs Sheets Memorial Christian",Girls Volleyball,"North Carolina",9/28/2026,5:30pm,"The Varsity Opponent varsity volleyball team has an away non-conference match @  Sheets Memorial Christian (Lexington, NC) on Monday, September 28 @ 5:30p.","/nc/volleyball/match/sheets-memorial-christian-lexington-nc-vs-varsity-opponent-intl/9-28-2026/?c=c97f826b-65ef-473b-8d74-6317a56cbb37","https://www.maxpreps.com/nc/volleyball/match/sheets-memorial-christian-lexington-nc-vs-varsity-opponent-intl/9-28-2026/?c=c97f826b-65ef-473b-8d74-6317a56cbb37","/volleyball/nc/18dd?9/28/2026","Varsity Opponent","Sheets Memorial Christian","https://www.maxpreps.com/nc/sheets-memorial-christian-lexington-nc/girls-volleyball/","https://www.maxpreps.com/nc/varsity-opponent-intl/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F3%2F6%2F836406fd-8045-4b5f-a71c-8197f9f6b01c.gif%3Fversion%3D634880557800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F3%2F6%2F836406fd-8045-4b5f-a71c-8197f9f6b01c.gif%3Fversion%3D634880557800000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
42,"Triad Baptist Christian Academy vs Tabernacle Christian",Girls Volleyball,"North Carolina",9/28/2026,5:30pm,"The Triad Baptist Christian Academy varsity volleyball team has an away conference match @  Tabernacle Christian (Hickory, NC) on Monday, September 28 @ 5:30p.","/nc/volleyball/match/tabernacle-christian-hickory-vs-triad-baptist-christian-academy-kernersville/9-28-2026/?c=1f123ac0-a9f6-43e0-8a04-e13be6628a68","https://www.maxpreps.com/nc/volleyball/match/tabernacle-christian-hickory-vs-triad-baptist-christian-academy-kernersville/9-28-2026/?c=1f123ac0-a9f6-43e0-8a04-e13be6628a68","/volleyball/nc/1dda?9/28/2026","Triad Baptist Christian Academy","Titans","https://www.maxpreps.com/nc/tabernacle-christian-hickory/girls-volleyball/","https://www.maxpreps.com/nc/triad-baptist-christian-academy-kernersville/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F0%2F1%2F101e837b-ff71-4c34-b315-3dfce154fa48.gif%3Fversion%3D637963243200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F3%2F2%2Fc32bbb2e-e977-4256-be9b-ac39faf52880.gif%3Fversion%3D638984544677560020%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
43,"E.E. Smith vs Western Harnett",Girls Volleyball,"North Carolina",9/28/2026,5:45pm,"The E.E. Smith varsity volleyball team has an away non-conference match @  Western Harnett (Lillington, NC) on Monday, September 28 @ 5:45p.","/nc/volleyball/match/ee-smith-fayetteville-vs-western-harnett-lillington/9-28-2026/?c=e407a818-31df-4c42-8833-bc5bea477ea2","https://www.maxpreps.com/nc/volleyball/match/ee-smith-fayetteville-vs-western-harnett-lillington/9-28-2026/?c=e407a818-31df-4c42-8833-bc5bea477ea2","/volleyball/nc/142e?9/28/2026","E.E. Smith","Golden Bulls","https://www.maxpreps.com/nc/ee-smith-fayetteville/girls-volleyball/","https://www.maxpreps.com/nc/western-harnett-lillington/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F0%2Fe%2Fd0ed9219-fa54-4872-afdf-4c27c7a32ab2.gif%3Fversion%3D634016026200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2Fd%2F1%2F3d196b63-c62c-4974-95b9-04e959cf1ec6.gif%3Fversion%3D635227603200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
44,"Winston-Salem Preparatory Academy vs Carver",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Winston-Salem Preparatory Academy varsity volleyball team has an away non-conference match @  Carver (Winston-Salem, NC) on Monday, September 28 @ 6p.","/nc/volleyball/match/carver-winston-salem-vs-winston-salem-preparatory-academy/9-28-2026/?c=df28a159-0ef2-4ed4-8002-221f19d2a9bc","https://www.maxpreps.com/nc/volleyball/match/carver-winston-salem-vs-winston-salem-preparatory-academy/9-28-2026/?c=df28a159-0ef2-4ed4-8002-221f19d2a9bc","/volleyball/nc/167c?9/28/2026","Winston-Salem Preparatory Academy","Phoenix","https://www.maxpreps.com/nc/carver-winston-salem/girls-volleyball/","https://www.maxpreps.com/nc/winston-salem-preparatory-academy/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F2%2Fd%2Fd2dc8f5f-b11f-4876-95c4-892c63f358bd.gif%3Fversion%3D638711525365099020%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fe%2Fa%2F6ea4d1b3-9df3-418c-a106-1091c65dba18.gif%3Fversion%3D638580749376070510%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
45,"Westminster Catawba Christian vs Spartanburg Day",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Westminster Catawba Christian varsity volleyball team has an away conference match @  Spartanburg Day (Spartanburg, SC) on Monday, September 28 @ 6p.","/sc/volleyball/match/spartanburg-day-vs-westminster-catawba-christian-rock-hill/9-28-2026/?c=c453f314-c9a3-4180-ab55-7f0d6b69e30d","https://www.maxpreps.com/sc/volleyball/match/spartanburg-day-vs-westminster-catawba-christian-rock-hill/9-28-2026/?c=c453f314-c9a3-4180-ab55-7f0d6b69e30d","/volleyball/nc/16c0?9/28/2026","Westminster Catawba Christian","Indians","https://www.maxpreps.com/nc/spartanburg-day/girls-volleyball/","https://www.maxpreps.com/nc/westminster-catawba-christian-rock-hill/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F8%2Fe%2F58ea0faa-0cce-4722-946d-0a9a5e01c44a.gif%3Fversion%3D638079303600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F5%2F1%2F0518f0ca-9767-477d-890d-20cdbba33447.gif%3Fversion%3D636360595200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
46,"Swain County vs Rabun Gap-Nacoochee",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Swain County varsity volleyball team has an away non-conference match @  Rabun Gap-Nacoochee (Rabun Gap, GA) on Monday, September 28 @ 6p.","/inter-state/volleyball/match/rabun-gap-nacoochee-ga-vs-swain-county-bryson-city-nc/9-28-2026/?c=3752ce14-af1e-4abd-96e7-1c59cb96d0b1","https://www.maxpreps.com/inter-state/volleyball/match/rabun-gap-nacoochee-ga-vs-swain-county-bryson-city-nc/9-28-2026/?c=3752ce14-af1e-4abd-96e7-1c59cb96d0b1","/volleyball/nc/1426?9/28/2026","Swain County","Maroon Devils","https://www.maxpreps.com/nc/rabun-gap-nacoochee-ga/girls-volleyball/","https://www.maxpreps.com/nc/swain-county-bryson-city-nc/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fa%2Fb%2F5ab710c9-8750-46b7-a1e8-5116ebdbcac6.gif%3Fversion%3D635125856400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F5%2F6%2F856a10a0-6ef4-4549-83be-89d5a40ed008.gif%3Fversion%3D639228910193935300%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
47,"Robbinsville vs Pisgah",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Robbinsville varsity volleyball team has an away non-conference match @  Pisgah (Canton, NC) on Monday, September 28 @ 6p.","/nc/volleyball/match/pisgah-canton-vs-robbinsville/9-28-2026/?c=1da3930e-3f33-44b7-9ff3-52d120d9c220","https://www.maxpreps.com/nc/volleyball/match/pisgah-canton-vs-robbinsville/9-28-2026/?c=1da3930e-3f33-44b7-9ff3-52d120d9c220","/volleyball/nc/b7a?9/28/2026","Robbinsville","Black Knights","https://www.maxpreps.com/nc/pisgah-canton/girls-volleyball/","https://www.maxpreps.com/nc/robbinsville/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F9%2Fe%2Fd9e75c99-21bc-46ed-bd4b-0c968da7caff.gif%3Fversion%3D635364310200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F7%2F7%2F9%2F7796e5a5-7854-4bf0-956c-a0e2abf21ce3.gif%3Fversion%3D635654604600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
48,"North Moore vs Phoenix Academy",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The North Moore varsity volleyball team has an away non-conference match @  Phoenix Academy (High Point, NC) on Monday, September 28 @ 6p.","/nc/volleyball/match/north-moore-robbins-vs-phoenix-academy-high-point/9-28-2026/?c=708b86e4-8c2c-4abd-b1ae-f76602ef805d","https://www.maxpreps.com/nc/volleyball/match/north-moore-robbins-vs-phoenix-academy-high-point/9-28-2026/?c=708b86e4-8c2c-4abd-b1ae-f76602ef805d","/volleyball/nc/12f9?9/28/2026","North Moore","Mustangs","https://www.maxpreps.com/nc/north-moore-robbins/girls-volleyball/","https://www.maxpreps.com/nc/phoenix-academy-high-point/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F4%2F0%2F84032497-e641-4c61-a809-9f1c37ee00a0.gif%3Fversion%3D634309339800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fc%2F5%2Fec53d0ce-c082-499e-9f82-31c01d157dbc.gif%3Fversion%3D638576307014057640%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
49,"Pamlico County vs East Carteret",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Pamlico County varsity volleyball team has an away conference match @  East Carteret (Beaufort, NC) on Monday, September 28 @ 6p.","/nc/volleyball/match/east-carteret-beaufort-vs-pamlico-county-bayboro/9-28-2026/?c=30e79e60-89d9-471b-835c-f65aec41025c","https://www.maxpreps.com/nc/volleyball/match/east-carteret-beaufort-vs-pamlico-county-bayboro/9-28-2026/?c=30e79e60-89d9-471b-835c-f65aec41025c","/volleyball/nc/12cb?9/28/2026","Pamlico County","Hurricanes","https://www.maxpreps.com/nc/east-carteret-beaufort/girls-volleyball/","https://www.maxpreps.com/nc/pamlico-county-bayboro/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F5%2F1%2Fa51bbbb7-e012-4648-a3a6-45518173c807.gif%3Fversion%3D638867115121583100%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Ff%2Fd%2F8fd6885a-17b5-458d-a24e-debdb964109d.gif%3Fversion%3D636104874000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
50,"Northeast Academy For Aerospace and Advanced Tech vs Northeastern",Girls Volleyball,"North Carolina",9/28/2026,6:00pm,"The Northeast Academy For Aerospace and Advanced Tech varsity volleyball team has an away non-conference match @  Northeastern (Elizabeth City, NC) on Monday, September 28 @ 6p.","/nc/volleyball/match/northeast-academy-for-aerospace-and-advanced-tech-elizabeth-city-vs-northeastern-elizabeth-city/9-28-2026/?c=01fa67e5-cd01-4b54-8fc3-a21ca3f9c1b6","https://www.maxpreps.com/nc/volleyball/match/northeast-academy-for-aerospace-and-advanced-tech-elizabeth-city-vs-northeastern-elizabeth-city/9-28-2026/?c=01fa67e5-cd01-4b54-8fc3-a21ca3f9c1b6","/volleyball/nc/24b7?9/28/2026","Northeast Academy For Aerospace and Advanced Tech","Griffins","https://www.maxpreps.com/nc/northeast-academy-for-aerospace-and-advanced-tech-elizabeth-city/girls-volleyball/","https://www.maxpreps.com/nc/northeastern-elizabeth-city/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2F0%2F0%2Fe00ed3f8-0d19-4770-98c0-9ca22db73284.gif%3Fversion%3D637953086400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F7%2F6%2F876df13b-80e3-4af3-ac27-dd5d89eda0e0.gif%3Fversion%3D638871299280296080%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
