1,"Arrowhead vs Oconomowoc",Girls Volleyball,"Wisconsin",9/23/2026,6:30pm,"The Arrowhead varsity volleyball team has an away conference match @  Oconomowoc (WI) on Wednesday, September 23 @ 6:30p.","/wi/volleyball/match/arrowhead-hartland-vs-oconomowoc/9-23-2026/?c=32512632-b96a-4775-a24b-5809357c07e4","https://www.maxpreps.com/wi/volleyball/match/arrowhead-hartland-vs-oconomowoc/9-23-2026/?c=32512632-b96a-4775-a24b-5809357c07e4","/volleyball/wi/cbe?9/23/2026","Arrowhead","Warhawks","https://www.maxpreps.com/wi/arrowhead-hartland/volleyball/","https://www.maxpreps.com/wi/oconomowoc/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2Fd%2F4%2F8d416cfb-f4c7-4366-a66e-e49f56416c00.gif%3Fversion%3D636167026200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fe%2F7%2Fee75dcb4-5de9-4322-a76f-3c83b32e12ad.gif%3Fversion%3D635204467200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
2,"Catholic Memorial vs Oak Creek",Girls Volleyball,"Wisconsin",9/23/2026,6:30pm,"The Catholic Memorial varsity volleyball team has an away conference match @  Oak Creek (WI) on Wednesday, September 23 @ 6:30p.","/wi/volleyball/match/catholic-memorial-waukesha-vs-oak-creek/9-23-2026/?c=b7ec93ce-2fe7-49df-abac-5f6cb3d8b6f5","https://www.maxpreps.com/wi/volleyball/match/catholic-memorial-waukesha-vs-oak-creek/9-23-2026/?c=b7ec93ce-2fe7-49df-abac-5f6cb3d8b6f5","/volleyball/wi/f05?9/23/2026","Catholic Memorial","Crusaders","https://www.maxpreps.com/wi/catholic-memorial-waukesha/volleyball/","https://www.maxpreps.com/wi/oak-creek/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F8%2F4%2F884deb71-6029-45ec-b05b-ff7a432e1252.gif%3Fversion%3D637732157400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F9%2F1%2F69112417-f07d-4045-870b-7d949bf02ce0.gif%3Fversion%3D637801637400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
3,"Indian Trail vs Waterford",Girls Volleyball,"Wisconsin",9/23/2026,4:00pm,"The Indian Trail varsity volleyball team has an away non-conference match @  Waterford (WI) on Wednesday, September 23 @ 4p.","/wi/volleyball/match/indian-trail-kenosha-vs-waterford/9-23-2026/?c=c8ee813a-1985-4517-98b3-8ee2d3d07986","https://www.maxpreps.com/wi/volleyball/match/indian-trail-kenosha-vs-waterford/9-23-2026/?c=c8ee813a-1985-4517-98b3-8ee2d3d07986","/volleyball/wi/ce3?9/23/2026","Indian Trail","Hawks","https://www.maxpreps.com/wi/indian-trail-kenosha/volleyball/","https://www.maxpreps.com/wi/waterford/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fd%2Ff%2F6dfac959-2df6-43a8-afc2-6e50d17cef3d.gif%3Fversion%3D637986740400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F7%2Fd%2F57d0cfa3-5587-41fb-9a4d-ae6746cb6f3c.gif%3Fversion%3D637625382000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
4,"Indian Trail vs Union Grove",Girls Volleyball,"Wisconsin",9/23/2026,4:00pm,"The Indian Trail varsity volleyball team has an away non-conference match @  Union Grove (WI) on Wednesday, September 23 @ 4p.","/wi/volleyball/match/indian-trail-kenosha-vs-union-grove/9-23-2026/?c=c6d9ed27-0a77-48fa-8c26-b9b619c2d430","https://www.maxpreps.com/wi/volleyball/match/indian-trail-kenosha-vs-union-grove/9-23-2026/?c=c6d9ed27-0a77-48fa-8c26-b9b619c2d430","/volleyball/wi/d8e?9/23/2026","Indian Trail","Hawks","https://www.maxpreps.com/wi/indian-trail-kenosha/volleyball/","https://www.maxpreps.com/wi/union-grove/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fd%2Ff%2F6dfac959-2df6-43a8-afc2-6e50d17cef3d.gif%3Fversion%3D637986740400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F7%2Ff%2F57f66ec6-f49d-4cdf-a92b-bdd09581a1ec.gif%3Fversion%3D638718373303246900%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
5,"Waterford vs Racine Case",Girls Volleyball,"Wisconsin",9/23/2026,5:00pm,"The Waterford varsity volleyball team has a neutral tournament match vs.  Racine Case (Racine, WI) on Wednesday, September 23 @ 5p.","/wi/volleyball/match/racine-case-vs-waterford/9-23-2026/?c=dab16e31-8d52-47fa-b86f-377f9e8eef7f","https://www.maxpreps.com/wi/volleyball/match/racine-case-vs-waterford/9-23-2026/?c=dab16e31-8d52-47fa-b86f-377f9e8eef7f","/volleyball/wi/94c?9/23/2026","Waterford","Wolverines","https://www.maxpreps.com/wi/racine-case/volleyball/","https://www.maxpreps.com/wi/waterford/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F7%2Fd%2F57d0cfa3-5587-41fb-9a4d-ae6746cb6f3c.gif%3Fversion%3D637625382000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F1%2Fe%2Fd1eadbf1-0572-4806-b6f2-ccbbc3c33caf.gif%3Fversion%3D637977132600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
6,"Union Grove vs Racine Case",Girls Volleyball,"Wisconsin",9/23/2026,5:00pm,"The Union Grove varsity volleyball team has a neutral tournament match vs.  Racine Case (Racine, WI) on Wednesday, September 23 @ 5p.","/wi/volleyball/match/racine-case-vs-union-grove/9-23-2026/?c=ef55fdbc-92d9-4b5f-9c10-f9c108f92a6b","https://www.maxpreps.com/wi/volleyball/match/racine-case-vs-union-grove/9-23-2026/?c=ef55fdbc-92d9-4b5f-9c10-f9c108f92a6b","/volleyball/wi/9f7?9/23/2026","Union Grove","Broncos","https://www.maxpreps.com/wi/racine-case/volleyball/","https://www.maxpreps.com/wi/union-grove/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F7%2Ff%2F57f66ec6-f49d-4cdf-a92b-bdd09581a1ec.gif%3Fversion%3D638718373303246900%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fd%2F1%2Fe%2Fd1eadbf1-0572-4806-b6f2-ccbbc3c33caf.gif%3Fversion%3D637977132600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
7,"Milwaukee Juneau vs Milwaukee King",Girls Volleyball,"Wisconsin",9/23/2026,6:00pm,"The Milwaukee Juneau varsity volleyball team has an away conference match @  Milwaukee King (Milwaukee, WI) on Wednesday, September 23 @ 6p.","/wi/volleyball/match/milwaukee-juneau-vs-milwaukee-king/9-23-2026/?c=de292b23-1cdc-4d2b-9f65-74fa6003b7f8","https://www.maxpreps.com/wi/volleyball/match/milwaukee-juneau-vs-milwaukee-king/9-23-2026/?c=de292b23-1cdc-4d2b-9f65-74fa6003b7f8","/volleyball/wi/d56?9/23/2026","Milwaukee Juneau","Pioneers","https://www.maxpreps.com/wi/milwaukee-juneau/volleyball/","https://www.maxpreps.com/wi/milwaukee-king/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2Fa%2Ff%2F0af7d9a4-a7d5-4f14-b3b8-ee4c5ada651f.gif%3Fversion%3D635586337200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2Fa%2Ff%2F0af7d9a4-a7d5-4f14-b3b8-ee4c5ada651f.gif%3Fversion%3D635586337200000000%26amp%3Bwidth%3D32%26amp%3Bheight%3D32%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
8,"Durand vs Hiawatha",Girls Volleyball,"Wisconsin",9/23/2026,6:30pm,"The Durand varsity volleyball team has an away non-conference match @  Hiawatha (Kirkland, IL) on Wednesday, September 23 @ 6:30p.","/il/volleyball/match/durand-vs-hiawatha-kirkland/9-23-2026/?c=368f5294-8811-4c4e-ab62-096133083716","https://www.maxpreps.com/il/volleyball/match/durand-vs-hiawatha-kirkland/9-23-2026/?c=368f5294-8811-4c4e-ab62-096133083716","/volleyball/wi/a85?9/23/2026","Durand","Bulldogs","https://www.maxpreps.com/wi/durand/volleyball/","https://www.maxpreps.com/wi/hiawatha-kirkland/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fb%2F5%2F5%2Fb551ef56-d1b6-4907-afd6-b729bd1417b5.gif%3Fversion%3D636475438200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F4%2Fe%2F94e6ec31-7f74-44bb-9cf3-ee835d01d73f.gif%3Fversion%3D636142044000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
9,"Wilmot vs Kenosha Tremper",Girls Volleyball,"Wisconsin",9/23/2026,6:30pm,"The Wilmot varsity volleyball team has an away non-conference match @  Kenosha Tremper (Kenosha, WI) on Wednesday, September 23 @ 6:30p.","/wi/volleyball/match/kenosha-tremper-vs-wilmot/9-23-2026/?c=43f67b17-6735-45e2-9f45-9b0975a19836","https://www.maxpreps.com/wi/volleyball/match/kenosha-tremper-vs-wilmot/9-23-2026/?c=43f67b17-6735-45e2-9f45-9b0975a19836","/volleyball/wi/9f4?9/23/2026","Wilmot","Panthers","https://www.maxpreps.com/wi/kenosha-tremper/volleyball/","https://www.maxpreps.com/wi/wilmot/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2Fb%2F0%2F5b09031b-eed5-4ef5-adf9-175441e84483.gif%3Fversion%3D634682145000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2F4%2F5%2Ff4500f40-1368-438a-a19d-2598a1ba3ce9.gif%3Fversion%3D636262022400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
10,"Waukesha West vs Kettle Moraine",Girls Volleyball,"Wisconsin",9/23/2026,6:30pm,"The Waukesha West varsity volleyball team has an away conference match @  Kettle Moraine (Wales, WI) on Wednesday, September 23 @ 6:30p.","/wi/volleyball/match/kettle-moraine-wales-vs-waukesha-west/9-23-2026/?c=c6681472-7f11-4307-94cf-329825337e61","https://www.maxpreps.com/wi/volleyball/match/kettle-moraine-wales-vs-waukesha-west/9-23-2026/?c=c6681472-7f11-4307-94cf-329825337e61","/volleyball/wi/e76?9/23/2026","Waukesha West","Wolverines","https://www.maxpreps.com/wi/kettle-moraine-wales/volleyball/","https://www.maxpreps.com/wi/waukesha-west/volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F4%2F8%2F54885ed8-8b9f-4f91-a5d2-7f9cb818997a.gif%3Fversion%3D637977131400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F1%2Fd%2F51da4784-1911-47ec-9be9-c834e0af4232.gif%3Fversion%3D636082470600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","girl"
